Date,Close,PBI
04/04/2014,26.98,-0.0022214
03/04/2014,27.04,0.009288568
02/04/2014,26.79,0.043095324
01/04/2014,25.66,-0.012778489
31/03/2014,25.99,0.02021056
28/03/2014,25.47,0.017426184
27/03/2014,25.03,-0.00875105
26/03/2014,25.25,-0.018442744
25/03/2014,25.72,0.008982681
24/03/2014,25.49,0.009856181
21/03/2014,25.24,-0.011424194
20/03/2014,25.53,0.002745638
19/03/2014,25.46,-0.011326034
18/03/2014,25.75,0.01684003
17/03/2014,25.32,0.002768442
14/03/2014,25.25,-0.005135307
13/03/2014,25.38,-0.012140349
12/03/2014,25.69,-0.004660203
11/03/2014,25.81,-0.010406723
10/03/2014,26.08,-0.016353283
07/03/2014,26.51,0.008333382
06/03/2014,26.29,-0.001140468
05/03/2014,26.32,0.012617258
04/03/2014,25.99,0.012388854
03/03/2014,25.67,0.008607252
28/02/2014,25.45,0.017839918
27/02/2014,25,-0.001199281
26/02/2014,25.03,0.001199281
25/02/2014,25,0.012882626
24/02/2014,24.68,-0.017272974
21/02/2014,25.11,-0.009118002
20/02/2014,25.34,0.003954137
19/02/2014,25.24,-0.014943259
18/02/2014,25.62,-0.000780336
14/02/2014,25.64,0.009404458
13/02/2014,25.4,0.013875346
12/02/2014,25.05,-0.005176201
11/02/2014,25.18,0.004378116
10/02/2014,25.07,-0.015829377
07/02/2014,25.47,0.014633443
06/02/2014,25.1,0.016469543
05/02/2014,24.69,-0.014076243
04/02/2014,25.04,0.02384433
03/02/2014,24.45,-0.029419813
31/01/2014,25.18,-0.026260572
30/01/2014,25.85,0.173616807
29/01/2014,21.73,-0.003216176
28/01/2014,21.8,0.031216138
27/01/2014,21.13,-0.023849622
24/01/2014,21.64,-0.033624249
23/01/2014,22.38,-0.037276844
22/01/2014,23.23,0.001292268
21/01/2014,23.2,0.004319661
17/01/2014,23.1,-0.015464226
16/01/2014,23.46,-0.00891158
15/01/2014,23.67,0.014468337
14/01/2014,23.33,0.01816659
13/01/2014,22.91,-0.024575498
10/01/2014,23.48,0.005123837
09/01/2014,23.36,-0.01402786
08/01/2014,23.69,0.000844595
07/01/2014,23.67,0.001691332
06/01/2014,23.63,-0.009267126
03/01/2014,23.85,0.017766965
02/01/2014,23.43,0.005563892
31/12/2013,23.3,-0.003427595
30/12/2013,23.38,-0.007669403
27/12/2013,23.56,-0.008873923
26/12/2013,23.77,0.030758512
24/12/2013,23.05,0.003912198
23/12/2013,22.96,0.024692613
20/12/2013,22.4,0.015294945
19/12/2013,22.06,-0.00316814
18/12/2013,22.13,0.00316814
17/12/2013,22.06,-0.006326275
16/12/2013,22.2,-0.001800181
13/12/2013,22.24,0.012214583
12/12/2013,21.97,-0.003181098
11/12/2013,22.04,-0.021100671
10/12/2013,22.51,0.012516927
09/12/2013,22.23,-0.000449741
06/12/2013,22.24,0.031516653
05/12/2013,21.55,-0.044027987
04/12/2013,22.52,0.006683028
03/12/2013,22.37,-0.044160181
02/12/2013,23.38,0.009022618
29/11/2013,23.17,-0.009450242
27/11/2013,23.39,0.002568495
26/11/2013,23.33,-0.012777005
25/11/2013,23.63,-0.019279725
22/11/2013,24.09,0.017588393
21/11/2013,23.67,0.019625203
20/11/2013,23.21,-0.008152802
19/11/2013,23.4,0.002567396
18/11/2013,23.34,-0.020356937
15/11/2013,23.82,0.041574447
14/11/2013,22.85,0.025710636
13/11/2013,22.27,0.01721057
12/11/2013,21.89,0.006416154
11/11/2013,21.75,0.015755655
08/11/2013,21.41,0.004212503
07/11/2013,21.32,-0.022722981
06/11/2013,21.81,0.00045861
05/11/2013,21.8,-0.003663008
04/11/2013,21.88,0.018450708
01/11/2013,21.48,0.006539024
31/10/2013,21.34,0.023709029
30/10/2013,20.84,0.003364579
29/10/2013,20.77,0.076518193
28/10/2013,19.24,-0.010855625
25/10/2013,19.45,-0.01429325
24/10/2013,19.73,-0.011088823
23/10/2013,19.95,-0.007490672
22/10/2013,20.1,0.006989544
21/10/2013,19.96,0.003010539
18/10/2013,19.9,0.014170278
17/10/2013,19.62,0.002551673
16/10/2013,19.57,0.018046378
15/10/2013,19.22,-0.003635423
14/10/2013,19.29,0.00624027
11/10/2013,19.17,0.002611649
10/10/2013,19.12,0.032964176
09/10/2013,18.5,0.001081666
08/10/2013,18.48,-0.01343745
07/10/2013,18.73,-0.009035406
04/10/2013,18.9,-0.008954498
03/10/2013,19.07,-0.008875026
02/10/2013,19.24,0.01624348
01/10/2013,18.93,0.039875973
30/09/2013,18.19,0.007172445
27/09/2013,18.06,0.00332779
26/09/2013,18,0
25/09/2013,18,-0.006092514
24/09/2013,18.11,0.007204243
23/09/2013,17.98,-0.009961344
20/09/2013,18.16,-0.018549359
19/09/2013,18.5,0.045336675
18/09/2013,17.68,0.013094409
17/09/2013,17.45,0.016175974
16/09/2013,17.17,-0.002907824
13/09/2013,17.22,0.015803665
12/09/2013,16.95,-0.011147079
11/09/2013,17.14,0
10/09/2013,17.14,0.008201569
