Date,Close,NWSA
04/04/2014,17.12,0.000584283
03/04/2014,17.11,-0.019103331
02/04/2014,17.44,0
01/04/2014,17.44,0.012694919
31/03/2014,17.22,0.011095004
28/03/2014,17.03,0.000587372
27/03/2014,17.02,-0.000587372
26/03/2014,17.03,-0.019192215
25/03/2014,17.36,-0.006316415
24/03/2014,17.47,-0.006276768
21/03/2014,17.58,0.003989746
20/03/2014,17.51,-0.002281804
19/03/2014,17.55,-0.009075502
18/03/2014,17.71,0.018234123
17/03/2014,17.39,-0.002297531
14/03/2014,17.43,0.005176888
13/03/2014,17.34,-0.027866461
12/03/2014,17.83,0.00675298
11/03/2014,17.71,-0.002819286
10/03/2014,17.76,-0.008410479
07/03/2014,17.91,-0.02044835
06/03/2014,18.28,-0.001093494
05/03/2014,18.3,-0.005449605
04/03/2014,18.4,0.015334364
03/03/2014,18.12,-0.011522761
28/02/2014,18.33,0.01705681
27/02/2014,18.02,-0.000554785
26/02/2014,18.03,0.003889974
25/02/2014,17.96,0.001114206
24/02/2014,17.94,0.014598799
21/02/2014,17.68,0.010233176
20/02/2014,17.5,-0.005129678
19/02/2014,17.59,-0.009054957
18/02/2014,17.75,0.003951459
14/02/2014,17.68,0.001131862
13/02/2014,17.66,0.000566412
12/02/2014,17.65,-0.015739504
11/02/2014,17.93,0.023703141
10/02/2014,17.51,0.005727393
07/02/2014,17.41,0.083206812
06/02/2014,16.02,0.025926207
05/02/2014,15.61,0.00578222
04/02/2014,15.52,0
03/02/2014,15.52,-0.027956077
31/01/2014,15.96,-0.01492565
30/01/2014,16.2,-0.001233806
29/01/2014,16.22,-0.001232286
28/01/2014,16.24,-0.009194058
27/01/2014,16.39,0.013513719
24/01/2014,16.17,-0.022019238
23/01/2014,16.53,-0.007233305
22/01/2014,16.65,-0.006584879
21/01/2014,16.76,-0.018913093
17/01/2014,17.08,0
16/01/2014,17.08,-0.007582422
15/01/2014,17.21,-0.005215891
14/01/2014,17.3,0.008708328
13/01/2014,17.15,-0.014472033
10/01/2014,17.4,0.003454235
09/01/2014,17.34,0.002887672
08/01/2014,17.29,-0.006341907
07/01/2014,17.4,-0.010291686
06/01/2014,17.58,-0.01355953
03/01/2014,17.82,-0.007268693
02/01/2014,17.95,-0.003892137
31/12/2013,18.02,0.006123036
30/12/2013,17.91,0.010101096
27/12/2013,17.73,-0.002253522
26/12/2013,17.77,-0.007289071
24/12/2013,17.9,0
23/12/2013,17.9,0.008415197
20/12/2013,17.75,0.022216807
19/12/2013,17.36,-0.008032172
18/12/2013,17.5,0.008608375
17/12/2013,17.35,-0.023919136
16/12/2013,17.77,0.006209447
13/12/2013,17.66,0.009672906
12/12/2013,17.49,-0.006269613
11/12/2013,17.6,-0.002270149
10/12/2013,17.64,0.006825965
09/12/2013,17.52,-0.014731145
06/12/2013,17.78,0.01816168
05/12/2013,17.46,-0.006849342
04/12/2013,17.58,0.004561011
03/12/2013,17.5,-0.008534902
02/12/2013,17.65,-0.017411279
29/11/2013,17.96,0.005583487
27/11/2013,17.86,0.009564067
26/11/2013,17.69,0.011942138
25/11/2013,17.48,-0.00399658
22/11/2013,17.55,-0.000569638
21/11/2013,17.56,-0.006244698
20/11/2013,17.67,0.010810916
19/11/2013,17.48,0.003438399
18/11/2013,17.42,-0.019329766
15/11/2013,17.76,0.029136594
14/11/2013,17.25,0.001740644
13/11/2013,17.22,0.004073325
12/11/2013,17.15,-0.015620798
11/11/2013,17.42,-0.010279931
08/11/2013,17.6,0.019507216
07/11/2013,17.26,-0.008653068
06/11/2013,17.41,-0.015389303
05/11/2013,17.68,-0.00451468
04/11/2013,17.76,-0.000562905
01/11/2013,17.77,0.00961274
31/10/2013,17.6,0.014306396
30/10/2013,17.35,-0.006320044
29/10/2013,17.46,0.009784251
28/10/2013,17.29,0.008130126
25/10/2013,17.15,-0.008130126
24/10/2013,17.29,0.010465212
23/10/2013,17.11,0.006449744
22/10/2013,17,0.008862687
21/10/2013,16.85,0
18/10/2013,16.85,0.00297177
17/10/2013,16.8,0.001191185
16/10/2013,16.78,0.011990551
15/10/2013,16.58,0.001207001
14/10/2013,16.56,0.009099244
11/10/2013,16.41,0.011645856
10/10/2013,16.22,0.021184593
09/10/2013,15.88,0.005050516
08/10/2013,15.8,-0.006937902
07/10/2013,15.91,0.004409456
04/10/2013,15.84,-0.001892148
03/10/2013,15.87,-0.016870128
02/10/2013,16.14,0.01435282
01/10/2013,15.91,-0.009383866
30/09/2013,16.06,-0.006825965
27/09/2013,16.17,-0.007393749
26/09/2013,16.29,-0.030827464
25/09/2013,16.8,-0.014184635
24/09/2013,17.04,0.03038661
23/09/2013,16.53,-0.006632524
20/09/2013,16.64,-0.013727461
19/09/2013,16.87,-0.010613307
18/09/2013,17.05,0.00293686
17/09/2013,17,0.002355714
16/09/2013,16.96,0.0041359
13/09/2013,16.89,-0.012941357
12/09/2013,17.11,0.003512884
11/09/2013,17.05,0.029764102
10/09/2013,16.55,0.012770012
09/09/2013,16.34,0.009222322
06/09/2013,16.19,-0.003083567
05/09/2013,16.24,0.013015368
04/09/2013,16.03,0.015718651
03/09/2013,15.78,0.005082603
30/08/2013,15.7,-0.004448689
29/08/2013,15.77,0.000634317
28/08/2013,15.76,0.001905367
27/08/2013,15.73,-0.008230499
26/08/2013,15.86,0.006959851
23/08/2013,15.75,0.002542913
22/08/2013,15.71,-0.003177632
21/08/2013,15.76,0.003814372
20/08/2013,15.7,0
19/08/2013,15.7,-0.017677228
16/08/2013,15.98,-0.007481332
15/08/2013,16.1,0.012500163
14/08/2013,15.9,0.004412235
13/08/2013,15.83,-0.005669307
12/08/2013,15.92,-0.00376176
09/08/2013,15.98,-0.009342952
08/08/2013,16.13,0.011222063
07/08/2013,15.95,-0.014317082
06/08/2013,16.18,0.011187189
05/08/2013,16,-0.021027367
02/08/2013,16.34,0.007987754
01/08/2013,16.21,0.017424212
31/07/2013,15.93,-0.001254705
30/07/2013,15.95,0.027973852
29/07/2013,15.51,-0.024205003
26/07/2013,15.89,0.020343995
25/07/2013,15.57,-0.008951466
24/07/2013,15.71,0.003826535
23/07/2013,15.65,-0.0050988
22/07/2013,15.73,-0.015142245
19/07/2013,15.97,0.031809298
18/07/2013,15.47,-0.026787316
17/07/2013,15.89,0.039145197
16/07/2013,15.28,0.040740192
15/07/2013,14.67,-0.017568019
12/07/2013,14.93,-0.013306916
11/07/2013,15.13,-0.01703842
10/07/2013,15.39,-0.020579504
09/07/2013,15.71,-0.01578814
08/07/2013,15.96,0.018975901
05/07/2013,15.66,0.05176393
03/07/2013,14.87,-0.008704441
02/07/2013,15,0.014098924
01/07/2013,14.79,-0.030628226
28/06/2013,15.25,-0.016260521
27/06/2013,15.5,0.006472515
26/06/2013,15.4,-0.020566278
25/06/2013,15.72,0.01216015
24/06/2013,15.53,-0.005778507
21/06/2013,15.62,0.020699316
20/06/2013,15.3,-0.032157112
19/06/2013,15.8,
