Date,Close,DHI
04/04/2014,22.31,-0.00536434
03/04/2014,22.43,0.00805734
02/04/2014,22.25,0.005407855
01/04/2014,22.13,0.0219287
31/03/2014,21.65,-0.000923361
28/03/2014,21.67,0.020042619
27/03/2014,21.24,0.004246291
26/03/2014,21.15,-0.01408474
25/03/2014,21.45,0.008897272
24/03/2014,21.26,-0.007497692
21/03/2014,21.42,-0.02079077
20/03/2014,21.87,-0.027954931
19/03/2014,22.49,0.001780152
18/03/2014,22.45,0.017978012
17/03/2014,22.05,0.000453618
14/03/2014,22.04,-0.005429878
13/03/2014,22.16,-0.02187099
12/03/2014,22.65,0.001325381
11/03/2014,22.62,-0.006609409
10/03/2014,22.77,-0.03027913
07/03/2014,23.47,-0.016480407
06/03/2014,23.86,-0.004182357
05/03/2014,23.96,-0.015324384
04/03/2014,24.33,0.001645414
03/03/2014,24.29,-0.01105436
28/02/2014,24.56,-0.012543155
27/02/2014,24.87,0.000804505
26/02/2014,24.85,0.028987537
25/02/2014,24.14,0.017973316
24/02/2014,23.71,0.002533785
21/02/2014,23.65,0.013623029
20/02/2014,23.33,0.007313433
19/02/2014,23.16,-0.0064558
18/02/2014,23.31,-0.013211358
14/02/2014,23.62,0.016218879
13/02/2014,23.24,0.000430385
12/02/2014,23.23,-0.004295539
11/02/2014,23.33,-0.009385734
10/02/2014,23.55,-0.014334141
07/02/2014,23.89,0.013485244
06/02/2014,23.57,0.038050418
05/02/2014,22.69,-0.016608773
04/02/2014,23.07,0.008269906
03/02/2014,22.88,-0.025885828
31/01/2014,23.48,0.025885828
30/01/2014,22.88,-0.010002258
29/01/2014,23.11,0.004771208
28/01/2014,23,0.09383301
27/01/2014,20.94,0.002869442
24/01/2014,20.88,-0.050430854
23/01/2014,21.96,-0.00045527
22/01/2014,21.97,0.022555617
21/01/2014,21.48,-0.005107975
17/01/2014,21.59,-0.015169218
16/01/2014,21.92,0.015169218
15/01/2014,21.59,0
14/01/2014,21.59,0.001854428
13/01/2014,21.55,-0.02746168
10/01/2014,22.15,0.018223739
09/01/2014,21.75,0.007846798
08/01/2014,21.58,0.011183714
07/01/2014,21.34,0.003285617
06/01/2014,21.27,-0.022316128
03/01/2014,21.75,-0.003671413
02/01/2014,21.83,-0.022197967
31/12/2013,22.32,0.017627575
30/12/2013,21.93,0.011926747
27/12/2013,21.67,0.013940746
26/12/2013,21.37,0.00375059
24/12/2013,21.29,0.007543647
23/12/2013,21.13,0.026374101
20/12/2013,20.58,0.020619287
19/12/2013,20.16,0.002483239
18/12/2013,20.11,0.061526321
17/12/2013,18.91,-0.012611833
16/12/2013,19.15,0.009971219
13/12/2013,18.96,-0.001581028
12/12/2013,18.99,-0.001052632
11/12/2013,19.01,-0.026986588
10/12/2013,19.53,0.004104675
09/12/2013,19.45,0.019206404
06/12/2013,19.08,0.015315853
05/12/2013,18.79,-0.015315853
04/12/2013,19.08,-0.002617117
03/12/2013,19.13,-0.01040051
02/12/2013,19.33,-0.028055908
29/11/2013,19.88,-0.009013581
27/11/2013,20.06,0.006501648
26/11/2013,19.93,0.045159033
25/11/2013,19.05,0
22/11/2013,19.05,-0.020265697
21/11/2013,19.44,0.019740901
20/11/2013,19.06,-0.011994929
19/11/2013,19.29,-0.000518269
18/11/2013,19.3,-0.014914136
15/11/2013,19.59,0
14/11/2013,19.59,0.02795213
13/11/2013,19.05,0.007376219
12/11/2013,18.91,0.045991335
11/11/2013,18.06,-0.004419897
08/11/2013,18.14,-0.022350344
07/11/2013,18.55,-0.009656727
06/11/2013,18.73,0.017232521
05/11/2013,18.41,-0.022026139
04/11/2013,18.82,0.016609008
01/11/2013,18.51,-0.023492805
31/10/2013,18.95,-0.029635649
30/10/2013,19.52,-0.022791566
29/10/2013,19.97,0.015645033
28/10/2013,19.66,-0.005579522
25/10/2013,19.77,-0.005045419
24/10/2013,19.87,0.020336237
23/10/2013,19.47,0.01240326
22/10/2013,19.23,0.029553602
21/10/2013,18.67,-0.0185731
18/10/2013,19.02,-0.006289329
17/10/2013,19.14,0.058634701
16/10/2013,18.05,0.020146177
15/10/2013,17.69,-0.031165572
14/10/2013,18.25,-0.021681066
11/10/2013,18.65,0.019491684
10/10/2013,18.29,0.019879175
09/10/2013,17.93,-0.00334076
08/10/2013,17.99,-0.027954684
07/10/2013,18.5,-0.002159828
04/10/2013,18.54,-0.028185859
03/10/2013,19.07,-0.024347227
02/10/2013,19.54,0.00822204
01/10/2013,19.38,-0.002576657
30/09/2013,19.43,-0.010240745
27/09/2013,19.63,-0.01817314
26/09/2013,19.99,-0.008468295
25/09/2013,20.16,0.004972661
24/09/2013,20.06,0.012540922
23/09/2013,19.81,-0.019495744
20/09/2013,20.2,-0.03931591
19/09/2013,21.01,-0.015116018
18/09/2013,21.33,0.066885389
17/09/2013,19.95,0.005529041
16/09/2013,19.84,0.035919716
13/09/2013,19.14,-0.011428696
12/09/2013,19.36,-0.007205384
11/09/2013,19.5,0.031781784
10/09/2013,18.89,-0.020435608
09/09/2013,19.28,0.063156351
06/09/2013,18.1,0.018400296
05/09/2013,17.77,-0.00337079
04/09/2013,17.83,0.001683975
03/09/2013,17.8,-0.002805051
30/08/2013,17.85,-0.030347156
29/08/2013,18.4,0.034839022
28/08/2013,17.77,-0.012304406
27/08/2013,17.99,-0.038172574
26/08/2013,18.69,-0.002137895
23/08/2013,18.73,-0.028941773
22/08/2013,19.28,0.022555375
21/08/2013,18.85,-0.003177969
20/08/2013,18.91,0.032789823
19/08/2013,18.3,-0.037537919
16/08/2013,19,-0.006295928
15/08/2013,19.12,0.055375608
14/08/2013,18.09,-0.024571261
13/08/2013,18.54,-0.014989574
12/08/2013,18.82,-0.003712547
09/08/2013,18.89,-0.001058201
08/08/2013,18.91,-0.003694911
07/08/2013,18.98,-0.032143773
06/08/2013,19.6,-0.018701581
05/08/2013,19.97,-0.02032288
02/08/2013,20.38,0.013336824
01/08/2013,20.11,0.000497389
31/07/2013,20.1,0.017566324
30/07/2013,19.75,0.004058859
29/07/2013,19.67,0.017436339
26/07/2013,19.33,-0.002583313
25/07/2013,19.38,-0.089759575
24/07/2013,21.2,-0.027908788
23/07/2013,21.8,0.01014301
22/07/2013,21.58,-0.02245226
19/07/2013,22.07,0.018290405
18/07/2013,21.67,-0.023712921
17/07/2013,22.19,0.022329476
16/07/2013,21.7,-0.000921235
15/07/2013,21.72,-0.046771114
12/07/2013,22.76,-0.009619663
11/07/2013,22.98,0.087723712
10/07/2013,21.05,-0.008043573
09/07/2013,21.22,0.072803813
08/07/2013,19.73,-0.027494859
