Date,Close,ZMH
04/04/2014,96.67,-0.013358193
03/04/2014,97.97,0.014393175
02/04/2014,96.57,0.013133397
01/04/2014,95.31,0.0076887
31/03/2014,94.58,0.00924113
28/03/2014,93.71,0.010189395
27/03/2014,92.76,0.001834368
26/03/2014,92.59,-0.004203272
25/03/2014,92.98,0.009943878
24/03/2014,92.06,-0.015948614
21/03/2014,93.54,-0.013063751
20/03/2014,94.77,0.000422164
19/03/2014,94.73,-0.004844154
18/03/2014,95.19,0.009287666
17/03/2014,94.31,0.001697973
14/03/2014,94.15,-0.003181339
13/03/2014,94.45,-0.024679701
12/03/2014,96.81,-0.010787591
11/03/2014,97.86,-0.004994659
10/03/2014,98.35,0.002953009
07/03/2014,98.06,-0.001935715
06/03/2014,98.25,0.011156147
05/03/2014,97.16,0.001132795
04/03/2014,97.05,0.027685236
03/03/2014,94.4,0.005949869
28/02/2014,93.84,-0.01491381
27/02/2014,95.25,0.000525072
26/02/2014,95.2,0.001261299
25/02/2014,95.08,-0.00534957
24/02/2014,95.59,0.001989634
21/02/2014,95.4,0.001048768
20/02/2014,95.3,0.00631581
19/02/2014,94.7,-0.013634191
18/02/2014,96,-0.000728901
14/02/2014,96.07,-0.000520318
13/02/2014,96.12,0.007518832
12/02/2014,95.4,-0.003557606
11/02/2014,95.74,0.001986513
10/02/2014,95.55,0.011155662
07/02/2014,94.49,0.02074497
06/02/2014,92.55,0.004005852
05/02/2014,92.18,0.009373366
04/02/2014,91.32,0.004939908
03/02/2014,90.87,-0.033545669
31/01/2014,93.97,0.009946074
30/01/2014,93.04,-0.001932783
29/01/2014,93.22,-0.011306787
28/01/2014,94.28,0.011414066
27/01/2014,93.21,-0.001607976
24/01/2014,93.36,-0.021405925
23/01/2014,95.38,-0.010741018
22/01/2014,96.41,-0.000414809
21/01/2014,96.45,0.005405981
17/01/2014,95.93,-0.011607551
16/01/2014,97.05,-0.006777598
15/01/2014,97.71,0.009356914
14/01/2014,96.8,0.011951298
13/01/2014,95.65,-0.01071086
10/01/2014,96.68,0.002174477
09/01/2014,96.47,-0.009902092
08/01/2014,97.43,0.024205202
07/01/2014,95.1,0.019752155
06/01/2014,93.24,0.0064558
03/01/2014,92.64,0.004327138
02/01/2014,92.24,-0.010246544
31/12/2013,93.19,-0.000107302
30/12/2013,93.2,-0.000429092
27/12/2013,93.24,-0.002035679
26/12/2013,93.43,0.003538309
24/12/2013,93.1,-0.003538309
23/12/2013,93.43,0.007412614
20/12/2013,92.74,0.001402752
19/12/2013,92.61,-0.002049513
18/12/2013,92.8,0.023661356
17/12/2013,90.63,0.002541017
16/12/2013,90.4,-0.001216074
13/12/2013,90.51,0.005650672
12/12/2013,90,-0.00377066
11/12/2013,90.34,-0.016903048
10/12/2013,91.88,-0.006076408
09/12/2013,92.44,0.004553841
06/12/2013,92.02,0.017208733
05/12/2013,90.45,0.004210066
04/12/2013,90.07,-0.005756686
03/12/2013,90.59,-0.004955139
02/12/2013,91.04,-0.004055911
29/11/2013,91.41,0.008679942
27/11/2013,90.62,0.000220726
26/11/2013,90.6,0.009537613
25/11/2013,89.74,0.005587231
22/11/2013,89.24,0.000784709
21/11/2013,89.17,-0.001120825
20/11/2013,89.27,-0.007477296
19/11/2013,89.94,0.003899075
18/11/2013,89.59,-0.011100125
15/11/2013,90.59,0.003206371
14/11/2013,90.3,0.007335811
13/11/2013,89.64,0.004360228
12/11/2013,89.25,0.000224115
11/11/2013,89.23,0.007198321
08/11/2013,88.59,0.002599606
07/11/2013,88.36,-0.011701304
06/11/2013,89.4,0.005158697
05/11/2013,88.94,0.00067484
04/11/2013,88.88,0.011201113
01/11/2013,87.89,0.004790155
31/10/2013,87.47,-0.008537817
30/10/2013,88.22,-0.002038275
29/10/2013,88.4,0.003058973
28/10/2013,88.13,0.013939897
25/10/2013,86.91,0.014487128
24/10/2013,85.66,-0.048311969
23/10/2013,89.9,0.013212598
22/10/2013,88.72,0.004518761
21/10/2013,88.32,-0.007107832
18/10/2013,88.95,0.012102167
17/10/2013,87.88,0.001822324
16/10/2013,87.72,0.015393756
15/10/2013,86.38,-0.014595444
14/10/2013,87.65,0.011359195
11/10/2013,86.66,0.008459405
10/10/2013,85.93,0.01453548
09/10/2013,84.69,0.015708999
08/10/2013,83.37,0.001921
07/10/2013,83.21,-0.002160865
04/10/2013,83.39,0.008792589
03/10/2013,82.66,-0.004345734
02/10/2013,83.02,0.007374754
01/10/2013,82.41,0.00328168
30/09/2013,82.14,-0.001945999
27/09/2013,82.3,0.000729306
26/09/2013,82.24,0.0065878
25/09/2013,81.7,-0.025736937
24/09/2013,83.83,-0.001073025
23/09/2013,83.92,0.009698933
20/09/2013,83.11,-0.004801354
19/09/2013,83.51,-0.002989181
18/09/2013,83.76,0.007309361
17/09/2013,83.15,0.003976628
16/09/2013,82.82,0.011292695
13/09/2013,81.89,0.007969147
12/09/2013,81.24,0.004935844
11/09/2013,80.84,-0.000123693
10/09/2013,80.85,0.001857011
09/09/2013,80.7,0.010213067
06/09/2013,79.88,0.003511416
05/09/2013,79.6,0.002012073
04/09/2013,79.44,0.006694057
03/09/2013,78.91,-0.002278482
30/08/2013,79.09,0.002912316
29/08/2013,78.86,0.007765299
28/08/2013,78.25,-0.001149499
27/08/2013,78.34,-0.026701838
26/08/2013,80.46,-0.000745434
23/08/2013,80.52,-0.002852361
22/08/2013,80.75,0.01560094
21/08/2013,79.5,-0.004392853
20/08/2013,79.85,0.002758968
19/08/2013,79.63,0.001130866
16/08/2013,79.54,-0.002260456
15/08/2013,79.72,-0.014693329
14/08/2013,80.9,-0.01167448
13/08/2013,81.85,-0.005604303
12/08/2013,82.31,-0.003153811
09/08/2013,82.57,-0.008682076
08/08/2013,83.29,0.008439886
07/08/2013,82.59,-0.004952
06/08/2013,83,-0.01126165
05/08/2013,83.94,-0.000714541
02/08/2013,84,-0.005579643
01/08/2013,84.47,0.01178936
31/07/2013,83.48,0.005886964
30/07/2013,82.99,-0.007562607
29/07/2013,83.62,-0.010232094
26/07/2013,84.48,0.018879758
25/07/2013,82.9,-0.013657814
24/07/2013,84.04,-0.005458658
23/07/2013,84.5,-0.000236658
22/07/2013,84.52,-0.001773155
19/07/2013,84.67,0.029484398
18/07/2013,82.21,0.006467775
17/07/2013,81.68,0.019158858
16/07/2013,80.13,0.007138862
15/07/2013,79.56,0.007696713
