Date,Close,BLL
04/04/2014,55.18,-0.001991492
03/04/2014,55.29,-0.001987533
02/04/2014,55.4,0.006156094
01/04/2014,55.06,0.004550841
31/03/2014,54.81,0.015444322
28/03/2014,53.97,0.006879269
27/03/2014,53.6,0.005425137
26/03/2014,53.31,-0.004865279
25/03/2014,53.57,0.002616824
24/03/2014,53.43,-0.011352127
21/03/2014,54.04,0.005753008
20/03/2014,53.73,-0.004827339
19/03/2014,53.99,-0.011051872
18/03/2014,54.59,0.001099707
17/03/2014,54.53,0.009211561
14/03/2014,54.03,-0.009578264
13/03/2014,54.55,-0.000366569
12/03/2014,54.57,-0.009302393
11/03/2014,55.08,-0.008136741
10/03/2014,55.53,-0.010034128
07/03/2014,56.09,0.002499109
06/03/2014,55.95,0.003401668
05/03/2014,55.76,-0.004116337
04/03/2014,55.99,0.013485775
03/03/2014,55.24,-0.005776189
28/02/2014,55.56,0.004690609
27/02/2014,55.3,0.006349228
26/02/2014,54.95,0.004559971
25/02/2014,54.7,-0.003285274
24/02/2014,54.88,-0.000728597
21/02/2014,54.92,0.003100212
20/02/2014,54.75,-0.002918113
19/02/2014,54.91,0.00072873
18/02/2014,54.87,0.004383569
14/02/2014,54.63,0.002749521
13/02/2014,54.48,0.011631258
12/02/2014,53.85,-0.001669914
11/02/2014,53.94,0.012686737
10/02/2014,53.26,0.00867439
07/02/2014,52.8,0.015075183
06/02/2014,52.01,0.006945812
05/02/2014,51.65,0.008945995
04/02/2014,51.19,0.000586224
03/02/2014,51.16,-0.000586224
31/01/2014,51.19,-0.007977472
30/01/2014,51.6,0.050273822
29/01/2014,49.07,0.0164376
28/01/2014,48.27,-0.005371914
27/01/2014,48.53,-0.001441367
24/01/2014,48.6,-0.028599455
23/01/2014,50.01,-0.014688632
22/01/2014,50.75,0.003750868
21/01/2014,50.56,0.000593531
17/01/2014,50.53,-0.008473792
16/01/2014,50.96,-0.000392388
15/01/2014,50.98,-0.004501427
14/01/2014,51.21,0.008432249
13/01/2014,50.78,-0.022394082
10/01/2014,51.93,-0.00441926
09/01/2014,52.16,0.002303264
08/01/2014,52.04,0
07/01/2014,52.04,0.011207847
06/01/2014,51.46,-0.003685389
03/01/2014,51.65,0.004657489
02/01/2014,51.41,-0.004851082
31/12/2013,51.66,-0.002513293
30/12/2013,51.79,0.00406308
27/12/2013,51.58,0.001552193
26/12/2013,51.5,0.006428385
24/12/2013,51.17,0.005486982
23/12/2013,50.89,-0.0007857
20/12/2013,50.93,0.003540523
19/12/2013,50.75,-0.008437213
18/12/2013,51.18,0.020928701
17/12/2013,50.12,-0.008542815
16/12/2013,50.55,0.012741562
13/12/2013,49.91,0.001002305
12/12/2013,49.86,-0.000200541
11/12/2013,49.87,-0.01374113
10/12/2013,50.56,0.003963541
09/12/2013,50.36,0.006174703
06/12/2013,50.05,0.014490091
05/12/2013,49.33,-0.006063074
04/12/2013,49.63,-0.001811777
03/12/2013,49.72,-0.00960776
02/12/2013,50.2,0.004392101
29/11/2013,49.98,-0.008764996
27/11/2013,50.42,0.002979444
26/11/2013,50.27,0.001393451
25/11/2013,50.2,0.003792041
22/11/2013,50.01,-0.006179627
21/11/2013,50.32,0.009183534
20/11/2013,49.86,-0.012952258
19/11/2013,50.51,0.003768724
18/11/2013,50.32,0.002985374
15/11/2013,50.17,0.012636814
14/11/2013,49.54,0.001413999
13/11/2013,49.47,0.002631314
12/11/2013,49.34,-0.007672156
11/11/2013,49.72,0.004434597
08/11/2013,49.5,0.00283229
07/11/2013,49.36,-0.013682306
06/11/2013,50.04,0.009235159
05/11/2013,49.58,0.002018979
04/11/2013,49.48,0.012200233
01/11/2013,48.88,-0.000204562
31/10/2013,48.89,0.006978682
30/10/2013,48.55,-0.006364871
29/10/2013,48.86,0.001843696
28/10/2013,48.77,0.003491839
25/10/2013,48.6,0.015343448
24/10/2013,47.86,0.039421318
23/10/2013,46.01,-0.0123125
22/10/2013,46.58,0.011877907
21/10/2013,46.03,-0.003036879
18/10/2013,46.17,0.003036879
17/10/2013,46.03,0.017753891
16/10/2013,45.22,0.009777856
15/10/2013,44.78,-0.017487994
14/10/2013,45.57,0.001976936
11/10/2013,45.48,0.015957785
10/10/2013,44.76,0.002684565
09/10/2013,44.64,-0.000447928
08/10/2013,44.66,-0.005136806
07/10/2013,44.89,-0.006660771
04/10/2013,45.19,0.006438029
03/10/2013,44.9,-0.013054727
02/10/2013,45.49,0.001539985
01/10/2013,45.42,0.011960275
30/09/2013,44.88,-0.002670229
27/09/2013,45,-0.010390278
26/09/2013,45.47,0.001540663
25/09/2013,45.4,-0.000880669
24/09/2013,45.44,-0.004172621
23/09/2013,45.63,-0.003500332
20/09/2013,45.79,-0.00631329
19/09/2013,46.08,-0.008212711
18/09/2013,46.46,0.014744413
17/09/2013,45.78,0.002405687
16/09/2013,45.67,0.026851719
13/09/2013,44.46,-0.00404041
12/09/2013,44.64,-0.013351333
11/09/2013,45.24,-0.001546107
10/09/2013,45.31,0.006198824
09/09/2013,45.03,0.014089465
06/09/2013,44.4,-0.000450349
05/09/2013,44.42,-0.002248708
04/09/2013,44.52,0.005179608
03/09/2013,44.29,-0.002930901
30/08/2013,44.42,-0.00874151
29/08/2013,44.81,0.006492802
28/08/2013,44.52,-0.01227831
27/08/2013,45.07,-0.009715245
26/08/2013,45.51,-0.004166216
23/08/2013,45.7,-0.00719506
22/08/2013,46.03,0.012680537
21/08/2013,45.45,-0.015933983
20/08/2013,46.18,0.013955743
19/08/2013,45.54,0.011706373
16/08/2013,45.01,0.00803038
15/08/2013,44.65,-0.016657798
14/08/2013,45.4,0.002425847
13/08/2013,45.29,0.007313052
12/08/2013,44.96,0.00647107
09/08/2013,44.67,0.00246554
08/08/2013,44.56,0.003822377
07/08/2013,44.39,0.002481111
06/08/2013,44.28,-0.022332326
05/08/2013,45.28,-0.012509765
02/08/2013,45.85,0.006125593
01/08/2013,45.57,0.017264705
31/07/2013,44.79,-0.003565861
30/07/2013,44.95,0.001781341
29/07/2013,44.87,-0.001781341
26/07/2013,44.95,-0.006209823
25/07/2013,45.23,-0.005731938
24/07/2013,45.49,-0.003511085
23/07/2013,45.65,-0.000219034
22/07/2013,45.66,0.010789491
19/07/2013,45.17,0
18/07/2013,45.17,0.015843241
17/07/2013,44.46,-0.007171703
16/07/2013,44.78,-0.00734234
15/07/2013,45.11,-0.005967528
12/07/2013,45.38,0.003753178
11/07/2013,45.21,0.023725374
10/07/2013,44.15,0.010702596
09/07/2013,43.68,0.019184686
08/07/2013,42.85,0.007260835
05/07/2013,42.54,0.010872241
03/07/2013,42.08,-0.002373607
02/07/2013,42.18,0.007854378
01/07/2013,41.85,0.007434978
28/06/2013,41.54,-0.01434059
27/06/2013,42.14,0.002613759
26/06/2013,42.03,-0.002376427
25/06/2013,42.13,0.002376427
24/06/2013,42.03,-0.012296206
21/06/2013,42.55,-0.001878376
20/06/2013,42.63,-0.01374512
19/06/2013,43.22,0.000694364
18/06/2013,43.19,-0.001850567
17/06/2013,43.27,-0.001616442
14/06/2013,43.34,-0.001383445
13/06/2013,43.4,0.022368127
12/06/2013,42.44,-0.010780512
11/06/2013,42.9,-0.012278621
10/06/2013,43.43,-0.003447883
07/06/2013,43.58,0.017593046
06/06/2013,42.82,0.002338089
05/06/2013,42.72,-0.014870162
04/06/2013,43.36,0
03/06/2013,43.36,0.004623217
31/05/2013,43.16,-0.009225158
30/05/2013,43.56,-0.008685769
29/05/2013,43.94,-0.012664122
28/05/2013,44.5,0.00247497
24/05/2013,44.39,-0.019409421
23/05/2013,45.26,-0.008799001
22/05/2013,45.66,-0.013703314
21/05/2013,46.29,0.004981061
20/05/2013,46.06,0.006753103
17/05/2013,45.75,0.010768152
16/05/2013,45.26,-0.006825965
15/05/2013,45.57,-0.001973036
14/05/2013,45.66,0.001314925
13/05/2013,45.6,-0.008081293
10/05/2013,45.97,0.001741781
09/05/2013,45.89,0.010294692
08/05/2013,45.42,-0.001539985
07/05/2013,45.49,0.001980417
06/05/2013,45.4,0.00132246
03/05/2013,45.34,0.008638884
02/05/2013,44.95,0.005800998
01/05/2013,44.69,0.012836569
30/04/2013,44.12,-0.007676714
29/04/2013,44.46,0.009718689
26/04/2013,44.03,-0.023789273
25/04/2013,45.09,-0.048695112
24/04/2013,47.34,0.007633625
23/04/2013,46.98,0.005549641
22/04/2013,46.72,0.006226536
19/04/2013,46.43,0.010391953
18/04/2013,45.95,-0.013617416
17/04/2013,46.58,-0.007485865
16/04/2013,46.93,0.011573211
15/04/2013,46.39,-0.031822796
12/04/2013,47.89,-0.004998969
11/04/2013,48.13,-0.000830737
10/04/2013,48.17,0.01569234
09/04/2013,47.42,0.003168236
08/04/2013,47.27,0.005941032
05/04/2013,46.99,-0.003187084
04/04/2013,47.14,0.003612797
03/04/2013,46.97,-0.021900223
02/04/2013,48.01,0.014899027
01/04/2013,47.3,-0.005902209
28/03/2013,47.58,0.005056901
27/03/2013,47.34,0.018333492
26/03/2013,46.48,0.008860134
25/03/2013,46.07,0.00435067
22/03/2013,45.87,0.00043611
21/03/2013,45.85,-0.007821026
20/03/2013,46.21,0.004772243
19/03/2013,45.99,0.003921574
18/03/2013,45.81,-0.004356356
15/03/2013,46.01,-0.00021732
14/03/2013,46.02,0.00522877
13/03/2013,45.78,0.015186822
12/03/2013,45.09,0.001109509
11/03/2013,45.04,0.004227395
08/03/2013,44.85,0.00873368
07/03/2013,44.46,0.004282662
06/03/2013,44.27,0.001808728
05/03/2013,44.19,0.004536184
04/03/2013,43.99,-0.00521484
01/03/2013,44.22,-0.004287494
28/02/2013,44.41,0.002254284
27/02/2013,44.31,0.011348283
26/02/2013,43.81,0.008021127
25/02/2013,43.46,-0.020046229
22/02/2013,44.34,0.006334863
21/02/2013,44.06,-0.010610778
20/02/2013,44.53,-0.012497373
19/02/2013,45.09,-0.009930568
15/02/2013,45.54,0.007272759
14/02/2013,45.21,0.000221214
13/02/2013,45.2,0.006882034
12/02/2013,44.89,-0.005553719
11/02/2013,45.14,-0.004861888
08/02/2013,45.36,0.003312358
07/02/2013,45.21,-0.002650764
06/02/2013,45.33,-0.004621996
05/02/2013,45.54,0.0130403
04/02/2013,44.95,-0.014137633
01/02/2013,45.59,0.023749868
31/01/2013,44.52,-0.031179972
30/01/2013,45.93,-0.006294107
29/01/2013,46.22,0.002599655
28/01/2013,46.1,-0.01100216
25/01/2013,46.61,0.001932783
24/01/2013,46.52,0
23/01/2013,46.52,-0.00042983
22/01/2013,46.54,-0.002360769
18/01/2013,46.65,0.007315007
17/01/2013,46.31,0.017425838
16/01/2013,45.51,-0.005696773
15/01/2013,45.77,0.00394046
14/01/2013,45.59,0.004176289
