Date,Close,ARG
04/04/2014,106.4,-0.013721221
03/04/2014,107.87,0.002134473
02/04/2014,107.64,0.001301478
01/04/2014,107.5,0.00925197
31/03/2014,106.51,0.005743625
28/03/2014,105.9,0.001606578
27/03/2014,105.73,-0.008007202
26/03/2014,106.58,-0.003091482
25/03/2014,106.91,0.00112307
24/03/2014,106.79,-0.010525923
21/03/2014,107.92,0.004364589
20/03/2014,107.45,0.000931099
19/03/2014,107.35,-0.004090365
18/03/2014,107.79,0.010538685
17/03/2014,106.66,0.005358415
14/03/2014,106.09,-0.011806734
13/03/2014,107.35,0.001958134
12/03/2014,107.14,-0.00530604
11/03/2014,107.71,-0.005647379
10/03/2014,108.32,0.006855052
07/03/2014,107.58,-0.004821968
06/03/2014,108.1,0.006403437
05/03/2014,107.41,-0.000372335
04/03/2014,107.45,0.008129746
03/03/2014,106.58,-0.011381782
28/02/2014,107.8,0.00250778
27/02/2014,107.53,0.016975789
26/02/2014,105.72,0.000662346
25/02/2014,105.65,0.008841622
24/02/2014,104.72,-0.004573179
21/02/2014,105.2,-0.002089071
20/02/2014,105.42,0.000284616
19/02/2014,105.39,-0.010571123
18/02/2014,106.51,0.00093932
14/02/2014,106.41,0.00254058
13/02/2014,106.14,0.010989122
12/02/2014,104.98,-0.00076176
11/02/2014,105.06,0.006780982
10/02/2014,104.35,0.001534478
07/02/2014,104.19,0.014988435
06/02/2014,102.64,0.016107203
05/02/2014,101,0.000297074
04/02/2014,100.97,0.0079547
03/02/2014,100.17,-0.030187632
31/01/2014,103.24,-0.021085696
30/01/2014,105.44,-0.029253055
29/01/2014,108.57,0.010555654
28/01/2014,107.43,0.005413491
27/01/2014,106.85,-0.018269159
24/01/2014,108.82,-0.021455368
23/01/2014,111.18,-0.011713819
22/01/2014,112.49,0.002135802
21/01/2014,112.25,0.000891266
17/01/2014,112.15,0.0031257
16/01/2014,111.8,0.006460898
15/01/2014,111.08,-0.002427731
14/01/2014,111.35,0.012198028
13/01/2014,110,-0.003267384
10/01/2014,110.36,0.010566686
09/01/2014,109.2,-0.003017421
08/01/2014,109.53,-0.001733182
07/01/2014,109.72,0.005941788
06/01/2014,109.07,0.000825499
03/01/2014,108.98,-0.005764232
02/01/2014,109.61,-0.020230077
31/12/2013,111.85,-0.002321844
30/12/2013,112.11,0.007251274
27/12/2013,111.3,0.003420038
26/12/2013,110.92,0.000631285
24/12/2013,110.85,0.013258458
23/12/2013,109.39,-0.004651383
20/12/2013,109.9,-0.000454856
19/12/2013,109.95,0.007302634
18/12/2013,109.15,0.015232235
17/12/2013,107.5,-0.000186029
16/12/2013,107.52,0.011035369
13/12/2013,106.34,-0.012057911
12/12/2013,107.63,0.004096459
11/12/2013,107.19,-0.02123026
10/12/2013,109.49,-0.006735871
09/12/2013,110.23,0.004637426
06/12/2013,109.72,0.015615271
05/12/2013,108.02,0.002131505
04/12/2013,107.79,0.002880106
03/12/2013,107.48,0.002515256
02/12/2013,107.21,-0.013158085
29/11/2013,108.63,-0.010712917
27/11/2013,109.8,0.001640689
26/11/2013,109.62,0.00073006
25/11/2013,109.54,-0.004281491
22/11/2013,110.01,0.009590428
21/11/2013,108.96,0.00736923
20/11/2013,108.16,-0.010118751
19/11/2013,109.26,0.000824063
18/11/2013,109.17,-0.010478933
15/11/2013,110.32,0.005544713
14/11/2013,109.71,0.003012463
13/11/2013,109.38,0.007064574
12/11/2013,108.61,0.00092115
11/11/2013,108.51,0.00212187
08/11/2013,108.28,0.01133104
07/11/2013,107.06,-0.013913591
06/11/2013,108.56,0.002767274
05/11/2013,108.26,-0.000923276
04/11/2013,108.36,0.003235202
01/11/2013,108.01,-0.009766063
31/10/2013,109.07,0.00201909
30/10/2013,108.85,0.000367546
29/10/2013,108.81,0.008583744
28/10/2013,107.88,-0.011611963
25/10/2013,109.14,0.019242037
24/10/2013,107.06,0.000560591
23/10/2013,107,-0.047810601
22/10/2013,112.24,0.006435489
21/10/2013,111.52,-0.000537875
18/10/2013,111.58,0.006654102
17/10/2013,110.84,0.012163171
16/10/2013,109.5,0.006964838
15/10/2013,108.74,-0.006690827
14/10/2013,109.47,0.009361302
11/10/2013,108.45,-0.004966898
10/10/2013,108.99,0.026120368
09/10/2013,106.18,0.00367977
08/10/2013,105.79,-0.010811933
07/10/2013,106.94,-0.017427212
04/10/2013,108.82,0.002300015
03/10/2013,108.57,-0.006884235
02/10/2013,109.32,0.003023226
01/10/2013,108.99,0.027345454
30/09/2013,106.05,0.001132182
27/09/2013,105.93,-0.00724266
26/09/2013,106.7,0.011310205
25/09/2013,105.5,0.004369723
24/09/2013,105.04,0.006207345
23/09/2013,104.39,-0.009154255
20/09/2013,105.35,-0.015353761
19/09/2013,106.98,0.001215919
18/09/2013,106.85,0.02415462
17/09/2013,104.3,-0.01200815
16/09/2013,105.56,0.016235673
13/09/2013,103.86,-0.001347061
12/09/2013,104,-0.010045528
11/09/2013,105.05,0.000666571
10/09/2013,104.98,-0.004467051
09/09/2013,105.45,0.020309157
06/09/2013,103.33,-0.009151839
05/09/2013,104.28,-0.006404457
04/09/2013,104.95,0.016330814
03/09/2013,103.25,0.015617692
30/08/2013,101.65,0.00226523
29/08/2013,101.42,0.001381352
28/08/2013,101.28,0.001086688
27/08/2013,101.17,-0.01676099
26/08/2013,102.88,-0.004074116
23/08/2013,103.3,-0.001644339
22/08/2013,103.47,0.011860921
21/08/2013,102.25,-0.002051684
20/08/2013,102.46,0.013659132
19/08/2013,101.07,-0.005033319
16/08/2013,101.58,-0.001278961
15/08/2013,101.71,-0.013282742
14/08/2013,103.07,-0.012342264
13/08/2013,104.35,0.003359734
12/08/2013,104,-0.014509609
09/08/2013,105.52,-0.005198745
08/08/2013,106.07,0.003494361
07/08/2013,105.7,0.002747385
06/08/2013,105.41,-0.002936581
05/08/2013,105.72,-0.001039943
02/08/2013,105.83,0.006446131
01/08/2013,105.15,0.018622155
31/07/2013,103.21,0.015919082
30/07/2013,101.58,0.002858976
29/07/2013,101.29,0.009722299
26/07/2013,100.31,-0.017785273
25/07/2013,102.11,0.010138381
24/07/2013,101.08,0
23/07/2013,101.08,0.012343378
22/07/2013,99.84,-0.010561023
19/07/2013,100.9,0.001289235
18/07/2013,100.77,0.002682965
17/07/2013,100.5,-0.001392065
16/07/2013,100.64,0.00308504
15/07/2013,100.33,0.000398764
12/07/2013,100.29,0.006602665
11/07/2013,99.63,0.007657468
10/07/2013,98.87,-0.003634532
09/07/2013,99.23,0.013289569
08/07/2013,97.92,0.008306462
05/07/2013,97.11,0.008376038
03/07/2013,96.3,-0.00259269
02/07/2013,96.55,-0.009791369
01/07/2013,97.5,0.021145066
28/06/2013,95.46,-0.003868477
27/06/2013,95.83,-0.009451179
26/06/2013,96.74,0.012691318
25/06/2013,95.52,0.015402773
24/06/2013,94.06,-0.010259755
21/06/2013,95.03,-0.002522334
20/06/2013,95.27,-0.009194506
19/06/2013,96.15,0.00062422
18/06/2013,96.09,0.001562256
17/06/2013,95.94,0
14/06/2013,95.94,-0.003849159
13/06/2013,96.31,-0.005281429
12/06/2013,96.82,-0.020851123
11/06/2013,98.86,-0.018341782
10/06/2013,100.69,-0.004558074
07/06/2013,101.15,0.003863112
06/06/2013,100.76,-0.003170831
05/06/2013,101.08,-0.023852548
04/06/2013,103.52,0.001837081
