Date,Close,UTX
04/04/2014,118.18,-0.013364351
03/04/2014,119.77,-0.000834585
02/04/2014,119.87,0.016401394
01/04/2014,117.92,0.009200951
31/03/2014,116.84,0.017526889
28/03/2014,114.81,0.008836066
27/03/2014,113.8,-0.006830747
26/03/2014,114.58,-0.005396479
25/03/2014,115.2,0.01266669
24/03/2014,113.75,-0.007182932
21/03/2014,114.57,0.007007123
20/03/2014,113.77,-0.002107297
19/03/2014,114.01,-0.005859477
18/03/2014,114.68,0.002357153
17/03/2014,114.41,0.015946772
14/03/2014,112.6,-0.002572178
13/03/2014,112.89,-0.025537024
12/03/2014,115.81,0.001469
11/03/2014,115.64,-0.018251653
10/03/2014,117.77,-0.004574728
07/03/2014,118.31,0.004659643
06/03/2014,117.76,0.002976572
05/03/2014,117.41,-0.001531915
04/03/2014,117.59,0.007083452
03/03/2014,116.76,-0.002224314
28/02/2014,117.02,0.003509827
27/02/2014,116.61,0.004297016
26/02/2014,116.11,0.001896552
25/02/2014,115.89,-0.005163967
24/02/2014,116.49,0.009574404
21/02/2014,115.38,0.002864212
20/02/2014,115.05,0.008817552
19/02/2014,114.04,0.002634122
18/02/2014,113.74,-0.001142305
14/02/2014,113.87,0.005018279
13/02/2014,113.3,0.00460015
12/02/2014,112.78,-0.001594755
11/02/2014,112.96,0.012112724
10/02/2014,111.6,0.007826244
07/02/2014,110.73,0.011626982
06/02/2014,109.45,0.014170278
05/02/2014,107.91,-0.010967346
04/02/2014,109.1,-0.009668962
03/02/2014,110.16,-0.034440017
31/01/2014,114.02,-0.005771769
30/01/2014,114.68,0.012371292
29/01/2014,113.27,-0.005195274
28/01/2014,113.86,0.000614979
27/01/2014,113.79,0.017643084
24/01/2014,111.8,-0.026828295
23/01/2014,114.84,-0.011084284
22/01/2014,116.12,0.009778971
21/01/2014,114.99,0.006806309
17/01/2014,114.21,-8.75542E-05
16/01/2014,114.22,0.001314118
15/01/2014,114.07,0.012704185
14/01/2014,112.63,-0.001508229
13/01/2014,112.8,-0.009089768
10/01/2014,113.83,0.00105476
09/01/2014,113.71,0.000527797
08/01/2014,113.65,0.001232612
07/01/2014,113.51,0.006363256
06/01/2014,112.79,-0.000974789
03/01/2014,112.9,0.003638142
02/01/2014,112.49,-0.011578193
31/12/2013,113.8,0.009446943
30/12/2013,112.73,-0.00062076
27/12/2013,112.8,0.000975653
26/12/2013,112.69,0.01088519
24/12/2013,111.47,0.005848233
23/12/2013,110.82,0.001444826
20/12/2013,110.66,0.010537888
19/12/2013,109.5,-0.00282705
18/12/2013,109.81,0.020145096
