Date,Close,FTR
04/04/2014,5.55,-0.02491232
03/04/2014,5.69,0.017730961
02/04/2014,5.59,-0.001787311
01/04/2014,5.6,-0.019452426
31/03/2014,5.71,0.01588736
28/03/2014,5.62,0.014337163
27/03/2014,5.54,0.021898685
26/03/2014,5.42,0.001846723
25/03/2014,5.41,-0.003690041
24/03/2014,5.43,0.003690041
21/03/2014,5.41,0.007421184
20/03/2014,5.37,0.02641663
19/03/2014,5.23,0.009606222
18/03/2014,5.18,0.027398974
17/03/2014,5.04,0.009970172
14/03/2014,4.99,0.010070579
13/03/2014,4.94,0.026668247
12/03/2014,4.81,-0.018538121
11/03/2014,4.9,0.016461277
10/03/2014,4.82,-0.018500014
07/03/2014,4.91,0.008180005
06/03/2014,4.87,0.010320009
05/03/2014,4.82,-0.018500014
04/03/2014,4.91,0.002038737
03/03/2014,4.9,0.004089985
28/02/2014,4.88,-0.02229069
27/02/2014,4.99,0.010070579
26/02/2014,4.94,-0.02794593
25/02/2014,5.08,0.101431238
24/02/2014,4.59,-0.008676844
21/02/2014,4.63,-0.021368334
20/02/2014,4.73,0.010627093
19/02/2014,4.68,-0.002134473
18/02/2014,4.69,0.002134473
14/02/2014,4.68,0.015070253
13/02/2014,4.61,0.002171554
12/02/2014,4.6,0.004357305
11/02/2014,4.58,0.010977059
10/02/2014,4.53,-0.002205073
07/02/2014,4.54,-0.004395611
06/02/2014,4.56,0.022173857
05/02/2014,4.46,-0.015573173
04/02/2014,4.53,0.024582243
03/02/2014,4.42,-0.057158414
31/01/2014,4.68,-0.023232301
30/01/2014,4.79,-0.006243517
29/01/2014,4.82,-0.018500014
28/01/2014,4.91,0.006128722
27/01/2014,4.88,0.016529302
24/01/2014,4.8,-0.024692613
23/01/2014,4.92,-0.002030458
22/01/2014,4.93,0.01430055
21/01/2014,4.86,0.00619197
17/01/2014,4.83,-0.010298752
16/01/2014,4.88,0.024897552
15/01/2014,4.76,-0.002098637
14/01/2014,4.77,0.014783796
13/01/2014,4.7,-0.006362694
10/01/2014,4.73,0.012766131
09/01/2014,4.67,-0.016985546
08/01/2014,4.75,0.006335818
07/01/2014,4.72,-0.006335818
06/01/2014,4.75,0.010582109
