Date,Close,LLY
04/04/2014,59.01,0.000678081
03/04/2014,58.97,-0.00304775
02/04/2014,59.15,0.005594657
01/04/2014,58.82,-0.00067981
31/03/2014,58.86,0.021465579
28/03/2014,57.61,0.001389613
27/03/2014,57.53,0.00086949
26/03/2014,57.48,0.004708353
25/03/2014,57.21,-0.003315595
24/03/2014,57.4,-0.006598392
21/03/2014,57.78,-0.013579925
20/03/2014,58.57,-0.008161923
19/03/2014,59.05,-0.005909684
18/03/2014,59.4,0.008962603
17/03/2014,58.87,0
14/03/2014,58.87,0.009043659
13/03/2014,58.34,-0.014633577
12/03/2014,59.2,0.013092085
11/03/2014,58.43,-0.008011634
10/03/2014,58.9,0.005277057
07/03/2014,58.59,-0.002216351
06/03/2014,58.72,-0.012018765
05/03/2014,59.43,-0.007042283
04/03/2014,59.85,0.013795643
03/03/2014,59.03,-0.009777556
28/02/2014,59.61,0.00117499
27/02/2014,59.54,0.014890292
26/02/2014,58.66,0.003073248
25/02/2014,58.48,0.007724697
24/02/2014,58.03,0.001207001
21/02/2014,57.96,-0.001551591
20/02/2014,58.05,-0.000688824
19/02/2014,58.09,0.050125192
18/02/2014,55.25,0.019187432
14/02/2014,54.2,0.013373156
13/02/2014,53.48,0.002996257
12/02/2014,53.32,-0.022072676
11/02/2014,54.51,0.009955834
10/02/2014,53.97,0.014181988
07/02/2014,53.21,0.009251458
06/02/2014,52.72,0
05/02/2014,52.72,-0.007182038
04/02/2014,53.1,0.008320774
03/02/2014,52.66,-0.025313061
31/01/2014,54.01,0.013795894
30/01/2014,53.27,-0.011942669
29/01/2014,53.91,-0.005918271
28/01/2014,54.23,0.0018457
27/01/2014,54.13,0.000184758
24/01/2014,54.12,-0.018852942
23/01/2014,55.15,-0.008126456
22/01/2014,55.6,0.000179872
21/01/2014,55.59,0.007765276
17/01/2014,55.16,-0.002534856
16/01/2014,55.3,0.034774914
15/01/2014,53.41,0.018328335
14/01/2014,52.44,0.007080692
13/01/2014,52.07,0.002692309
10/01/2014,51.93,0.004825798
09/01/2014,51.68,0.011090687
08/01/2014,51.11,-0.001564028
07/01/2014,51.19,-0.006619962
06/01/2014,51.53,0.008379665
