Date,Close,CF
04/04/2014,255.62,-0.016297117
03/04/2014,259.82,-0.021399743
02/04/2014,265.44,-0.003535034
01/04/2014,266.38,0.021783716
31/03/2014,260.64,0.010994845
28/03/2014,257.79,0.012019657
27/03/2014,254.71,0.012285118
26/03/2014,251.6,-0.012324378
25/03/2014,254.72,0.007882746
24/03/2014,252.72,-0.005052111
21/03/2014,254,0.010090104
20/03/2014,251.45,-0.003374693
19/03/2014,252.3,-0.009310466
18/03/2014,254.66,0.014874869
17/03/2014,250.9,-0.00564367
14/03/2014,252.32,0.003135856
13/03/2014,251.53,-0.016599037
12/03/2014,255.74,-0.006936084
11/03/2014,257.52,-0.026668247
10/03/2014,264.48,0.012900459
07/03/2014,261.09,-0.011576231
06/03/2014,264.13,0.005124226
05/03/2014,262.78,0.022163277
04/03/2014,257.02,0.0044844
03/03/2014,255.87,0.01961505
28/02/2014,250.9,0.007400774
27/02/2014,249.05,0.019338571
26/02/2014,244.28,0.005541772
25/02/2014,242.93,0.000576464
24/02/2014,242.79,-0.000741107
21/02/2014,242.97,0.008722127
20/02/2014,240.86,0.013543093
19/02/2014,237.62,0.049297405
18/02/2014,226.19,-0.023852258
14/02/2014,231.65,0.001814726
13/02/2014,231.23,0.01108924
12/02/2014,228.68,-0.010353771
11/02/2014,231.06,-0.007888822
10/02/2014,232.89,-0.005011254
07/02/2014,234.06,0.017802578
06/02/2014,229.93,0.009526379
05/02/2014,227.75,0.012503753
04/02/2014,224.92,-0.005365272
03/02/2014,226.13,-0.020701411
31/01/2014,230.86,-0.007422786
30/01/2014,232.58,0.013026258
29/01/2014,229.57,-0.022994468
28/01/2014,234.91,0.013370673
27/01/2014,231.79,-0.00383233
24/01/2014,232.68,-0.029557133
23/01/2014,239.66,-0.011533005
22/01/2014,242.44,-0.016648304
21/01/2014,246.51,0.002843681
17/01/2014,245.81,-0.010682738
16/01/2014,248.45,8.05023E-05
15/01/2014,248.43,0.01121265
14/01/2014,245.66,0.004160724
13/01/2014,244.64,-0.006193989
10/01/2014,246.16,0.025384475
09/01/2014,239.99,0.027158252
08/01/2014,233.56,0.013361692
07/01/2014,230.46,0.006398977
06/01/2014,228.99,-0.013403805
03/01/2014,232.08,-0.006913311
02/01/2014,233.69,0.002785338
31/12/2013,233.04,0.005248904
30/12/2013,231.82,0.002980886
27/12/2013,231.13,-0.006554856
26/12/2013,232.65,0.004437081
24/12/2013,231.62,0.002161042
23/12/2013,231.12,0.013591427
20/12/2013,228,-8.77155E-05
19/12/2013,228.02,-0.000964362
18/12/2013,228.24,-0.006158704
17/12/2013,229.65,0.013237679
16/12/2013,226.63,0.004776868
13/12/2013,225.55,-0.000531891
12/12/2013,225.67,-0.010710374
11/12/2013,228.1,-0.007294679
10/12/2013,229.77,-0.007889758
09/12/2013,231.59,-0.006456078
