Date,Close,SYK
04/04/2014,82.6,-0.018353541
03/04/2014,84.13,0.022113628
02/04/2014,82.29,0.004994833
01/04/2014,81.88,0.005019906
31/03/2014,81.47,0.011480899
28/03/2014,80.54,0.008353642
27/03/2014,79.87,0.003511856
26/03/2014,79.59,-0.004387896
25/03/2014,79.94,0.007912129
24/03/2014,79.31,-0.01935504
21/03/2014,80.86,-0.005426752
20/03/2014,81.3,0.000984494
19/03/2014,81.22,-0.003809528
18/03/2014,81.53,0.009117855
17/03/2014,80.79,0.006457243
14/03/2014,80.27,-0.01176557
13/03/2014,81.22,-0.005035319
12/03/2014,81.63,0
11/03/2014,81.63,-0.002080402
10/03/2014,81.8,0.001957906
07/03/2014,81.64,0.008487658
06/03/2014,80.95,-0.001604641
05/03/2014,81.08,-0.009696302
04/03/2014,81.87,0.024356771
03/03/2014,79.9,-0.004246291
28/02/2014,80.24,-0.011523577
27/02/2014,81.17,0.000492914
26/02/2014,81.13,-0.005653899
25/02/2014,81.59,-0.012424033
24/02/2014,82.61,0.006192722
21/02/2014,82.1,-0.006676808
20/02/2014,82.65,0.012295486
19/02/2014,81.64,-0.011932444
18/02/2014,82.62,-0.008796827
14/02/2014,83.35,0.007224595
13/02/2014,82.75,0.021992334
12/02/2014,80.95,-0.002344378
11/02/2014,81.14,0.008913156
10/02/2014,80.42,0.012386771
07/02/2014,79.43,0.015478614
06/02/2014,78.21,0.015592095
05/02/2014,77,0.003252035
04/02/2014,76.75,0.003654879
03/02/2014,76.47,-0.01466892
31/01/2014,77.6,-0.006934662
30/01/2014,78.14,0.015996213
29/01/2014,76.9,-0.006997566
28/01/2014,77.44,0.014568416
27/01/2014,76.32,0.002492622
24/01/2014,76.13,-0.021441923
23/01/2014,77.78,-0.010232885
22/01/2014,78.58,-0.000127251
21/01/2014,78.59,0.004974817
17/01/2014,78.2,-0.006119346
16/01/2014,78.68,0.005480164
15/01/2014,78.25,0.001150822
14/01/2014,78.16,0.009383705
13/01/2014,77.43,-0.009255754
10/01/2014,78.15,0.014954514
09/01/2014,76.99,-0.000389585
08/01/2014,77.02,0.016230723
07/01/2014,75.78,0.005690481
06/01/2014,75.35,0.006791424
03/01/2014,74.84,0.00280993
02/01/2014,74.63,-0.006810469
31/12/2013,75.14,0.001598295
30/12/2013,75.02,-0.000533049
27/12/2013,75.06,-0.004386847
26/12/2013,75.39,0.005186527
24/12/2013,75,-0.000133324
23/12/2013,75.01,0.003873644
20/12/2013,74.72,0.011711785
19/12/2013,73.85,0.00121943
18/12/2013,73.76,0.029023425
17/12/2013,71.65,0.001256896
16/12/2013,71.56,0
13/12/2013,71.56,-0.003905165
12/12/2013,71.84,-0.01231253
11/12/2013,72.73,-0.022701988
10/12/2013,74.4,-0.002818605
09/12/2013,74.61,0.001207001
06/12/2013,74.52,0.018418722
05/12/2013,73.16,-0.00177535
04/12/2013,73.29,-0.008694526
03/12/2013,73.93,-0.004453749
02/12/2013,74.26,-0.002152274
29/11/2013,74.42,-0.001879447
27/11/2013,74.56,-0.003481059
26/11/2013,74.82,0.001069805
25/11/2013,74.74,0.006173688
22/11/2013,74.28,0.001886539
21/11/2013,74.14,0.004731977
20/11/2013,73.79,-0.004192311
19/11/2013,74.1,0.007994081
18/11/2013,73.51,-0.009477461
15/11/2013,74.21,-0.003631721
14/11/2013,74.48,0.008900935
13/11/2013,73.82,0.008024525
12/11/2013,73.23,-0.000955436
11/11/2013,73.3,-0.000409193
