Date,Close,ADSK
04/04/2014,47.32,-0.020705539
03/04/2014,48.31,-0.025948948
02/04/2014,49.58,-0.0098345
01/04/2014,50.07,0.01793499
31/03/2014,49.18,0.017227662
28/03/2014,48.34,0.001241979
27/03/2014,48.28,-0.008250872
26/03/2014,48.68,-0.022345029
25/03/2014,49.78,0.000803859
24/03/2014,49.74,-0.006013247
21/03/2014,50.04,-0.030892767
20/03/2014,51.61,0.010909908
19/03/2014,51.05,-0.026673402
18/03/2014,52.43,0.022178134
17/03/2014,51.28,0.015921712
14/03/2014,50.47,0
13/03/2014,50.47,-0.036381797
12/03/2014,52.34,-0.00893967
11/03/2014,52.81,0.004174579
10/03/2014,52.59,-0.01920963
07/03/2014,53.61,-0.002421985
06/03/2014,53.74,0.005598074
05/03/2014,53.44,-0.001122125
04/03/2014,53.5,0.034804312
03/03/2014,51.67,-0.015554802
28/02/2014,52.48,-0.03372369
27/02/2014,54.28,-0.008073438
26/02/2014,54.72,0.001097093
25/02/2014,54.66,0.003482089
24/02/2014,54.47,-0.016929502
21/02/2014,55.4,0.009066245
20/02/2014,54.9,0.007863257
19/02/2014,54.47,-0.000917515
18/02/2014,54.52,0.006440357
14/02/2014,54.17,0.000738689
13/02/2014,54.13,0.00667287
12/02/2014,53.77,0.015934352
11/02/2014,52.92,0.01216745
10/02/2014,52.28,0.005562496
07/02/2014,51.99,0.020010381
06/02/2014,50.96,0.019818326
05/02/2014,49.96,-0.003197445
04/02/2014,50.12,0.015887715
03/02/2014,49.33,-0.038183203
31/01/2014,51.25,-0.005254464
30/01/2014,51.52,0.036971691
29/01/2014,49.65,-0.031522087
28/01/2014,51.24,0.012766549
27/01/2014,50.59,0.002969417
24/01/2014,50.44,-0.027763269
23/01/2014,51.86,-0.009786128
22/01/2014,52.37,-0.017602423
21/01/2014,53.3,0.001126338
17/01/2014,53.24,-0.006739075
16/01/2014,53.6,0.005800372
15/01/2014,53.29,0.012272409
14/01/2014,52.64,0.020536179
13/01/2014,51.57,0.001940994
10/01/2014,51.47,0.007606083
09/01/2014,51.08,0.016581509
08/01/2014,50.24,0.011209085
07/01/2014,49.68,0.023008243
06/01/2014,48.55,-0.007183202
03/01/2014,48.9,-0.007131971
02/01/2014,49.25,-0.021493245
31/12/2013,50.32,0.014815086
30/12/2013,49.58,0.000807103
27/12/2013,49.54,0.00303245
26/12/2013,49.39,-0.006256959
24/12/2013,49.7,0.004840671
23/12/2013,49.46,0.005473911
20/12/2013,49.19,0.023448215
19/12/2013,48.05,-0.004568114
18/12/2013,48.27,0.016080539
17/12/2013,47.5,0.006547705
16/12/2013,47.19,-0.011587615
13/12/2013,47.74,0.047837539
12/12/2013,45.51,-0.00525971
11/12/2013,45.75,-0.022477713
10/12/2013,46.79,0.000213744
09/12/2013,46.78,0.00772536
06/12/2013,46.42,0.010394204
05/12/2013,45.94,-0.007589758
04/12/2013,46.29,0.0112971
03/12/2013,45.77,0.007676318
02/12/2013,45.42,0.003749867
29/11/2013,45.25,-0.004190104
27/11/2013,45.44,0.003527341
26/11/2013,45.28,-0.002426383
25/11/2013,45.39,-0.010301461
22/11/2013,45.86,0.052142922
21/11/2013,43.53,0.02771809
20/11/2013,42.34,0.001418105
19/11/2013,42.28,-0.023838474
18/11/2013,43.3,-0.018533879
15/11/2013,44.11,-0.000453309
14/11/2013,44.13,0.013459767
13/11/2013,43.54,-0.001606426
12/11/2013,43.61,0.00298542
11/11/2013,43.48,0.016697976
08/11/2013,42.76,0.023664143
07/11/2013,41.76,-0.006206752
06/11/2013,42.02,0.007404787
05/11/2013,41.71,-0.002155431
04/11/2013,41.8,-0.002150795
01/11/2013,41.89,0.048670811
31/10/2013,39.9,-0.003502631
30/10/2013,40.04,-0.006472515
29/10/2013,40.3,0.015756234
28/10/2013,39.67,-0.005028927
25/10/2013,39.87,-0.008242834
24/10/2013,40.2,0.01781952
23/10/2013,39.49,-0.012831979
22/10/2013,40,-0.000499875
21/10/2013,40.02,-0.006475739
18/10/2013,40.28,-0.003222211
17/10/2013,40.41,-0.009114486
16/10/2013,40.78,-0.002693769
15/10/2013,40.89,-0.002686532
14/10/2013,41,-0.001218769
11/10/2013,41.05,0.010776494
10/10/2013,40.61,0.016135388
09/10/2013,39.96,-0.010703276
08/10/2013,40.39,-0.031679062
07/10/2013,41.69,-0.019007462
04/10/2013,42.49,0.00803407
03/10/2013,42.15,-0.009445171
02/10/2013,42.55,0.049624825
01/10/2013,40.49,-0.016654806
30/09/2013,41.17,-0.014947241
27/09/2013,41.79,-0.003582949
26/09/2013,41.94,0.030749306
25/09/2013,40.67,-0.003681437
24/09/2013,40.82,0.001470949
23/09/2013,40.76,-0.005870858
20/09/2013,41,0.001464486
19/09/2013,40.94,0.007847024
18/09/2013,40.62,0.032781617
17/09/2013,39.31,0.00612403
16/09/2013,39.07,0.023043091
13/09/2013,38.18,0.00788855
12/09/2013,37.88,-0.01128769
11/09/2013,38.31,0.006021749
10/09/2013,38.08,0.010029115
09/09/2013,37.7,0.014965539
06/09/2013,37.14,0.002696146
05/09/2013,37.04,-0.002157498
04/09/2013,37.12,-0.00026936
03/09/2013,37.13,0.010287043
30/08/2013,36.75,-0.007320081
29/08/2013,37.02,0.003246756
28/08/2013,36.9,-0.002436055
27/08/2013,36.99,-0.024039619
26/08/2013,37.89,-0.026564062
23/08/2013,38.91,0.074127742
22/08/2013,36.13,0.014216267
21/08/2013,35.62,-0.00196326
20/08/2013,35.69,0.007876271
19/08/2013,35.41,-0.014856615
16/08/2013,35.94,-0.002778551
15/08/2013,36.04,-0.019236647
14/08/2013,36.74,0.001634432
13/08/2013,36.68,0.020102563
12/08/2013,35.95,0.002785517
09/08/2013,35.85,0.006997929
08/08/2013,35.6,0.020145383
07/08/2013,34.89,-0.000286574
06/08/2013,34.9,-0.010262348
05/08/2013,35.26,0.00654434
02/08/2013,35.03,0.021934501
01/08/2013,34.27,-0.032158958
31/07/2013,35.39,-0.033072349
30/07/2013,36.58,0.011548107
29/07/2013,36.16,-0.00963266
26/07/2013,36.51,-0.006007664
25/07/2013,36.73,-0.003533092
24/07/2013,36.86,0.010362787
23/07/2013,36.48,0.00027416
22/07/2013,36.47,-0.000548246
19/07/2013,36.49,-0.010359962
18/07/2013,36.87,0.012829438
17/07/2013,36.4,0.006615239
16/07/2013,36.16,0.00082999
15/07/2013,36.13,0.003326867
12/07/2013,36.01,0.017084858
11/07/2013,35.4,0.031274963
10/07/2013,34.31,-0.002328968
09/07/2013,34.39,0.000290824
08/07/2013,34.38,0.006419631
05/07/2013,34.16,0.019808482
03/07/2013,33.49,0
02/07/2013,33.49,-0.009213916
01/07/2013,33.8,-0.004133457
28/06/2013,33.94,-0.028465471
27/06/2013,34.92,0.008050647
26/06/2013,34.64,0.01747278
25/06/2013,34.04,0.016588058
24/06/2013,33.48,-0.021569753
21/06/2013,34.21,-0.010178945
20/06/2013,34.56,-0.027117403
19/06/2013,35.51,0.010758881
18/06/2013,35.13,-0.008503453
17/06/2013,35.43,0.009642729
14/06/2013,35.09,-0.022263848
13/06/2013,35.88,0.026833978
12/06/2013,34.93,-0.011386403
11/06/2013,35.33,-0.017952796
10/06/2013,35.97,-0.018728171
07/06/2013,36.65,0.018728171
06/06/2013,35.97,-0.004161471
05/06/2013,36.12,-0.015930027
04/06/2013,36.7,-0.018359047
03/06/2013,37.38,-0.009319732
31/05/2013,37.73,-0.004495578
30/05/2013,37.9,0.021334142
29/05/2013,37.1,0.000808952
28/05/2013,37.07,0.027069322
24/05/2013,36.08,-0.010477074
23/05/2013,36.46,-0.003012463
22/05/2013,36.57,-0.024579225
21/05/2013,37.48,0.013159852
20/05/2013,36.99,-0.003238869
17/05/2013,37.11,-0.069477798
16/05/2013,39.78,0.008837326
15/05/2013,39.43,0.000253646
14/05/2013,39.42,0.013279051
13/05/2013,38.9,-0.02161559
10/05/2013,39.75,0
09/05/2013,39.75,-0.005769488
08/05/2013,39.98,0.011066511
07/05/2013,39.54,-0.001516301
06/05/2013,39.6,0.002022245
03/05/2013,39.52,0.025369714
02/05/2013,38.53,0.008863457
01/05/2013,38.19,-0.030684372
30/04/2013,39.38,0.030160812
29/04/2013,38.21,0.023835874
26/04/2013,37.31,-0.014897855
25/04/2013,37.87,0.008219588
24/04/2013,37.56,0.008019289
23/04/2013,37.26,0.027756884
22/04/2013,36.24,0.003316753
19/04/2013,36.12,0.005274127
18/04/2013,35.93,-0.024468575
17/04/2013,36.82,-0.023353631
16/04/2013,37.69,0.02634561
15/04/2013,36.71,-0.043966053
12/04/2013,38.36,-0.016802774
11/04/2013,39.01,-0.016272925
10/04/2013,39.65,0.030472208
09/04/2013,38.46,0.002864212
08/04/2013,38.35,0
05/04/2013,38.35,-0.003384098
04/04/2013,38.48,-0.001558037
03/04/2013,38.54,-0.026374592
02/04/2013,39.57,-0.009056666
01/04/2013,39.93,-0.032523192
28/03/2013,41.25,0.008032172
27/03/2013,40.92,0.007850874
26/03/2013,40.6,0.005433454
25/03/2013,40.38,-0.024704693
22/03/2013,41.39,0.008735799
21/03/2013,41.03,-0.003163405
20/03/2013,41.16,0.036871676
19/03/2013,39.67,-0.009033938
18/03/2013,40.03,-0.00274417
15/03/2013,40.14,-0.013609019
14/03/2013,40.69,0.00566853
13/03/2013,40.46,0.003962363
12/03/2013,40.3,-0.001487727
11/03/2013,40.36,0.004718747
08/03/2013,40.17,0.003991026
07/03/2013,40.01,0.001751095
06/03/2013,39.94,0.015136515
05/03/2013,39.34,0.017695038
04/03/2013,38.65,0.033946162
01/03/2013,37.36,0.017279048
28/02/2013,36.72,0.014262447
27/02/2013,36.2,-0.01616695
26/02/2013,36.79,0.00463153
25/02/2013,36.62,-0.03462039
22/02/2013,37.91,-0.001581445
21/02/2013,37.97,-0.019818119
20/02/2013,38.73,-0.006434201
19/02/2013,38.98,-0.000512952
15/02/2013,39,0.008497541
14/02/2013,38.67,0.000258632
13/02/2013,38.66,-0.006445813
12/02/2013,38.91,0.000514139
11/02/2013,38.89,0
08/02/2013,38.89,0.006190373
07/02/2013,38.65,-0.00155119
06/02/2013,38.71,-0.009000961
05/02/2013,39.06,0.013661767
04/02/2013,38.53,-0.010584841
01/02/2013,38.94,0.00154202
31/01/2013,38.88,0.003865486
30/01/2013,38.73,-0.00335095
29/01/2013,38.86,0
28/01/2013,38.86,-0.003339759
25/01/2013,38.99,0.036301153
24/01/2013,37.6,0.019877098
23/01/2013,36.86,0.008445766
22/01/2013,36.55,-0.025659747
18/01/2013,37.5,0.00454364
17/01/2013,37.33,0.016203433
16/01/2013,36.73,0.000544662
15/01/2013,36.71,-0.003263533
14/01/2013,36.83,0.000814885
11/01/2013,36.8,0.007637789
10/01/2013,36.52,-0.004098926
09/01/2013,36.67,0.010141241
08/01/2013,36.3,0.005801923
07/01/2013,36.09,-0.007453451
04/01/2013,36.36,-0.00027499
03/01/2013,36.37,-0.015550716
02/01/2013,36.94,0.043996582
31/12/2012,35.35,0.010236086
28/12/2012,34.99,-0.003708462
27/12/2012,35.12,-0.000853849
26/12/2012,35.15,-0.014965689
24/12/2012,35.68,0.005339341
21/12/2012,35.49,-0.011486329
20/12/2012,35.9,-0.002781643
19/12/2012,36,0.007528266
18/12/2012,35.73,0.024077073
17/12/2012,34.88,0.0193956
14/12/2012,34.21,0.009693129
13/12/2012,33.88,-0.012028897
12/12/2012,34.29,-0.009577783
