Date,Close,UNP
04/04/2014,188.05,-0.005938197
03/04/2014,189.17,0.000475876
02/04/2014,189.08,0.003390552
01/04/2014,188.44,0.004147839
31/03/2014,187.66,0.015628255
28/03/2014,184.75,0.007824851
27/03/2014,183.31,-0.005440414
26/03/2014,184.31,-0.014382537
25/03/2014,186.98,-0.005440304
24/03/2014,188,0.003570195
21/03/2014,187.33,-0.007445655
20/03/2014,188.73,0.010011266
19/03/2014,186.85,-0.013555025
18/03/2014,189.4,0.010775909
17/03/2014,187.37,0.011972976
14/03/2014,185.14,-0.003881406
13/03/2014,185.86,-0.008998454
12/03/2014,187.54,0.009482807
11/03/2014,185.77,-0.002419421
10/03/2014,186.22,-0.007223339
07/03/2014,187.57,0.009158407
06/03/2014,185.86,0.008211824
05/03/2014,184.34,0.002661671
04/03/2014,183.85,0.023889291
03/03/2014,179.51,-0.00483482
28/02/2014,180.38,0.010477136
27/02/2014,178.5,0.007253131
26/02/2014,177.21,-0.008372952
25/02/2014,178.7,-0.005079411
24/02/2014,179.61,0.002731861
21/02/2014,179.12,0.007003026
20/02/2014,177.87,0.011307861
19/02/2014,175.87,-0.013722439
18/02/2014,178.3,-0.010266801
14/02/2014,180.14,0.008361719
13/02/2014,178.64,-0.001174858
12/02/2014,178.85,0.006450731
11/02/2014,177.7,0.016568695
10/02/2014,174.78,-0.012056561
07/02/2014,176.9,0.010113148
06/02/2014,175.12,0.014320877
05/02/2014,172.63,-0.003585062
04/02/2014,173.25,0.008753933
03/02/2014,171.74,-0.014451954
31/01/2014,174.24,-0.011356301
30/01/2014,176.23,0.024586223
29/01/2014,171.95,-0.004931119
28/01/2014,172.8,0.009243983
27/01/2014,171.21,-0.002508387
24/01/2014,171.64,-0.014345457
23/01/2014,174.12,0.032808967
22/01/2014,168.5,0.00225774
21/01/2014,168.12,0.001666865
17/01/2014,167.84,-0.000714711
16/01/2014,167.96,-0.012954545
15/01/2014,170.15,0.007847342
14/01/2014,168.82,0.004571504
13/01/2014,168.05,-0.013769682
10/01/2014,170.38,0.006536163
09/01/2014,169.27,0.01392051
08/01/2014,166.93,0.001858792
07/01/2014,166.62,0.00880107
06/01/2014,165.16,-0.010180504
03/01/2014,166.85,-0.001557073
02/01/2014,167.11,-0.005311701
31/12/2013,168,0.011675032
30/12/2013,166.05,0
27/12/2013,166.05,-0.002225766
26/12/2013,166.42,0.004697955
24/12/2013,165.64,0.004174361
23/12/2013,164.95,0.008217974
20/12/2013,163.6,-0.00359987
19/12/2013,164.19,0.003844398
18/12/2013,163.56,0.015589212
17/12/2013,161.03,-0.004152084
16/12/2013,161.7,0.005892403
13/12/2013,160.75,-0.001367649
12/12/2013,160.97,0.001678739
11/12/2013,160.7,-0.01273745
10/12/2013,162.76,-0.010633847
09/12/2013,164.5,0.000973118
06/12/2013,164.34,0.012059771
05/12/2013,162.37,0.006053886
04/12/2013,161.39,-0.006608022
03/12/2013,162.46,-0.006564642
02/12/2013,163.53,0.009153241
29/11/2013,162.04,-0.004924905
27/11/2013,162.84,0.007458351
26/11/2013,161.63,-0.002163098
25/11/2013,161.98,-0.000246914
