Date,Close,TWC
04/04/2014,139.17,-0.016462157
03/04/2014,141.48,0.006595067
02/04/2014,140.55,0.02157581
01/04/2014,137.55,0.002693555
31/03/2014,137.18,0.009595386
28/03/2014,135.87,0.013485682
27/03/2014,134.05,-0.006469146
26/03/2014,134.92,-0.005469745
25/03/2014,135.66,-0.012089388
24/03/2014,137.31,0.004818231
21/03/2014,136.65,-0.013519613
20/03/2014,138.51,0.014910994
19/03/2014,136.46,-0.000952207
18/03/2014,136.59,-0.012152233
17/03/2014,138.26,0.001737368
14/03/2014,138.02,0.003847415
13/03/2014,137.49,-0.007752258
12/03/2014,138.56,-0.006761156
11/03/2014,139.5,-0.002720311
10/03/2014,139.88,-0.002356387
07/03/2014,140.21,-0.010853095
06/03/2014,141.74,0.004525535
05/03/2014,141.1,0.007183786
04/03/2014,140.09,0.006157831
03/03/2014,139.23,-0.008012061
28/02/2014,140.35,0.012547216
27/02/2014,138.6,0.006079046
26/02/2014,137.76,-0.003839889
25/02/2014,138.29,-0.006271421
24/02/2014,139.16,-0.009867795
21/02/2014,140.54,-0.007937675
20/02/2014,141.66,0.00466993
19/02/2014,141,-0.027835911
18/02/2014,144.98,-0.00701082
14/02/2014,146,0.008184083
13/02/2014,144.81,0.067854096
12/02/2014,135.31,0.003034679
11/02/2014,134.9,-0.005912804
10/02/2014,135.7,0.002582551
07/02/2014,135.35,-0.002214023
06/02/2014,135.65,0.006137484
05/02/2014,134.82,-0.007978766
04/02/2014,135.9,0.014004897
03/02/2014,134.01,0.005537278
31/01/2014,133.27,-0.006954079
30/01/2014,134.2,0.015772013
29/01/2014,132.1,-0.012114064
28/01/2014,133.71,0.0019464
27/01/2014,133.45,-0.001871608
24/01/2014,133.7,-0.006337393
23/01/2014,134.55,-0.002449617
22/01/2014,134.88,0.002746949
21/01/2014,134.51,-0.00888171
17/01/2014,135.71,0.003099633
16/01/2014,135.29,0.001183345
15/01/2014,135.13,-0.006417608
14/01/2014,136,0.026827242
13/01/2014,132.4,-0.007224595
10/01/2014,133.36,0.001425731
09/01/2014,133.17,0.004666575
08/01/2014,132.55,-0.01757383
