Date,Close,PBCT
04/04/2014,14.66,-0.018919483
03/04/2014,14.94,0.006715942
02/04/2014,14.84,-0.005376357
01/04/2014,14.92,0.003356834
31/03/2014,14.87,0.015588252
28/03/2014,14.64,0.009608859
27/03/2014,14.5,-0.010291686
26/03/2014,14.65,-0.010862293
25/03/2014,14.81,-0.008739551
24/03/2014,14.94,-0.003341132
21/03/2014,14.99,0.006022099
20/03/2014,14.9,0.0121541
19/03/2014,14.72,0.015058464
18/03/2014,14.5,-0.004129393
17/03/2014,14.56,0.010355633
14/03/2014,14.41,-0.002772005
13/03/2014,14.45,-0.004143652
12/03/2014,14.51,0.006221935
11/03/2014,14.42,-0.006910878
10/03/2014,14.52,-0.003437611
07/03/2014,14.57,-0.002741606
06/03/2014,14.61,0.013090094
05/03/2014,14.42,0.00626089
04/03/2014,14.33,0.01476301
03/03/2014,14.12,-0.003534822
28/02/2014,14.17,-0.003522371
27/02/2014,14.22,0.005641764
26/02/2014,14.14,0.005673774
25/02/2014,14.06,-0.009908078
24/02/2014,14.2,0.009908078
21/02/2014,14.06,0.004991098
20/02/2014,13.99,0.005734783
19/02/2014,13.91,-0.018519048
18/02/2014,14.17,0.000705965
14/02/2014,14.16,0.011363759
13/02/2014,14,0.001429593
12/02/2014,13.98,-0.004994659
11/02/2014,14.05,0.002851035
10/02/2014,14.01,0.003575263
07/02/2014,13.96,0.004307257
06/02/2014,13.9,0.002881846
05/02/2014,13.86,-0.001441961
04/02/2014,13.88,0.002886005
03/02/2014,13.84,-0.026382992
31/01/2014,14.21,-0.01467019
30/01/2014,14.42,0.00486619
29/01/2014,14.35,-0.017271587
28/01/2014,14.6,0.008943988
27/01/2014,14.47,-0.007573186
24/01/2014,14.58,-0.011592356
23/01/2014,14.75,-0.024113693
22/01/2014,15.11,0.006640131
21/01/2014,15.01,0.01071678
17/01/2014,14.85,-0.034417692
16/01/2014,15.37,-0.006485107
15/01/2014,15.47,-0.005157974
14/01/2014,15.55,0.009043989
13/01/2014,15.41,0.001948685
10/01/2014,15.38,-0.013561719
09/01/2014,15.59,0.010964315
08/01/2014,15.42,0.017664836
07/01/2014,15.15,0.003305788
06/01/2014,15.1,0.002652521
03/01/2014,15.06,0.003325577
02/01/2014,15.01,-0.007301725
31/12/2013,15.12,0.00796817
30/12/2013,15,0.000666889
27/12/2013,14.99,0.002672012
26/12/2013,14.95,-0.002004678
24/12/2013,14.98,0.006697949
23/12/2013,14.88,0.016260521
20/12/2013,14.64,0.006166515
19/12/2013,14.55,-0.010936541
18/12/2013,14.71,0.00545332
17/12/2013,14.63,-0.002730377
