Date,Close,GNW
04/04/2014,17.82,-0.022747167
03/04/2014,18.23,0
02/04/2014,18.23,0.018826691
01/04/2014,17.89,0.008983777
31/03/2014,17.73,0.029186621
28/03/2014,17.22,0.008163311
27/03/2014,17.08,-0.011062704
26/03/2014,17.27,-0.027414624
25/03/2014,17.75,-0.010089772
24/03/2014,17.93,-0.00389647
21/03/2014,18,0.006688988
20/03/2014,17.88,0.018059182
19/03/2014,17.56,0.0259605
18/03/2014,17.11,0.011757925
17/03/2014,16.91,0.017298373
14/03/2014,16.62,-0.005998818
13/03/2014,16.72,-0.004773279
12/03/2014,16.8,0.002383791
11/03/2014,16.76,-0.014806311
10/03/2014,17.01,0.003533573
07/03/2014,16.95,0.011869576
06/03/2014,16.75,0.021726866
05/03/2014,16.39,0.038561992
04/03/2014,15.77,0.031564617
03/03/2014,15.28,-0.016872561
28/02/2014,15.54,0.012953549
27/02/2014,15.34,0.00522877
26/02/2014,15.26,0.007234494
25/02/2014,15.15,-0.013114942
24/02/2014,15.35,0.009162368
21/02/2014,15.21,-0.001314061
20/02/2014,15.23,0.001314061
19/02/2014,15.21,-0.030432909
18/02/2014,15.68,0.007682496
14/02/2014,15.56,0.003863495
13/02/2014,15.5,0.004526358
12/02/2014,15.43,-0.006459971
11/02/2014,15.53,0.014920809
10/02/2014,15.3,-0.012987196
07/02/2014,15.5,0.020202707
06/02/2014,15.19,0.017264705
05/02/2014,14.93,0.027157134
04/02/2014,14.53,0.01595594
03/02/2014,14.3,-0.030983546
31/01/2014,14.75,-0.013468217
30/01/2014,14.95,0.005365539
29/01/2014,14.87,-0.022607346
28/01/2014,15.21,0.017241806
27/01/2014,14.95,-0.005336904
24/01/2014,15.03,-0.05185867
23/01/2014,15.83,-0.01566939
22/01/2014,16.08,0.003738322
21/01/2014,16.02,-0.004360019
17/01/2014,16.09,-0.019692944
16/01/2014,16.41,-0.001218027
15/01/2014,16.43,0.000608828
14/01/2014,16.42,0.011022769
13/01/2014,16.24,-0.025533302
10/01/2014,16.66,-0.002996706
09/01/2014,16.71,0.022391253
08/01/2014,16.34,0.016039826
07/01/2014,16.08,0.018832948
06/01/2014,15.78,0.025025368
03/01/2014,15.39,-0.007122076
02/01/2014,15.5,-0.001933613
31/12/2013,15.53,0.006459971
30/12/2013,15.43,-0.005171311
27/12/2013,15.51,-0.003861009
26/12/2013,15.57,-0.003846159
24/12/2013,15.63,0.002562461
23/12/2013,15.59,0.012262174
20/12/2013,15.4,0.007822726
19/12/2013,15.28,0.009204536
18/12/2013,15.14,0.017322219
17/12/2013,14.88,-0.010695289
16/12/2013,15.04,0.005333346
13/12/2013,14.96,0.006706933
12/12/2013,14.86,-0.016021705
11/12/2013,15.1,-0.012504276
10/12/2013,15.29,0.007220248
09/12/2013,15.18,-0.001316656
06/12/2013,15.2,0.007926065
05/12/2013,15.08,-0.01121014
04/12/2013,15.25,0.007239255
03/12/2013,15.14,-0.017027261
02/12/2013,15.4,0.019010733
29/11/2013,15.11,-0.00659633
27/11/2013,15.21,0.004612858
26/11/2013,15.14,-0.009204536
25/11/2013,15.28,0
22/11/2013,15.28,0.005249356
21/11/2013,15.2,0.02396919
20/11/2013,14.84,0.004728141
19/11/2013,14.77,0.017071087
18/11/2013,14.52,-0.001376463
15/11/2013,14.54,-0.002061148
14/11/2013,14.57,0.013126268
13/11/2013,14.38,0.016123728
12/11/2013,14.15,-0.018901508
11/11/2013,14.42,0.00626089
08/11/2013,14.33,0.039862929
07/11/2013,13.77,-0.034264594
06/11/2013,14.25,-0.023579456
05/11/2013,14.59,0.004809353
04/11/2013,14.52,0.004140793
01/11/2013,14.46,-0.004829261
31/10/2013,14.53,0.012465535
30/10/2013,14.35,-0.015214678
29/10/2013,14.57,0.013126268
28/10/2013,14.38,0.009081446
25/10/2013,14.25,0.000702001
24/10/2013,14.24,0.018427169
23/10/2013,13.98,-0.00570615
22/10/2013,14.06,0
21/10/2013,14.06,0.01216473
18/10/2013,13.89,0.018162504
