Date,Close,DLPH
04/04/2014,67.81,-0.027920965
03/04/2014,69.73,-0.005434796
02/04/2014,70.11,0.008738685
01/04/2014,69.5,0.023879993
31/03/2014,67.86,0.016642286
28/03/2014,66.74,0.016162273
27/03/2014,65.67,0.004425799
26/03/2014,65.38,-0.000764468
25/03/2014,65.43,-0.012454596
24/03/2014,66.25,-0.005869533
21/03/2014,66.64,-0.012970737
20/03/2014,67.51,0.005346812
19/03/2014,67.15,-0.005346812
18/03/2014,67.51,0.014773081
17/03/2014,66.52,0.023577029
14/03/2014,64.97,-0.012086126
13/03/2014,65.76,-0.021214969
12/03/2014,67.17,-0.0088929
11/03/2014,67.77,0.013518738
10/03/2014,66.86,0.003445954
07/03/2014,66.63,-0.0049405
06/03/2014,66.96,0.017323624
05/03/2014,65.81,-0.015230634
04/03/2014,66.82,0.008265131
03/03/2014,66.27,-0.00451672
28/02/2014,66.57,-0.000600691
27/02/2014,66.61,-0.003147721
26/02/2014,66.82,0.005703152
25/02/2014,66.44,-0.001053028
24/02/2014,66.51,0.009062137
21/02/2014,65.91,0.003039054
20/02/2014,65.71,0.008558817
19/02/2014,65.15,0.002612773
18/02/2014,64.98,0.013323202
14/02/2014,64.12,-0.000779484
13/02/2014,64.17,0.001247466
12/02/2014,64.09,0.017629923
11/02/2014,62.97,0.006212684
10/02/2014,62.58,0.002720219
07/02/2014,62.41,0.013875666
06/02/2014,61.55,0.009467913
05/02/2014,60.97,0.015870725
04/02/2014,60.01,0.014772805
03/02/2014,59.13,-0.029330548
31/01/2014,60.89,-0.001476984
30/01/2014,60.98,0.019038734
29/01/2014,59.83,-0.003503799
28/01/2014,60.04,0.007523232
27/01/2014,59.59,-0.005522564
24/01/2014,59.92,-0.038951087
23/01/2014,62.3,-0.015133702
22/01/2014,63.25,0.003960401
21/01/2014,63,0.004773279
17/01/2014,62.7,0.007684956
16/01/2014,62.22,-0.003049027
15/01/2014,62.41,0.006913767
14/01/2014,61.98,0.0291394
13/01/2014,60.2,-0.020876899
10/01/2014,61.47,0.013924379
09/01/2014,60.62,-0.002306806
08/01/2014,60.76,0.006936444
07/01/2014,60.34,0.017723253
06/01/2014,59.28,0.000168705
03/01/2014,59.27,-0.002527594
02/01/2014,59.42,-0.011878015
31/12/2013,60.13,0.004834551
30/12/2013,59.84,0.000167126
27/12/2013,59.83,-0.003670341
26/12/2013,60.05,0.000999667
24/12/2013,59.99,0.009210481
23/12/2013,59.44,0.018508042
20/12/2013,58.35,-0.010569481
19/12/2013,58.97,-0.019480045
18/12/2013,60.13,0.005336014
17/12/2013,59.81,0.003014068
16/12/2013,59.63,0.017424107
13/12/2013,58.6,0.012535581
12/12/2013,57.87,0.003808869
11/12/2013,57.65,-0.02517903
10/12/2013,59.12,0.014996873
09/12/2013,58.24,-0.003428183
06/12/2013,58.44,0.016563526
05/12/2013,57.48,0.000173989
04/12/2013,57.47,0.004359585
03/12/2013,57.22,-0.009912263
02/12/2013,57.79,-0.01306534
29/11/2013,58.55,0.008920972
27/11/2013,58.03,0.005702945
26/11/2013,57.7,0.000693481
25/11/2013,57.66,-0.00380821
22/11/2013,57.88,0.000345602
21/11/2013,57.86,0.016730958
20/11/2013,56.9,0.012556536
19/11/2013,56.19,-0.025998303
18/11/2013,57.67,-0.007084263
15/11/2013,58.08,0.019647681
14/11/2013,56.95,0.019146126
13/11/2013,55.87,0.012608236
12/11/2013,55.17,0.006729133
11/11/2013,54.8,-0.011250345
08/11/2013,55.42,0.025586191
07/11/2013,54.02,-0.033494212
06/11/2013,55.86,0.015333574
05/11/2013,55.01,-0.052928024
04/11/2013,58,0.008484165
01/11/2013,57.51,0.005404947
31/10/2013,57.2,0.011075089
30/10/2013,56.57,-0.000353482
29/10/2013,56.59,-0.007569792
28/10/2013,57.02,-0.017558035
25/10/2013,58.03,-0.003612286
24/10/2013,58.24,0.005855019
23/10/2013,57.9,-0.025745178
22/10/2013,59.41,-0.001345669
21/10/2013,59.49,-0.008536331
18/10/2013,60,-0.000666445
17/10/2013,60.04,0.01645713
16/10/2013,59.06,0.037258535
15/10/2013,56.9,-0.008400469
14/10/2013,57.38,0.001220682
11/10/2013,57.31,-0.007128605
10/10/2013,57.72,0.031860479
09/10/2013,55.91,0.000536721
08/10/2013,55.88,-0.033263075
07/10/2013,57.77,-0.0041458
04/10/2013,58.01,0.008135051
03/10/2013,57.54,-0.011576803
02/10/2013,58.21,-0.010594768
01/10/2013,58.83,0.006993632
30/09/2013,58.42,-0.00034229
27/09/2013,58.44,0.001198528
26/09/2013,58.37,0.012064952
25/09/2013,57.67,-0.005361016
24/09/2013,57.98,0.011622995
23/09/2013,57.31,-0.011967882
20/09/2013,58,-0.001894756
19/09/2013,58.11,0.01299057
18/09/2013,57.36,0.004893404
17/09/2013,57.08,0.001051709
16/09/2013,57.02,0.002106742
13/09/2013,56.9,0.00599332
12/09/2013,56.56,-0.019088225
11/09/2013,57.65,0.004345943
10/09/2013,57.4,0.015095951
09/09/2013,56.54,0.000707714
06/09/2013,56.5,-0.017022434
05/09/2013,57.47,0.013841658
04/09/2013,56.68,0.012426931
03/09/2013,55.98,0.017297729
30/08/2013,55.02,-0.008866429
29/08/2013,55.51,0.003609461
28/08/2013,55.31,0.025266815
27/08/2013,53.93,-0.031215458
26/08/2013,55.64,0.001438849
23/08/2013,55.56,0.015234245
22/08/2013,54.72,0.005313801
21/08/2013,54.43,-0.005496533
20/08/2013,54.73,0.000365497
19/08/2013,54.71,-0.00455914
16/08/2013,54.96,0.013924739
15/08/2013,54.2,-0.024602608
14/08/2013,55.55,-0.02225281
13/08/2013,56.8,0.01991531
12/08/2013,55.68,0.002157498
09/08/2013,55.56,0.000180002
08/08/2013,55.55,0.011588035
07/08/2013,54.91,-0.013027143
06/08/2013,55.63,-0.005020631
05/08/2013,55.91,0.00107373
02/08/2013,55.85,0.007548562
01/08/2013,55.43,0.031335592
31/07/2013,53.72,-0.029349135
30/07/2013,55.32,0.002171554
29/07/2013,55.2,-0.009376196
26/07/2013,55.72,0.003415734
25/07/2013,55.53,0.000720591
24/07/2013,55.49,0.015619642
23/07/2013,54.63,-0.008566534
22/07/2013,55.1,0.002726035
19/07/2013,54.95,-0.002544531
18/07/2013,55.09,0.011869034
17/07/2013,54.44,0.008115131
16/07/2013,54,-0.018349139
15/07/2013,55,0.001273538
12/07/2013,54.93,0.002917049
11/07/2013,54.77,0.018240948
10/07/2013,53.78,0
09/07/2013,53.78,0.002793038
08/07/2013,53.63,0.022820415
05/07/2013,52.42,0.015379004
03/07/2013,51.62,-0.005987464
02/07/2013,51.93,-0.000577534
01/07/2013,51.96,0.024745539
28/06/2013,50.69,-0.00609698
27/06/2013,51,0.007874056
26/06/2013,50.6,0.031927217
25/06/2013,49.01,0.017287938
24/06/2013,48.17,-0.031067285
21/06/2013,49.69,-0.011206841
20/06/2013,50.25,-0.035962445
19/06/2013,52.09,0.003076334
18/06/2013,51.93,0.013961832
17/06/2013,51.21,-0.000195255
14/06/2013,51.22,0.003128669
13/06/2013,51.06,0.020978406
12/06/2013,50,0.002002003
11/06/2013,49.9,-0.015115642
10/06/2013,50.66,0.005145469
07/06/2013,50.4,0.020243201
06/06/2013,49.39,0.026050083
05/06/2013,48.12,-0.013212414
04/06/2013,48.76,-0.002867092
03/06/2013,48.9,0.001842187
31/05/2013,48.81,-0.009583109
30/05/2013,49.28,-0.005463942
29/05/2013,49.55,-0.005434249
28/05/2013,49.82,0.036174374
24/05/2013,48.05,-0.006224086
23/05/2013,48.35,-0.008649148
22/05/2013,48.77,-0.005724816
21/05/2013,49.05,0.005314812
20/05/2013,48.79,0.00554929
17/05/2013,48.52,0.031828482
16/05/2013,47,0.010050336
15/05/2013,46.53,0.004307566
14/05/2013,46.33,0.016759561
13/05/2013,45.56,0.003518034
10/05/2013,45.4,0.003530454
09/05/2013,45.24,-0.018831299
08/05/2013,46.1,-0.00454497
07/05/2013,46.31,0.000864118
06/05/2013,46.27,0.011520614
03/05/2013,45.74,0.005260863
02/05/2013,45.5,0.000659558
01/05/2013,45.47,-0.016143457
30/04/2013,46.21,0.01922716
29/04/2013,45.33,0.013995563
26/04/2013,44.7,0.000447527
25/04/2013,44.68,0.020120493
24/04/2013,43.79,0.020067563
23/04/2013,42.92,0.016680758
22/04/2013,42.21,0.00880434
19/04/2013,41.84,0.02174524
18/04/2013,40.94,-0.022462
17/04/2013,41.87,-0.039340123
16/04/2013,43.55,0.028649916
15/04/2013,42.32,-0.058955265
12/04/2013,44.89,0.014359681
11/04/2013,44.25,0.01388121
10/04/2013,43.64,0.026470085
09/04/2013,42.5,0.000235322
08/04/2013,42.49,-0.005866496
05/04/2013,42.74,-0.012093171
04/04/2013,43.26,-0.002308937
03/04/2013,43.36,-0.017149157
02/04/2013,44.11,0.00249688
01/04/2013,44,-0.009049836
28/03/2013,44.4,-0.002699057
27/03/2013,44.52,0.001573564
26/03/2013,44.45,0.035027044
25/03/2013,42.92,-0.006734032
22/03/2013,43.21,-0.003926555
21/03/2013,43.38,0.000922509
20/03/2013,43.34,0.005321007
19/03/2013,43.11,0.007450558
18/03/2013,42.79,-0.011386204
