Date,Close,ESS
04/04/2014,170.12,0.007552549
03/04/2014,168.84,-0.020285623
02/04/2014,172.3,-0.009818156
01/04/2014,174,0.022962788
31/03/2014,170.05,0.013915843
28/03/2014,167.7,0.000536817
27/03/2014,167.61,0.013817353
26/03/2014,165.31,-0.024676383
25/03/2014,169.44,0.019306999
24/03/2014,166.2,0.000120344
21/03/2014,166.18,0.006762494
20/03/2014,165.06,0.011639021
19/03/2014,163.15,-0.015508901
18/03/2014,165.7,0.003809298
17/03/2014,165.07,0.000909119
14/03/2014,164.92,0.012262607
13/03/2014,162.91,-0.014927014
12/03/2014,165.36,-0.010287971
11/03/2014,167.07,0.003357519
10/03/2014,166.51,-0.009563159
07/03/2014,168.11,-0.007112827
06/03/2014,169.31,-0.007297155
05/03/2014,170.55,-0.007302501
04/03/2014,171.8,0.01903924
03/03/2014,168.56,0.00780207
28/02/2014,167.25,0.012998919
27/02/2014,165.09,-0.007723444
26/02/2014,166.37,-0.003240521
25/02/2014,166.91,0.003180416
24/02/2014,166.38,0.004035056
21/02/2014,165.71,0.00903228
20/02/2014,164.22,-0.008790866
19/02/2014,165.67,-0.005237663
18/02/2014,166.54,0.002103809
14/02/2014,166.19,-0.002343962
13/02/2014,166.58,-0.000600132
12/02/2014,166.68,-0.003892104
11/02/2014,167.33,0.003232374
10/02/2014,166.79,0.008429215
07/02/2014,165.39,0.010881897
06/02/2014,163.6,0.014964716
05/02/2014,161.17,0.010980209
04/02/2014,159.41,0.017848575
03/02/2014,156.59,-0.011303143
31/01/2014,158.37,0.012709074
30/01/2014,156.37,0.022179306
29/01/2014,152.94,-0.00117624
28/01/2014,153.12,0.010768325
27/01/2014,151.48,-0.007235446
24/01/2014,152.58,-0.013410786
23/01/2014,154.64,-0.003292556
22/01/2014,155.15,0.004521972
21/01/2014,154.45,0.00806089
17/01/2014,153.21,-0.003518377
16/01/2014,153.75,0.005412998
15/01/2014,152.92,0.00222586
14/01/2014,152.58,0.007961878
13/01/2014,151.37,0.002050062
10/01/2014,151.06,0.010782134
09/01/2014,149.44,0.000870293
08/01/2014,149.31,-0.006542079
07/01/2014,150.29,0.008821818
06/01/2014,148.97,0.005249709
03/01/2014,148.19,0.012835926
02/01/2014,146.3,0.019254589
31/12/2013,143.51,-0.001810081
30/12/2013,143.77,-0.008243042
27/12/2013,144.96,-0.002273903
26/12/2013,145.29,0.006213773
24/12/2013,144.39,0.001039393
23/12/2013,144.24,0.014806808
20/12/2013,142.12,-0.004633213
19/12/2013,142.78,-0.033878205
18/12/2013,147.7,0.014938377
17/12/2013,145.51,0.005443972
16/12/2013,144.72,-0.002001864
13/12/2013,145.01,-0.008651523
12/12/2013,146.27,-0.015803903
11/12/2013,148.6,-0.02675856
10/12/2013,152.63,-0.010622799
09/12/2013,154.26,0.001816767
06/12/2013,153.98,-0.001557431
05/12/2013,154.22,0.023420889
04/12/2013,150.65,-0.022188123
03/12/2013,154.03,0.011426457
02/12/2013,152.28,0.003091193
29/11/2013,151.81,-0.008134926
27/11/2013,153.05,0.006752574
26/11/2013,152.02,-0.003086929
25/11/2013,152.49,-0.004579961
22/11/2013,153.19,-0.008773981
21/11/2013,154.54,0.009231035
20/11/2013,153.12,-0.011945091
19/11/2013,154.96,-0.019111508
18/11/2013,157.95,-0.009075502
15/11/2013,159.39,-0.003507237
14/11/2013,159.95,-0.009086445
13/11/2013,161.41,0.028721534
12/11/2013,156.84,0.002170167
11/11/2013,156.5,0.009695411
08/11/2013,154.99,-0.014221892
07/11/2013,157.21,-0.015088194
06/11/2013,159.6,-0.004064411
05/11/2013,160.25,-0.023131332
04/11/2013,164,0.000670957
01/11/2013,163.89,0.017791106
31/10/2013,161,0.002363038
30/10/2013,160.62,-0.010035394
29/10/2013,162.24,-0.002277975
28/10/2013,162.61,-0.003683019
25/10/2013,163.21,0.020301496
24/10/2013,159.93,-0.008405765
23/10/2013,161.28,0.006032544
22/10/2013,160.31,0.002623362
21/10/2013,159.89,-0.001000188
18/10/2013,160.05,-0.003990777
17/10/2013,160.69,0.014164188
16/10/2013,158.43,0.017767207
15/10/2013,155.64,0.003733509
14/10/2013,155.06,0.001032391
11/10/2013,154.9,0.004010614
10/10/2013,154.28,0.033615503
09/10/2013,149.18,-0.004347688
08/10/2013,149.83,-0.002865809
07/10/2013,150.26,0.007682838
04/10/2013,149.11,0.005379611
03/10/2013,148.31,-0.021082908
02/10/2013,151.47,0.008952611
01/10/2013,150.12,0.016251785
30/09/2013,147.7,-0.012715029
27/09/2013,149.59,-0.00166984
26/09/2013,149.84,-0.003397851
25/09/2013,150.35,0.01130409
24/09/2013,148.66,-0.013961016
23/09/2013,150.75,-0.011476185
20/09/2013,152.49,-0.02108893
19/09/2013,155.74,-0.009203695
18/09/2013,157.18,0.038127025
