Date,Close,VIAB
04/04/2014,84.74,-0.028157765
03/04/2014,87.16,-0.002406464
02/04/2014,87.37,0.007467437
01/04/2014,86.72,0.020150935
31/03/2014,84.99,0.003536072
28/03/2014,84.69,0.008180732
27/03/2014,84,-0.007944549
26/03/2014,84.67,-0.008818918
25/03/2014,85.42,-0.005137797
24/03/2014,85.86,-0.013534824
21/03/2014,87.03,-0.005614452
20/03/2014,87.52,-0.003763476
19/03/2014,87.85,-0.006354271
18/03/2014,88.41,0.00192471
17/03/2014,88.24,0.013233139
14/03/2014,87.08,-0.000229647
13/03/2014,87.1,-0.012550079
12/03/2014,88.2,-0.000226732
11/03/2014,88.22,-0.007678448
10/03/2014,88.9,0.007111843
07/03/2014,88.27,0.003404452
06/03/2014,87.97,0.009594591
05/03/2014,87.13,0.002183031
04/03/2014,86.94,0.012034397
03/03/2014,85.9,-0.021080087
28/02/2014,87.73,0.009966289
27/02/2014,86.86,0.008323747
26/02/2014,86.14,-0.003360958
25/02/2014,86.43,-0.006343369
24/02/2014,86.98,0.00138058
21/02/2014,86.86,0.004037613
20/02/2014,86.51,0.005680187
19/02/2014,86.02,0.003143741
18/02/2014,85.75,0.003153656
14/02/2014,85.48,0.009048772
13/02/2014,84.71,0.005207729
12/02/2014,84.27,0.013139224
11/02/2014,83.17,0.007240287
10/02/2014,82.57,0.007903257
07/02/2014,81.92,0.014632908
06/02/2014,80.73,0.009708814
05/02/2014,79.95,0.004136122
04/02/2014,79.62,0.010352321
03/02/2014,78.8,-0.04102502
31/01/2014,82.1,-0.022997823
30/01/2014,84.01,0.036857124
29/01/2014,80.97,-0.015806247
28/01/2014,82.26,0.014942103
27/01/2014,81.04,-0.004555256
24/01/2014,81.41,-0.025588009
23/01/2014,83.52,-0.009532961
22/01/2014,84.32,0.021214914
21/01/2014,82.55,-0.006399829
17/01/2014,83.08,-0.022141126
16/01/2014,84.94,-0.000235433
15/01/2014,84.96,0.003891744
14/01/2014,84.63,0.002484473
13/01/2014,84.42,-0.01154176
10/01/2014,85.4,-0.007001195
09/01/2014,86,-0.007760507
08/01/2014,86.67,0.003930641
07/01/2014,86.33,0.00697434
06/01/2014,85.73,-0.010096993
03/01/2014,86.6,-0.004033425
02/01/2014,86.95,-0.004475307
31/12/2013,87.34,0.002177776
30/12/2013,87.15,0.012702249
27/12/2013,86.05,0.002443424
26/12/2013,85.84,0.002799815
24/12/2013,85.6,0.001519846
23/12/2013,85.47,0.015445688
20/12/2013,84.16,0.000475398
19/12/2013,84.12,0.006799096
18/12/2013,83.55,0.015803453
17/12/2013,82.24,0.002434869
16/12/2013,82.04,0.010291686
13/12/2013,81.2,0.005928871
12/12/2013,80.72,-0.00383308
11/12/2013,81.03,-0.019311282
10/12/2013,82.61,0.005340467
09/12/2013,82.17,-0.00036503
06/12/2013,82.2,0.007080972
05/12/2013,81.62,0.001103279
04/12/2013,81.53,0.004055804
03/12/2013,81.2,0.004690788
02/12/2013,80.82,0.00807508
29/11/2013,80.17,0.003999505
27/11/2013,79.85,0.007542462
26/11/2013,79.25,-0.004281044
25/11/2013,79.59,-0.000502449
22/11/2013,79.63,-0.006633731
21/11/2013,80.16,0.000499127
20/11/2013,80.12,0.006134605
19/11/2013,79.63,0.001130866
18/11/2013,79.54,-0.012121361
15/11/2013,80.51,-0.003595565
14/11/2013,80.8,-0.028428682
13/11/2013,83.13,0.012224055
12/11/2013,82.12,-0.00291829
11/11/2013,82.36,0.000850289
08/11/2013,82.29,0.016912168
07/11/2013,80.91,-0.034976243
06/11/2013,83.79,-0.004287252
05/11/2013,84.15,0.012917295
04/11/2013,83.07,-0.005761629
01/11/2013,83.55,0.003116761
31/10/2013,83.29,-0.00239837
30/10/2013,83.49,-0.014506794
29/10/2013,84.71,0.002127158
28/10/2013,84.53,-0.004838624
25/10/2013,84.94,0.006496214
