Date,Close,CTXS
04/04/2014,56.53,-0.009331875
03/04/2014,57.06,-0.028677039
02/04/2014,58.72,0.004095569
01/04/2014,58.48,0.017943891
31/03/2014,57.44,-0.000522148
28/03/2014,57.47,-0.013137613
27/03/2014,58.23,0.001202853
26/03/2014,58.16,-0.046035341
25/03/2014,60.9,-0.003933142
24/03/2014,61.14,-0.014290597
21/03/2014,62.02,-0.005627477
20/03/2014,62.37,0.008372292
19/03/2014,61.85,0.008932256
18/03/2014,61.3,0.008354541
17/03/2014,60.79,0.016419641
14/03/2014,59.8,-0.003672179
13/03/2014,60.02,-0.010441795
12/03/2014,60.65,0.005290143
11/03/2014,60.33,-0.00693759
10/03/2014,60.75,-0.003942834
07/03/2014,60.99,-0.002292828
06/03/2014,61.13,-0.023123352
05/03/2014,62.56,0.028865309
04/03/2014,60.78,0.015920734
03/03/2014,59.82,-0.003837495
28/02/2014,60.05,-0.01438398
27/02/2014,60.92,0.002136226
26/02/2014,60.79,0.008922729
25/02/2014,60.25,0.010679227
24/02/2014,59.61,-0.003182316
21/02/2014,59.8,-0.013124202
20/02/2014,60.59,0.056876908
19/02/2014,57.24,-0.004184107
18/02/2014,57.48,0.005932664
14/02/2014,57.14,-0.008712374
13/02/2014,57.64,0.02441073
12/02/2014,56.25,0.003561892
11/02/2014,56.05,0.011484067
10/02/2014,55.41,0.002348903
07/02/2014,55.28,0.019176919
06/02/2014,54.23,0.004805924
05/02/2014,53.97,0.006506204
04/02/2014,53.62,0.016927243
03/02/2014,52.72,-0.025284613
31/01/2014,54.07,0.014530807
30/01/2014,53.29,-0.077773871
29/01/2014,57.6,-0.019428102
28/01/2014,58.73,0.010096774
27/01/2014,58.14,-0.012987196
24/01/2014,58.9,-0.012988291
23/01/2014,59.67,-0.025317808
22/01/2014,61.2,-0.00472737
21/01/2014,61.49,0.017223423
17/01/2014,60.44,-0.014944034
16/01/2014,61.35,-0.026222045
15/01/2014,62.98,0.047473153
14/01/2014,60.06,0.02137229
13/01/2014,58.79,-0.022537113
10/01/2014,60.13,-0.003652062
09/01/2014,60.35,-0.015129379
08/01/2014,61.27,0.019280485
07/01/2014,60.1,-0.015027944
06/01/2014,61.01,-0.02380872
03/01/2014,62.48,-0.000160038
02/01/2014,62.49,-0.012088584
31/12/2013,63.25,0.004913236
30/12/2013,62.94,0.020384303
27/12/2013,61.67,0.006997018
26/12/2013,61.24,0.000980232
24/12/2013,61.18,-0.000816927
23/12/2013,61.23,-0.008132771
20/12/2013,61.73,0.04320076
19/12/2013,59.12,-0.001858894
18/12/2013,59.23,0.022192785
17/12/2013,57.93,-0.013374685
16/12/2013,58.71,0.012339488
13/12/2013,57.99,0.010574771
12/12/2013,57.38,-0.009539575
11/12/2013,57.93,-0.017623863
10/12/2013,58.96,-0.006255832
09/12/2013,59.33,-0.011729357
06/12/2013,60.03,0.020532529
05/12/2013,58.81,-0.020032654
04/12/2013,60,0.031146729
03/12/2013,58.16,-0.000171925
02/12/2013,58.17,-0.019576759
29/11/2013,59.32,0.006765926
27/11/2013,58.92,0.002549071
26/11/2013,58.77,-0.001530222
25/11/2013,58.86,-0.002375701
22/11/2013,59,0.006120386
21/11/2013,58.64,0.021372754
20/11/2013,57.4,0.014919101
19/11/2013,56.55,-0.010904083
18/11/2013,57.17,0.004733944
15/11/2013,56.9,0.034689693
14/11/2013,54.96,-0.054182131
13/11/2013,58.02,-0.049266077
12/11/2013,60.95,0.011883289
11/11/2013,60.23,0.007332144
08/11/2013,59.79,0.001506402
07/11/2013,59.7,-0.000502386
06/11/2013,59.73,0.040312888
05/11/2013,57.37,-0.005042174
04/11/2013,57.66,0.014675316
01/11/2013,56.82,0.000704225
31/10/2013,56.78,-0.004217932
30/10/2013,57.02,-0.003326625
29/10/2013,57.21,-0.00835514
28/10/2013,57.69,-0.005014275
25/10/2013,57.98,-0.013873649
24/10/2013,58.79,0.047370862
23/10/2013,56.07,-0.010467584
22/10/2013,56.66,-0.004226847
21/10/2013,56.9,-0.006306959
18/10/2013,57.26,0.000174657
17/10/2013,57.25,0.000698934
16/10/2013,57.21,0.001224311
15/10/2013,57.14,-0.024205884
14/10/2013,58.54,-0.009182176
11/10/2013,59.08,0.005601305
10/10/2013,58.75,-0.12631392
09/10/2013,66.66,-0.014150828
08/10/2013,67.61,-0.041147337
07/10/2013,70.45,-0.000425743
04/10/2013,70.48,0.023108312
03/10/2013,68.87,-0.027355805
02/10/2013,70.78,-0.002117
01/10/2013,70.93,0.004521698
30/09/2013,70.61,-0.002687223
27/09/2013,70.8,-0.017640105
26/09/2013,72.06,0.004311251
25/09/2013,71.75,-0.007497952
24/09/2013,72.29,-0.028501281
23/09/2013,74.38,-0.02259833
20/09/2013,76.08,-0.003280628
19/09/2013,76.33,0.018244821
18/09/2013,74.95,0.012756131
17/09/2013,74,0.004876737
16/09/2013,73.64,-0.002034865
13/09/2013,73.79,0.000949088
12/09/2013,73.72,0.016687571
11/09/2013,72.5,0.00886678
10/09/2013,71.86,-0.001390627
09/09/2013,71.96,0.008092691
06/09/2013,71.38,0.004352411
05/09/2013,71.07,-0.003231021
04/09/2013,71.3,0.001403509
03/09/2013,71.2,0.006057636
30/08/2013,70.77,-0.005776698
29/08/2013,71.18,0.013009233
28/08/2013,70.26,-0.00113798
27/08/2013,70.34,-0.023325492
26/08/2013,72,-0.009812808
23/08/2013,72.71,-0.007126246
22/08/2013,73.23,0.021114425
21/08/2013,71.7,-0.000557724
20/08/2013,71.74,0.003351022
19/08/2013,71.5,-0.001397624
16/08/2013,71.6,-0.013456539
15/08/2013,72.57,-0.013413834
14/08/2013,73.55,-0.001630214
13/08/2013,73.67,0.004489498
12/08/2013,73.34,0.005194817
09/08/2013,72.96,0.002058037
08/08/2013,72.81,0.011465006
07/08/2013,71.98,-0.009953082
06/08/2013,72.7,-0.005350174
05/08/2013,73.09,-0.000410369
02/08/2013,73.12,0.004248619
01/08/2013,72.81,0.01090945
31/07/2013,72.02,0.020338733
30/07/2013,70.57,0.022788518
29/07/2013,68.98,0.017549441
26/07/2013,67.78,-0.002946378
25/07/2013,67.98,0.007234106
24/07/2013,67.49,0.021264653
23/07/2013,66.07,0.001060044
22/07/2013,66,0.014191129
19/07/2013,65.07,0.004775485
18/07/2013,64.76,-0.009987023
17/07/2013,65.41,-0.016225999
16/07/2013,66.48,-0.001202646
15/07/2013,66.56,-0.012689578
12/07/2013,67.41,0.008940605
11/07/2013,66.81,0.023013885
10/07/2013,65.29,0.017458922
09/07/2013,64.16,0.013336669
08/07/2013,63.31,-0.000789453
05/07/2013,63.36,0.023312568
03/07/2013,61.9,0.013008314
02/07/2013,61.1,-0.001471911
01/07/2013,61.19,0.013657144
28/06/2013,60.36,-0.007098668
27/06/2013,60.79,0.019098812
26/06/2013,59.64,0.018616209
25/06/2013,58.54,0
24/06/2013,58.54,-0.0244676
21/06/2013,59.99,-0.021112445
20/06/2013,61.27,0.000326477
19/06/2013,61.25,-0.01539115
18/06/2013,62.2,0.013759829
17/06/2013,61.35,0.001957906
14/06/2013,61.23,-0.01185175
13/06/2013,61.96,0.000161407
12/06/2013,61.95,-0.013468217
11/06/2013,62.79,-0.009194738
10/06/2013,63.37,-0.003780127
07/06/2013,63.61,0.012656394
06/06/2013,62.81,-0.000477517
05/06/2013,62.84,0.006866294
04/06/2013,62.41,-0.014791522
03/06/2013,63.34,-0.016285985
31/05/2013,64.38,-0.014495242
30/05/2013,65.32,0.016672198
