Date,Close,FLR
04/04/2014,77.66,-0.007057192
03/04/2014,78.21,0.007057192
02/04/2014,77.66,0.001933364
01/04/2014,77.51,-0.002834323
31/03/2014,77.73,0.017127706
28/03/2014,76.41,0.009071251
27/03/2014,75.72,-0.004480176
26/03/2014,76.06,-0.016042079
25/03/2014,77.29,0.010012437
24/03/2014,76.52,-0.001305995
21/03/2014,76.62,0.015387954
20/03/2014,75.45,0.000795545
19/03/2014,75.39,-0.019701189
18/03/2014,76.89,0.024887716
17/03/2014,75,0.008973475
14/03/2014,74.33,-0.008840133
13/03/2014,74.99,-0.019282161
12/03/2014,76.45,-0.010280525
11/03/2014,77.24,-0.018217309
10/03/2014,78.66,-0.01300934
07/03/2014,79.69,-0.005381403
06/03/2014,80.12,0.025023421
05/03/2014,78.14,-0.003321838
04/03/2014,78.4,0.019058007
03/03/2014,76.92,-0.009960628
28/02/2014,77.69,-0.006031459
27/02/2014,78.16,-0.002172664
26/02/2014,78.33,0.007303511
25/02/2014,77.76,-0.014934224
24/02/2014,78.93,-0.003288645
21/02/2014,79.19,-0.010301599
20/02/2014,80.01,-0.002995135
19/02/2014,80.25,0.001496446
18/02/2014,80.13,0.005757212
14/02/2014,79.67,0.010092176
13/02/2014,78.87,-0.012974925
12/02/2014,79.9,0.028564303
11/02/2014,77.65,0.003224769
10/02/2014,77.4,0.002457798
07/02/2014,77.21,0.015400983
06/02/2014,76.03,0.015508297
05/02/2014,74.86,-0.004664498
04/02/2014,75.21,0.01906098
03/02/2014,73.79,-0.028983665
31/01/2014,75.96,-0.005121146
30/01/2014,76.35,0.003016989
29/01/2014,76.12,-0.017450632
28/01/2014,77.46,0.009599244
27/01/2014,76.72,-0.009857408
24/01/2014,77.48,-0.04553981
23/01/2014,81.09,-0.031081778
22/01/2014,83.65,0.008523973
21/01/2014,82.94,0.010788637
17/01/2014,82.05,0.019817253
16/01/2014,80.44,-0.000248602
15/01/2014,80.46,0.012254749
14/01/2014,79.48,0.018283902
13/01/2014,78.04,-0.010959712
10/01/2014,78.9,0.001268231
09/01/2014,78.8,-0.00619902
08/01/2014,79.29,-0.00113443
07/01/2014,79.38,0.010383783
06/01/2014,78.56,-0.007482122
03/01/2014,79.15,0.003543859
02/01/2014,78.87,-0.017844153
31/12/2013,80.29,0.005119572
30/12/2013,79.88,0.001503383
27/12/2013,79.76,-0.002754478
26/12/2013,79.98,0.008916857
24/12/2013,79.27,0.003158762
23/12/2013,79.02,-0.004419478
20/12/2013,79.37,0.006826828
19/12/2013,78.83,0.011354335
18/12/2013,77.94,0.027841007
17/12/2013,75.8,-0.001845262
16/12/2013,75.94,0.015259369
13/12/2013,74.79,-0.000668315
12/12/2013,74.84,-0.009971498
11/12/2013,75.59,-0.02688755
10/12/2013,77.65,0.010225964
09/12/2013,76.86,-0.007130386
06/12/2013,77.41,0.016279581
05/12/2013,76.16,-0.008628632
04/12/2013,76.82,-0.005711334
03/12/2013,77.26,-0.008506302
02/12/2013,77.92,0.001412702
29/11/2013,77.81,-0.004615985
27/11/2013,78.17,-0.008914985
26/11/2013,78.87,0.007381046
25/11/2013,78.29,-0.004333425
22/11/2013,78.63,0.008044479
21/11/2013,78,0.023084931
20/11/2013,76.22,-0.010700872
19/11/2013,77.04,-0.012896748
18/11/2013,78.04,-0.016772947
15/11/2013,79.36,0.000126016
14/11/2013,79.35,0.003408449
13/11/2013,79.08,0.02044016
12/11/2013,77.48,-0.00476406
11/11/2013,77.85,-0.000898761
08/11/2013,77.92,0.029300879
07/11/2013,75.67,-0.012998279
06/11/2013,76.66,0.005887372
05/11/2013,76.21,0.005262478
04/11/2013,75.81,0.01207632
01/11/2013,74.9,0.009120235
31/10/2013,74.22,-0.023831255
30/10/2013,76.01,-0.011380854
29/10/2013,76.88,0.00404041
28/10/2013,76.57,0.003401364
25/10/2013,76.31,-0.007441773
24/10/2013,76.88,0.005347258
23/10/2013,76.47,-0.007556055
22/10/2013,77.05,0.004552853
21/10/2013,76.7,-0.006368207
18/10/2013,77.19,0.021475226
17/10/2013,75.55,0.01870462
16/10/2013,74.15,0.019061163
15/10/2013,72.75,-0.013516487
14/10/2013,73.74,0.010359962
11/10/2013,72.98,0.017136959
10/10/2013,71.74,0.030283905
09/10/2013,69.6,-0.001292268
08/10/2013,69.69,-0.02269923
07/10/2013,71.29,-0.008102866
04/10/2013,71.87,-0.000278242
03/10/2013,71.89,-0.018058248
02/10/2013,73.2,0.017501997
01/10/2013,71.93,0.013577086
30/09/2013,70.96,-0.001267517
27/09/2013,71.05,-0.013698844
26/09/2013,72.03,0.001806434
25/09/2013,71.9,0.007959268
24/09/2013,71.33,0.005764515
23/09/2013,70.92,-0.015252517
20/09/2013,72.01,0.007807094
19/09/2013,71.45,0.021789204
18/09/2013,69.91,0.027112933
17/09/2013,68.04,0.002649008
16/09/2013,67.86,0.009624713
13/09/2013,67.21,-0.007559511
12/09/2013,67.72,0.008452634
11/09/2013,67.15,0.006424165
10/09/2013,66.72,0.012518073
09/09/2013,65.89,0.02008192
06/09/2013,64.58,-0.006482505
05/09/2013,65,0.013474997
04/09/2013,64.13,0.009242644
03/09/2013,63.54,0.001732693
30/08/2013,63.43,-0.007382426
29/08/2013,63.9,-0.006395779
28/08/2013,64.31,-0.006509632
27/08/2013,64.73,-0.026676378
26/08/2013,66.48,0.006035021
23/08/2013,66.08,-0.003022063
22/08/2013,66.28,0.015662146
21/08/2013,65.25,0.003069841
20/08/2013,65.05,-0.000153716
19/08/2013,65.06,-0.017219473
16/08/2013,66.19,0.003632515
15/08/2013,65.95,-0.007251883
14/08/2013,66.43,0.009376959
13/08/2013,65.81,0.003958592
12/08/2013,65.55,-0.006538456
09/08/2013,65.98,-0.000908953
08/08/2013,66.04,0.012647788
07/08/2013,65.21,-0.005200379
06/08/2013,65.55,-0.017391743
05/08/2013,66.7,0.002551979
02/08/2013,66.53,0.022650509
01/08/2013,65.04,0.038876369
31/07/2013,62.56,0.029688286
30/07/2013,60.73,0.007105706
29/07/2013,60.3,-0.021329767
26/07/2013,61.6,-0.008084118
25/07/2013,62.1,-0.00305491
24/07/2013,62.29,-0.010539861
23/07/2013,62.95,-0.000952683
22/07/2013,63.01,0.002701631
19/07/2013,62.84,0.009112045
18/07/2013,62.27,0.016189442
17/07/2013,61.27,0.001633453
16/07/2013,61.17,-0.010893531
15/07/2013,61.84,0.005675844
12/07/2013,61.49,0.004073989
11/07/2013,61.24,0.032359913
10/07/2013,59.29,0.004733737
09/07/2013,59.01,0.021583572
08/07/2013,57.75,-0.014440684
05/07/2013,58.59,0.005476652
03/07/2013,58.27,-0.000514712
02/07/2013,58.3,-0.012274276
01/07/2013,59.02,-0.004901556
28/06/2013,59.31,-0.007056481
27/06/2013,59.73,0.014672664
26/06/2013,58.86,-0.004745772
25/06/2013,59.14,0.009002184
24/06/2013,58.61,-0.026268559
21/06/2013,60.17,0.002662674
20/06/2013,60.01,-0.036325984
19/06/2013,62.23,-0.016732125
18/06/2013,63.28,0.015447397
17/06/2013,62.31,0.021248062
14/06/2013,61,-0.002292452
13/06/2013,61.14,0.015327865
12/06/2013,60.21,-0.022336287
11/06/2013,61.57,-0.024229023
10/06/2013,63.08,0.003493731
07/06/2013,62.86,0.010555032
06/06/2013,62.2,0.010017857
05/06/2013,61.58,-0.017545722
04/06/2013,62.67,-0.006837905
03/06/2013,63.1,-0.001741747
31/05/2013,63.21,-0.010700338
30/05/2013,63.89,0.007698993
29/05/2013,63.4,-0.013473492
28/05/2013,64.26,0.009066812
24/05/2013,63.68,-0.019439225
23/05/2013,64.93,-0.001077503
22/05/2013,65,-0.015115945
21/05/2013,65.99,-0.004384977
20/05/2013,66.28,0.026138286
17/05/2013,64.57,0.040615522
16/05/2013,62,-0.004666514
15/05/2013,62.29,0.007250495
14/05/2013,61.84,0.020585599
13/05/2013,60.58,-0.021716912
10/05/2013,61.91,0.003884129
09/05/2013,61.67,-0.00194395
08/05/2013,61.79,0.022255869
07/05/2013,60.43,0.005642232
06/05/2013,60.09,0.004837777
03/05/2013,59.8,0.040090657
02/05/2013,57.45,0.022888323
01/05/2013,56.15,-0.014673648
30/04/2013,56.98,0.009345038
29/04/2013,56.45,0.001240805
26/04/2013,56.38,-0.004424394
25/04/2013,56.63,0.005489168
24/04/2013,56.32,0.035053273
23/04/2013,54.38,-0.016233827
22/04/2013,55.27,0.020287637
19/04/2013,54.16,-0.003133932
18/04/2013,54.33,-0.017153705
17/04/2013,55.27,-0.024485184
16/04/2013,56.64,0.023942541
15/04/2013,55.3,-0.085231615
12/04/2013,60.22,-0.043859555
11/04/2013,62.92,0.005578148
10/04/2013,62.57,-0.001756487
09/04/2013,62.68,0.003676181
08/04/2013,62.45,0.006748098
05/04/2013,62.03,0.003391202
04/04/2013,61.82,-0.001454781
03/04/2013,61.91,-0.037566823
02/04/2013,64.28,-0.017885151
01/04/2013,65.44,-0.013508591
28/03/2013,66.33,0.016416237
27/03/2013,65.25,-0.003671413
26/03/2013,65.49,0.018337828
25/03/2013,64.3,-0.009904135
22/03/2013,64.94,0.020378709
21/03/2013,63.63,-0.006266666
20/03/2013,64.03,0.008311818
19/03/2013,63.5,-0.000787092
18/03/2013,63.55,-0.014528101
15/03/2013,64.48,-0.004796172
14/03/2013,64.79,0.015711609
13/03/2013,63.78,-0.000783638
12/03/2013,63.83,-0.002034589
11/03/2013,63.96,-0.005457252
08/03/2013,64.31,0.014093562
07/03/2013,63.41,0.010463
06/03/2013,62.75,0.018009813
05/03/2013,61.63,0.026304328
04/03/2013,60.03,-0.007964203
01/03/2013,60.51,-0.022711539
28/02/2013,61.9,-0.010126262
27/02/2013,62.53,0.018888285
26/02/2013,61.36,-0.001465679
25/02/2013,61.45,-0.041440192
22/02/2013,64.05,0.008151793
21/02/2013,63.53,-0.012669287
20/02/2013,64.34,-0.029706671
19/02/2013,66.28,0.027067942
15/02/2013,64.51,-0.000929656
14/02/2013,64.57,0.008085878
13/02/2013,64.05,0.007522367
12/02/2013,63.57,0.002204725
11/02/2013,63.43,-0.0044046
08/02/2013,63.71,-0.015419665
07/02/2013,64.7,-0.008464845
06/02/2013,65.25,-0.004434597
05/02/2013,65.54,0.006582496
04/02/2013,65.11,-0.010997514
01/02/2013,65.83,0.015307202
31/01/2013,64.83,-0.002772645
30/01/2013,65.01,-0.014810562
29/01/2013,65.98,0.003035825
28/01/2013,65.78,-0.004247579
25/01/2013,66.06,0.022194222
24/01/2013,64.61,0.014341633
23/01/2013,63.69,-0.005011757
22/01/2013,64.01,0.010996027
18/01/2013,63.31,0.003322525
17/01/2013,63.1,0.005562192
16/01/2013,62.75,0.002553057
15/01/2013,62.59,0.008342741
14/01/2013,62.07,-0.001609788
11/01/2013,62.17,-0.007371828
10/01/2013,62.63,0.030806587
09/01/2013,60.73,0.012426637
08/01/2013,59.98,-0.005486754
07/01/2013,60.31,-0.003641182
04/01/2013,60.53,0.002646817
03/01/2013,60.37,-0.010381571
02/01/2013,61,0.037752938
31/12/2012,58.74,0.026042689
28/12/2012,57.23,-0.016807118
27/12/2012,58.2,0.003269945
26/12/2012,58.01,-0.008924034
24/12/2012,58.53,-0.010537147
21/12/2012,59.15,-0.006403797
20/12/2012,59.53,0.012508615
19/12/2012,58.79,-0.009480349
18/12/2012,59.35,0.025771543
17/12/2012,57.84,0.013051608
14/12/2012,57.09,0.001753156
13/12/2012,56.99,-0.0092569
12/12/2012,57.52,-0.01449801
11/12/2012,58.36,0.01449801
10/12/2012,57.52,0.021083002
07/12/2012,56.32,0.020630385
06/12/2012,55.17,0.030737673
05/12/2012,53.5,-0.003545111
04/12/2012,53.69,0.013312281
03/12/2012,52.98,-0.001885726
30/11/2012,53.08,-0.007881444
29/11/2012,53.5,0.002432864
28/11/2012,53.37,0.005636994
27/11/2012,53.07,-0.013103894
26/11/2012,53.77,-0.000743633
23/11/2012,53.81,0.010086003
21/11/2012,53.27,0.006025249
20/11/2012,52.95,0.007202457
19/11/2012,52.57,0.01436944
16/11/2012,51.82,-0.001735275
15/11/2012,51.91,0.010067849
14/11/2012,51.39,-0.016404884
13/11/2012,52.24,0.000191443
12/11/2012,52.23,0.001341125
09/11/2012,52.16,0.005768138
08/11/2012,51.86,-0.026074367
07/11/2012,53.23,-0.023395051
06/11/2012,54.49,0.027536624
05/11/2012,53.01,0.019044567
02/11/2012,52.01,-0.103127684
01/11/2012,57.66,0.031894167
