Date,Close,CMS
04/04/2014,29.38,0.005803054
03/04/2014,29.21,0.002056204
02/04/2014,29.15,0.000343112
01/04/2014,29.14,-0.004792888
31/03/2014,29.28,0.015488177
28/03/2014,28.83,-0.001040042
27/03/2014,28.86,0.009749381
26/03/2014,28.58,-0.001398602
25/03/2014,28.62,0
24/03/2014,28.62,0.001398602
21/03/2014,28.58,0.007374924
20/03/2014,28.37,-0.003518652
19/03/2014,28.47,-0.015682496
18/03/2014,28.92,-0.001727414
17/03/2014,28.97,0.005885425
14/03/2014,28.8,0.007318381
13/03/2014,28.59,0.014799424
12/03/2014,28.17,0.015382167
11/03/2014,27.74,-0.003957551
10/03/2014,27.85,-0.004657003
07/03/2014,27.98,-0.000714541
06/03/2014,28,-0.006762795
05/03/2014,28.19,-0.01198886
04/03/2014,28.53,0.009508788
03/03/2014,28.26,-0.005997548
28/02/2014,28.43,0.006351468
27/02/2014,28.25,-0.004238791
26/02/2014,28.37,-0.008074469
25/02/2014,28.6,0.009132484
24/02/2014,28.34,-0.004927852
21/02/2014,28.48,-0.004554221
20/02/2014,28.61,0.008071635
19/02/2014,28.38,-0.00316623
18/02/2014,28.47,-0.002105264
14/02/2014,28.53,0.011634187
13/02/2014,28.2,0.008189471
12/02/2014,27.97,0.001073153
11/02/2014,27.94,0.013331129
10/02/2014,27.57,0.012408918
07/02/2014,27.23,0.010707136
06/02/2014,26.94,0.00297398
05/02/2014,26.86,-0.015149006
04/02/2014,27.27,-0.005485477
03/02/2014,27.42,-0.01340357
31/01/2014,27.79,0.020356937
30/01/2014,27.23,0.016663966
29/01/2014,26.78,-0.006698946
28/01/2014,26.96,0.015701257
27/01/2014,26.54,0
24/01/2014,26.54,-0.013844936
23/01/2014,26.91,-0.000742942
22/01/2014,26.93,0.007828558
21/01/2014,26.72,0.01091262
17/01/2014,26.43,-0.007163084
16/01/2014,26.62,0.007541514
15/01/2014,26.42,-0.009418039
14/01/2014,26.67,-0.002247192
13/01/2014,26.73,-0.014116133
10/01/2014,27.11,0.021626495
09/01/2014,26.53,0.010991204
08/01/2014,26.24,-0.002283975
07/01/2014,26.3,0.006867635
06/01/2014,26.12,-0.006487334
03/01/2014,26.29,-0.0003803
02/01/2014,26.3,-0.017712918
31/12/2013,26.77,0.001869509
30/12/2013,26.72,0.001123385
27/12/2013,26.69,0.001124649
26/12/2013,26.66,-0.004864369
24/12/2013,26.79,-0.000746269
23/12/2013,26.81,-0.004094553
20/12/2013,26.92,0.009330167
19/12/2013,26.67,-0.004489345
18/12/2013,26.79,0.012772525
17/12/2013,26.45,0.002271008
16/12/2013,26.39,0.006844133
13/12/2013,26.21,0.002674309
12/12/2013,26.14,0.006524683
11/12/2013,25.97,-0.006142054
10/12/2013,26.13,-0.013683224
09/12/2013,26.49,0
06/12/2013,26.49,0.0083397
05/12/2013,26.27,-0.011355156
04/12/2013,26.57,0.002260739
03/12/2013,26.51,0.001887862
02/12/2013,26.46,-0.00301887
29/11/2013,26.54,-0.000753296
27/11/2013,26.56,-0.00188076
26/11/2013,26.61,-0.014549781
25/11/2013,27,-0.011416069
22/11/2013,27.31,0
21/11/2013,27.31,0.001465739
20/11/2013,27.27,-0.010941028
19/11/2013,27.57,-0.003259101
18/11/2013,27.66,0.0018093
15/11/2013,27.61,0.011291324
14/11/2013,27.3,0.013274531
13/11/2013,26.94,0.001114206
12/11/2013,26.91,-0.016584128
11/11/2013,27.36,0.00292826
08/11/2013,27.28,-0.00329369
07/11/2013,27.37,-0.006917923
06/11/2013,27.56,0.003999278
05/11/2013,27.45,-0.006535971
04/11/2013,27.63,0.000361991
01/11/2013,27.62,0.005809748
31/10/2013,27.46,0.000728597
30/10/2013,27.44,-0.018773115
29/10/2013,27.96,-0.003213715
28/10/2013,28.05,0.000713267
25/10/2013,28.03,0.00680153
24/10/2013,27.84,0.004680477
23/10/2013,27.71,0.003253211
22/10/2013,27.62,0.007997135
21/10/2013,27.4,0.002923979
18/10/2013,27.32,0.001831838
17/10/2013,27.27,0.014404681
16/10/2013,26.88,0.00447428
15/10/2013,26.76,-0.006703936
14/10/2013,26.94,-0.004444452
11/10/2013,27.06,0.019780455
10/10/2013,26.53,0.015574864
09/10/2013,26.12,0.006144413
08/10/2013,25.96,0.002313923
07/10/2013,25.9,-0.00500675
04/10/2013,26.03,0.00153787
03/10/2013,25.99,-0.01754431
02/10/2013,26.45,0.002650011
01/10/2013,26.38,0.002277041
30/09/2013,26.32,0.004188089
27/09/2013,26.21,-0.005327258
26/09/2013,26.35,-0.000758725
25/09/2013,26.37,-0.016174887
24/09/2013,26.8,-0.00558141
23/09/2013,26.95,0.013448092
20/09/2013,26.59,-0.008612673
19/09/2013,26.82,-0.003721627
18/09/2013,26.92,0.030551122
17/09/2013,26.11,-0.000382922
16/09/2013,26.12,-0.002676354
13/09/2013,26.19,0.010748664
12/09/2013,25.91,-0.003082854
11/09/2013,25.99,-0.004606534
10/09/2013,26.11,0.006532204
09/09/2013,25.94,-0.001540832
06/09/2013,25.98,0.004629638
05/09/2013,25.86,-0.005399165
04/09/2013,26,-0.006134989
03/09/2013,26.16,-0.014044642
30/08/2013,26.53,-0.000376861
29/08/2013,26.54,-0.005261192
28/08/2013,26.68,0.003003005
27/08/2013,26.6,-0.002628122
26/08/2013,26.67,-0.010072833
23/08/2013,26.94,0.007077698
22/08/2013,26.75,0.004120628
21/08/2013,26.64,-0.01342302
20/08/2013,27,0.009302393
19/08/2013,26.75,-0.004475949
16/08/2013,26.87,-0.001859082
15/08/2013,26.92,-0.016212588
14/08/2013,27.36,-0.00873368
13/08/2013,27.6,-0.010810916
12/08/2013,27.9,-0.002148229
09/08/2013,27.96,-0.009256029
08/08/2013,28.22,0.007112406
07/08/2013,28.02,0.004650339
06/08/2013,27.89,-0.00892385
05/08/2013,28.14,-0.013413544
02/08/2013,28.52,0.002106003
01/08/2013,28.46,0.016652289
31/07/2013,27.99,-0.017003598
30/07/2013,28.47,0.00669606
29/07/2013,28.28,0.002832863
26/07/2013,28.2,-0.000354547
25/07/2013,28.21,0.008186556
24/07/2013,27.98,-0.014547001
23/07/2013,28.39,0.001057269
