Date,Close,ETN
04/04/2014,75.57,-0.019005749
03/04/2014,77.02,0.004554631
02/04/2014,76.67,0.011808062
01/04/2014,75.77,0.008615601
31/03/2014,75.12,0.011918454
28/03/2014,74.23,0.012607772
27/03/2014,73.3,0.004375178
26/03/2014,72.98,-0.012933269
25/03/2014,73.93,0.017052456
24/03/2014,72.68,0.000412854
21/03/2014,72.65,-0.001650392
20/03/2014,72.77,0.009804677
19/03/2014,72.06,-0.017470697
18/03/2014,73.33,0.012763503
17/03/2014,72.4,0.015730818
14/03/2014,71.27,-0.017800498
13/03/2014,72.55,-0.017082752
12/03/2014,73.8,-0.009842997
11/03/2014,74.53,-0.004551547
10/03/2014,74.87,-0.016951803
07/03/2014,76.15,0.010693877
06/03/2014,75.34,0.01255526
05/03/2014,74.4,0.007013787
04/03/2014,73.88,0.005564996
03/03/2014,73.47,-0.016736792
28/02/2014,74.71,-0.009856233
27/02/2014,75.45,-0.00436422
26/02/2014,75.78,0.005557775
25/02/2014,75.36,0.005055219
24/02/2014,74.98,0.019936005
21/02/2014,73.5,0.007237008
20/02/2014,72.97,0.011578351
19/02/2014,72.13,-0.004702637
18/02/2014,72.47,-0.003443767
14/02/2014,72.72,0.016219944
13/02/2014,71.55,0.006309169
12/02/2014,71.1,0.015449248
11/02/2014,70.01,0.006735962
10/02/2014,69.54,-0.015411264
07/02/2014,70.62,0.022192907
06/02/2014,69.07,-0.000434248
05/02/2014,69.1,0.006533599
04/02/2014,68.65,-0.023323833
03/02/2014,70.27,-0.039346593
31/01/2014,73.09,-0.011156578
30/01/2014,73.91,0.005834876
29/01/2014,73.48,-0.000952187
28/01/2014,73.55,0.010386864
27/01/2014,72.79,-0.004660096
24/01/2014,73.13,-0.037704876
23/01/2014,75.94,-0.01632636
22/01/2014,77.19,-0.006199167
21/01/2014,77.67,0.010613612
17/01/2014,76.85,0.00404199
16/01/2014,76.54,0.001307361
15/01/2014,76.44,0.009727959
14/01/2014,75.7,0.021767568
13/01/2014,74.07,-0.029924435
10/01/2014,76.32,0.010140338
09/01/2014,75.55,0.003580193
08/01/2014,75.28,-0.003447822
07/01/2014,75.54,0.002120329
06/01/2014,75.38,-0.004368264
03/01/2014,75.71,0.002910055
02/01/2014,75.49,-0.008310845
31/12/2013,76.12,0.001446132
30/12/2013,76.01,-0.009688476
27/12/2013,76.75,0.00221744
26/12/2013,76.58,0.011161563
24/12/2013,75.73,0.003836745
23/12/2013,75.44,-0.003704688
20/12/2013,75.72,0.016511693
19/12/2013,74.48,-0.006957481
18/12/2013,75,0.020883211
17/12/2013,73.45,0.007927871
16/12/2013,72.87,0.026419779
13/12/2013,70.97,0.005652128
12/12/2013,70.57,-0.005511213
11/12/2013,70.96,-0.015799
10/12/2013,72.09,-0.002908791
09/12/2013,72.3,-0.001658375
06/12/2013,72.42,0.015305711
05/12/2013,71.32,0.014404994
04/12/2013,70.3,-0.012159064
03/12/2013,71.16,-0.01020631
02/12/2013,71.89,-0.010653854
29/11/2013,72.66,-0.002611506
27/11/2013,72.85,0.000274574
26/11/2013,72.83,0.000824176
25/11/2013,72.77,-0.003155659
22/11/2013,73,0.006321307
21/11/2013,72.54,0.023008754
20/11/2013,70.89,-0.005626685
19/11/2013,71.29,-0.010881804
18/11/2013,72.07,-0.00318626
15/11/2013,72.3,0
14/11/2013,72.3,-0.00207254
13/11/2013,72.45,0.007620404
12/11/2013,71.9,0.012737243
11/11/2013,70.99,0.005508878
08/11/2013,70.6,0.024083733
07/11/2013,68.92,-0.018544339
06/11/2013,70.21,0.002138733
05/11/2013,70.06,-0.007961373
04/11/2013,70.62,-0.000707764
01/11/2013,70.67,0.001557743
31/10/2013,70.56,-0.010292653
30/10/2013,71.29,-0.000280505
29/10/2013,71.31,0.010714892
28/10/2013,70.55,-0.015331899
25/10/2013,71.64,0.044819832
24/10/2013,68.5,0.010714126
23/10/2013,67.77,-0.018276699
22/10/2013,69.02,0.009315933
21/10/2013,68.38,-0.005105401
18/10/2013,68.73,0.020579883
17/10/2013,67.33,0.008052534
16/10/2013,66.79,-0.002243327
15/10/2013,66.94,-0.029584908
14/10/2013,68.95,-0.005063302
11/10/2013,69.3,0.020114364
10/10/2013,67.92,0.033992941
09/10/2013,65.65,-0.003800841
08/10/2013,65.9,-0.019683604
07/10/2013,67.21,-0.027008834
04/10/2013,69.05,0.011946529
03/10/2013,68.23,-0.014983188
02/10/2013,69.26,0.003905972
01/10/2013,68.99,0.002176595
30/09/2013,68.84,-0.012271864
27/09/2013,69.69,-0.011697708
26/09/2013,70.51,0.001561281
25/09/2013,70.4,-0.000426046
24/09/2013,70.43,0.013436451
23/09/2013,69.49,-0.015422268
20/09/2013,70.57,-0.003112623
19/09/2013,70.79,0.014943707
18/09/2013,69.74,0.022036264
17/09/2013,68.22,-0.004533829
16/09/2013,68.53,0.017665703
13/09/2013,67.33,0.002379183
12/09/2013,67.17,-0.012280986
11/09/2013,68,0.001766265
10/09/2013,67.88,0.016787143
09/09/2013,66.75,0.016921389
06/09/2013,65.63,0.002899216
05/09/2013,65.44,0.00690028
04/09/2013,64.99,0.02982965
03/09/2013,63.08,-0.003797473
30/08/2013,63.32,-0.010525586
29/08/2013,63.99,0.002816903
28/08/2013,63.81,-0.00359797
27/08/2013,64.04,-0.029843778
26/08/2013,65.98,-0.013697813
23/08/2013,66.89,-0.00164314
22/08/2013,67,0.023100597
21/08/2013,65.47,0.005360301
20/08/2013,65.12,0.004463263
19/08/2013,64.83,-0.009365233
16/08/2013,65.44,0.003060915
15/08/2013,65.24,-0.023480591
14/08/2013,66.79,-0.002243327
13/08/2013,66.94,0.007045978
12/08/2013,66.47,0.012870191
09/08/2013,65.62,0.004123087
08/08/2013,65.35,0.012317323
07/08/2013,64.55,-0.014610025
06/08/2013,65.5,-0.012592141
05/08/2013,66.33,0.004078864
02/08/2013,66.06,-0.056931322
01/08/2013,69.93,0.014113137
31/07/2013,68.95,0.009471838
30/07/2013,68.3,0.010005969
29/07/2013,67.62,-0.006044987
26/07/2013,68.03,0.000147005
25/07/2013,68.02,-0.000881705
24/07/2013,68.08,-0.01269812
23/07/2013,68.95,0.012110748
22/07/2013,68.12,-0.002346042
19/07/2013,68.28,0.009417374
18/07/2013,67.64,0.010701648
17/07/2013,66.92,0.006295928
16/07/2013,66.5,-0.025095979
15/07/2013,68.19,-0.00219732
12/07/2013,68.34,0.001904065
11/07/2013,68.21,0.012094543
10/07/2013,67.39,-0.010627406
09/07/2013,68.11,0.002204748
08/07/2013,67.96,0.00353774
05/07/2013,67.72,0.022399025
03/07/2013,66.22,0.002721913
02/07/2013,66.04,-0.006640531
01/07/2013,66.48,0.010129348
28/06/2013,65.81,0.009005632
27/06/2013,65.22,0.019821027
26/06/2013,63.94,0.012432295
25/06/2013,63.15,0.015318634
24/06/2013,62.19,-0.028063673
21/06/2013,63.96,0.006116227
20/06/2013,63.57,-0.017619541
19/06/2013,64.7,-0.017466355
18/06/2013,65.84,0.016848308
17/06/2013,64.74,0.002474483
14/06/2013,64.58,-0.003863694
13/06/2013,64.83,0.020413642
12/06/2013,63.52,-0.016240207
11/06/2013,64.56,-0.016590242
10/06/2013,65.64,0.000304739
07/06/2013,65.62,0.018766894
06/06/2013,64.4,0.00498133
05/06/2013,64.08,-0.023290943
04/06/2013,65.59,-0.009559287
03/06/2013,66.22,0.002419112
31/05/2013,66.06,-0.025556199
30/05/2013,67.77,0.007851311
29/05/2013,67.24,-0.021044114
28/05/2013,68.67,0.006428072
24/05/2013,68.23,-0.000146552
23/05/2013,68.24,-0.009334957
22/05/2013,68.88,0.002762232
21/05/2013,68.69,0.009067041
20/05/2013,68.07,0.017935706
17/05/2013,66.86,0.017501956
16/05/2013,65.7,0.00030446
15/05/2013,65.68,0.009023538
14/05/2013,65.09,0.013300536
13/05/2013,64.23,-0.010839375
10/05/2013,64.93,0.002930518
09/05/2013,64.74,0.002784225
08/05/2013,64.56,0.017185238
07/05/2013,63.46,0.022147006
06/05/2013,62.07,0.006789551
03/05/2013,61.65,0.036337606
02/05/2013,59.45,0.003032347
01/05/2013,59.27,-0.035469413
30/04/2013,61.41,0.018572315
29/04/2013,60.28,0.027412799
26/04/2013,58.65,-0.000681779
25/04/2013,58.69,0.001193419
24/04/2013,58.62,0.007878102
23/04/2013,58.16,0.022078254
22/04/2013,56.89,-0.001229688
19/04/2013,56.96,0.020575398
18/04/2013,55.8,-0.027398974
17/04/2013,57.35,-0.029211699
16/04/2013,59.05,0.031481055
15/04/2013,57.22,-0.052428616
12/04/2013,60.3,-0.022789739
11/04/2013,61.69,0.009282698
10/04/2013,61.12,0.010691771
09/04/2013,60.47,0.002317882
08/04/2013,60.33,0.016882975
05/04/2013,59.32,-0.00353387
04/04/2013,59.53,0.004714607
03/04/2013,59.25,-0.027959884
02/04/2013,60.93,-0.004094674
01/04/2013,61.18,-0.001143511
28/03/2013,61.25,0.00836139
27/03/2013,60.74,-0.006890921
26/03/2013,61.16,-0.013318371
25/03/2013,61.98,-0.020599531
22/03/2013,63.27,0.010326567
21/03/2013,62.62,-0.000957702
20/03/2013,62.68,0.020795462
19/03/2013,61.39,-0.007141728
18/03/2013,61.83,-0.011897246
15/03/2013,62.57,-0.009543575
14/03/2013,63.17,-0.003949764
13/03/2013,63.42,0.009187456
12/03/2013,62.84,-0.008714307
11/03/2013,63.39,0.000631214
08/03/2013,63.35,0.021217993
07/03/2013,62.02,-0.009627802
06/03/2013,62.62,0.007533898
05/03/2013,62.15,0.00048282
04/03/2013,62.12,-0.008655287
01/03/2013,62.66,0.011072889
28/02/2013,61.97,0.004528554
27/02/2013,61.69,0.035137635
26/02/2013,59.56,0.004880932
25/02/2013,59.27,-0.008065915
22/02/2013,59.75,0.005033568
21/02/2013,59.45,-0.021466836
20/02/2013,60.74,-0.0122721
19/02/2013,61.49,0.010134117
15/02/2013,60.87,-0.006060128
14/02/2013,61.24,0.003271184
13/02/2013,61.04,0.013690935
12/02/2013,60.21,0.00900907
11/02/2013,59.67,0.01264879
08/02/2013,58.92,0.000679117
07/02/2013,58.88,-0.012992674
06/02/2013,59.65,0.0047051
05/02/2013,59.37,0.048133482
04/02/2013,56.58,-0.016477148
01/02/2013,57.52,0.009959024
31/01/2013,56.95,0
30/01/2013,56.95,-0.010306668
29/01/2013,57.54,0.005052716
28/01/2013,57.25,-0.004705071
25/01/2013,57.52,0.003657585
24/01/2013,57.31,0.013173107
23/01/2013,56.56,-0.007398307
22/01/2013,56.98,0.005455359
18/01/2013,56.67,0.004421265
17/01/2013,56.42,0.023673989
16/01/2013,55.1,-0.008853613
15/01/2013,55.59,0.004688072
14/01/2013,55.33,-0.007562153
11/01/2013,55.75,-0.003223498
10/01/2013,55.93,0.002864818
09/01/2013,55.77,0.013539335
08/01/2013,55.02,-0.013180655
07/01/2013,55.75,-0.017778246
04/01/2013,56.75,0.006718554
03/01/2013,56.37,-0.001418189
02/01/2013,56.45,0.041043454
31/12/2012,54.18,0.02032325
28/12/2012,53.09,-0.010120026
27/12/2012,53.63,-0.003908072
26/12/2012,53.84,0.006895936
24/12/2012,53.47,-0.006895936
21/12/2012,53.84,-0.015115495
20/12/2012,54.66,0.009928377
19/12/2012,54.12,0.004444452
18/12/2012,53.88,0.026899017
17/12/2012,52.45,-0.00228528
14/12/2012,52.57,0.017074755
13/12/2012,51.68,-0.006941794
12/12/2012,52.04,-0.007847681
11/12/2012,52.45,0.002099438
10/12/2012,52.34,-0.002480681
07/12/2012,52.47,0.020603405
06/12/2012,51.4,0.004289342
05/12/2012,51.18,-0.001951982
04/12/2012,51.28,0.00253832
03/12/2012,51.15,-0.019553425
30/11/2012,52.16,0.003264525
29/11/2012,51.99,-0.000769083
28/11/2012,52.03,0.019014931
27/11/2012,51.05,-0.002347878
26/11/2012,51.17,-0.007980578
23/11/2012,51.58,0.016616549
21/11/2012,50.73,0.000197141
20/11/2012,50.72,0.009309763
19/11/2012,50.25,0.026415489
16/11/2012,48.94,0.013991998
15/11/2012,48.26,-0.003929278
14/11/2012,48.45,-0.020834087
13/11/2012,49.47,-0.001615836
12/11/2012,49.55,0.010142075
09/11/2012,49.05,0.003471871
08/11/2012,48.88,-0.013613946
07/11/2012,49.55,-0.017405661
06/11/2012,50.42,-0.001387375
05/11/2012,50.49,0.025881673
02/11/2012,49.2,-0.007895577
01/11/2012,49.59,0.048971669
31/10/2012,47.22,0.045491924
26/10/2012,45.12,-0.006626929
25/10/2012,45.42,0.009512294
24/10/2012,44.99,-0.012370381
23/10/2012,45.55,-0.012002326
22/10/2012,46.1,0.006310542
19/10/2012,45.81,-0.015164935
18/10/2012,46.51,-0.004932986
17/10/2012,46.74,0.015958933
16/10/2012,46,0.01754431
15/10/2012,45.2,0.005101486
12/10/2012,44.97,0.007141293
11/10/2012,44.65,-0.004692222
10/10/2012,44.86,-0.031379426
09/10/2012,46.29,-0.0111709
08/10/2012,46.81,-0.009990518
05/10/2012,47.28,0.013200107
04/10/2012,46.66,0.000428725
03/10/2012,46.64,0
02/10/2012,46.64,-0.010663355
01/10/2012,47.14,-0.002753947
28/09/2012,47.27,0.003602844
27/09/2012,47.1,0.017563099
26/09/2012,46.28,0.001080964
25/09/2012,46.23,-0.031931193
24/09/2012,47.73,-0.008345552
21/09/2012,48.13,0.003329868
20/09/2012,47.97,-0.011400269
19/09/2012,48.52,0.018093454
18/09/2012,47.65,0.008218358
17/09/2012,47.26,0.000634988
14/09/2012,47.23,-0.012414678
13/09/2012,47.82,0.00335149
12/09/2012,47.66,0.000839631
11/09/2012,47.62,0.010555302
10/09/2012,47.12,-0.006557401
07/09/2012,47.43,0.02844199
06/09/2012,46.1,0.047077965
05/09/2012,43.98,-0.00544219
04/09/2012,44.22,-0.011243653
31/08/2012,44.72,0.00493164
30/08/2012,44.5,-0.01803857
29/08/2012,45.31,-0.007256766
28/08/2012,45.64,-0.011545712
27/08/2012,46.17,-0.00583092
24/08/2012,46.44,0.014532302
23/08/2012,45.77,-0.002836262
22/08/2012,45.9,0.004804552
21/08/2012,45.68,-0.008284329
20/08/2012,46.06,-0.006492124
17/08/2012,46.36,0.006709256
16/08/2012,46.05,0.007191924
15/08/2012,45.72,-0.000655953
14/08/2012,45.75,-0.004144406
13/08/2012,45.94,-0.004560764
10/08/2012,46.15,0.014184635
09/08/2012,45.5,0.003302149
08/08/2012,45.35,0.015555869
07/08/2012,44.65,0.007418265
06/08/2012,44.32,0.002032751
03/08/2012,44.23,0.025184481
