Date,Close,STX
04/04/2014,56.06,-0.023447526
03/04/2014,57.39,0.004015719
02/04/2014,57.16,0.002803085
01/04/2014,57,0.014846508
31/03/2014,56.16,0.022327179
28/03/2014,54.92,0.002004922
27/03/2014,54.81,-0.013410857
26/03/2014,55.55,0.007589483
25/03/2014,55.13,0.039402119
24/03/2014,53,-0.009202807
21/03/2014,53.49,0.007317792
20/03/2014,53.1,0.027299586
19/03/2014,51.67,-0.005019316
18/03/2014,51.93,0.023576348
17/03/2014,50.72,0.011301796
14/03/2014,50.15,0.007606122
13/03/2014,49.77,-0.019499225
12/03/2014,50.75,0.017291497
11/03/2014,49.88,-0.005198972
10/03/2014,50.14,0.017097872
07/03/2014,49.29,-0.016299787
06/03/2014,50.1,-0.047934366
05/03/2014,52.56,-0.011727012
04/03/2014,53.18,0.016877238
03/03/2014,52.29,0.001914243
28/02/2014,52.19,0.005186833
27/02/2014,51.92,0.003666188
26/02/2014,51.73,0.020309232
25/02/2014,50.69,-0.009229324
24/02/2014,51.16,0.008046359
21/02/2014,50.75,0.014488692
20/02/2014,50.02,0.01999057
19/02/2014,49.03,-0.013773764
18/02/2014,49.71,-0.008612973
14/02/2014,50.14,0.010828259
13/02/2014,49.6,0.007893979
12/02/2014,49.21,-0.003246097
11/02/2014,49.37,-0.01047763
10/02/2014,49.89,0.007443953
07/02/2014,49.52,0.006686278
06/02/2014,49.19,0.001627671
05/02/2014,49.11,-0.017760305
04/02/2014,49.99,-0.021765798
03/02/2014,51.09,-0.034058126
31/01/2014,52.86,-0.004530019
30/01/2014,53.1,-0.010304541
29/01/2014,53.65,0.040511387
28/01/2014,51.52,-0.119334626
27/01/2014,58.05,-0.008917912
24/01/2014,58.57,-0.03637984
23/01/2014,60.74,-0.004271405
22/01/2014,61,-0.003926707
21/01/2014,61.24,0.000653381
17/01/2014,61.2,0.008862687
16/01/2014,60.66,-0.002962965
15/01/2014,60.84,0.008417975
14/01/2014,60.33,0.030119211
13/01/2014,58.54,0.002565639
10/01/2014,58.39,0.006529233
09/01/2014,58.01,-0.027543394
08/01/2014,59.63,0.014016948
07/01/2014,58.8,0.031968165
06/01/2014,56.95,0.002285313
03/01/2014,56.82,0.025128294
02/01/2014,55.41,-0.013444677
31/12/2013,56.16,-0.006566711
30/12/2013,56.53,0.015509715
27/12/2013,55.66,-0.006447014
26/12/2013,56.02,0.001429082
24/12/2013,55.94,-0.001250558
23/12/2013,56.01,0.00626849
20/12/2013,55.66,0.058639081
19/12/2013,52.49,-0.003043563
18/12/2013,52.65,-0.005681833
17/12/2013,52.95,0.030877897
16/12/2013,51.34,0.02644717
13/12/2013,50,0.011870173
12/12/2013,49.41,-0.003232979
11/12/2013,49.57,-0.027262658
10/12/2013,50.94,0.00452534
09/12/2013,50.71,-0.013904072
06/12/2013,51.42,0.031209327
05/12/2013,49.84,-0.002404811
04/12/2013,49.96,0.006425725
03/12/2013,49.64,-0.004020914
02/12/2013,49.84,0.016181583
29/11/2013,49.04,0.000407914
27/11/2013,49.02,0.004498065
26/11/2013,48.8,0.006991597
25/11/2013,48.46,0.00247934
22/11/2013,48.34,0.002278141
21/11/2013,48.23,0.010630637
20/11/2013,47.72,-0.002720521
19/11/2013,47.85,-0.01349268
18/11/2013,48.5,-0.00903126
15/11/2013,48.94,-0.023625531
14/11/2013,50.11,0.027105219
13/11/2013,48.77,0.019880547
12/11/2013,47.81,-0.001880682
11/11/2013,47.9,-0.005828493
08/11/2013,48.18,0.023733131
07/11/2013,47.05,-0.029734184
06/11/2013,48.47,0
05/11/2013,48.47,-0.016167343
04/11/2013,49.26,0.001218769
01/11/2013,49.2,0.010419953
31/10/2013,48.69,-0.016498999
30/10/2013,49.5,0.025576842
29/10/2013,48.25,-0.032622669
28/10/2013,49.85,0.001003512
25/10/2013,49.8,0.025214837
24/10/2013,48.56,0.009933857
23/10/2013,48.08,-0.021807077
22/10/2013,49.14,-0.02710193
21/10/2013,50.49,0.008952611
18/10/2013,50.04,0.03208397
17/10/2013,48.46,0.009121125
16/10/2013,48.02,0.021895612
15/10/2013,46.98,-0.007422365
14/10/2013,47.33,0.022650541
11/10/2013,46.27,0.004983219
10/10/2013,46.04,0.025518323
09/10/2013,44.88,0.002007361
08/10/2013,44.79,-0.008226839
07/10/2013,45.16,-0.015599569
04/10/2013,45.87,0.00678117
03/10/2013,45.56,-0.00852371
02/10/2013,45.95,0.027580347
01/10/2013,44.7,0.021253344
30/09/2013,43.76,0.005729361
27/09/2013,43.51,0.008540156
26/09/2013,43.14,-0.016780074
25/09/2013,43.87,0.048334376
24/09/2013,41.8,0.020788759
23/09/2013,40.94,-0.011173301
20/09/2013,41.4,0.000966651
19/09/2013,41.36,-0.006747014
18/09/2013,41.64,0.009167736
17/09/2013,41.26,0.007785927
16/09/2013,40.94,0.016997576
13/09/2013,40.25,0.00298582
12/09/2013,40.13,-0.011397547
11/09/2013,40.59,-0.011756197
10/09/2013,41.07,0.022406453
09/09/2013,40.16,0.017583975
06/09/2013,39.46,-0.001519372
05/09/2013,39.52,0.007620052
04/09/2013,39.22,0.014122715
03/09/2013,38.67,0.009092153
30/08/2013,38.32,0.006020173
29/08/2013,38.09,-0.020270964
28/08/2013,38.87,0.009304797
27/08/2013,38.51,-0.040458386
26/08/2013,40.1,-0.00074785
23/08/2013,40.13,0.001246728
22/08/2013,40.08,0.014323652
21/08/2013,39.51,0.007366984
20/08/2013,39.22,0.011540069
19/08/2013,38.77,-0.011029995
16/08/2013,39.2,-0.008130126
15/08/2013,39.52,-0.038471055
14/08/2013,41.07,-0.002431908
13/08/2013,41.17,-0.004120718
12/08/2013,41.34,0.011678965
09/08/2013,40.86,-0.001222943
08/08/2013,40.91,0.020247605
07/08/2013,40.09,-0.005224542
06/08/2013,40.3,-0.003220615
05/08/2013,40.43,-0.016436038
02/08/2013,41.1,-0.016648955
01/08/2013,41.79,0.021282545
31/07/2013,40.91,-0.008276581
30/07/2013,41.25,0.023299644
29/07/2013,40.3,-0.018439367
26/07/2013,41.05,-0.030468952
25/07/2013,42.32,-0.043238732
24/07/2013,44.19,-0.02502924
23/07/2013,45.31,-0.032782703
22/07/2013,46.82,-0.014840213
19/07/2013,47.52,0.013133
18/07/2013,46.9,0.004487666
17/07/2013,46.69,0.002788206
16/07/2013,46.56,-0.003216471
15/07/2013,46.71,0.000642467
12/07/2013,46.68,0.007957887
11/07/2013,46.31,0.010419022
10/07/2013,45.83,0.002184361
09/07/2013,45.73,0.006141717
08/07/2013,45.45,-0.005923018
05/07/2013,45.72,0.013653592
03/07/2013,45.1,-0.00265722
02/07/2013,45.22,-0.005513301
01/07/2013,45.47,0.01417521
28/06/2013,44.83,0.003127795
27/06/2013,44.69,0.045550843
26/06/2013,42.7,0.007050558
25/06/2013,42.4,0.027982216
24/06/2013,41.23,-0.024438207
21/06/2013,42.25,-0.013867892
20/06/2013,42.84,-0.035316672
19/06/2013,44.38,-0.013651325
18/06/2013,44.99,0.022023362
17/06/2013,44.01,0.006611218
14/06/2013,43.72,-0.005929322
13/06/2013,43.98,0.009366145
12/06/2013,43.57,-0.008456227
11/06/2013,43.94,-0.000682516
10/06/2013,43.97,-0.000909298
07/06/2013,44.01,-0.002496314
06/06/2013,44.12,0.009793951
05/06/2013,43.69,-0.023748713
04/06/2013,44.74,0.017587827
03/06/2013,43.96,0.020221277
31/05/2013,43.08,-0.013602515
30/05/2013,43.67,-0.002058791
29/05/2013,43.76,0.014965169
28/05/2013,43.11,0.006049344
24/05/2013,42.85,-0.003261885
23/05/2013,42.99,0.019258463
22/05/2013,42.17,0.015533829
21/05/2013,41.52,0.011628038
20/05/2013,41.04,-0.010423073
17/05/2013,41.47,0.021448543
16/05/2013,40.59,-0.000492611
15/05/2013,40.61,-0.00589248
14/05/2013,40.85,0.014300046
13/05/2013,40.27,-0.005695199
10/05/2013,40.5,0.004206365
09/05/2013,40.33,-0.048164179
08/05/2013,42.32,0
07/05/2013,42.32,0.00830471
06/05/2013,41.97,0.017788931
03/05/2013,41.23,0.03957974
02/05/2013,39.63,0.070291432
01/05/2013,36.94,0.00651822
30/04/2013,36.7,0.013165303
29/04/2013,36.22,-0.004957322
26/04/2013,36.4,-0.003838776
25/04/2013,36.54,0.002191782
24/04/2013,36.46,0.011863844
23/04/2013,36.03,0.034447223
22/04/2013,34.81,0.010686022
19/04/2013,34.44,0.014919101
18/04/2013,33.93,-0.023016311
17/04/2013,34.72,-0.017699577
16/04/2013,35.34,0.01539808
15/04/2013,34.8,-0.036398432
12/04/2013,36.09,-0.012118022
11/04/2013,36.53,-0.030995609
10/04/2013,37.68,0.019293203
09/04/2013,36.96,0.026873018
08/04/2013,35.98,0.013148882
05/04/2013,35.51,-0.023104716
04/04/2013,36.34,0.007734845
03/04/2013,36.06,-0.006082407
02/04/2013,36.28,-0.012054941
01/04/2013,36.72,0.004366819
28/03/2013,36.56,-0.003276901
27/03/2013,36.68,0.02205161
26/03/2013,35.88,0.032864147
25/03/2013,34.72,0
22/03/2013,34.72,0.005777024
21/03/2013,34.52,-0.012379602
20/03/2013,34.95,0.016152644
19/03/2013,34.39,-0.025833813
18/03/2013,35.29,-0.001698755
15/03/2013,35.35,-0.015160313
14/03/2013,35.89,0.016292495
13/03/2013,35.31,0.010533905
12/03/2013,34.94,0.047174412
11/03/2013,33.33,0.025217803
08/03/2013,32.5,0.008652712
07/03/2013,32.22,-0.024526061
06/03/2013,33.02,0.020808584
05/03/2013,32.34,0.009319732
04/03/2013,32.04,-0.008701111
01/03/2013,32.32,0.004962789
28/02/2013,32.16,0.005925481
27/02/2013,31.97,0.020221858
26/02/2013,31.33,0.015763556
25/02/2013,30.84,-0.031910812
