Date,Close,STZ
04/04/2014,84.33,-0.006618627
03/04/2014,84.89,-0.000117793
02/04/2014,84.9,-0.005286356
01/04/2014,85.35,0.004462196
31/03/2014,84.97,0.02093072
28/03/2014,83.21,0.013916846
27/03/2014,82.06,-0.002677378
26/03/2014,82.28,-0.001821384
25/03/2014,82.43,0.014911056
24/03/2014,81.21,-0.022524846
21/03/2014,83.06,0.007128647
20/03/2014,82.47,0.009625417
19/03/2014,81.68,-0.013256503
18/03/2014,82.77,0.011055206
17/03/2014,81.86,-0.007787822
14/03/2014,82.5,0.002791772
13/03/2014,82.27,-0.01015851
12/03/2014,83.11,0.006882007
11/03/2014,82.54,-0.016938359
10/03/2014,83.95,0.000476588
07/03/2014,83.91,0.000715308
06/03/2014,83.85,0.013447195
05/03/2014,82.73,0.002662795
04/03/2014,82.51,0.016620204
03/03/2014,81.15,0.001479837
28/02/2014,81.03,-0.004432959
27/02/2014,81.39,-0.006002345
26/02/2014,81.88,-0.002317781
25/02/2014,82.07,0.01213622
24/02/2014,81.08,0.009044229
21/02/2014,80.35,-0.003106557
20/02/2014,80.6,0.007222046
19/02/2014,80.02,-0.001872777
18/02/2014,80.17,0.010028917
14/02/2014,79.37,-0.000881557
13/02/2014,79.44,0.005554167
12/02/2014,79,0.002788695
11/02/2014,78.78,0.021945058
10/02/2014,77.07,-0.005563837
07/02/2014,77.5,-0.001160617
06/02/2014,77.59,0.027703327
05/02/2014,75.47,-0.013294042
04/02/2014,76.48,0.012102226
03/02/2014,75.56,-0.014583455
31/01/2014,76.67,-0.011928055
30/01/2014,77.59,-0.002959915
29/01/2014,77.82,-0.005254738
28/01/2014,78.23,0.03195077
27/01/2014,75.77,-0.000395857
24/01/2014,75.8,-0.018819165
23/01/2014,77.24,-0.011584632
22/01/2014,78.14,-0.015492373
21/01/2014,79.36,-0.002265577
17/01/2014,79.54,-0.011624404
16/01/2014,80.47,-0.003721165
15/01/2014,80.77,-0.001978974
14/01/2014,80.93,0.01080823
13/01/2014,80.06,0.000124914
10/01/2014,80.05,0.033018873
09/01/2014,77.45,0.01090495
08/01/2014,76.61,0.091232875
07/01/2014,69.93,0.019056445
06/01/2014,68.61,-0.011304468
03/01/2014,69.39,0.002164035
02/01/2014,69.24,-0.016330402
31/12/2013,70.38,0.009135091
30/12/2013,69.74,-0.004720701
27/12/2013,70.07,-0.000428052
26/12/2013,70.1,0.005579015
24/12/2013,69.71,0.000286944
23/12/2013,69.69,-0.000143482
20/12/2013,69.7,0.003161376
19/12/2013,69.48,-0.005740544
18/12/2013,69.88,-0.004141384
17/12/2013,70.17,-0.005684256
16/12/2013,70.57,0.01787166
13/12/2013,69.32,-0.011046666
12/12/2013,70.09,0.000142684
11/12/2013,70.08,-0.012760701
10/12/2013,70.98,0.00522637
09/12/2013,70.61,-0.000566332
06/12/2013,70.65,0.008100663
05/12/2013,70.08,-0.016978337
04/12/2013,71.28,0.001263424
03/12/2013,71.19,0.006623941
02/12/2013,70.72,0.00439312
29/11/2013,70.41,-0.008203724
27/11/2013,70.99,0.007068166
26/11/2013,70.49,0.019192798
25/11/2013,69.15,-0.017346862
22/11/2013,70.36,0.014458773
21/11/2013,69.35,0.004769829
20/11/2013,69.02,-0.000579374
19/11/2013,69.06,-0.002458603
18/11/2013,69.23,0.00130086
15/11/2013,69.14,0.015596847
14/11/2013,68.07,0.011376351
13/11/2013,67.3,0.00387078
12/11/2013,67.04,0.005084503
11/11/2013,66.7,-0.000899146
08/11/2013,66.76,0.016766498
07/11/2013,65.65,-0.011510047
06/11/2013,66.41,0.005132862
05/11/2013,66.07,0.004398945
04/11/2013,65.78,0.002740145
01/11/2013,65.6,0.00458366
31/10/2013,65.3,0.009385406
30/10/2013,64.69,-0.014578636
29/10/2013,65.64,0.009644162
28/10/2013,65.01,0.017065261
25/10/2013,63.91,0.000939261
24/10/2013,63.85,-0.002190239
23/10/2013,63.99,-0.006697323
22/10/2013,64.42,0
21/10/2013,64.42,0.001398058
18/10/2013,64.33,0.006863231
17/10/2013,63.89,0.009751571
16/10/2013,63.27,0.015449857
15/10/2013,62.3,-0.01402637
14/10/2013,63.18,0.003011812
11/10/2013,62.99,0.032922128
10/10/2013,60.95,0.021559707
09/10/2013,59.65,-0.003180185
08/10/2013,59.84,-0.021001185
07/10/2013,61.11,-0.013974878
04/10/2013,61.97,0.029808955
03/10/2013,60.15,0.031925691
02/10/2013,58.26,0.006371093
01/10/2013,57.89,0.008500355
30/09/2013,57.4,0.007343974
27/09/2013,56.98,-0.009953806
26/09/2013,57.55,0.001391063
25/09/2013,57.47,0.001218769
24/09/2013,57.4,-0.001218769
23/09/2013,57.47,0.004010118
20/09/2013,57.24,-0.024845999
19/09/2013,58.68,-0.016730428
18/09/2013,59.67,0.00537726
17/09/2013,59.35,0.008970188
16/09/2013,58.82,0.002042206
13/09/2013,58.7,0.011307299
12/09/2013,58.04,-0.006012214
11/09/2013,58.39,0.002572238
10/09/2013,58.24,0.005337019
09/09/2013,57.93,0.004324892
06/09/2013,57.68,0.020315935
05/09/2013,56.52,0.009064312
04/09/2013,56.01,0.014929677
03/09/2013,55.18,0.016997576
30/08/2013,54.25,-0.005881289
29/08/2013,54.57,-0.000366435
28/08/2013,54.59,-0.007482469
27/08/2013,55,-0.012467412
26/08/2013,55.69,-0.003047963
23/08/2013,55.86,0.012247992
22/08/2013,55.18,0.022728251
21/08/2013,53.94,-0.004993076
20/08/2013,54.21,0.007034461
19/08/2013,53.83,-0.002041385
16/08/2013,53.94,0.0061367
15/08/2013,53.61,-0.015179855
14/08/2013,54.43,-0.005131036
13/08/2013,54.71,0.011767005
12/08/2013,54.07,-0.003507804
09/08/2013,54.26,-0.007527806
08/08/2013,54.67,0.012886776
07/08/2013,53.97,-0.002590675
06/08/2013,54.11,0.001664663
05/08/2013,54.02,0.011169141
02/08/2013,53.42,0.006196621
01/08/2013,53.09,0.019015595
31/07/2013,52.09,0.010808829
30/07/2013,51.53,0.00818399
29/07/2013,51.11,0.010028596
26/07/2013,50.6,0.011928571
25/07/2013,50,-0.017839918
24/07/2013,50.9,-0.011718884
23/07/2013,51.5,-0.013117472
22/07/2013,52.18,0.00307102
19/07/2013,52.02,0.002502167
18/07/2013,51.89,0.000964041
17/07/2013,51.84,-0.010553681
16/07/2013,52.39,0.002675843
15/07/2013,52.25,-0.001147667
12/07/2013,52.31,0.00191351
11/07/2013,52.21,0.018948749
10/07/2013,51.23,-0.000585423
09/07/2013,51.26,0.005673497
08/07/2013,50.97,0.007483296
05/07/2013,50.59,0.002572985
03/07/2013,50.46,-0.015534675
02/07/2013,51.25,-0.036402487
01/07/2013,53.15,0.019569353
28/06/2013,52.12,0.004808164
27/06/2013,51.87,0.009296987
26/06/2013,51.39,0.017272265
25/06/2013,50.51,0.003570016
24/06/2013,50.33,-0.003173976
21/06/2013,50.49,0.002181026
20/06/2013,50.38,-0.025863511
19/06/2013,51.7,-0.017068206
18/06/2013,52.59,0.00457405
17/06/2013,52.35,0.006323677
14/06/2013,52.02,0.000192252
13/06/2013,52.01,0.009660044
12/06/2013,51.51,-0.012539954
11/06/2013,52.16,-0.012195273
10/06/2013,52.8,-0.010175328
07/06/2013,53.34,0.018925622
06/06/2013,52.34,0.00747918
05/06/2013,51.95,-0.003075151
04/06/2013,52.11,-0.024641125
03/06/2013,53.41,0.007517419
31/05/2013,53.01,-0.025148014
30/05/2013,54.36,0.015012792
29/05/2013,53.55,0.001495048
28/05/2013,53.47,0.008828835
24/05/2013,53,0.021358554
23/05/2013,51.88,0.007351552
22/05/2013,51.5,-0.007544286
21/05/2013,51.89,0.008515631
20/05/2013,51.45,-0.014663585
17/05/2013,52.21,0.008656397
16/05/2013,51.76,0.029806128
15/05/2013,50.24,0.002191891
14/05/2013,50.13,0.015479252
13/05/2013,49.36,0.000202614
10/05/2013,49.35,0.011207453
09/05/2013,48.8,-0.02229069
08/05/2013,49.9,-0.004997512
07/05/2013,50.15,-0.001593943
06/05/2013,50.23,0.000398248
03/05/2013,50.21,0.005992827
02/05/2013,49.91,0.01371819
01/05/2013,49.23,-0.002434572
30/04/2013,49.35,0.032958699
29/04/2013,47.75,-0.000837346
26/04/2013,47.79,-0.014128637
25/04/2013,48.47,0.008911053
24/04/2013,48.04,-0.017538879
23/04/2013,48.89,0.022756464
22/04/2013,47.79,-0.015159671
19/04/2013,48.52,0.02462048
18/04/2013,47.34,-0.001266625
17/04/2013,47.4,-0.014867827
16/04/2013,48.11,-0.001453941
15/04/2013,48.18,-0.020746354
12/04/2013,49.19,-0.00466485
11/04/2013,49.42,0.013239831
10/04/2013,48.77,0.002874745
09/04/2013,48.63,0.001234568
08/04/2013,48.57,0.015143947
05/04/2013,47.84,-0.008533718
04/04/2013,48.25,-0.002070394
03/04/2013,48.35,-0.009059152
02/04/2013,48.79,0.031015078
01/04/2013,47.3,-0.007162449
28/03/2013,47.64,0.004839568
27/03/2013,47.41,-0.002738285
26/03/2013,47.54,0.015901957
25/03/2013,46.79,0.004283579
22/03/2013,46.59,0.007108269
21/03/2013,46.26,-0.013100155
20/03/2013,46.87,-0.007016081
19/03/2013,47.2,0.002120892
18/03/2013,47.1,0.029081209
15/03/2013,45.75,0.022994601
14/03/2013,44.71,0.018510687
13/03/2013,43.89,0.013995869
12/03/2013,43.28,-0.00438041
11/03/2013,43.47,-0.01189129
08/03/2013,43.99,-0.001363017
07/03/2013,44.05,0.018328119
06/03/2013,43.25,-0.020369167
05/03/2013,44.14,-0.006998561
04/03/2013,44.45,0.013818319
01/03/2013,43.84,-0.009082715
