Date,Close,IP
04/04/2014,45.81,-0.014519705
03/04/2014,46.48,-0.003436429
02/04/2014,46.64,0.016865265
01/04/2014,45.86,-0.000436015
31/03/2014,45.88,0.001745201
28/03/2014,45.8,0.004815067
27/03/2014,45.58,0.012806534
26/03/2014,45,-0.023933517
25/03/2014,46.09,0.011785383
24/03/2014,45.55,-0.005036691
21/03/2014,45.78,0.00745454
20/03/2014,45.44,-0.002856831
19/03/2014,45.57,-0.003942186
18/03/2014,45.75,-0.003926707
17/03/2014,45.93,-0.004344999
14/03/2014,46.13,-0.006482304
13/03/2014,46.43,-0.01390248
12/03/2014,47.08,-0.003604372
11/03/2014,47.25,-0.013245227
10/03/2014,47.88,-0.005623258
07/03/2014,48.15,0.000415455
06/03/2014,48.13,-0.006213773
05/03/2014,48.43,0.004345584
04/03/2014,48.22,0.009166731
03/03/2014,47.78,-0.022965735
28/02/2014,48.89,0.000818498
27/02/2014,48.85,-0.003881913
26/02/2014,49.04,-0.000815328
25/02/2014,49.08,0.003878743
24/02/2014,48.89,-0.005507408
21/02/2014,49.16,-0.004262668
20/02/2014,49.37,0.013458604
19/02/2014,48.71,-0.010212507
18/02/2014,49.21,0.000609818
14/02/2014,49.18,0.001628002
13/02/2014,49.1,0.006743665
12/02/2014,48.77,0.006789451
11/02/2014,48.44,0.008083783
10/02/2014,48.05,0.013198055
07/02/2014,47.42,0.009109268
06/02/2014,46.99,0.003197274
05/02/2014,46.84,0.022016862
04/02/2014,45.82,-0.005224217
03/02/2014,46.06,-0.035824727
31/01/2014,47.74,0.013284328
30/01/2014,47.11,0.00425442
29/01/2014,46.91,0.016767375
28/01/2014,46.13,0.008490309
27/01/2014,45.74,0.00394305
24/01/2014,45.56,-0.041489024
23/01/2014,47.49,-0.005459904
22/01/2014,47.75,-0.00896493
21/01/2014,48.18,-0.003315378
17/01/2014,48.34,-0.010699691
16/01/2014,48.86,0.000409417
15/01/2014,48.84,0.002665301
14/01/2014,48.71,0.011978665
13/01/2014,48.13,-0.016485022
10/01/2014,48.93,-0.005502918
09/01/2014,49.2,0.003869265
08/01/2014,49.01,0.001020721
07/01/2014,48.96,0.009646047
06/01/2014,48.49,-0.002677378
03/01/2014,48.62,-0.003695344
02/01/2014,48.8,-0.004702043
31/12/2013,49.03,0.000612058
30/12/2013,49,-0.000815994
27/12/2013,49.04,-0.00407001
26/12/2013,49.24,0.002440017
24/12/2013,49.12,0.004897969
23/12/2013,48.88,0.010902093
20/12/2013,48.35,-0.010288157
19/12/2013,48.85,-0.01301625
18/12/2013,49.49,0.023097603
17/12/2013,48.36,-0.000413479
16/12/2013,48.38,0.011433447
13/12/2013,47.83,0.035106254
12/12/2013,46.18,-0.001082134
11/12/2013,46.23,-0.013748874
10/12/2013,46.87,0.00106735
09/12/2013,46.82,0.008149305
06/12/2013,46.44,0.007999178
05/12/2013,46.07,0.001303215
04/12/2013,46.01,-0.005635039
03/12/2013,46.27,-0.011175702
02/12/2013,46.79,0.002996578
29/11/2013,46.65,-0.001713429
27/11/2013,46.73,-0.004057667
26/11/2013,46.92,0.000426348
25/11/2013,46.9,0.000213242
22/11/2013,46.89,0.003846159
21/11/2013,46.71,0.032418808
20/11/2013,45.22,0.00044238
19/11/2013,45.2,-0.001768347
18/11/2013,45.28,-0.005506015
15/11/2013,45.53,0.009489203
14/11/2013,45.1,0.012270093
13/11/2013,44.55,0.002697237
12/11/2013,44.43,-0.001798966
11/11/2013,44.51,0.012433753
08/11/2013,43.96,0.019757132
07/11/2013,43.1,-0.007627449
06/11/2013,43.43,-0.003218394
05/11/2013,43.57,-0.039820805
04/11/2013,45.34,0.008416439
01/11/2013,44.96,0.007815156
31/10/2013,44.61,0.003368141
30/10/2013,44.46,-0.000899281
29/10/2013,44.5,-0.012505746
28/10/2013,45.06,-0.01125467
25/10/2013,45.57,0.013031659
24/10/2013,44.98,0.013203728
23/10/2013,44.39,-0.003373443
22/10/2013,44.54,0.001797753
21/10/2013,44.46,-0.022462859
18/10/2013,45.47,0.004187334
17/10/2013,45.28,0.006869833
16/10/2013,44.97,0.008710273
15/10/2013,44.58,-0.016904317
14/10/2013,45.34,0.009974592
11/10/2013,44.89,0.013681945
10/10/2013,44.28,0.025387298
09/10/2013,43.17,0.000231669
08/10/2013,43.16,-0.012205103
07/10/2013,43.69,-0.000228859
04/10/2013,43.7,-0.003654641
03/10/2013,43.86,-0.016731116
02/10/2013,44.6,-0.015131575
01/10/2013,45.28,0.010657294
30/09/2013,44.8,-0.014184635
27/09/2013,45.44,-0.039906082
26/09/2013,47.29,0.012554692
25/09/2013,46.7,-0.007254139
24/09/2013,47.04,-0.001062361
23/09/2013,47.09,-0.014755748
20/09/2013,47.79,-0.000627549
19/09/2013,47.82,-0.005838215
18/09/2013,48.1,-0.000207879
17/09/2013,48.11,-0.026662777
16/09/2013,49.41,0.015090009
13/09/2013,48.67,0.011157141
12/09/2013,48.13,-0.025234696
11/09/2013,49.36,0.001825003
10/09/2013,49.27,0.00243853
09/09/2013,49.15,0.026596764
06/09/2013,47.86,0.004397452
05/09/2013,47.65,-0.003143009
04/09/2013,47.8,0.006927707
03/09/2013,47.47,0.005492198
30/08/2013,47.21,-0.010325663
29/08/2013,47.7,0.014783796
28/08/2013,47,0.010695289
27/08/2013,46.5,-0.01494158
26/08/2013,47.2,0.00722946
23/08/2013,46.86,0.007927197
22/08/2013,46.49,-0.001074922
21/08/2013,46.54,-0.014081735
20/08/2013,47.2,0.004459079
19/08/2013,46.99,-0.020641002
16/08/2013,47.97,0.013220211
15/08/2013,47.34,-0.032421792
14/08/2013,48.9,0.016079505
13/08/2013,48.12,-0.002075982
12/08/2013,48.22,0.004156282
09/08/2013,48.02,0.000833333
08/08/2013,47.98,0.000208442
07/08/2013,47.97,-0.005820012
06/08/2013,48.25,-0.00805041
05/08/2013,48.64,-0.015504187
02/08/2013,49.4,-0.001820205
01/08/2013,49.49,0.02413205
31/07/2013,48.31,-0.009476791
30/07/2013,48.77,-0.000410004
29/07/2013,48.79,-0.006537306
26/07/2013,49.11,-0.021753124
25/07/2013,50.19,0.061210069
24/07/2013,47.21,0.007014589
23/07/2013,46.88,-0.011031083
22/07/2013,47.4,-0.006728369
19/07/2013,47.72,-0.003138406
18/07/2013,47.87,0.002300534
17/07/2013,47.76,-0.013104712
16/07/2013,48.39,0.005803125
15/07/2013,48.11,-0.000415628
12/07/2013,48.13,0.011913611
11/07/2013,47.56,0.023830915
10/07/2013,46.44,-0.009643276
09/07/2013,46.89,0.006847876
08/07/2013,46.57,0.005382724
05/07/2013,46.32,0.011944979
03/07/2013,45.77,0.000437063
02/07/2013,45.75,0.013644578
01/07/2013,45.13,0.018336829
28/06/2013,44.31,0.009296065
27/06/2013,43.9,-0.005225503
26/06/2013,44.13,0.018756268
25/06/2013,43.31,0.009744857
24/06/2013,42.89,-0.016418452
21/06/2013,43.6,-0.015024184
20/06/2013,44.26,-0.03354752
19/06/2013,45.77,-0.004360155
18/06/2013,45.97,-0.006288647
17/06/2013,46.26,0.01986748
14/06/2013,45.35,-0.005716814
13/06/2013,45.61,0.035255771
12/06/2013,44.03,-0.028656539
11/06/2013,45.31,-0.00550238
10/06/2013,45.56,-0.001316078
07/06/2013,45.62,0.013239381
06/06/2013,45.02,0.015670793
05/06/2013,44.32,-0.02649604
04/06/2013,45.51,-0.009186416
03/06/2013,45.93,-0.004778463
31/05/2013,46.15,-0.014627062
30/05/2013,46.83,-0.00064041
29/05/2013,46.86,-0.020697677
28/05/2013,47.84,0.016651244
24/05/2013,47.05,-0.002759208
23/05/2013,47.18,0.014517761
22/05/2013,46.5,-0.026526754
21/05/2013,47.75,0.005038852
20/05/2013,47.51,-0.014003782
17/05/2013,48.18,0.015899917
16/05/2013,47.42,-0.026224187
15/05/2013,48.68,0.008458018
14/05/2013,48.27,0.015449159
13/05/2013,47.53,0.021908778
10/05/2013,46.5,-0.008991711
09/05/2013,46.92,0.000213151
08/05/2013,46.91,0.008348545
07/05/2013,46.52,0.013635099
06/05/2013,45.89,0.005901012
03/05/2013,45.62,0.03003897
02/05/2013,44.27,-0.035939982
01/05/2013,45.89,-0.023474751
30/04/2013,46.98,-0.004671913
29/04/2013,47.2,0.016878939
26/04/2013,46.41,-0.024897552
25/04/2013,47.58,-0.019151293
24/04/2013,48.5,0.016842066
23/04/2013,47.69,0.011387723
22/04/2013,47.15,0.031892382
19/04/2013,45.67,0.015890866
18/04/2013,44.95,-0.023308003
17/04/2013,46.01,-0.031239168
16/04/2013,47.47,0.045908287
15/04/2013,45.34,-0.061169376
12/04/2013,48.2,-0.000622213
11/04/2013,48.23,0.010421103
10/04/2013,47.73,0.008627092
09/04/2013,47.32,0.00359903
08/04/2013,47.15,0.021437048
05/04/2013,46.15,-0.012061314
04/04/2013,46.71,0.008816313
03/04/2013,46.3,-0.037308269
02/04/2013,48.06,0.03709231
01/04/2013,46.31,-0.005813344
28/03/2013,46.58,0.021921659
27/03/2013,45.57,-0.004379249
26/03/2013,45.77,0.014968362
25/03/2013,45.09,-0.000221754
22/03/2013,45.1,0.005335717
21/03/2013,44.86,-0.016141865
20/03/2013,45.59,0.014137633
19/03/2013,44.95,-0.009741056
18/03/2013,45.39,-0.005930825
15/03/2013,45.66,-0.005242476
14/03/2013,45.9,0.003491928
13/03/2013,45.74,-0.010655749
12/03/2013,46.23,-0.016518664
11/03/2013,47,0.004691841
08/03/2013,46.78,0.011610537
07/03/2013,46.24,0.004117462
06/03/2013,46.05,0.017304122
05/03/2013,45.26,0.016035978
04/03/2013,44.54,0.005854554
01/03/2013,44.28,0.006116227
28/02/2013,44.01,-0.000908472
27/02/2013,44.05,0.029956157
26/02/2013,42.75,0.022712119
25/02/2013,41.79,-0.028543039
22/02/2013,43,0.040095514
21/02/2013,41.31,0.030476677
20/02/2013,40.07,-0.044896537
19/02/2013,41.91,-0.006184606
15/02/2013,42.17,0.008812728
14/02/2013,41.8,0.001196888
13/02/2013,41.75,-0.006208234
12/02/2013,42.01,-0.003801383
11/02/2013,42.17,-0.010145186
08/02/2013,42.6,0.010619569
07/02/2013,42.15,-0.007092228
06/02/2013,42.45,-0.007977518
05/02/2013,42.79,0.015781743
04/02/2013,42.12,-0.005445734
01/02/2013,42.35,0.022204565
31/01/2013,41.42,-0.008414523
30/01/2013,41.77,-0.003107448
29/01/2013,41.9,-0.00523686
28/01/2013,42.12,-0.009216655
25/01/2013,42.51,0.002826857
24/01/2013,42.39,0.003308132
23/01/2013,42.25,0.004507184
22/01/2013,42.06,0.003572708
18/01/2013,41.91,0.006463218
17/01/2013,41.64,0.025539513
16/01/2013,40.59,-0.005160351
15/01/2013,40.8,-0.000735024
14/01/2013,40.83,0.017791426
11/01/2013,40.11,0.002496257
10/01/2013,40.01,-0.007966186
09/01/2013,40.33,-0.00198167
08/01/2013,40.41,-0.009359674
07/01/2013,40.79,-0.001469868
04/01/2013,40.85,0.011819886
03/01/2013,40.37,-0.002968095
02/01/2013,40.49,0.016183597
31/12/2012,39.84,0.023620146
28/12/2012,38.91,-0.018082754
27/12/2012,39.62,-0.001765226
26/12/2012,39.69,0.005558377
24/12/2012,39.47,0.00406195
21/12/2012,39.31,-0.007097622
20/12/2012,39.59,0.01758231
19/12/2012,38.9,-0.001027749
18/12/2012,38.94,0.020234153
17/12/2012,38.16,0.002623985
14/12/2012,38.06,0.011096547
13/12/2012,37.64,0.006931513
12/12/2012,37.38,0.006710534
11/12/2012,37.13,0.021781422
10/12/2012,36.33,0.008014413
07/12/2012,36.04,0.001944175
06/12/2012,35.97,-0.001666667
05/12/2012,36.03,-0.006087457
04/12/2012,36.25,-0.015330166
03/12/2012,36.81,-0.008925009
30/11/2012,37.14,-0.004566831
29/11/2012,37.31,0.010237158
28/11/2012,36.93,0.018584848
27/11/2012,36.25,0.004146516
26/11/2012,36.1,-0.00442234
23/11/2012,36.26,0.022309905
21/11/2012,35.46,0.002824063
20/11/2012,35.36,-0.006483462
19/11/2012,35.59,0.036627843
16/11/2012,34.31,0.019423801
15/11/2012,33.65,0.000891928
14/11/2012,33.62,-0.021771969
13/11/2012,34.36,-0.008693187
12/11/2012,34.66,-0.005466853
09/11/2012,34.85,0.010673691
08/11/2012,34.48,-0.014111105
07/11/2012,34.97,-0.018416727
06/11/2012,35.62,0.007043275
05/11/2012,35.37,-0.015708598
02/11/2012,35.93,-0.027451628
01/11/2012,36.93,0.030238698
31/10/2012,35.83,0.004755919
26/10/2012,35.66,0.011280435
25/10/2012,35.26,-0.031269996
24/10/2012,36.38,-0.010935046
23/10/2012,36.78,-0.022847385
22/10/2012,37.63,0.005596284
19/10/2012,37.42,-0.019320437
18/10/2012,38.15,0.016918194
17/10/2012,37.51,-0.018227952
16/10/2012,38.2,0.016097458
15/10/2012,37.59,0.021240212
12/10/2012,36.8,-0.011885607
11/10/2012,37.24,0.017062025
10/10/2012,36.61,0.001093195
09/10/2012,36.57,-0.007627386
08/10/2012,36.85,0.001086071
05/10/2012,36.81,0.008731297
04/10/2012,36.49,0.008255413
03/10/2012,36.19,0.005541715
02/10/2012,35.99,-0.004712413
01/10/2012,36.16,-0.004415018
28/09/2012,36.32,-0.006312632
27/09/2012,36.55,0.014329261
26/09/2012,36.03,0.001666667
25/09/2012,35.97,-0.022268961
24/09/2012,36.78,0.035139872
21/09/2012,35.51,0.02307466
20/09/2012,34.7,0.016562924
19/09/2012,34.13,0.001759531
18/09/2012,34.07,-0.003223446
17/09/2012,34.18,-0.03845524
14/09/2012,35.52,-0.006734032
13/09/2012,35.76,0.019769071
12/09/2012,35.06,0.016681434
11/09/2012,34.48,-0.008950543
10/09/2012,34.79,-0.042487752
07/09/2012,36.3,0.020877585
06/09/2012,35.55,0.039299479
05/09/2012,34.18,0
04/09/2012,34.18,-0.011056266
31/08/2012,34.56,0.005803847
30/08/2012,34.36,-0.01416004
29/08/2012,34.85,0.014742282
28/08/2012,34.34,-0.003488376
27/08/2012,34.46,-0.002608319
24/08/2012,34.55,0.011059484
23/08/2012,34.17,-0.015967824
22/08/2012,34.72,0.001729606
21/08/2012,34.66,0.003468212
20/08/2012,34.54,-0.001157408
17/08/2012,34.58,-0.008638119
16/08/2012,34.88,0.015602744
15/08/2012,34.34,0.006720259
14/08/2012,34.11,0.004996337
