Date,Close,LRCX
04/04/2014,56,-0.029558802
03/04/2014,57.68,0.012385679
02/04/2014,56.97,0.023981965
01/04/2014,55.62,0.011209664
31/03/2014,55,0.009315987
28/03/2014,54.49,0.000550711
27/03/2014,54.46,-0.012590258
26/03/2014,55.15,-0.025775545
25/03/2014,56.59,0.003363133
24/03/2014,56.4,0.000532056
21/03/2014,56.37,-0.00106383
20/03/2014,56.43,0.034983733
19/03/2014,54.49,-0.006220291
18/03/2014,54.83,0.028864168
17/03/2014,53.27,0.012657201
14/03/2014,52.6,-0.006254166
13/03/2014,52.93,-0.013511183
12/03/2014,53.65,0.013322272
11/03/2014,52.94,-0.002641013
10/03/2014,53.08,-0.005073768
07/03/2014,53.35,0
06/03/2014,53.35,0.025053502
05/03/2014,52.03,0.020779464
04/03/2014,50.96,-0.003134799
03/03/2014,51.12,-0.011862074
28/02/2014,51.73,-0.001931248
27/02/2014,51.83,-0.015317167
26/02/2014,52.63,0.001330925
25/02/2014,52.56,-0.001140901
24/02/2014,52.62,0.006673683
21/02/2014,52.27,-0.001529345
20/02/2014,52.35,0.006900545
19/02/2014,51.99,0.004433742
18/02/2014,51.76,-0.013814494
14/02/2014,52.48,0.010920695
13/02/2014,51.91,-0.014534584
12/02/2014,52.67,0.000569746
11/02/2014,52.64,0.019954615
10/02/2014,51.6,-0.004833262
07/02/2014,51.85,0.01554939
06/02/2014,51.05,0.02178304
05/02/2014,49.95,0.009858243
04/02/2014,49.46,0.017952339
03/02/2014,48.58,-0.040937262
31/01/2014,50.61,-0.012761536
30/01/2014,51.26,0.000195103
29/01/2014,51.25,0.000585537
28/01/2014,51.22,0.00508907
27/01/2014,50.96,-0.006064775
24/01/2014,51.27,-0.052618727
23/01/2014,54.04,-0.024494005
22/01/2014,55.38,0.016935668
21/01/2014,54.45,0.004048589
17/01/2014,54.23,-0.012279088
16/01/2014,54.9,-0.018945086
15/01/2014,55.95,0.001072961
14/01/2014,55.89,0.023717958
13/01/2014,54.58,-0.005481468
10/01/2014,54.88,0.012468075
09/01/2014,54.2,0.000369072
08/01/2014,54.18,0.004995847
07/01/2014,53.91,0.012318185
06/01/2014,53.25,-0.012874513
03/01/2014,53.94,-0.000185374
02/01/2014,53.95,-0.009225158
31/12/2013,54.45,0.000183672
30/12/2013,54.44,0.004787341
27/12/2013,54.18,-0.002580647
26/12/2013,54.32,-0.001471671
24/12/2013,54.4,0
23/12/2013,54.4,0.009233676
20/12/2013,53.9,0.016461277
19/12/2013,53.02,-0.001507727
18/12/2013,53.1,0.017477649
17/12/2013,52.18,0.018178803
16/12/2013,51.24,0.003323236
13/12/2013,51.07,0.005104055
12/12/2013,50.81,-0.008622432
11/12/2013,51.25,-0.006612237
10/12/2013,51.59,-0.001355932
09/12/2013,51.66,0.009725811
06/12/2013,51.16,0.006077854
