Date,Close,HIG
04/04/2014,35.37,-0.018487922
03/04/2014,36.03,0.002222841
02/04/2014,35.95,0.007258547
01/04/2014,35.69,0.011837793
31/03/2014,35.27,0.011119145
28/03/2014,34.88,0.011824219
27/03/2014,34.47,-0.012397449
26/03/2014,34.9,-0.012528638
25/03/2014,35.34,-0.001131222
24/03/2014,35.38,-0.001129944
21/03/2014,35.42,-0.001128668
20/03/2014,35.46,0.017639149
19/03/2014,34.84,-0.007150038
18/03/2014,35.09,-0.003413944
17/03/2014,35.21,-0.001135396
14/03/2014,35.25,0.008833225
13/03/2014,34.94,-0.017026518
12/03/2014,35.54,-0.003651177
11/03/2014,35.67,-0.005312469
10/03/2014,35.86,-0.00306279
07/03/2014,35.97,-0.004715027
06/03/2014,36.14,0.00193879
05/03/2014,36.07,0.006675964
04/03/2014,35.83,0.030318231
03/03/2014,34.76,-0.012294651
28/02/2014,35.19,0.014598799
27/02/2014,34.68,0.005493725
26/02/2014,34.49,0.003194427
25/02/2014,34.38,-0.007534084
24/02/2014,34.64,0.009572227
21/02/2014,34.31,-0.000873999
20/02/2014,34.34,-0.000582242
19/02/2014,34.36,-0.013585987
18/02/2014,34.83,0.004604325
14/02/2014,34.67,0.003467209
13/02/2014,34.55,-0.004332137
12/02/2014,34.7,0.001730603
11/02/2014,34.64,0.011906631
10/02/2014,34.23,-0.005244767
07/02/2014,34.41,0.013163858
06/02/2014,33.96,0.012444605
05/02/2014,33.54,0.021700671
04/02/2014,32.82,0.019692944
03/02/2014,32.18,-0.032709626
31/01/2014,33.25,-0.01492565
30/01/2014,33.75,0.02642003
29/01/2014,32.87,-0.019283514
28/01/2014,33.51,0.02324633
27/01/2014,32.74,-0.000915891
24/01/2014,32.77,-0.03183452
23/01/2014,33.83,-0.030565616
22/01/2014,34.88,-0.004291238
21/01/2014,35.03,-0.00654434
17/01/2014,35.26,-0.008190979
16/01/2014,35.55,-0.013134183
15/01/2014,36.02,0.018493102
14/01/2014,35.36,0.016826292
13/01/2014,34.77,-0.033095935
10/01/2014,35.94,0.004461803
09/01/2014,35.78,0.007574731
08/01/2014,35.51,0.001409046
07/01/2014,35.46,-0.003378382
06/01/2014,35.58,0.001406272
03/01/2014,35.53,0.00366559
02/01/2014,35.4,-0.023175685
31/12/2013,36.23,-0.000551876
30/12/2013,36.25,-0.002204465
27/12/2013,36.33,-0.006584386
26/12/2013,36.57,-0.001366307
24/12/2013,36.62,0.000273112
23/12/2013,36.61,0.014859932
20/12/2013,36.07,0.015365577
19/12/2013,35.52,-0.000281492
18/12/2013,35.53,0.015029349
17/12/2013,35,-0.001712818
16/12/2013,35.06,0.001141553
13/12/2013,35.02,-0.002281804
12/12/2013,35.1,-0.004831614
11/12/2013,35.27,-0.022428751
10/12/2013,36.07,-0.002215454
09/12/2013,36.15,0.005826067
06/12/2013,35.94,0.015704193
05/12/2013,35.38,-0.005918011
04/12/2013,35.59,0.004788067
03/12/2013,35.42,-0.009273637
02/12/2013,35.75,0.00336229
29/11/2013,35.63,-0.011718884
27/11/2013,36.05,0.009196108
26/11/2013,35.72,-0.003911712
25/11/2013,35.86,0.008401058
22/11/2013,35.56,0.004509591
21/11/2013,35.4,0.012221269
20/11/2013,34.97,0.006886684
19/11/2013,34.73,-0.009457013
18/11/2013,35.06,-0.010780246
15/11/2013,35.44,-0.002254792
14/11/2013,35.52,0.016463613
13/11/2013,34.94,0.019070211
12/11/2013,34.28,-0.00813485
11/11/2013,34.56,0.00755159
08/11/2013,34.3,0.037426406
07/11/2013,33.04,-0.026875311
06/11/2013,33.94,0.007393202
05/11/2013,33.69,-0.008865306
04/11/2013,33.99,0.010053308
01/11/2013,33.65,-0.001484781
31/10/2013,33.7,-0.014435366
30/10/2013,34.19,0.003809528
29/10/2013,34.06,0.004708661
28/10/2013,33.9,0.009782203
25/10/2013,33.57,0.002684565
24/10/2013,33.48,0.010810916
23/10/2013,33.12,-0.0176572
22/10/2013,33.71,-0.005325456
21/10/2013,33.89,-0.003240539
18/10/2013,34,-0.003816238
17/10/2013,34.13,0.015055635
16/10/2013,33.62,0.018613567
15/10/2013,33,-0.005439723
14/10/2013,33.18,0.010604553
11/10/2013,32.83,0.004273511
10/10/2013,32.69,0.018213191
