Date,Close,CME
04/04/2014,70.6,-0.022132855
03/04/2014,72.18,-0.001246106
02/04/2014,72.27,-0.005381921
01/04/2014,72.66,-0.0185443
31/03/2014,74.02,0.002570174
28/03/2014,73.83,-0.001218274
27/03/2014,73.92,-0.014771317
26/03/2014,75.02,-0.020058735
25/03/2014,76.54,-0.006511287
24/03/2014,77.04,-0.005307799
21/03/2014,77.45,0.006866646
20/03/2014,76.92,0.015855669
19/03/2014,75.71,-0.002638176
18/03/2014,75.91,-0.004600126
17/03/2014,76.26,0.011871924
14/03/2014,75.36,0.007726161
13/03/2014,74.78,-0.016840549
12/03/2014,76.05,0.001842591
11/03/2014,75.91,-0.010744338
10/03/2014,76.73,-0.003122969
07/03/2014,76.97,0.002732064
06/03/2014,76.76,0.004439229
05/03/2014,76.42,0.005511102
04/03/2014,76,0.025182864
03/03/2014,74.11,0.003920778
28/02/2014,73.82,0.008980874
27/02/2014,73.16,0.007959422
26/02/2014,72.58,-0.009325356
25/02/2014,73.26,-0.014365337
24/02/2014,74.32,0.008241619
21/02/2014,73.71,-0.000678104
20/02/2014,73.76,-0.013600156
19/02/2014,74.77,-0.01920716
18/02/2014,76.22,-0.011609078
14/02/2014,77.11,0.001557431
13/02/2014,76.99,0.002470903
12/02/2014,76.8,0.003260518
11/02/2014,76.55,0.013017079
10/02/2014,75.56,-0.001719009
07/02/2014,75.69,-0.003824096
06/02/2014,75.98,0.032368748
05/02/2014,73.56,-0.000679486
04/02/2014,73.61,0.005858726
03/02/2014,73.18,-0.021360823
31/01/2014,74.76,0.005902888
30/01/2014,74.32,0.027002868
29/01/2014,72.34,-0.011818194
28/01/2014,73.2,0.003695344
27/01/2014,72.93,-0.020224646
24/01/2014,74.42,-0.014540375
23/01/2014,75.51,-0.004492608
22/01/2014,75.85,0.001583323
21/01/2014,75.73,0.003174186
17/01/2014,75.49,-0.000132459
16/01/2014,75.5,-0.003437793
15/01/2014,75.76,0.006223125
14/01/2014,75.29,0.017011997
13/01/2014,74.02,-0.032824686
10/01/2014,76.49,-0.007943267
09/01/2014,77.1,0.000518941
08/01/2014,77.06,-0.009814128
07/01/2014,77.82,-0.00742546
06/01/2014,78.4,-0.010152371
03/01/2014,79.2,0.015780424
02/01/2014,77.96,-0.006393066
31/12/2013,78.46,0.000254939
30/12/2013,78.44,-0.005973961
27/12/2013,78.91,-0.012217546
26/12/2013,79.88,-0.001876056
24/12/2013,80.03,-0.037883782
23/12/2013,83.12,-0.008028322
20/12/2013,83.79,0.001313668
19/12/2013,83.68,-0.011406968
18/12/2013,84.64,0.020892541
17/12/2013,82.89,0.006414545
16/12/2013,82.36,0.01037417
13/12/2013,81.51,0.017325022
12/12/2013,80.11,0.014839307
11/12/2013,78.93,-0.010209958
10/12/2013,79.74,-0.016048115
09/12/2013,81.03,0.013167892
06/12/2013,79.97,0.010812275
05/12/2013,79.11,-0.011937065
04/12/2013,80.06,-0.011302362
03/12/2013,80.97,-0.0051737
02/12/2013,81.39,-0.00685689
29/11/2013,81.95,-0.004383302
27/11/2013,82.31,0.004383302
26/11/2013,81.95,-0.004140288
25/11/2013,82.29,-0.018779895
22/11/2013,83.85,0.003225231
21/11/2013,83.58,0.026183314
20/11/2013,81.42,0.003444885
19/11/2013,81.14,0.017028564
18/11/2013,79.77,0.00263604
15/11/2013,79.56,0.009090972
14/11/2013,78.84,0.002667176
13/11/2013,78.63,0.000763359
12/11/2013,78.57,0.008050647
11/11/2013,77.94,0.001669342
08/11/2013,77.81,0.041325484
07/11/2013,74.66,-0.000937144
06/11/2013,74.73,0.014421707
05/11/2013,73.66,-0.002169787
04/11/2013,73.82,-0.011850395
01/11/2013,74.7,0.00658118
31/10/2013,74.21,-0.009922313
30/10/2013,74.95,-0.000800213
29/10/2013,75.01,-0.002130777
28/10/2013,75.17,-0.017538526
25/10/2013,76.5,-0.006124995
24/10/2013,76.97,-0.003242755
23/10/2013,77.22,-0.006582792
22/10/2013,77.73,0.01412215
21/10/2013,76.64,-0.002476055
18/10/2013,76.83,0.000911518
17/10/2013,76.76,0.003523658
16/10/2013,76.49,0.017407798
15/10/2013,75.17,-0.00239171
14/10/2013,75.35,0.007994713
11/10/2013,74.75,0.003350087
10/10/2013,74.5,0.033577605
09/10/2013,72.04,-0.005537113
08/10/2013,72.44,-0.026562891
07/10/2013,74.39,-0.008166589
04/10/2013,75,0.014369414
03/10/2013,73.93,-0.000540906
02/10/2013,73.97,-0.011158279
01/10/2013,74.8,0.01237573
30/09/2013,73.88,-0.012776719
27/09/2013,74.83,-0.006394054
26/09/2013,75.31,0.010008758
25/09/2013,74.56,0.020733855
24/09/2013,73.03,-0.00791057
23/09/2013,73.61,-0.012689155
20/09/2013,74.55,0.009298632
