Date,Close,AES
04/04/2014,14.33,0.005598335
03/04/2014,14.25,0
02/04/2014,14.25,-0.004201687
01/04/2014,14.31,0.002098637
31/03/2014,14.28,-0.000700035
28/03/2014,14.29,0.01907511
27/03/2014,14.02,0.020901662
26/03/2014,13.73,-0.014461568
25/03/2014,13.93,0.004316553
24/03/2014,13.87,-0.001440922
21/03/2014,13.89,-0.005743017
20/03/2014,13.97,0.010072028
19/03/2014,13.83,-0.013644736
18/03/2014,14.02,0.007876876
17/03/2014,13.91,0.007215039
14/03/2014,13.81,-0.002169983
13/03/2014,13.84,0
12/03/2014,13.84,0.016758134
11/03/2014,13.61,-0.016758134
10/03/2014,13.84,-0.015059446
07/03/2014,14.05,0.004279607
06/03/2014,13.99,-0.00356761
05/03/2014,14.04,0.00643089
04/03/2014,13.95,0.006472515
03/03/2014,13.86,0.015267472
28/02/2014,13.65,-0.009478744
27/02/2014,13.78,-0.027908788
26/02/2014,14.17,-0.008432938
25/02/2014,14.29,0.00140056
24/02/2014,14.27,-0.024914784
21/02/2014,14.63,0.007547206
20/02/2014,14.52,0.007604599
19/02/2014,14.41,-0.023998409
18/02/2014,14.76,0.009530365
14/02/2014,14.62,0.008931698
13/02/2014,14.49,0.012500163
12/02/2014,14.31,-0.001396648
11/02/2014,14.33,0.019732846
10/02/2014,14.05,-0.000711491
07/02/2014,14.06,0.007137789
06/02/2014,13.96,0.008633147
05/02/2014,13.84,0.000722805
04/02/2014,13.83,0.008714652
03/02/2014,13.71,-0.025208393
31/01/2014,14.06,0.007854378
30/01/2014,13.95,0.014440684
29/01/2014,13.75,-0.015873349
28/01/2014,13.97,0.023905521
27/01/2014,13.64,-0.00584797
24/01/2014,13.72,-0.033682869
23/01/2014,14.19,-0.019540049
22/01/2014,14.47,0.002768168
21/01/2014,14.43,0.009049836
17/01/2014,14.3,-0.000699056
16/01/2014,14.31,0.000699056
15/01/2014,14.3,-0.009742596
14/01/2014,14.44,0.012543718
13/01/2014,14.26,-0.018757063
10/01/2014,14.53,0.004829261
09/01/2014,14.46,0.011126679
08/01/2014,14.3,-0.020076825
07/01/2014,14.59,0.017283527
06/01/2014,14.34,0.009810871
03/01/2014,14.2,-0.004917467
02/01/2014,14.27,-0.016678635
31/12/2013,14.51,0.00345185
30/12/2013,14.46,0.000691802
27/12/2013,14.45,-0.000691802
26/12/2013,14.46,-0.000691324
24/12/2013,14.47,0.00554402
23/12/2013,14.39,0.004876359
20/12/2013,14.32,0.014064929
19/12/2013,14.12,-0.00635371
18/12/2013,14.21,0.019183537
17/12/2013,13.94,-0.001433692
16/12/2013,13.96,0.020261185
13/12/2013,13.68,-0.01235032
12/12/2013,13.85,-0.033371929
11/12/2013,14.32,-0.011801595
10/12/2013,14.49,-0.015068778
09/12/2013,14.71,-0.020855112
06/12/2013,15.02,0.01881776
05/12/2013,14.74,-0.037941323
04/12/2013,15.31,0.02848818
