Date,Close,BMS
04/04/2014,39.92,-0.006242997
03/04/2014,40.17,0.004240994
02/04/2014,40,0.007024615
01/04/2014,39.72,0.012158204
31/03/2014,39.24,0.023202897
28/03/2014,38.34,0.010487773
27/03/2014,37.94,0.002110819
26/03/2014,37.86,-0.004743092
25/03/2014,38.04,-0.003411629
24/03/2014,38.17,-0.004443871
21/03/2014,38.34,0.001043841
20/03/2014,38.3,-0.000261063
19/03/2014,38.31,-0.012966987
18/03/2014,38.81,0.001031194
17/03/2014,38.77,0.008288056
14/03/2014,38.45,-0.00777206
13/03/2014,38.75,-0.013330113
12/03/2014,39.27,0.002039256
11/03/2014,39.19,-0.006612435
10/03/2014,39.45,0.001775974
07/03/2014,39.38,0.003561439
06/03/2014,39.24,-0.004322957
05/03/2014,39.41,0.001015486
04/03/2014,39.37,0.005603683
03/03/2014,39.15,-0.003315061
28/02/2014,39.28,0.007666789
27/02/2014,38.98,-0.001281887
26/02/2014,39.03,-0.003069841
25/02/2014,39.15,0.012853647
24/02/2014,38.65,-0.005933205
21/02/2014,38.88,-0.002825223
20/02/2014,38.99,0
19/02/2014,38.99,-0.00995287
18/02/2014,39.38,0.008159148
14/02/2014,39.06,0.006678679
13/02/2014,38.8,-0.003088011
12/02/2014,38.92,-0.005892165
11/02/2014,39.15,-0.001786398
10/02/2014,39.22,0.018788353
07/02/2014,38.49,0.017031723
06/02/2014,37.84,0.003441433
05/02/2014,37.71,0.006384698
04/02/2014,37.47,0.001869908
03/02/2014,37.4,-0.029247243
31/01/2014,38.51,-0.003887526
30/01/2014,38.66,0.016956191
29/01/2014,38.01,0.00554018
28/01/2014,37.8,0.006902071
27/01/2014,37.54,-0.008223949
24/01/2014,37.85,-0.021691691
23/01/2014,38.68,-0.001808085
22/01/2014,38.75,-0.030497916
21/01/2014,39.95,0.001001753
17/01/2014,39.91,-0.002002504
16/01/2014,39.99,-0.006232103
15/01/2014,40.24,0.00024854
14/01/2014,40.23,0.007485065
13/01/2014,39.93,-0.013680104
10/01/2014,40.48,0.000741381
09/01/2014,40.45,-0.000494315
08/01/2014,40.47,-0.000247066
07/01/2014,40.48,0.006443641
06/01/2014,40.22,-0.004712895
03/01/2014,40.41,-0.00984987
02/01/2014,40.81,-0.003668831
31/12/2013,40.96,0.00097704
30/12/2013,40.92,0.008343607
27/12/2013,40.58,-0.000739007
26/12/2013,40.61,0.005927407
24/12/2013,40.37,0.010458263
23/12/2013,39.95,0.004264399
20/12/2013,39.78,-0.001758132
19/12/2013,39.85,-0.006004521
18/12/2013,40.09,0.015839426
17/12/2013,39.46,-0.003794111
16/12/2013,39.61,0.013214932
13/12/2013,39.09,0.008735924
12/12/2013,38.75,-0.003091989
11/12/2013,38.87,-0.010492739
10/12/2013,39.28,-0.004572017
09/12/2013,39.46,-0.000253389
06/12/2013,39.47,0.01970129
05/12/2013,38.7,0.003364828
04/12/2013,38.57,-0.002589333
03/12/2013,38.67,-0.005673043
02/12/2013,38.89,-0.003593433
29/11/2013,39.03,-0.001024328
27/11/2013,39.07,-0.003831912
26/11/2013,39.22,-0.001783213
25/11/2013,39.29,-0.006342784
22/11/2013,39.54,-0.001011122
21/11/2013,39.58,0.008372496
20/11/2013,39.25,-0.002798628
19/11/2013,39.36,0.001016777
18/11/2013,39.32,0.004332873
15/11/2013,39.15,0.002813661
14/11/2013,39.04,-0.004854999
13/11/2013,39.23,0.005623737
12/11/2013,39.01,-0.006133421
11/11/2013,39.25,0.004596535
08/11/2013,39.07,0.008224153
07/11/2013,38.75,-0.013839278
06/11/2013,39.29,0.005359206
05/11/2013,39.08,-0.025017097
04/11/2013,40.07,0.006007527
01/11/2013,39.83,-0.001755927
31/10/2013,39.9,0.007547206
30/10/2013,39.6,-0.012048339
29/10/2013,40.08,0.001498128
28/10/2013,40.02,0.000499875
25/10/2013,40,0.013845407
24/10/2013,39.45,0.001268231
23/10/2013,39.4,-0.007081466
22/10/2013,39.68,0.010131799
21/10/2013,39.28,0.005104656
18/10/2013,39.08,-0.00051164
17/10/2013,39.1,0.014166367
16/10/2013,38.55,0.007028533
15/10/2013,38.28,-0.007806441
14/10/2013,38.58,-0.003880486
11/10/2013,38.73,0.000258231
10/10/2013,38.72,0.012735715
09/10/2013,38.23,-0.001568218
08/10/2013,38.29,0.001306677
07/10/2013,38.24,-0.005996629
04/10/2013,38.47,0.001560874
03/10/2013,38.41,-0.012676408
02/10/2013,38.9,-0.006661567
01/10/2013,39.16,0.003837794
30/09/2013,39.01,-0.00944005
27/09/2013,39.38,-0.004054745
26/09/2013,39.54,0.007361374
25/09/2013,39.25,-0.002290369
24/09/2013,39.34,-0.003299077
23/09/2013,39.47,-0.00278305
20/09/2013,39.58,0.016558779
19/09/2013,38.93,-0.007166655
18/09/2013,39.21,0.007937566
17/09/2013,38.9,-0.030880712
16/09/2013,40.12,0.017855372
13/09/2013,39.41,-0.00859025
12/09/2013,39.75,-0.011008367
11/09/2013,40.19,-0.000497512
10/09/2013,40.21,-0.002235748
09/09/2013,40.3,0.008722797
06/09/2013,39.95,-0.001500751
05/09/2013,40.01,-0.002994761
04/09/2013,40.13,0.006500023
03/09/2013,39.87,0.002008537
30/08/2013,39.79,-0.010251371
29/08/2013,40.2,-0.00099453
28/08/2013,40.24,-0.004957868
27/08/2013,40.44,-0.016918388
26/08/2013,41.13,0.000486381
23/08/2013,41.11,0.007324251
22/08/2013,40.81,0.004912808
21/08/2013,40.61,-0.006871193
20/08/2013,40.89,0.011313451
19/08/2013,40.43,-0.007638327
16/08/2013,40.74,0.001719691
15/08/2013,40.67,-0.022128563
14/08/2013,41.58,-0.003601012
13/08/2013,41.73,-0.001197462
12/08/2013,41.78,-0.000478583
09/08/2013,41.8,0.004555817
08/08/2013,41.61,-0.002160606
07/08/2013,41.7,0.002400962
06/08/2013,41.6,-0.007424295
05/08/2013,41.91,-0.007606407
02/08/2013,42.23,0.003320686
01/08/2013,42.09,0.021614674
31/07/2013,41.19,-0.000728067
30/07/2013,41.22,0.003645647
29/07/2013,41.07,-0.002188983
26/07/2013,41.16,-0.010152371
25/07/2013,41.58,0.005305052
24/07/2013,41.36,0.002663117
23/07/2013,41.25,-0.003629768
22/07/2013,41.4,0.001208459
19/07/2013,41.35,0.002663762
18/07/2013,41.24,0.018353629
17/07/2013,40.49,0.004207406
16/07/2013,40.32,-0.021105078
15/07/2013,41.18,-0.007499733
12/07/2013,41.49,0.007014178
11/07/2013,41.2,0.016395816
10/07/2013,40.53,-0.000986437
09/07/2013,40.57,0.012650547
08/07/2013,40.06,0.008775285
05/07/2013,39.71,0.012416224
03/07/2013,39.22,-0.007113851
02/07/2013,39.5,0.001013171
01/07/2013,39.46,0.008142539
28/06/2013,39.14,0.006407814
27/06/2013,38.89,0.002832498
26/06/2013,38.78,0.012715884
25/06/2013,38.29,0.002091504
24/06/2013,38.21,-0.010155015
21/06/2013,38.6,-0.0007769
20/06/2013,38.63,-0.020751353
19/06/2013,39.44,-0.017343655
18/06/2013,40.13,0.003744855
17/06/2013,39.98,0.013852381
14/06/2013,39.43,-0.002279925
13/06/2013,39.52,0.016069725
12/06/2013,38.89,-0.004873679
11/06/2013,39.08,-0.010183387
10/06/2013,39.48,-0.003287397
07/06/2013,39.61,0.013470784
06/06/2013,39.08,0.009254565
05/06/2013,38.72,-0.013595182
04/06/2013,39.25,0.002295627
03/06/2013,39.16,0.000255395
31/05/2013,39.15,-0.004587164
30/05/2013,39.33,0.005353741
29/05/2013,39.12,-0.03145309
28/05/2013,40.37,0.005713591
24/05/2013,40.14,-0.000747105
23/05/2013,40.17,-0.006204264
22/05/2013,40.42,-0.005428091
21/05/2013,40.64,0
20/05/2013,40.64,-0.00368415
17/05/2013,40.79,0.003438117
16/05/2013,40.65,0
15/05/2013,40.65,0.006664223
14/05/2013,40.38,0.010956285
13/05/2013,39.94,0.005271758
10/05/2013,39.73,0.005805898
09/05/2013,39.5,-0.003285735
08/05/2013,39.63,0.003792193
07/05/2013,39.48,0.002028398
06/05/2013,39.4,0
03/05/2013,39.4,0.005344204
02/05/2013,39.19,0.003834851
01/05/2013,39.04,-0.007909213
30/04/2013,39.35,0.008165394
29/04/2013,39.03,0.008232617
26/04/2013,38.71,-0.010024502
25/04/2013,39.1,-0.049398918
24/04/2013,41.08,0.003413805
23/04/2013,40.94,0.016252512
22/04/2013,40.28,0.008226396
19/04/2013,39.95,0.011328
18/04/2013,39.5,-0.00278094
17/04/2013,39.61,-0.014038837
16/04/2013,40.17,0.020878635
15/04/2013,39.34,-0.019383867
12/04/2013,40.11,-0.004229388
11/04/2013,40.28,-0.006187373
10/04/2013,40.53,0.01166411
09/04/2013,40.06,-0.008203899
08/04/2013,40.39,0.012205906
05/04/2013,39.9,-0.010719285
04/04/2013,40.33,0.006467684
03/04/2013,40.07,-0.01264741
02/04/2013,40.58,0.009159613
01/04/2013,40.21,-0.003723475
28/03/2013,40.36,0.012465881
27/03/2013,39.86,0.001004016
26/03/2013,39.82,0.008068627
25/03/2013,39.5,0.011201746
22/03/2013,39.06,0.004876181
21/03/2013,38.87,-0.006922217
20/03/2013,39.14,0.005636705
19/03/2013,38.92,0.003603608
18/03/2013,38.78,-0.006169685
15/03/2013,39.02,-0.00102459
14/03/2013,39.06,0.004876181
13/03/2013,38.87,0.003866482
12/03/2013,38.72,-0.001032525
11/03/2013,38.76,0.009070945
08/03/2013,38.41,0.007578764
07/03/2013,38.12,0.003416112
06/03/2013,37.99,0.004484904
05/03/2013,37.82,0.007431032
04/03/2013,37.54,0.001599574
01/03/2013,37.48,0.003742319
28/02/2013,37.34,-0.004542426
27/02/2013,37.51,0.006687199
26/02/2013,37.26,0.015688718
25/02/2013,36.68,-0.014345895
22/02/2013,37.21,0.00565963
21/02/2013,37,0.001622938
20/02/2013,36.94,-0.008088478
