Date,Close,FMC
04/04/2014,76.73,-0.01948826
03/04/2014,78.24,-0.001277303
02/04/2014,78.34,0.013105674
01/04/2014,77.32,0.009877907
31/03/2014,76.56,0.001437815
28/03/2014,76.45,-0.009114646
27/03/2014,77.15,0.007938099
26/03/2014,76.54,-0.022095349
25/03/2014,78.25,-0.002934986
24/03/2014,78.48,-0.005337413
21/03/2014,78.9,-0.003037208
20/03/2014,79.14,0.015407448
19/03/2014,77.93,-0.015028301
18/03/2014,79.11,-0.008433557
17/03/2014,79.78,0.009951584
14/03/2014,78.99,-0.014453843
13/03/2014,80.14,-0.001371657
12/03/2014,80.25,-0.011029296
11/03/2014,81.14,-0.023868644
10/03/2014,83.1,0.065003932
07/03/2014,77.87,-0.002693173
06/03/2014,78.08,0.004106782
05/03/2014,77.76,-0.004106782
04/03/2014,78.08,0.015748357
03/03/2014,76.86,-0.004154771
28/02/2014,77.18,0.012122941
27/02/2014,76.25,0.013733215
26/02/2014,75.21,0.034355556
25/02/2014,72.67,0.004827929
24/02/2014,72.32,-0.005240668
21/02/2014,72.7,-0.005213347
20/02/2014,73.08,0.005763705
19/02/2014,72.66,-0.001650165
18/02/2014,72.78,-0.002058885
14/02/2014,72.93,0.010614201
13/02/2014,72.16,0.004722887
12/02/2014,71.82,-0.005277057
11/02/2014,72.2,0.009742596
10/02/2014,71.5,-0.000279681
07/02/2014,71.52,-0.000559128
06/02/2014,71.56,0.029353401
05/02/2014,69.49,-0.000431624
04/02/2014,69.52,0.009393811
03/02/2014,68.87,-0.025234314
31/01/2014,70.63,-0.017264798
30/01/2014,71.86,0.00278707
29/01/2014,71.66,-0.000139538
28/01/2014,71.67,-0.000279018
27/01/2014,71.69,0.000976903
24/01/2014,71.62,-0.034580833
23/01/2014,74.14,-0.023856666
22/01/2014,75.93,0.001845505
21/01/2014,75.79,0.003568836
17/01/2014,75.52,-0.002776861
16/01/2014,75.73,0
15/01/2014,75.73,0.022028793
14/01/2014,74.08,0.016743058
13/01/2014,72.85,-0.018631123
10/01/2014,74.22,-0.001884507
09/01/2014,74.36,-0.00080656
08/01/2014,74.42,0.001613771
07/01/2014,74.3,0.006887731
06/01/2014,73.79,-0.006483881
03/01/2014,74.27,-0.003494627
02/01/2014,74.53,-0.012400986
31/12/2013,75.46,0.002786811
30/12/2013,75.25,-0.002786811
27/12/2013,75.46,0.00079544
26/12/2013,75.4,0.012545207
24/12/2013,74.46,0.013657166
23/12/2013,73.45,0.005597666
20/12/2013,73.04,0.00027386
19/12/2013,73.02,0.004116926
18/12/2013,72.72,-0.004527688
17/12/2013,73.05,0.003153495
16/12/2013,72.82,-0.006706382
13/12/2013,73.31,-0.001771721
12/12/2013,73.44,-0.010160624
11/12/2013,74.19,-0.011658424
10/12/2013,75.06,0.002801683
09/12/2013,74.85,0.006030169
06/12/2013,74.4,0.017217263
05/12/2013,73.13,0.002601494
04/12/2013,72.94,0.007430886
03/12/2013,72.4,-0.005647009
02/12/2013,72.81,-0.000686483
29/11/2013,72.86,-0.001782654
27/11/2013,72.99,0.004944386
26/11/2013,72.63,0.003309891
25/11/2013,72.39,-0.007294782
22/11/2013,72.92,0.001921758
21/11/2013,72.78,0.001787802
20/11/2013,72.65,-0.011768061
19/11/2013,73.51,-0.004614558
18/11/2013,73.85,-0.01678455
15/11/2013,75.1,0.016919969
14/11/2013,73.84,0.004071114
13/11/2013,73.54,0.013277863
12/11/2013,72.57,-0.005907828
11/11/2013,73,-0.005736937
08/11/2013,73.42,0.017310502
07/11/2013,72.16,-0.012121361
06/11/2013,73.04,0.002741981
05/11/2013,72.84,-0.000137278
04/11/2013,72.85,0.00041189
01/11/2013,72.82,0.000824289
31/10/2013,72.76,-0.003703962
30/10/2013,73.03,-0.003007932
29/10/2013,73.25,-0.00367923
28/10/2013,73.52,-0.011091687
25/10/2013,74.34,-0.000672359
24/10/2013,74.39,0.003366326
23/10/2013,74.14,-0.004978147
22/10/2013,74.51,0.017874545
21/10/2013,73.19,-0.003001367
18/10/2013,73.41,0.000136231
17/10/2013,73.4,0.011096764
16/10/2013,72.59,0.011639317
15/10/2013,71.75,-0.005975145
14/10/2013,72.18,-0.00083091
11/10/2013,72.24,0.007642641
10/10/2013,71.69,0.018015969
09/10/2013,70.41,-0.002836479
08/10/2013,70.61,-0.0086019
07/10/2013,71.22,-0.01255772
04/10/2013,72.12,0.017766432
03/10/2013,70.85,-0.010390433
02/10/2013,71.59,0.003358055
01/10/2013,71.35,-0.005172305
30/09/2013,71.72,0.002792518
27/09/2013,71.52,-0.001676446
26/09/2013,71.64,0.002235887
25/09/2013,71.48,0.000839748
24/09/2013,71.42,0.004209351
23/09/2013,71.12,-0.003368897
20/09/2013,71.36,-0.006564728
19/09/2013,71.83,0.008107397
18/09/2013,71.25,0.009306328
17/09/2013,70.59,0.003263572
16/09/2013,70.36,0.002704051
13/09/2013,70.17,-0.000854701
12/09/2013,70.23,-0.001565057
11/09/2013,70.34,0.015184363
10/09/2013,69.28,0.009426507
09/09/2013,68.63,0.012167562
06/09/2013,67.8,0.006807781
05/09/2013,67.34,-0.000148489
04/09/2013,67.35,0.008798804
03/09/2013,66.76,0.002249382
30/08/2013,66.61,-0.002099581
29/08/2013,66.75,0.007066105
28/08/2013,66.28,-0.010207234
27/08/2013,66.96,0.005841401
26/08/2013,66.57,0
23/08/2013,66.57,-0.002700272
22/08/2013,66.75,0.018751495
21/08/2013,65.51,0.001374781
20/08/2013,65.42,0.00659461
19/08/2013,64.99,-0.00690028
16/08/2013,65.44,0.006746422
15/08/2013,65,-0.007662873
14/08/2013,65.5,-0.00942113
13/08/2013,66.12,0.017237861
12/08/2013,64.99,-0.010561053
09/08/2013,65.68,-0.004254033
08/08/2013,65.96,0.011129012
07/08/2013,65.23,-0.009459942
06/08/2013,65.85,-0.007564333
05/08/2013,66.35,-0.013621946
02/08/2013,67.26,0.005964825
01/08/2013,66.86,0.01052483
31/07/2013,66.16,0.010025908
30/07/2013,65.5,0.029751187
29/07/2013,63.58,0.002204378
26/07/2013,63.44,-0.003304748
25/07/2013,63.65,0.001572327
24/07/2013,63.55,0.009168575
23/07/2013,62.97,-0.004436705
22/07/2013,63.25,-0.003629768
19/07/2013,63.48,0.006004126
18/07/2013,63.1,0.012759344
17/07/2013,62.3,0.011624283
16/07/2013,61.58,-0.015149363
15/07/2013,62.52,0.006418507
12/07/2013,62.12,-0.002411771
11/07/2013,62.27,-0.000642158
10/07/2013,62.31,0.006117212
09/07/2013,61.93,0.011367449
08/07/2013,61.23,-0.017645136
05/07/2013,62.32,0.009998471
03/07/2013,61.7,0.002596561
02/07/2013,61.54,-0.001136825
01/07/2013,61.61,0.008967208
28/06/2013,61.06,-0.021548019
27/06/2013,62.39,0.003371601
26/06/2013,62.18,0.007425377
25/06/2013,61.72,0
24/06/2013,61.72,-0.013837711
21/06/2013,62.58,-0.000638978
20/06/2013,62.62,-0.023671612
19/06/2013,64.12,-0.009004874
18/06/2013,64.7,0.013224619
17/06/2013,63.85,0.020250652
14/06/2013,62.57,-0.007959291
13/06/2013,63.07,0.014372652
12/06/2013,62.17,-0.008807808
11/06/2013,62.72,-0.001593118
10/06/2013,62.82,-0.000795608
07/06/2013,62.87,0.025942001
06/06/2013,61.26,0.000816527
05/06/2013,61.21,-0.01572283
04/06/2013,62.18,0.002415266
03/06/2013,62.03,-0.010902786
31/05/2013,62.71,-0.018954919
30/05/2013,63.91,0.001722653
29/05/2013,63.8,-0.010601908
28/05/2013,64.48,0.015157724
24/05/2013,63.51,0.000157468
23/05/2013,63.5,0.009493742
22/05/2013,62.9,0.000318016
21/05/2013,62.88,-0.005076153
20/05/2013,63.2,-0.002370606
17/05/2013,63.35,0.021540522
16/05/2013,62,-0.015841599
15/05/2013,62.99,0.00142982
14/05/2013,62.9,0.035602466
13/05/2013,60.7,-0.02038391
10/05/2013,61.95,0.006965283
09/05/2013,61.52,-0.004864612
08/05/2013,61.82,0.019107301
07/05/2013,60.65,0.00761341
06/05/2013,60.19,0.010354134
03/05/2013,59.57,0.013010237
02/05/2013,58.8,0.007339796
01/05/2013,58.37,-0.039141639
30/04/2013,60.7,0.000494356
29/04/2013,60.67,0.012939796
26/04/2013,59.89,-0.012939796
25/04/2013,60.67,0.018465134
24/04/2013,59.56,0.006231599
23/04/2013,59.19,0.01824277
22/04/2013,58.12,0.004137937
19/04/2013,57.88,0.003461409
18/04/2013,57.68,-0.002251278
17/04/2013,57.81,-0.00689539
16/04/2013,58.21,0.031765323
15/04/2013,56.39,-0.035537619
12/04/2013,58.43,-0.004439898
11/04/2013,58.69,0.014588777
10/04/2013,57.84,0.012001188
09/04/2013,57.15,0.001751314
08/04/2013,57.05,0.028446363
05/04/2013,55.45,-0.014502089
04/04/2013,56.26,0.003918082
03/04/2013,56.04,-0.006403437
02/04/2013,56.4,0.004620588
01/04/2013,56.14,-0.015728874
28/03/2013,57.03,0.008275424
27/03/2013,56.56,-0.007047246
26/03/2013,56.96,0.00545728
25/03/2013,56.65,-0.014023017
22/03/2013,57.45,0.004535946
21/03/2013,57.19,-0.03386658
20/03/2013,59.16,-0.001857638
19/03/2013,59.27,-0.00404109
18/03/2013,59.51,-0.008200197
15/03/2013,60,-0.019148819
14/03/2013,61.16,0.000163519
13/03/2013,61.15,-0.001960465
12/03/2013,61.27,-0.001956629
11/03/2013,61.39,0.004407811
08/03/2013,61.12,0.003770187
07/03/2013,60.89,-0.00295179
06/03/2013,61.07,0.005418288
05/03/2013,60.74,0.008265876
04/03/2013,60.24,0.005660078
01/03/2013,59.9,-0.005992029
28/02/2013,60.26,0.010174385
27/02/2013,59.65,0.019125572
26/02/2013,58.52,0.01740973
25/02/2013,57.51,-0.020651224
22/02/2013,58.71,0.021521017
21/02/2013,57.46,-0.013311632
