Date,Close,VRTX
04/04/2014,65.84,-0.048616568
03/04/2014,69.12,-0.044980005
02/04/2014,72.3,0.005965198
01/04/2014,71.87,0.016130513
31/03/2014,70.72,0.042166223
28/03/2014,67.8,-0.04301428
27/03/2014,70.78,0.004815191
26/03/2014,70.44,-0.020514981
25/03/2014,71.9,-0.007482368
24/03/2014,72.44,-0.01900652
21/03/2014,73.83,-0.0519906
20/03/2014,77.77,-0.000385678
19/03/2014,77.8,-0.015306421
18/03/2014,79,0.016592595
17/03/2014,77.7,-0.007947741
14/03/2014,78.32,0.005890656
13/03/2014,77.86,-0.025487971
12/03/2014,79.87,0.008550285
11/03/2014,79.19,-0.005792008
10/03/2014,79.65,-0.003634317
07/03/2014,79.94,0
06/03/2014,79.94,-0.037082211
05/03/2014,82.96,-0.001926783
04/03/2014,83.12,0.018946401
03/03/2014,81.56,0.008619681
28/02/2014,80.86,-0.028047199
27/02/2014,83.16,-0.009454921
26/02/2014,83.95,-0.007949262
25/02/2014,84.62,0.007949262
24/02/2014,83.95,-0.010192077
21/02/2014,84.81,0.009477621
20/02/2014,84.01,0.016926159
19/02/2014,82.6,0.007290433
18/02/2014,82,0.004767444
14/02/2014,81.61,-0.040699453
13/02/2014,85,0.013025643
12/02/2014,83.9,-0.012790321
11/02/2014,84.98,0.033625663
10/02/2014,82.17,0.009292156
07/02/2014,81.41,0.040612173
06/02/2014,78.17,0.009769971
05/02/2014,77.41,-0.022228815
04/02/2014,79.15,0.019390836
03/02/2014,77.63,-0.018000103
31/01/2014,79.04,-0.038592791
30/01/2014,82.15,0.041380073
29/01/2014,78.82,-0.006071357
28/01/2014,79.3,-0.000882334
27/01/2014,79.37,-0.005027031
24/01/2014,79.77,-0.049643445
23/01/2014,83.83,-0.003453412
22/01/2014,84.12,-0.01603808
21/01/2014,85.48,0.040466224
17/01/2014,82.09,0.013367052
16/01/2014,81,0.027916941
15/01/2014,78.77,-0.007714234
14/01/2014,79.38,0.02992168
13/01/2014,77.04,-0.015072749
10/01/2014,78.21,0.024462489
09/01/2014,76.32,0.01438494
08/01/2014,75.23,0.009885199
07/01/2014,74.49,-0.013467768
06/01/2014,75.5,0.027527754
03/01/2014,73.45,-0.00516025
02/01/2014,73.83,-0.006345799
31/12/2013,74.3,0.005533451
30/12/2013,73.89,0.005972598
27/12/2013,73.45,-0.004889321
26/12/2013,73.81,0.004344881
24/12/2013,73.49,0.000136082
23/12/2013,73.48,0.022711044
20/12/2013,71.83,0.026521515
19/12/2013,69.95,0.019050944
18/12/2013,68.63,0.045458986
17/12/2013,65.58,0.012582643
16/12/2013,64.76,-0.006464545
13/12/2013,65.18,-0.002757777
12/12/2013,65.36,0.014952109
11/12/2013,64.39,-0.028175191
10/12/2013,66.23,-0.007820765
09/12/2013,66.75,0.004504512
06/12/2013,66.45,0
05/12/2013,66.45,-0.013156117
04/12/2013,67.33,-0.004889261
03/12/2013,67.66,-0.023227982
02/12/2013,69.25,-0.002451865
29/11/2013,69.42,0.015972461
27/11/2013,68.32,-0.000731582
26/11/2013,68.37,0.006014835
25/11/2013,67.96,0.025031104
22/11/2013,66.28,0.00075466
21/11/2013,66.23,0.016594733
20/11/2013,65.14,0.043294089
19/11/2013,62.38,0.011122868
18/11/2013,61.69,-0.027184277
15/11/2013,63.39,0.037940574
14/11/2013,61.03,-0.002781643
13/11/2013,61.2,0.016807118
12/11/2013,60.18,-0.006129399
11/11/2013,60.55,-0.008387517
08/11/2013,61.06,0.000491441
07/11/2013,61.03,-0.025399732
06/11/2013,62.6,-0.043451123
05/11/2013,65.38,-0.012615108
04/11/2013,66.21,-0.017219861
01/11/2013,67.36,-0.057545974
31/10/2013,71.35,-0.005590511
30/10/2013,71.75,-0.058728996
29/10/2013,76.09,-0.022610111
28/10/2013,77.83,0.012931772
25/10/2013,76.83,-0.001040718
24/10/2013,76.91,0.017047357
23/10/2013,75.61,-0.026236576
22/10/2013,77.62,0.039148569
21/10/2013,74.64,-0.031907783
18/10/2013,77.06,0.002598754
17/10/2013,76.86,0.018382871
16/10/2013,75.46,0.02836021
15/10/2013,73.35,-0.004895971
14/10/2013,73.71,0.038585994
11/10/2013,70.92,-0.000986541
10/10/2013,70.99,0.011903216
09/10/2013,70.15,-0.029081209
08/10/2013,72.22,-0.044150705
07/10/2013,75.48,-0.022661262
04/10/2013,77.21,0.000647794
03/10/2013,77.16,0.005458103
02/10/2013,76.74,-0.003642044
01/10/2013,77.02,0.015703018
30/09/2013,75.82,-0.003686155
27/09/2013,76.1,-0.005634556
26/09/2013,76.53,0.024604416
25/09/2013,74.67,0.001876676
24/09/2013,74.53,-0.01412227
23/09/2013,75.59,-0.00738108
20/09/2013,76.15,-0.001836789
19/09/2013,76.29,-0.010691106
18/09/2013,77.11,-0.011860394
17/09/2013,78.03,0.023994407
16/09/2013,76.18,-0.026809868
13/09/2013,78.25,-0.039466444
12/09/2013,81.4,0.019726463
11/09/2013,79.81,-0.018743179
10/09/2013,81.32,-0.007473235
09/09/2013,81.93,0.036543962
06/09/2013,78.99,0.007752469
05/09/2013,78.38,0.00102119
04/09/2013,78.3,0.038005615
03/09/2013,75.38,0.003055872
30/08/2013,75.15,-0.0275608
29/08/2013,77.25,0.017103361
28/08/2013,75.94,0.012455441
27/08/2013,75,-0.038579482
26/08/2013,77.95,0.002183267
23/08/2013,77.78,-0.007939599
22/08/2013,78.4,0.026495896
21/08/2013,76.35,-0.00261609
20/08/2013,76.55,0.016729627
19/08/2013,75.28,-0.016206956
16/08/2013,76.51,-0.005864355
15/08/2013,76.96,-0.016623023
14/08/2013,78.25,0.009243871
13/08/2013,77.53,0.00064512
12/08/2013,77.48,0.00426826
09/08/2013,77.15,-0.006717504
08/08/2013,77.67,-0.004880565
07/08/2013,78.05,0.009267668
06/08/2013,77.33,-0.021239284
05/08/2013,78.99,-0.005680758
02/08/2013,79.44,-0.015984356
01/08/2013,80.72,0.011462872
31/07/2013,79.8,-0.026097579
30/07/2013,81.91,0.027853506
29/07/2013,79.66,-0.013094906
26/07/2013,80.71,-0.082146799
25/07/2013,87.62,0.027303871
24/07/2013,85.26,-0.01501687
23/07/2013,86.55,-0.019338093
22/07/2013,88.24,-0.003055165
19/07/2013,88.51,0.019624132
18/07/2013,86.79,0.014858079
17/07/2013,85.51,0.000233918
16/07/2013,85.49,-0.014631009
15/07/2013,86.75,-0.01191718
12/07/2013,87.79,0.035831997
11/07/2013,84.7,0.036796264
10/07/2013,81.64,0.020417711
09/07/2013,79.99,-0.004863762
08/07/2013,80.38,-0.025184059
05/07/2013,82.43,0.02207866
03/07/2013,80.63,0.013862226
02/07/2013,79.52,-0.011378679
01/07/2013,80.43,0.004610887
28/06/2013,80.06,-0.005853432
27/06/2013,80.53,0.00261113
26/06/2013,80.32,0.028028599
25/06/2013,78.1,0.018479559
24/06/2013,76.67,0.00904035
21/06/2013,75.98,-0.002366243
20/06/2013,76.16,-0.022204379
19/06/2013,77.87,-0.011872227
18/06/2013,78.8,0.000634719
17/06/2013,78.75,-0.019615868
14/06/2013,80.31,-0.028841663
13/06/2013,82.66,0.029838299
12/06/2013,80.23,-0.014477763
11/06/2013,81.4,-0.021150661
10/06/2013,83.14,0.003977107
07/06/2013,82.81,0.059583623
06/06/2013,78.02,0.013809344
05/06/2013,76.95,-0.018157733
04/06/2013,78.36,-0.012302774
03/06/2013,79.33,-0.012526783
31/05/2013,80.33,-0.034382784
30/05/2013,83.14,0.058829566
29/05/2013,78.39,0.004731164
28/05/2013,78.02,-0.004858723
24/05/2013,78.4,-0.001019888
23/05/2013,78.48,0.000637308
22/05/2013,78.43,-0.013173085
21/05/2013,79.47,0.026651243
20/05/2013,77.38,-0.026902878
17/05/2013,79.49,0.020333653
16/05/2013,77.89,-0.019452651
15/05/2013,79.42,-0.019822378
14/05/2013,81.01,0.010672725
13/05/2013,80.15,-0.003487362
10/05/2013,80.43,0.046443051
09/05/2013,76.78,0.017739116
08/05/2013,75.43,-0.012777622
07/05/2013,76.4,-0.01106422
06/05/2013,77.25,0.016445163
03/05/2013,75.99,-0.022510872
02/05/2013,77.72,0.011517436
01/05/2013,76.83,0.000130166
30/04/2013,76.82,-0.019465648
29/04/2013,78.33,-0.008770314
26/04/2013,79.02,-0.016317671
25/04/2013,80.32,-0.009047592
24/04/2013,81.05,-0.030139601
23/04/2013,83.53,0.014470287
22/04/2013,82.33,-0.038949722
