Date,Close,YUM
04/04/2014,75.44,-0.013168481
03/04/2014,76.44,-0.008726854
02/04/2014,77.11,0.013710471
01/04/2014,76.06,0.008847862
31/03/2014,75.39,0.01591049
28/03/2014,74.2,0.013568729
27/03/2014,73.2,-0.013164335
26/03/2014,74.17,0.005272064
25/03/2014,73.78,-0.010114037
24/03/2014,74.53,-0.00987992
21/03/2014,75.27,0.000265745
20/03/2014,75.25,0.014051753
19/03/2014,74.2,-0.011523644
18/03/2014,75.06,-0.000799041
17/03/2014,75.12,0.000532623
14/03/2014,75.08,-0.009939781
13/03/2014,75.83,-0.016868658
12/03/2014,77.12,-0.002719328
11/03/2014,77.33,-0.000904802
10/03/2014,77.4,0.003105593
07/03/2014,77.16,-0.001683393
06/03/2014,77.29,0.032613015
05/03/2014,74.81,0.002275009
04/03/2014,74.64,0.01389567
03/03/2014,73.61,-0.006364704
28/02/2014,74.08,0.003922369
27/02/2014,73.79,0.005435535
26/02/2014,73.39,0.001499966
25/02/2014,73.28,0.004239323
24/02/2014,72.97,0.001645865
21/02/2014,72.85,-0.001782898
20/02/2014,72.98,0.002194788
19/02/2014,72.82,-0.005751077
18/02/2014,73.24,-0.002454658
14/02/2014,73.42,-0.00543332
13/02/2014,73.82,0.004208246
12/02/2014,73.51,0.004089428
11/02/2014,73.21,0.00616567
10/02/2014,72.76,0.014257284
07/02/2014,71.73,0.007837689
06/02/2014,71.17,0.008891457
05/02/2014,70.54,-0.021319181
04/02/2014,72.06,0.085423055
03/02/2014,66.16,-0.014852872
31/01/2014,67.15,0.008224345
30/01/2014,66.6,0.001352265
29/01/2014,66.51,-0.025092253
28/01/2014,68.2,0.005292573
27/01/2014,67.84,-0.014342409
24/01/2014,68.82,-0.014139609
23/01/2014,69.8,-0.02182317
22/01/2014,71.34,0.002666855
21/01/2014,71.15,-0.01326372
17/01/2014,72.1,-0.002770085
16/01/2014,72.3,-0.011961372
15/01/2014,73.17,-0.000819672
14/01/2014,73.23,-0.002454993
13/01/2014,73.41,-0.021694579
10/01/2014,75.02,-0.000399813
09/01/2014,75.05,-0.019528263
08/01/2014,76.53,-0.000391926
07/01/2014,76.56,0.013942091
06/01/2014,75.5,-0.000794386
03/01/2014,75.56,0.006239649
02/01/2014,75.09,-0.006901155
31/12/2013,75.61,0.009167672
30/12/2013,74.92,0.014114086
27/12/2013,73.87,-0.003243684
26/12/2013,74.11,0.000134944
24/12/2013,74.1,0.001755927
23/12/2013,73.97,0.007871919
20/12/2013,73.39,0.008758781
19/12/2013,72.75,0.000274952
18/12/2013,72.73,0.011895023
17/12/2013,71.87,-0.018746242
16/12/2013,73.23,0.019581431
13/12/2013,71.81,0.002928668
12/12/2013,71.6,-0.017993565
11/12/2013,72.9,-0.006971527
10/12/2013,73.41,-0.012050786
09/12/2013,74.3,-0.000941683
06/12/2013,74.37,-0.000268889
05/12/2013,74.39,-0.016928095
04/12/2013,75.66,0.00066107
03/12/2013,75.61,-0.0273954
02/12/2013,77.71,0.000386125
29/11/2013,77.68,0.001159271
27/11/2013,77.59,-0.000772997
26/11/2013,77.65,-0.004625474
25/11/2013,78.01,-0.003710579
22/11/2013,78.3,0.044126725
21/11/2013,74.92,0.035320161
20/11/2013,72.32,-0.019986976
19/11/2013,73.78,0.005027526
18/11/2013,73.41,-0.00773462
15/11/2013,73.98,0.008688624
14/11/2013,73.34,0.002047363
13/11/2013,73.19,0.02350122
12/11/2013,71.49,-0.003490892
11/11/2013,71.74,0.016443347
08/11/2013,70.57,0.010971115
07/11/2013,69.8,-0.007564441
06/11/2013,70.33,0.00142288
05/11/2013,70.23,0.00456687
04/11/2013,69.91,0.020666969
01/11/2013,68.48,0.012637935
31/10/2013,67.62,-0.007954085
30/10/2013,68.16,0.016270141
29/10/2013,67.06,0.004483642
28/10/2013,66.76,0.002850073
25/10/2013,66.57,0.008599284
24/10/2013,66,0.012655502
23/10/2013,65.17,-0.02873761
22/10/2013,67.07,0.003285547
21/10/2013,66.85,0.002546246
18/10/2013,66.68,-0.010591581
