Date,Close,WEC
04/04/2014,46.99,0.00341079
03/04/2014,46.83,0.005997019
02/04/2014,46.55,-0.000858922
01/04/2014,46.59,0.000858922
31/03/2014,46.55,0.013190806
28/03/2014,45.94,0.000653239
27/03/2014,45.91,0.006775242
26/03/2014,45.6,-0.006557401
25/03/2014,45.9,0.009852296
24/03/2014,45.45,0.007508869
21/03/2014,45.11,0.005780363
20/03/2014,44.85,-0.003561099
19/03/2014,45.01,-0.013680708
18/03/2014,45.63,-0.000657246
17/03/2014,45.66,0.007694882
14/03/2014,45.31,0.007309812
13/03/2014,44.98,0.013203728
12/03/2014,44.39,0.018415889
11/03/2014,43.58,-0.003664686
10/03/2014,43.74,0.001830664
07/03/2014,43.66,0
06/03/2014,43.66,-0.004342368
05/03/2014,43.85,-0.008402457
04/03/2014,44.22,0.017336201
03/03/2014,43.46,-0.011439155
28/02/2014,43.96,0.009829774
27/02/2014,43.53,-0.002065405
26/02/2014,43.62,-0.004346341
25/02/2014,43.81,0.001141944
24/02/2014,43.76,-0.003649639
21/02/2014,43.92,0.000683294
20/02/2014,43.89,0.009615459
19/02/2014,43.47,-0.008931698
18/02/2014,43.86,0.005486982
14/02/2014,43.62,0.007132206
13/02/2014,43.31,0.009978038
12/02/2014,42.88,-0.006740293
11/02/2014,43.17,0.015641734
10/02/2014,42.5,0.009456335
07/02/2014,42.1,0.004284701
06/02/2014,41.92,-0.001668455
05/02/2014,41.99,-0.00404041
04/02/2014,42.16,-0.000711322
03/02/2014,42.19,-0.011312871
31/01/2014,42.67,0.009181936
30/01/2014,42.28,0.016935408
29/01/2014,41.57,0.002408479
28/01/2014,41.47,0.001206418
27/01/2014,41.42,-0.0002414
24/01/2014,41.43,-0.005055988
23/01/2014,41.64,-0.000480192
22/01/2014,41.66,0.003848009
21/01/2014,41.5,0.008712543
17/01/2014,41.14,0.000972763
16/01/2014,41.1,0.004878058
15/01/2014,40.9,-0.002198071
14/01/2014,40.99,0
13/01/2014,40.99,-0.010918463
10/01/2014,41.44,0.016790758
09/01/2014,40.75,0.001473478
08/01/2014,40.69,-0.007589705
07/01/2014,41,0.01697249
06/01/2014,40.31,-0.009136994
03/01/2014,40.68,-0.00122835
02/01/2014,40.73,-0.014865633
31/12/2013,41.34,-0.000483676
30/12/2013,41.36,0.00169389
27/12/2013,41.29,0.001696764
26/12/2013,41.22,-0.007010787
24/12/2013,41.51,0.002895056
23/12/2013,41.39,-0.00409886
20/12/2013,41.56,0.00797202
19/12/2013,41.23,-0.007731375
18/12/2013,41.55,0.01821544
17/12/2013,40.8,-0.005377671
16/12/2013,41.02,0.012017312
13/12/2013,40.53,-0.003939921
12/12/2013,40.69,0.002953485
11/12/2013,40.57,-0.00736742
10/12/2013,40.87,-0.017944225
09/12/2013,41.61,-0.009090972
06/12/2013,41.99,0.020207568
05/12/2013,41.15,-0.00629847
04/12/2013,41.41,0.003871285
03/12/2013,41.25,-0.001211387
02/12/2013,41.3,-0.011315879
29/11/2013,41.77,0.000958084
27/11/2013,41.73,0.005526867
26/11/2013,41.5,-0.009353708
25/11/2013,41.89,-0.007373086
22/11/2013,42.2,0.004036572
21/11/2013,42.03,-0.002139038
20/11/2013,42.12,-0.006625675
19/11/2013,42.4,0.001416097
18/11/2013,42.34,0.001181614
15/11/2013,42.29,0.0128512
14/11/2013,41.75,0.01666504
13/11/2013,41.06,0.004882822
12/11/2013,40.86,-0.023462196
11/11/2013,41.83,0.002872877
08/11/2013,41.71,-0.007880638
07/11/2013,42.04,-0.006638242
06/11/2013,42.32,0.004974545
05/11/2013,42.11,-0.007806072
04/11/2013,42.44,0.001650749
01/11/2013,42.37,0.006155322
31/10/2013,42.11,-0.001423826
30/10/2013,42.17,-0.012255633
29/10/2013,42.69,0.001875733
28/10/2013,42.61,-0.003046282
25/10/2013,42.74,0.010584598
24/10/2013,42.29,-0.001889913
23/10/2013,42.37,0.000708299
22/10/2013,42.34,0.015710868
21/10/2013,41.68,-0.000719511
18/10/2013,41.71,0.000479616
17/10/2013,41.69,0.01888676
16/10/2013,40.91,0.009578853
15/10/2013,40.52,-0.012995157
14/10/2013,41.05,-0.010420547
11/10/2013,41.48,0.011883249
10/10/2013,40.99,0.0152412
09/10/2013,40.37,0.003225409
08/10/2013,40.24,0.007483198
07/10/2013,39.94,-0.005991031
04/10/2013,40.18,0.002491903
03/10/2013,40.08,-0.013136885
02/10/2013,40.61,0.002959312
01/10/2013,40.49,0.002720417
30/09/2013,40.38,0.001735036
27/09/2013,40.31,-0.011101631
26/09/2013,40.76,-0.001960785
25/09/2013,40.84,-0.010716128
24/09/2013,41.28,0
23/09/2013,41.28,0.016610055
20/09/2013,40.6,-0.013455861
19/09/2013,41.15,-0.001699648
18/09/2013,41.22,0.027796649
17/09/2013,40.09,0.003748599
16/09/2013,39.94,0.002506895
13/09/2013,39.84,0.005537391
12/09/2013,39.62,-0.005035257
11/09/2013,39.82,-0.008004045
10/09/2013,40.14,0.004744671
09/09/2013,39.95,0.002255357
06/09/2013,39.86,-0.002005013
05/09/2013,39.94,-0.001751095
04/09/2013,40.01,-0.007966186
03/09/2013,40.33,-0.017451592
30/08/2013,41.04,0.006110248
29/08/2013,40.79,-0.004159027
28/08/2013,40.96,0.005876608
27/08/2013,40.72,0.00049128
26/08/2013,40.7,-0.014392247
23/08/2013,41.29,0.010224042
22/08/2013,40.87,0.00736742
21/08/2013,40.57,-0.014438034
20/08/2013,41.16,0.006092379
19/08/2013,40.91,-0.007791615
16/08/2013,41.23,-0.008934021
15/08/2013,41.6,-0.014083059
14/08/2013,42.19,-0.00637923
13/08/2013,42.46,-0.007741974
12/08/2013,42.79,-0.012309992
09/08/2013,43.32,-0.004376375
08/08/2013,43.51,-0.000918907
07/08/2013,43.55,0.001838658
06/08/2013,43.47,-0.004590322
05/08/2013,43.67,-0.007300968
02/08/2013,43.99,0.003415693
01/08/2013,43.84,0.00824558
31/07/2013,43.48,-0.004131289
30/07/2013,43.66,0.008048796
29/07/2013,43.31,-0.006214774
26/07/2013,43.58,0.003678165
25/07/2013,43.42,0.009487518
24/07/2013,43.01,-0.014541514
23/07/2013,43.64,0.004823714
22/07/2013,43.43,0.003690892
19/07/2013,43.27,-0.001154868
18/07/2013,43.32,0.011609139
17/07/2013,42.82,-0.000933707
16/07/2013,42.86,-0.005584007
15/07/2013,43.1,0.01448962
12/07/2013,42.48,0.005192365
11/07/2013,42.26,0.012381111
10/07/2013,41.74,0.008903921
09/07/2013,41.37,0.012649159
08/07/2013,40.85,0.014300046
05/07/2013,40.27,-0.000744694
03/07/2013,40.3,-0.002973243
02/07/2013,40.42,0.003221413
01/07/2013,40.29,-0.017224835
28/06/2013,40.99,0.000243992
27/06/2013,40.98,0.007101781
26/06/2013,40.69,0.010375587
25/06/2013,40.27,0.011237476
24/06/2013,39.82,0.002766253
21/06/2013,39.71,0.013436633
20/06/2013,39.18,-0.032888618
19/06/2013,40.49,-0.027045137
18/06/2013,41.6,0.00457777
17/06/2013,41.41,0.005569696
14/06/2013,41.18,-0.000242807
13/06/2013,41.19,0.019860896
12/06/2013,40.38,-0.012550921
11/06/2013,40.89,-0.005609087
10/06/2013,41.12,-0.003398886
07/06/2013,41.26,0.007297527
06/06/2013,40.96,0.014261368
05/06/2013,40.38,-0.010837544
04/06/2013,40.82,-0.005375043
03/06/2013,41.04,0.005620051
31/05/2013,40.81,-0.005863686
30/05/2013,41.05,0.003905302
29/05/2013,40.89,-0.025354491
28/05/2013,41.94,-0.000953289
24/05/2013,41.98,-0.010190869
23/05/2013,42.41,-0.010321462
22/05/2013,42.85,-0.015055293
21/05/2013,43.5,0.005532518
20/05/2013,43.26,-0.010119682
17/05/2013,43.7,0.010350869
16/05/2013,43.25,-0.00691247
15/05/2013,43.55,0.011547472
14/05/2013,43.05,0.006993035
13/05/2013,42.75,-0.008617731
10/05/2013,43.12,-0.000231884
09/05/2013,43.13,-0.016099704
08/05/2013,43.83,-0.008632493
07/05/2013,44.21,0.009545527
06/05/2013,43.79,-0.016757639
03/05/2013,44.53,0.005404201
02/05/2013,44.29,-0.001128286
01/05/2013,44.34,-0.013441063
30/04/2013,44.94,0.010738358
29/04/2013,44.46,0.009718689
26/04/2013,44.03,-0.002495181
25/04/2013,44.14,0.003404065
24/04/2013,43.99,0.004556855
23/04/2013,43.79,0.004577715
22/04/2013,43.59,-0.000458716
19/04/2013,43.61,0.014551591
18/04/2013,42.98,0.004196789
17/04/2013,42.8,-0.01022789
16/04/2013,43.24,0.009527201
15/04/2013,42.83,-0.017588975
12/04/2013,43.59,0.008987271
11/04/2013,43.2,0
10/04/2013,43.2,0.004175371
09/04/2013,43.02,-0.003943863
08/04/2013,43.19,0.007903342
05/04/2013,42.85,0.004678371
04/04/2013,42.65,0.003523198
03/04/2013,42.5,-0.002350177
02/04/2013,42.6,0.000939408
01/04/2013,42.56,-0.007723853
28/03/2013,42.89,0.021445384
27/03/2013,41.98,0.002862597
26/03/2013,41.86,0.012500163
25/03/2013,41.34,-0.004585503
22/03/2013,41.53,0.004101827
21/03/2013,41.36,-0.001932368
20/03/2013,41.44,0.008481815
19/03/2013,41.09,-0.001216101
18/03/2013,41.14,-0.005575096
15/03/2013,41.37,-0.000966417
14/03/2013,41.41,-0.001688986
13/03/2013,41.48,-0.001204674
12/03/2013,41.53,-0.002405004
11/03/2013,41.63,0.005781755
08/03/2013,41.39,0.007274523
07/03/2013,41.09,-0.010651275
06/03/2013,41.53,-0.009108404
05/03/2013,41.91,0.00406456
04/03/2013,41.74,0.0103553
01/03/2013,41.31,0.000242101
28/02/2013,41.3,0.013161292
27/02/2013,40.76,0.008129125
26/02/2013,40.43,0.005456363
25/02/2013,40.21,-0.003971214
22/02/2013,40.37,0.006211972
21/02/2013,40.12,-0.000249221
