Date,Close,TAP
04/04/2014,59.79,0.00117145
03/04/2014,59.72,0.00369066
02/04/2014,59.5,0.01064469
01/04/2014,58.87,0.00016988
31/03/2014,58.86,0.013340372
28/03/2014,58.08,0.000172191
27/03/2014,58.07,0.004660404
26/03/2014,57.8,-0.013916555
25/03/2014,58.61,0.018251195
24/03/2014,57.55,-0.016372619
21/03/2014,58.5,0.005828921
20/03/2014,58.16,0.007074484
19/03/2014,57.75,-0.007418304
18/03/2014,58.18,-0.001202439
17/03/2014,58.25,0.011047929
14/03/2014,57.61,-0.000347102
13/03/2014,57.63,-0.008294501
12/03/2014,58.11,0.001377648
11/03/2014,58.03,-0.007382641
10/03/2014,58.46,0.003770356
07/03/2014,58.24,0.004301822
06/03/2014,57.99,0.008659562
05/03/2014,57.49,0.009964246
04/03/2014,56.92,0.005284494
03/03/2014,56.62,-0.003702076
28/02/2014,56.83,-0.001406717
27/02/2014,56.91,0.004049658
26/02/2014,56.68,-0.010006228
25/02/2014,57.25,-0.000349284
24/02/2014,57.27,0.011767941
21/02/2014,56.6,0.008338556
20/02/2014,56.13,0.000178174
19/02/2014,56.12,0.006973654
18/02/2014,55.73,0.012821846
14/02/2014,55.02,0.008945747
13/02/2014,54.53,0.026574081
12/02/2014,53.1,-0.003571768
11/02/2014,53.29,0.014554647
10/02/2014,52.52,0.002096637
07/02/2014,52.41,0.014220071
06/02/2014,51.67,0.006796803
05/02/2014,51.32,-0.003112843
04/02/2014,51.48,0.000388576
03/02/2014,51.46,-0.02267148
31/01/2014,52.64,-0.021983036
30/01/2014,53.81,0.007461329
29/01/2014,53.41,-0.023865715
28/01/2014,54.7,0.008445066
27/01/2014,54.24,0.007773498
24/01/2014,53.82,-0.011637704
23/01/2014,54.45,-0.01639381
22/01/2014,55.35,0.004345471
21/01/2014,55.11,-0.008492236
17/01/2014,55.58,-0.010203257
16/01/2014,56.15,-0.001423741
15/01/2014,56.23,-0.007794548
14/01/2014,56.67,0.012965282
13/01/2014,55.94,-0.002499555
10/01/2014,56.08,0.014006334
09/01/2014,55.3,0.001447702
08/01/2014,55.22,-0.002351453
07/01/2014,55.35,0.009986465
06/01/2014,54.8,-0.003824793
03/01/2014,55.01,-0.00381022
02/01/2014,55.22,-0.016701475
31/12/2013,56.15,0.006969915
30/12/2013,55.76,0
27/12/2013,55.76,0.006657694
26/12/2013,55.39,0.006338878
24/12/2013,55.04,0.001818513
23/12/2013,54.94,0
20/12/2013,54.94,-0.000545901
19/12/2013,54.97,-0.00761149
18/12/2013,55.39,0.029311496
17/12/2013,53.79,0.000743909
16/12/2013,53.75,0.010473258
13/12/2013,53.19,-0.004314799
12/12/2013,53.42,-0.016339019
11/12/2013,54.3,-0.007339482
10/12/2013,54.7,-0.00655979
09/12/2013,55.06,0.001817852
06/12/2013,54.96,0.017436433
05/12/2013,54.01,-0.006091389
04/12/2013,54.34,0.007573695
03/12/2013,53.93,0.025921812
02/12/2013,52.55,-0.002280936
29/11/2013,52.67,-0.007188832
27/11/2013,53.05,-0.002259462
26/11/2013,53.17,-0.00525231
25/11/2013,53.45,-0.003734832
22/11/2013,53.65,0.011435123
21/11/2013,53.04,-0.003763648
20/11/2013,53.24,-0.012505996
19/11/2013,53.91,-0.001482855
18/11/2013,53.99,-0.002404959
15/11/2013,54.12,0.002590196
14/11/2013,53.98,0.00148313
13/11/2013,53.9,0.000928074
12/11/2013,53.85,-0.000371333
11/11/2013,53.87,0.00148616
08/11/2013,53.79,0.014795663
07/11/2013,53,-0.031388964
06/11/2013,54.69,0.012511663
05/11/2013,54.01,-0.003696179
04/11/2013,54.21,0.004066549
01/11/2013,53.99,-0.000185202
31/10/2013,54,-0.015253443
30/10/2013,54.83,-0.008535419
29/10/2013,55.3,0.013838531
28/10/2013,54.54,0.011989445
25/10/2013,53.89,0.010258413
24/10/2013,53.34,-0.00560854
23/10/2013,53.64,-0.00964757
22/10/2013,54.16,0.012260975
21/10/2013,53.5,0.016585378
18/10/2013,52.62,-0.000949758
17/10/2013,52.67,0.016269858
16/10/2013,51.82,0.010670389
15/10/2013,51.27,-0.010670389
14/10/2013,51.82,0.001158525
11/10/2013,51.76,0.009121849
10/10/2013,51.29,0.026673517
09/10/2013,49.94,0.004616165
08/10/2013,49.71,-0.003614462
07/10/2013,49.89,-0.011558518
04/10/2013,50.47,0.014569662
03/10/2013,49.74,-0.009006365
02/10/2013,50.19,-0.014832666
01/10/2013,50.94,0.016028838
30/09/2013,50.13,-0.005371544
27/09/2013,50.4,-0.005737477
26/09/2013,50.69,0.005142416
25/09/2013,50.43,0.004571209
24/09/2013,50.2,-0.001791223
23/09/2013,50.29,-0.004760969
20/09/2013,50.53,-0.018820395
19/09/2013,51.49,-0.001358564
18/09/2013,51.56,0.016820267
17/09/2013,50.7,0.009512557
16/09/2013,50.22,0.01363293
13/09/2013,49.54,0.005262105
12/09/2013,49.28,-0.008687801
11/09/2013,49.71,0.006458146
10/09/2013,49.39,0.006092626
09/09/2013,49.09,-0.003050953
06/09/2013,49.24,0.001015951
05/09/2013,49.19,-0.002436549
04/09/2013,49.31,0.015326753
03/09/2013,48.56,-0.004725227
30/08/2013,48.79,0.004107625
29/08/2013,48.59,0.00309183
28/08/2013,48.44,-0.021242629
27/08/2013,49.48,-0.005642901
26/08/2013,49.76,-0.013969495
23/08/2013,50.46,0.012363069
22/08/2013,49.84,-0.000802246
21/08/2013,49.88,-0.012749177
20/08/2013,50.52,0.008148709
19/08/2013,50.11,-0.013281987
16/08/2013,50.78,0.000590958
15/08/2013,50.75,-0.022407172
14/08/2013,51.9,-0.009969408
13/08/2013,52.42,-0.001905852
12/08/2013,52.52,-0.012864347
09/08/2013,53.2,-0.004126811
08/08/2013,53.42,0.011863429
07/08/2013,52.79,-0.008863802
06/08/2013,53.26,0.061563854
05/08/2013,50.08,-0.014077758
02/08/2013,50.79,-0.002359883
01/08/2013,50.91,0.016837082
31/07/2013,50.06,0.003602165
30/07/2013,49.88,0.000200501
29/07/2013,49.87,0.001605459
26/07/2013,49.79,-0.000803052
25/07/2013,49.83,-0.00120337
24/07/2013,49.89,-0.014723704
23/07/2013,50.63,-0.006300474
22/07/2013,50.95,-0.008598841
19/07/2013,51.39,0.007617968
18/07/2013,51,0.003338901
17/07/2013,50.83,-0.0049063
16/07/2013,51.08,-0.012258155
15/07/2013,51.71,0.007960434
12/07/2013,51.3,-0.011628038
11/07/2013,51.9,0.030717469
10/07/2013,50.33,0
09/07/2013,50.33,0.043034852
08/07/2013,48.21,0.011683838
05/07/2013,47.65,0.002311168
03/07/2013,47.54,-0.01108682
02/07/2013,48.07,-0.001870519
01/07/2013,48.16,0.006248719
28/06/2013,47.86,-0.014520064
27/06/2013,48.56,0.001855097
26/06/2013,48.47,0.007454994
25/06/2013,48.11,0.004374551
24/06/2013,47.9,0.002299092
21/06/2013,47.79,0.003563572
20/06/2013,47.62,-0.031420526
19/06/2013,49.14,-0.014144507
18/06/2013,49.84,-0.003005111
17/06/2013,49.99,0.008033785
14/06/2013,49.59,-0.005028674
13/06/2013,49.84,0.004827041
12/06/2013,49.6,-0.019565408
11/06/2013,50.58,-0.011792589
10/06/2013,51.18,0.010212186
07/06/2013,50.66,0.022558098
06/06/2013,49.53,-0.005837963
05/06/2013,49.82,-0.011177761
04/06/2013,50.38,0.01580507
03/06/2013,49.59,0.003636368
31/05/2013,49.41,-0.032652712
30/05/2013,51.05,0.00039185
29/05/2013,51.03,-0.016519664
28/05/2013,51.88,0.006187181
24/05/2013,51.56,0.005445365
23/05/2013,51.28,-0.007963527
22/05/2013,51.69,-0.016881276
21/05/2013,52.57,-0.006257724
20/05/2013,52.9,-0.007908156
17/05/2013,53.32,0.010937314
16/05/2013,52.74,0.032372769
15/05/2013,51.06,-0.000587372
14/05/2013,51.09,0.015782533
13/05/2013,50.29,0.004184523
10/05/2013,50.08,0.011851098
09/05/2013,49.49,-0.004234304
08/05/2013,49.7,-0.020315377
07/05/2013,50.72,-0.004916914
06/05/2013,50.97,-0.006648441
03/05/2013,51.31,0.017497743
02/05/2013,50.42,-0.010849303
01/05/2013,50.97,-0.012284448
30/04/2013,51.6,0.001745709
29/04/2013,51.51,0.009754272
26/04/2013,51.01,-0.005863973
25/04/2013,51.31,-0.006217234
24/04/2013,51.63,-0.026566302
23/04/2013,53.02,0.017888203
22/04/2013,52.08,-0.010885241
19/04/2013,52.65,0.057661305
18/04/2013,49.7,-0.009412305
17/04/2013,50.17,-0.014445685
16/04/2013,50.9,0.005911347
15/04/2013,50.6,-0.025559874
