Date,Close,ABBV
04/04/2014,52.2,-0.024599159
03/04/2014,53.5,0.002995135
02/04/2014,53.34,0.02352157
01/04/2014,52.1,0.013526776
31/03/2014,51.4,0.008204774
28/03/2014,50.98,-0.013250389
27/03/2014,51.66,0.00310198
26/03/2014,51.5,-0.003682532
25/03/2014,51.69,0.00640468
24/03/2014,51.36,-0.040074051
21/03/2014,53.46,-0.004106782
20/03/2014,53.68,0.010675258
19/03/2014,53.11,0.000188306
18/03/2014,53.1,0.021317899
17/03/2014,51.98,0.014924204
14/03/2014,51.21,-0.002145714
13/03/2014,51.32,-0.006216026
12/03/2014,51.64,-0.002127866
11/03/2014,51.75,0.001740644
10/03/2014,51.66,0.003878981
07/03/2014,51.46,-0.011207847
06/03/2014,52.04,0.006554872
05/03/2014,51.7,0.002129926
04/03/2014,51.59,0.029506468
03/03/2014,50.09,-0.016237981
28/02/2014,50.91,0
27/02/2014,50.91,0.003344814
26/02/2014,50.74,0.000394244
25/02/2014,50.72,-0.002559812
24/02/2014,50.85,-0.003729517
21/02/2014,51.04,-0.015938141
20/02/2014,51.86,0.01300358
19/02/2014,51.19,-0.005260606
18/02/2014,51.46,0.014287355
14/02/2014,50.73,0.007518832
13/02/2014,50.35,-0.004162131
12/02/2014,50.56,0.01796097
11/02/2014,49.66,0.002217519
10/02/2014,49.55,0.013409384
07/02/2014,48.89,0.019831263
06/02/2014,47.93,0.004181482
05/02/2014,47.73,-0.00459867
04/02/2014,47.95,0.012591982
03/02/2014,47.35,-0.038936374
31/01/2014,49.23,0.018864615
30/01/2014,48.31,0.014595755
29/01/2014,47.61,-0.001678909
28/01/2014,47.69,0.018197709
27/01/2014,46.83,-0.020292389
24/01/2014,47.79,-0.022347299
23/01/2014,48.87,-0.004287909
22/01/2014,49.08,-0.018571386
21/01/2014,50,-0.001199281
17/01/2014,50.06,-0.00875105
16/01/2014,50.5,0.007752747
15/01/2014,50.11,-0.009730987
14/01/2014,50.6,0.015334364
13/01/2014,49.83,-0.021245711
10/01/2014,50.9,-0.006267157
09/01/2014,51.22,0.016932872
08/01/2014,50.36,-0.002578088
07/01/2014,50.49,0.001982554
06/01/2014,50.39,-0.037203628
03/01/2014,52.3,0.006137342
02/01/2014,51.98,-0.015841538
31/12/2013,52.81,-0.003780008
30/12/2013,53.01,0.008715478
27/12/2013,52.55,-0.008338119
26/12/2013,52.99,0.011960275
24/12/2013,52.36,-0.004192878
23/12/2013,52.58,-0.000190168
20/12/2013,52.59,-0.000760312
19/12/2013,52.63,-0.031606184
