Date,Close,PKI
04/04/2014,45.66,-0.011757157
03/04/2014,46.2,0.001082837
02/04/2014,46.15,0.01528414
01/04/2014,45.45,0.008617886
31/03/2014,45.06,0.011831816
28/03/2014,44.53,0.004501471
27/03/2014,44.33,-0.007192659
26/03/2014,44.65,-0.002237137
25/03/2014,44.75,-0.007125392
24/03/2014,45.07,-0.01322479
21/03/2014,45.67,-0.011754598
20/03/2014,46.21,0.006731108
19/03/2014,45.9,-0.000217841
18/03/2014,45.91,0.011170853
17/03/2014,45.4,0.01442066
14/03/2014,44.75,0.003133396
13/03/2014,44.61,-0.016893045
12/03/2014,45.37,0.008410851
11/03/2014,44.99,-0.011272083
10/03/2014,45.5,-0.007444746
07/03/2014,45.84,-0.005438934
06/03/2014,46.09,0.00587533
05/03/2014,45.82,0.009208572
04/03/2014,45.4,0.013750494
03/03/2014,44.78,-0.011986825
28/02/2014,45.32,0.000441404
27/02/2014,45.3,0.014900754
26/02/2014,44.63,0.008099032
25/02/2014,44.27,0.00271432
24/02/2014,44.15,0.009787264
21/02/2014,43.72,-0.007519689
20/02/2014,44.05,0.024357822
19/02/2014,42.99,-0.015693837
18/02/2014,43.67,-0.007073618
14/02/2014,43.98,-0.006572262
13/02/2014,44.27,0.002261421
12/02/2014,44.17,0.00408349
11/02/2014,43.99,0.01028228
10/02/2014,43.54,-0.005497036
07/02/2014,43.78,0.021238102
06/02/2014,42.86,0.004442893
05/02/2014,42.67,-0.003976148
04/02/2014,42.84,-0.004425301
03/02/2014,43.03,-0.013159604
31/01/2014,43.6,-0.010041161
30/01/2014,44.04,0.033244059
29/01/2014,42.6,-0.002578832
28/01/2014,42.71,0.039398673
27/01/2014,41.06,-0.00291829
24/01/2014,41.18,-0.031316053
23/01/2014,42.49,-0.012861162
22/01/2014,43.04,-0.001857011
21/01/2014,43.12,0.00255428
17/01/2014,43.01,-0.005102052
16/01/2014,43.23,0.005799807
15/01/2014,42.98,0.005365696
14/01/2014,42.75,0.009400774
13/01/2014,42.35,-0.019409004
10/01/2014,43.18,-0.005773021
09/01/2014,43.43,0.016951526
08/01/2014,42.7,0.013913678
07/01/2014,42.11,0.01002395
06/01/2014,41.69,0.011580347
03/01/2014,41.21,0.006573365
02/01/2014,40.94,-0.007058566
31/12/2013,41.23,-0.002906275
30/12/2013,41.35,0.00411972
27/12/2013,41.18,0.002431317
26/12/2013,41.08,-0.000973236
24/12/2013,41.12,0.001703785
23/12/2013,41.05,0.010038033
20/12/2013,40.64,0.00468616
19/12/2013,40.45,0.005950923
18/12/2013,40.21,0.028760812
17/12/2013,39.07,-0.004596535
16/12/2013,39.25,0.007159325
13/12/2013,38.97,-0.002306806
12/12/2013,39.06,0.004876181
11/12/2013,38.87,-0.018858867
10/12/2013,39.61,0.023500443
09/12/2013,38.69,0.014317569
06/12/2013,38.14,0.016122987
05/12/2013,37.53,0.001333156
04/12/2013,37.48,0.002671655
03/12/2013,37.38,-0.010379335
02/12/2013,37.77,-0.007123101
29/11/2013,38.04,-0.003673581
27/11/2013,38.18,0.004725659
26/11/2013,38,0.004219416
25/11/2013,37.84,-0.004219416
22/11/2013,38,-0.006557401
21/11/2013,38.25,0.009192448
20/11/2013,37.9,-0.001054852
19/11/2013,37.94,0.001318739
18/11/2013,37.89,-0.010762671
15/11/2013,38.3,0.020309283
14/11/2013,37.53,0.009907699
13/11/2013,37.16,0.001885522
12/11/2013,37.09,0.002159245
11/11/2013,37.01,-0.002428823
08/11/2013,37.1,0.018773507
07/11/2013,36.41,-0.012012156
06/11/2013,36.85,-0.011869576
05/11/2013,37.29,-0.01780778
04/11/2013,37.96,0
01/11/2013,37.96,-0.002105264
31/10/2013,38.04,-0.005766726
30/10/2013,38.26,-0.011693001
29/10/2013,38.71,0.008561474
28/10/2013,38.38,-0.005456685
25/10/2013,38.59,0.009895914
24/10/2013,38.21,0.007091297
23/10/2013,37.94,0.006080653
22/10/2013,37.71,0.00106129
21/10/2013,37.67,-0.002651115
18/10/2013,37.77,0.001855042
17/10/2013,37.7,0.028246666
16/10/2013,36.65,0.004375178
15/10/2013,36.49,-0.020076637
14/10/2013,37.23,-0.000805477
11/10/2013,37.26,0.00619197
10/10/2013,37.03,0.019084549
09/10/2013,36.33,-0.009860392
08/10/2013,36.69,-0.014879214
07/10/2013,37.24,-0.01439641
04/10/2013,37.78,0.007438929
03/10/2013,37.5,-0.009554213
02/10/2013,37.86,-0.002374358
01/10/2013,37.95,0.005284028
30/09/2013,37.75,-0.009491239
27/09/2013,38.11,0
26/09/2013,38.11,0.014270855
25/09/2013,37.57,-0.006632204
24/09/2013,37.82,-0.001057083
23/09/2013,37.86,-0.009986942
20/09/2013,38.24,-0.008851919
19/09/2013,38.58,-0.001295169
18/09/2013,38.63,0.002332514
17/09/2013,38.54,0.015690698
16/09/2013,37.94,0.006611157
13/09/2013,37.69,0.004787243
12/09/2013,37.51,-0.01166194
11/09/2013,37.95,0.006609409
10/09/2013,37.7,0.007454774
09/09/2013,37.42,0.011828095
06/09/2013,36.98,0.002165675
05/09/2013,36.9,0.007071011
04/09/2013,36.64,0.007946336
03/09/2013,36.35,0.010508946
30/08/2013,35.97,-0.001944175
29/08/2013,36.04,0.001110494
28/08/2013,36,-0.000555401
27/08/2013,36.02,-0.020607956
26/08/2013,36.77,0
23/08/2013,36.77,0.010388284
22/08/2013,36.39,0.000274839
21/08/2013,36.38,0.003579792
20/08/2013,36.25,-0.006872879
19/08/2013,36.5,0.000822256
16/08/2013,36.47,-0.007920293
15/08/2013,36.76,-0.017260407
14/08/2013,37.4,-0.0061309
13/08/2013,37.63,0.003460672
12/08/2013,37.5,0.015587523
09/08/2013,36.92,0.008978431
08/08/2013,36.59,0.000820232
07/08/2013,36.56,0.007137005
