Date,Close,GM
04/04/2014,34.81,-0.017936424
03/04/2014,35.44,0.015927527
02/04/2014,34.88,0.015602744
01/04/2014,34.34,-0.002326935
31/03/2014,34.42,-0.008966076
28/03/2014,34.73,0.00635473
27/03/2014,34.51,0.008438869
26/03/2014,34.22,-0.008438869
25/03/2014,34.51,-0.018090946
24/03/2014,35.14,0.003706348
21/03/2014,35.01,-0.007115442
20/03/2014,35.26,0.009975856
19/03/2014,34.91,-0.007420125
18/03/2014,35.17,0.015473088
17/03/2014,34.63,0.015716272
14/03/2014,34.09,0
13/03/2014,34.09,-0.022335954
12/03/2014,34.86,-0.009137699
11/03/2014,35.18,-0.052869652
10/03/2014,37.09,-0.016047416
07/03/2014,37.69,0.003987776
06/03/2014,37.54,0.000532907
05/03/2014,37.52,0.015849895
04/03/2014,36.93,0.019688905
03/03/2014,36.21,0.000276205
28/02/2014,36.2,-0.015623176
27/02/2014,36.77,-0.001630435
26/02/2014,36.83,0.020019865
25/02/2014,36.1,-0.012388321
24/02/2014,36.55,-0.003823052
21/02/2014,36.69,0.004918043
20/02/2014,36.51,0.013234271
19/02/2014,36.03,-0.007741261
18/02/2014,36.31,0.009964101
14/02/2014,35.95,0.021083002
13/02/2014,35.2,-0.010175328
12/02/2014,35.56,0.008755881
11/02/2014,35.25,0.0099787
10/02/2014,34.9,-0.034083006
07/02/2014,36.11,0.024671843
06/02/2014,35.23,-0.000283809
05/02/2014,35.24,-0.016324596
04/02/2014,35.82,0.016040867
03/02/2014,35.25,-0.023273166
31/01/2014,36.08,-0.020845516
30/01/2014,36.84,0.013390007
29/01/2014,36.35,-0.012575343
28/01/2014,36.81,0.00135925
27/01/2014,36.76,-0.001902433
24/01/2014,36.83,-0.042265427
23/01/2014,38.42,-0.009842089
22/01/2014,38.8,0.011926509
21/01/2014,38.34,-0.006758539
17/01/2014,38.6,-0.01030937
16/01/2014,39,-0.009696427
15/01/2014,39.38,-0.016121256
14/01/2014,40.02,0.011055389
13/01/2014,39.58,-0.011305233
10/01/2014,40.03,-0.011425857
09/01/2014,40.49,0.001730318
08/01/2014,40.42,0.005457716
07/01/2014,40.2,-0.004962789
06/01/2014,40.4,0.02075853
03/01/2014,39.57,-0.034280555
02/01/2014,40.95,0.001955513
31/12/2013,40.87,0.004413936
30/12/2013,40.69,-0.006125218
27/12/2013,40.94,-0.014067659
26/12/2013,41.52,0.015534293
24/12/2013,40.88,-0.009979394
23/12/2013,41.29,0.007292205
20/12/2013,40.99,0.016976666
19/12/2013,40.3,-0.023784375
18/12/2013,41.27,-0.006280214
17/12/2013,41.53,0.00216946
16/12/2013,41.44,0.034367644
13/12/2013,40.04,-0.000249719
12/12/2013,40.05,-0.002742802
11/12/2013,40.16,-0.00595831
10/12/2013,40.4,-0.012300278
09/12/2013,40.9,0.018009615
06/12/2013,40.17,0.027253769
05/12/2013,39.09,0.009768715
04/12/2013,38.71,0.014834364
03/12/2013,38.14,-0.025114589
02/12/2013,39.11,0.009763695
29/11/2013,38.73,-0.003093583
27/11/2013,38.85,0.030844055
26/11/2013,37.67,0.003190643
25/11/2013,37.55,-0.002128226
22/11/2013,37.63,-0.012937474
21/11/2013,38.12,0.011344272
20/11/2013,37.69,-0.008454476
19/11/2013,38.01,-0.014625489
18/11/2013,38.57,-0.005171979
15/11/2013,38.77,0.00698851
14/11/2013,38.5,0.001559657
13/11/2013,38.44,0.047412342
12/11/2013,36.66,-0.000545405
11/11/2013,36.68,0.000545405
08/11/2013,36.66,0.020391999
07/11/2013,35.92,-0.018480736
06/11/2013,36.59,-0.013572412
05/11/2013,37.09,-0.010193221
04/11/2013,37.47,0.002137324
01/11/2013,37.39,0.011837642
31/10/2013,36.95,-0.00754924
30/10/2013,37.23,0.03193067
29/10/2013,36.06,0.007236324
28/10/2013,35.8,0.005883194
25/10/2013,35.59,-0.00112328
24/10/2013,35.63,0.016412366
23/10/2013,35.05,-0.010218653
22/10/2013,35.41,-0.00253843
21/10/2013,35.5,-0.010926009
18/10/2013,35.89,0.006429093
17/10/2013,35.66,0.014974146
16/10/2013,35.13,0.012315779
15/10/2013,34.7,-0.017992774
14/10/2013,35.33,-0.000565931
11/10/2013,35.35,0.014245255
10/10/2013,34.85,0.019997768
09/10/2013,34.16,-0.00146263
08/10/2013,34.21,-0.02795974
07/10/2013,35.18,-0.014672949
04/10/2013,35.7,0.011551051
03/10/2013,35.29,-0.018251244
02/10/2013,35.94,0.000835073
01/10/2013,35.91,-0.001669449
30/09/2013,35.97,-0.011059001
27/09/2013,36.37,-0.015821388
26/09/2013,36.95,-0.006205335
25/09/2013,37.18,-0.006968669
24/09/2013,37.44,0.008314383
23/09/2013,37.13,0.008112538
20/09/2013,36.83,-0.010802157
19/09/2013,37.23,-0.009357106
18/09/2013,37.58,0.023422796
17/09/2013,36.71,0.013437745
16/09/2013,36.22,0.004427235
13/09/2013,36.06,-0.008560041
12/09/2013,36.37,0.000550055
11/09/2013,36.35,-0.017723709
10/09/2013,37,0.014153747
09/09/2013,36.48,0.009087217
06/09/2013,36.15,-0.004966898
05/09/2013,36.33,0.013300279
04/09/2013,35.85,0.04887385
03/09/2013,34.14,0.001759015
30/08/2013,34.08,-0.010798295
29/08/2013,34.45,0.015504187
28/08/2013,33.92,0.006803754
27/08/2013,33.69,-0.035858674
26/08/2013,34.92,-0.004001149
23/08/2013,35.06,0.001998573
22/08/2013,34.99,0.013233795
21/08/2013,34.53,-0.007501478
20/08/2013,34.79,0.008660562
19/08/2013,34.49,0.003194427
16/08/2013,34.38,-0.00493255
15/08/2013,34.55,-0.029095036
14/08/2013,35.57,-0.007562002
13/08/2013,35.84,-0.00389864
12/08/2013,35.98,-0.001111111
09/08/2013,36.02,0.000277662
08/08/2013,36.01,0.01482752
07/08/2013,35.48,-0.013438052
06/08/2013,35.96,-0.021731016
05/08/2013,36.75,-0.005427422
02/08/2013,36.95,0.013075643
01/08/2013,36.47,0.016588713
31/07/2013,35.87,-0.017410969
30/07/2013,36.5,0.003293087
29/07/2013,36.38,-0.007939809
26/07/2013,36.67,-0.011118759
25/07/2013,37.08,-0.001616815
24/07/2013,37.14,0.014373129
23/07/2013,36.61,-0.00408887
22/07/2013,36.76,0.00408887
19/07/2013,36.61,-0.006262784
18/07/2013,36.84,0.013114942
17/07/2013,36.36,0.004962789
16/07/2013,36.18,-0.008805781
15/07/2013,36.5,0.002743486
12/07/2013,36.4,0.007168489
11/07/2013,36.14,0.022667824
10/07/2013,35.33,0.01167273
09/07/2013,34.92,0.008050647
08/07/2013,34.64,-0.000865676
05/07/2013,34.67,0.015405042
03/07/2013,34.14,0.001172333
02/07/2013,34.1,0.00293686
01/07/2013,34,0.020502872
28/06/2013,33.31,0.00632437
27/06/2013,33.1,0.016755914
26/06/2013,32.55,0.022682346
25/06/2013,31.82,0.01265039
24/06/2013,31.42,-0.024832331
21/06/2013,32.21,-0.010807578
20/06/2013,32.56,-0.033225648
19/06/2013,33.66,-0.01034441
18/06/2013,34.01,0.00826695
17/06/2013,33.73,-0.016466117
14/06/2013,34.29,-0.006105558
13/06/2013,34.5,0.030907537
12/06/2013,33.45,-0.014247792
11/06/2013,33.93,-0.023592182
10/06/2013,34.74,-0.008313076
07/06/2013,35.03,0.016986158
06/06/2013,34.44,0.012270093
05/06/2013,34.02,-0.027255964
04/06/2013,34.96,0.01556676
03/06/2013,34.42,0.015517805
31/05/2013,33.89,-0.021889098
30/05/2013,34.64,0.017179051
29/05/2013,34.05,0.002646671
28/05/2013,33.96,0.032622974
24/05/2013,32.87,0.000608643
23/05/2013,32.85,-0.011501337
22/05/2013,33.23,-0.005102818
21/05/2013,33.4,-0.008941937
20/05/2013,33.7,0.008343314
17/05/2013,33.42,0.03130479
16/05/2013,32.39,0.002472953
15/05/2013,32.31,0.023803191
14/05/2013,31.55,0.017586385
13/05/2013,31,-0.013457428
10/05/2013,31.42,-0.007293516
09/05/2013,31.65,-0.013494634
08/05/2013,32.08,0.013494634
07/05/2013,31.65,-0.005356874
06/05/2013,31.82,-0.008761007
03/05/2013,32.1,0.029720809
02/05/2013,31.16,0.031955768
01/05/2013,30.18,-0.021633095
30/04/2013,30.84,0.001622587
29/04/2013,30.79,0.009463278
26/04/2013,30.5,-0.006861651
25/04/2013,30.71,0.00850234
24/04/2013,30.45,0.019901154
23/04/2013,29.85,0.020305266
22/04/2013,29.25,0.003424661
19/04/2013,29.15,0.005848976
18/04/2013,28.98,-0.009957164
17/04/2013,29.27,-0.006809696
16/04/2013,29.47,0.019185241
15/04/2013,28.91,-0.024262253
12/04/2013,29.62,-0.003370411
11/04/2013,29.72,0.046487971
10/04/2013,28.37,0.03005593
09/04/2013,27.53,-0.002177069
08/04/2013,27.59,0.002540375
05/04/2013,27.52,-0.007962402
04/04/2013,27.74,-0.002160606
03/04/2013,27.8,-0.004665359
02/04/2013,27.93,0.004665359
01/04/2013,27.8,-0.000719166
28/03/2013,27.82,-0.008589888
27/03/2013,28.06,-0.00320228
26/03/2013,28.15,-0.000355177
25/03/2013,28.16,-0.002128415
22/03/2013,28.22,-0.014424173
21/03/2013,28.63,-0.01971359
20/03/2013,29.2,0.038399133
19/03/2013,28.1,0.002137514
18/03/2013,28.04,-0.006044463
15/03/2013,28.21,0.001773994
14/03/2013,28.16,0.003201141
13/03/2013,28.07,-0.010630858
12/03/2013,28.37,0.00211715
11/03/2013,28.31,0.011010589
08/03/2013,28,0.004294924
07/03/2013,27.88,-0.001075462
06/03/2013,27.91,0.011894175
05/03/2013,27.58,0.017926216
04/03/2013,27.09,-0.004419897
01/03/2013,27.21,0.002207506
28/02/2013,27.15,-0.009165967
27/02/2013,27.4,0.021022349
26/02/2013,26.83,0.018811691
25/02/2013,26.33,-0.02919369
22/02/2013,27.11,0.022380643
21/02/2013,26.51,-0.022011708
