Date,Close,LLL
04/04/2014,116.34,-0.030224523
03/04/2014,119.91,-0.002415561
02/04/2014,120.2,0.011799794
01/04/2014,118.79,0.005402225
31/03/2014,118.15,0.006282921
28/03/2014,117.41,0.007694976
27/03/2014,116.51,-0.006501862
26/03/2014,117.27,0.009338256
25/03/2014,116.18,0.003103451
24/03/2014,115.82,-0.001639132
21/03/2014,116.01,-0.000430904
20/03/2014,116.06,-0.003182935
19/03/2014,116.43,-0.01084878
18/03/2014,117.7,0.00545239
17/03/2014,117.06,0.015149197
14/03/2014,115.3,0.008360961
13/03/2014,114.34,-0.009747684
12/03/2014,115.46,0.003383511
11/03/2014,115.07,-0.009686143
10/03/2014,116.19,-0.009081625
07/03/2014,117.25,0.001109357
06/03/2014,117.12,-0.000341472
05/03/2014,117.16,-0.002812702
04/03/2014,117.49,0.012676829
03/03/2014,116.01,0.00527204
28/02/2014,115.4,0.013786101
27/02/2014,113.82,-0.001404741
26/02/2014,113.98,0.001229041
25/02/2014,113.84,-0.021379106
24/02/2014,116.3,0.006210129
21/02/2014,115.58,-0.000605458
20/02/2014,115.65,0.017268875
19/02/2014,113.67,-0.010066171
18/02/2014,114.82,0.011562848
14/02/2014,113.5,0.003707304
13/02/2014,113.08,-0.000353669
12/02/2014,113.12,0.005140488
11/02/2014,112.54,0.001244777
10/02/2014,112.4,-0.005500857
07/02/2014,113.02,0.030636183
06/02/2014,109.61,0.005947769
05/02/2014,108.96,0.005798718
04/02/2014,108.33,-0.002673429
03/02/2014,108.62,-0.022305081
31/01/2014,111.07,0.052303125
30/01/2014,105.41,0.016162548
29/01/2014,103.72,-0.007204988
28/01/2014,104.47,0.007301406
27/01/2014,103.71,-0.004425637
24/01/2014,104.17,-0.03341825
23/01/2014,107.71,-0.008413122
22/01/2014,108.62,0.002581122
21/01/2014,108.34,0.007132632
17/01/2014,107.57,0.005312964
16/01/2014,107,-0.002613405
15/01/2014,107.28,0.010683262
14/01/2014,106.14,0.004532586
13/01/2014,105.66,-0.006227023
10/01/2014,106.32,0.000282207
09/01/2014,106.29,0.007839473
08/01/2014,105.46,0.006850645
07/01/2014,104.74,-0.007987871
06/01/2014,105.58,0.001896095
03/01/2014,105.38,0.0028509
02/01/2014,105.08,-0.016797602
31/12/2013,106.86,0.000748923
30/12/2013,106.78,-0.003179058
27/12/2013,107.12,-9.33489E-05
26/12/2013,107.13,0.003740769
24/12/2013,106.73,0.006580208
23/12/2013,106.03,0.005105911
20/12/2013,105.49,0.008759458
19/12/2013,104.57,-0.00200621
18/12/2013,104.78,0.023073862
17/12/2013,102.39,-0.006134093
16/12/2013,103.02,0.007697967
13/12/2013,102.23,0.009138766
12/12/2013,101.3,0.00415472
11/12/2013,100.88,-0.014759689
10/12/2013,102.38,0.004208884
09/12/2013,101.95,0.001472393
06/12/2013,101.8,0.009772547
05/12/2013,100.81,-0.007609108
04/12/2013,101.58,-0.010770691
03/12/2013,102.68,-0.004954593
02/12/2013,103.19,-0.002613115
29/11/2013,103.46,-0.000193293
27/11/2013,103.48,0.004552286
26/11/2013,103.01,0.00623237
25/11/2013,102.37,0.000293098
22/11/2013,102.34,0.004701282
21/11/2013,101.86,0.004920785
20/11/2013,101.36,-0.004135085
19/11/2013,101.78,-0.010555219
18/11/2013,102.86,0.008886343
15/11/2013,101.95,-9.80825E-05
14/11/2013,101.96,0.000883089
13/11/2013,101.87,0.006203555
12/11/2013,101.24,-0.001085937
11/11/2013,101.35,-0.001478926
08/11/2013,101.5,0.006325382
07/11/2013,100.86,-0.013980734
06/11/2013,102.28,0.012098707
05/11/2013,101.05,0.002080342
04/11/2013,100.84,0.000793651
01/11/2013,100.76,0.00308136
31/10/2013,100.45,0.010005086
30/10/2013,99.45,0.014891629
29/10/2013,97.98,0.009022001
28/10/2013,97.1,-0.004418648
25/10/2013,97.53,0.012795552
24/10/2013,96.29,0.003224635
23/10/2013,95.98,0.010262945
22/10/2013,95,0.006335818
21/10/2013,94.4,-0.00391183
18/10/2013,94.77,0.004123717
17/10/2013,94.38,0.00339631
16/10/2013,94.06,0.003727969
15/10/2013,93.71,-0.013461436
14/10/2013,94.98,0.011010063
11/10/2013,93.94,0.004053339
10/10/2013,93.56,0.017466751
09/10/2013,91.94,-0.000543685
08/10/2013,91.99,-0.007149077
07/10/2013,92.65,-0.002479385
04/10/2013,92.88,0.002263542
03/10/2013,92.67,-0.013505028
02/10/2013,93.93,-0.014794732
01/10/2013,95.33,0.008744722
30/09/2013,94.5,-0.00979316
27/09/2013,95.43,-0.005017257
26/09/2013,95.91,-0.000208507
25/09/2013,95.93,0.004283109
24/09/2013,95.52,0.010630001
23/09/2013,94.51,-0.007484355
20/09/2013,95.22,-0.008887089
19/09/2013,96.07,-0.00020816
18/09/2013,96.09,0.001041233
17/09/2013,95.99,0.002398958
16/09/2013,95.76,0.015894235
13/09/2013,94.25,0.003081667
12/09/2013,93.96,-0.0022325
11/09/2013,94.17,0.013793322
10/09/2013,92.88,0.008216262
09/09/2013,92.12,0.010146833
06/09/2013,91.19,-0.003065808
05/09/2013,91.47,0.002408057
04/09/2013,91.25,0.007590378
03/09/2013,90.56,0.002542983
30/08/2013,90.33,-0.007170071
29/08/2013,90.98,-0.001208327
28/08/2013,91.09,0.004070189
27/08/2013,90.72,-0.016941222
26/08/2013,92.27,-0.004109891
23/08/2013,92.65,0.003784811
22/08/2013,92.3,0.010126944
21/08/2013,91.37,-0.007957746
20/08/2013,92.1,0.006535971
19/08/2013,91.5,0.003284075
16/08/2013,91.2,-0.002518755
15/08/2013,91.43,-0.012715489
14/08/2013,92.6,-0.007638142
13/08/2013,93.31,0.003865569
12/08/2013,92.95,0.000645717
09/08/2013,92.89,-0.00675932
08/08/2013,93.52,0.003534897
07/08/2013,93.19,0.001718398
06/08/2013,93.03,-0.005574031
05/08/2013,93.55,-0.008197204
02/08/2013,94.32,0.008411016
01/08/2013,93.53,0.004071143
31/07/2013,93.15,0.006570114
30/07/2013,92.54,0.006396032
29/07/2013,91.95,-0.002172733
26/07/2013,92.15,0.001194419
25/07/2013,92.04,-0.005957879
24/07/2013,92.59,-0.004418349
23/07/2013,93,0.006580745
22/07/2013,92.39,0.000216497
19/07/2013,92.37,0.005754318
18/07/2013,91.84,0.007651147
17/07/2013,91.14,0.009813189
