Date,Close,CMG
04/04/2014,555.16,-0.027940186
03/04/2014,570.89,-0.009275631
02/04/2014,576.21,-0.004778485
01/04/2014,578.97,0.01904122
31/03/2014,568.05,0.001550361
28/03/2014,567.17,0.014187658
27/03/2014,559.18,-0.008370038
26/03/2014,563.88,-0.011987169
25/03/2014,570.68,-0.030816262
24/03/2014,588.54,-0.037648445
21/03/2014,611.12,-0.000752433
20/03/2014,611.58,0.024966531
19/03/2014,596.5,0.00666086
18/03/2014,592.54,0.027859434
17/03/2014,576.26,0.000520734
14/03/2014,575.96,-0.006127449
13/03/2014,579.5,-0.015751053
12/03/2014,588.7,0.007553511
11/03/2014,584.27,-0.006295714
10/03/2014,587.96,-0.009226641
07/03/2014,593.41,0.000235952
06/03/2014,593.27,0.02046865
05/03/2014,581.25,-0.00614025
04/03/2014,584.83,0.053074074
03/03/2014,554.6,-0.01895021
28/02/2014,565.21,0.007226915
27/02/2014,561.14,0.010786122
26/02/2014,555.12,0.000901112
25/02/2014,554.62,0.000432822
24/02/2014,554.38,0.008859797
21/02/2014,549.49,-0.001436664
20/02/2014,550.28,-0.00344684
19/02/2014,552.18,-0.001230725
18/02/2014,552.86,-0.002258418
14/02/2014,554.11,-0.006368302
13/02/2014,557.65,0.021588854
12/02/2014,545.74,0.001613791
11/02/2014,544.86,-0.005910626
10/02/2014,548.09,-0.002187028
07/02/2014,549.29,0.008813691
06/02/2014,544.47,0.0037538
05/02/2014,542.43,0.003397909
04/02/2014,540.59,-0.004816441
03/02/2014,543.2,-0.015998004
31/01/2014,551.96,0.111021038
30/01/2014,493.96,0.019337111
29/01/2014,484.5,-0.015097023
28/01/2014,491.87,0.005218218
27/01/2014,489.31,-0.006457615
24/01/2014,492.48,-0.022030552
23/01/2014,503.45,-0.024525459
22/01/2014,515.95,-0.018473526
21/01/2014,525.57,-0.003873987
17/01/2014,527.61,-0.003594676
16/01/2014,529.51,-0.005161253
15/01/2014,532.25,0.003708135
14/01/2014,530.28,0.000905592
13/01/2014,529.8,-0.016417902
10/01/2014,538.57,-0.004557251
09/01/2014,541.03,0.009620459
08/01/2014,535.85,0.005220283
07/01/2014,533.06,0.010826413
06/01/2014,527.32,-0.00753808
03/01/2014,531.31,0.014942349
02/01/2014,523.43,-0.017705275
31/12/2013,532.78,0.001389906
30/12/2013,532.04,0.002427574
27/12/2013,530.75,-0.008779062
26/12/2013,535.43,0.004342381
24/12/2013,533.11,0.003909265
23/12/2013,531.03,-0.003965537
20/12/2013,533.14,0.03543302
19/12/2013,514.58,-0.004479052
18/12/2013,516.89,0.008256241
17/12/2013,512.64,-0.005330648
16/12/2013,515.38,0.004921088
13/12/2013,512.85,-0.00422233
12/12/2013,515.02,-0.004939047
11/12/2013,517.57,-0.007622017
10/12/2013,521.53,-0.011040776
09/12/2013,527.32,0.002867644
06/12/2013,525.81,0.009170695
05/12/2013,521.01,0.00558166
04/12/2013,518.11,-0.008705316
03/12/2013,522.64,-0.003552537
02/12/2013,524.5,0.001220955
