Date,Close,MAR
04/04/2014,55.8,-0.014058422
03/04/2014,56.59,-0.005814482
02/04/2014,56.92,-0.00017567
01/04/2014,56.93,0.016113673
31/03/2014,56.02,0.010407415
28/03/2014,55.44,0.012341354
27/03/2014,54.76,-0.014863424
26/03/2014,55.58,0.001800829
25/03/2014,55.48,0.00596585
24/03/2014,55.15,-0.001811595
21/03/2014,55.25,0.022884294
20/03/2014,54,-0.004250214
19/03/2014,54.23,-0.003497473
18/03/2014,54.42,0.006267302
17/03/2014,54.08,0.00370508
14/03/2014,53.88,0.003160148
13/03/2014,53.71,-0.005940244
12/03/2014,54.03,-0.000185065
11/03/2014,54.04,-0.002771876
10/03/2014,54.19,-0.011011306
07/03/2014,54.79,0.003473813
06/03/2014,54.6,0.013088951
05/03/2014,53.89,0.001113999
04/03/2014,53.83,0.010082236
03/03/2014,53.29,-0.017485565
28/02/2014,54.23,0.006846173
27/02/2014,53.86,0.007828558
26/02/2014,53.44,-0.007828558
25/02/2014,53.86,0.007267338
24/02/2014,53.47,0.018117121
21/02/2014,52.51,0.013806547
20/02/2014,51.79,0.004838875
19/02/2014,51.54,0.003109214
18/02/2014,51.38,-0.00272109
14/02/2014,51.52,0.027749493
13/02/2014,50.11,0.009222198
12/02/2014,49.65,-0.000805315
11/02/2014,49.69,0.006663326
10/02/2014,49.36,0.002434078
07/02/2014,49.24,0.009795997
06/02/2014,48.76,0.01800359
05/02/2014,47.89,-0.001877543
04/02/2014,47.98,0.010686325
03/02/2014,47.47,-0.037826148
31/01/2014,49.3,-0.000202819
30/01/2014,49.31,0.009167834
29/01/2014,48.86,-0.017045867
28/01/2014,49.7,0.013164747
27/01/2014,49.05,-0.014371262
24/01/2014,49.76,-0.016344793
23/01/2014,50.58,-0.011597182
22/01/2014,51.17,0.007453938
21/01/2014,50.79,0.00335273
17/01/2014,50.62,0.00098824
16/01/2014,50.57,0.014942005
15/01/2014,49.82,0.009681399
14/01/2014,49.34,0.012029914
13/01/2014,48.75,-0.010813122
10/01/2014,49.28,0.005902124
09/01/2014,48.99,-0.002853651
08/01/2014,49.13,0.009612509
07/01/2014,48.66,0.004324999
06/01/2014,48.45,-0.00411947
03/01/2014,48.65,-0.00635183
02/01/2014,48.96,-0.007934128
31/12/2013,49.35,0.006913407
30/12/2013,49.01,0.004703966
27/12/2013,48.78,-0.002661482
26/12/2013,48.91,0.004919051
24/12/2013,48.67,0.008045428
23/12/2013,48.28,0.002696258
20/12/2013,48.15,0.008970541
19/12/2013,47.72,-0.003138406
18/12/2013,47.87,0.021751465
17/12/2013,46.84,-0.005323126
16/12/2013,47.09,0.011104107
13/12/2013,46.57,0.011880472
12/12/2013,46.02,0.00021732
11/12/2013,46.01,-0.012097793
10/12/2013,46.57,0.000214754
09/12/2013,46.56,0.007112865
06/12/2013,46.23,0.013282721
05/12/2013,45.62,-0.006336741
04/12/2013,45.91,-0.002393126
03/12/2013,46.02,-0.010376228
02/12/2013,46.5,-0.011120731
29/11/2013,47.02,0.001915913
27/11/2013,46.93,-0.005312944
26/11/2013,47.18,0.011725963
25/11/2013,46.63,-0.006199913
22/11/2013,46.92,0.000213151
21/11/2013,46.91,0.013953216
20/11/2013,46.26,-0.001512043
19/11/2013,46.33,-0.01393228
18/11/2013,46.98,-0.000851064
15/11/2013,47.02,0.001702853
14/11/2013,46.94,0.005554383
13/11/2013,46.68,0.005370005
12/11/2013,46.43,0.007132852
11/11/2013,46.1,-0.000433745
08/11/2013,46.12,0.015074016
07/11/2013,45.43,-0.019832839
06/11/2013,46.34,0.01063032
05/11/2013,45.85,-0.003048783
04/11/2013,45.99,0.006106889
01/11/2013,45.71,0.013878403
31/10/2013,45.08,0.0197139
30/10/2013,44.2,-0.00923326
29/10/2013,44.61,0.011498267
28/10/2013,44.1,-0.008804662
25/10/2013,44.49,-0.002693604
24/10/2013,44.61,0.023130283
23/10/2013,43.59,-0.006858737
22/10/2013,43.89,-0.002048481
21/10/2013,43.98,0.010974047
18/10/2013,43.5,0.004377383
17/10/2013,43.31,0.007881357
16/10/2013,42.97,0.015951546
15/10/2013,42.29,0.005929105
14/10/2013,42.04,-0.00616554
11/10/2013,42.3,0.007593772
10/10/2013,41.98,0.016815193
09/10/2013,41.28,-0.006037936
08/10/2013,41.53,-0.010300726
07/10/2013,41.96,-0.01513747
04/10/2013,42.6,0.007540092
03/10/2013,42.28,-0.004483783
02/10/2013,42.47,-0.001646865
01/10/2013,42.54,0.011347639
30/09/2013,42.06,-0.006871251
27/09/2013,42.35,-0.013136478
26/09/2013,42.91,0.002333179
