Date,Close,SRE
04/04/2014,96.44,0.003635801
03/04/2014,96.09,0.000416363
02/04/2014,96.05,-0.004259525
01/04/2014,96.46,-0.003105271
31/03/2014,96.76,0.010493058
28/03/2014,95.75,-0.00468873
27/03/2014,96.2,0.002914847
26/03/2014,95.92,-0.001978858
25/03/2014,96.11,-0.000312094
24/03/2014,96.14,-0.001662856
21/03/2014,96.3,0.00135086
20/03/2014,96.17,0.005421763
19/03/2014,95.65,-0.008225357
18/03/2014,96.44,0.000518592
17/03/2014,96.39,0.004887951
14/03/2014,95.92,0.003969503
13/03/2014,95.54,0.010098971
12/03/2014,94.58,0.006576877
11/03/2014,93.96,-0.002126303
10/03/2014,94.16,0.005217496
07/03/2014,93.67,0.000640752
06/03/2014,93.61,-0.000533988
05/03/2014,93.66,-0.013573909
04/03/2014,94.94,0.009099629
03/03/2014,94.08,-0.00413684
28/02/2014,94.47,0.003924277
27/02/2014,94.1,0.019313905
26/02/2014,92.3,-0.008415197
25/02/2014,93.08,0.005494223
24/02/2014,92.57,-0.004634378
21/02/2014,93,0.000752972
20/02/2014,92.93,0.003233458
19/02/2014,92.63,-0.008492392
18/02/2014,93.42,0.002894358
14/02/2014,93.15,0.002687451
13/02/2014,92.9,0.005072045
12/02/2014,92.43,-0.011509835
11/02/2014,93.5,0.008808737
10/02/2014,92.68,0.004758824
07/02/2014,92.24,0.011010086
06/02/2014,91.23,0.008254959
05/02/2014,90.48,-0.007377669
04/02/2014,91.15,-0.00873845
03/02/2014,91.95,-0.008231391
31/01/2014,92.71,0.013137369
30/01/2014,91.5,0.01408784
29/01/2014,90.22,0.000221705
28/01/2014,90.2,0.001553312
27/01/2014,90.06,-0.002439837
24/01/2014,90.28,-0.021152633
23/01/2014,92.21,-0.006485808
22/01/2014,92.81,-0.001292129
21/01/2014,92.93,0.010601571
17/01/2014,91.95,-0.002064208
16/01/2014,92.14,0.001520582
15/01/2014,92,0.003593405
14/01/2014,91.67,0.008875312
13/01/2014,90.86,-0.011707558
10/01/2014,91.93,0.017557787
09/01/2014,90.33,0.006553031
08/01/2014,89.74,-0.00843325
07/01/2014,90.5,0.014917342
06/01/2014,89.16,0.004045859
03/01/2014,88.8,0.004062294
02/01/2014,88.44,-0.014815086
31/12/2013,89.76,0.003012555
30/12/2013,89.49,0.003357962
27/12/2013,89.19,-0.002910884
26/12/2013,89.45,-0.000111788
24/12/2013,89.46,0.005492364
23/12/2013,88.97,-0.009285741
20/12/2013,89.8,0.016731624
19/12/2013,88.31,-0.001471005
18/12/2013,88.44,0.013546795
17/12/2013,87.25,0.004019529
16/12/2013,86.9,0.004729232
13/12/2013,86.49,-0.001386482
12/12/2013,86.61,-0.002652063
11/12/2013,86.84,-0.011904903
10/12/2013,87.88,0.001594352
09/12/2013,87.74,-0.003754057
06/12/2013,88.07,0.007865529
