Date,Close,LB
04/04/2014,58.21,-0.012293138
03/04/2014,58.93,0.002548638
02/04/2014,58.78,0.023060736
01/04/2014,57.44,0.011732908
31/03/2014,56.77,0.003882815
28/03/2014,56.55,0.009773512
27/03/2014,56,-0.002853069
26/03/2014,56.16,-0.021839544
25/03/2014,57.4,-0.008845778
24/03/2014,57.91,-0.01235643
21/03/2014,58.63,0.023993556
20/03/2014,57.24,-0.001222174
19/03/2014,57.31,0.00034904
18/03/2014,57.29,-0.00139543
17/03/2014,57.37,0.007699076
14/03/2014,56.93,0.003519272
13/03/2014,56.73,-0.005975413
12/03/2014,57.07,-0.002100473
11/03/2014,57.19,-0.011992844
10/03/2014,57.88,0.008850383
07/03/2014,57.37,0.005067726
06/03/2014,57.08,-0.007505053
05/03/2014,57.51,0.015066858
04/03/2014,56.65,0.01780991
03/03/2014,55.65,-0.012145175
28/02/2014,56.33,0.004983103
27/02/2014,56.05,-0.00923466
26/02/2014,56.57,0.039298496
25/02/2014,54.39,0.011278663
24/02/2014,53.78,0.004659406
21/02/2014,53.53,0.004118314
20/02/2014,53.31,-0.006543914
19/02/2014,53.66,-0.031731227
18/02/2014,55.39,0.006520581
14/02/2014,55.03,0.004735892
13/02/2014,54.77,0.005492507
12/02/2014,54.47,-0.022509573
11/02/2014,55.71,0.011554561
10/02/2014,55.07,0.008937588
07/02/2014,54.58,0.011053908
06/02/2014,53.98,0.041416527
05/02/2014,51.79,0.009311415
04/02/2014,51.31,0.008612306
03/02/2014,50.87,-0.028869582
31/01/2014,52.36,-0.005713213
30/01/2014,52.66,0.010307402
29/01/2014,52.12,-0.018063045
28/01/2014,53.07,0.006996341
27/01/2014,52.7,0.001139169
24/01/2014,52.64,-0.019377899
23/01/2014,53.67,-0.011854186
22/01/2014,54.31,-0.004042637
21/01/2014,54.53,-0.011668318
17/01/2014,55.17,-0.012071131
16/01/2014,55.84,-0.016869795
15/01/2014,56.79,0.006536548
14/01/2014,56.42,-0.003361942
13/01/2014,56.61,-0.021840651
10/01/2014,57.86,0.00190295
09/01/2014,57.75,-0.041382876
08/01/2014,60.19,-0.026397139
07/01/2014,61.8,0.012046377
06/01/2014,61.06,-0.006854931
03/01/2014,61.48,-0.001787601
02/01/2014,61.59,-0.004212579
31/12/2013,61.85,0.012200233
30/12/2013,61.1,0.003771424
27/12/2013,60.87,-0.016456583
26/12/2013,61.88,0.010233176
24/12/2013,61.25,0.004417908
23/12/2013,60.98,-0.000983445
20/12/2013,61.04,0.001967859
