Date,Close,NFX
04/04/2014,32.25,-0.002477548
03/04/2014,32.33,0.028550959
02/04/2014,31.42,0.001911437
01/04/2014,31.36,0
31/03/2014,31.36,-0.006040394
28/03/2014,31.55,0.018231754
27/03/2014,30.98,0.017912871
26/03/2014,30.43,-0.015003543
25/03/2014,30.89,0.028901847
24/03/2014,30.01,-0.00232984
21/03/2014,30.08,0.058175827
20/03/2014,28.38,0
19/03/2014,28.38,-0.008421102
18/03/2014,28.62,0.024404394
17/03/2014,27.93,0.010075652
14/03/2014,27.65,0.004349409
13/03/2014,27.53,-0.021560303
12/03/2014,28.13,0.001067046
11/03/2014,28.1,-0.018336198
10/03/2014,28.62,-0.004531993
07/03/2014,28.75,0.000695894
06/03/2014,28.73,0.002090593
05/03/2014,28.67,-0.005912033
04/03/2014,28.84,0.016078641
03/03/2014,28.38,0.006717367
28/02/2014,28.19,0.030250776
27/02/2014,27.35,-0.006922964
26/02/2014,27.54,0.070706134
25/02/2014,25.66,0.013338762
24/02/2014,25.32,0.024791354
21/02/2014,24.7,-0.020834087
20/02/2014,25.22,-0.019631569
19/02/2014,25.72,-0.023440074
18/02/2014,26.33,0.045056164
14/02/2014,25.17,0.015615933
13/02/2014,24.78,0.021620259
12/02/2014,24.25,0.001650846
11/02/2014,24.21,0.00455393
10/02/2014,24.1,-0.000829531
07/02/2014,24.12,0.003738322
06/02/2014,24.03,0.014250032
05/02/2014,23.69,-0.011332755
04/02/2014,23.96,0.007540882
03/02/2014,23.78,-0.040788352
31/01/2014,24.77,-0.004832873
30/01/2014,24.89,0.026049499
29/01/2014,24.25,-0.015142503
28/01/2014,24.62,0.013906155
27/01/2014,24.28,-0.017555054
24/01/2014,24.71,-0.025176155
23/01/2014,25.34,-0.022630697
22/01/2014,25.92,0.014769021
21/01/2014,25.54,0.01777649
17/01/2014,25.09,-0.005960677
16/01/2014,25.24,-0.001583532
15/01/2014,25.28,0.011137744
14/01/2014,25,-0.003194891
13/01/2014,25.08,-0.024031095
10/01/2014,25.69,0.036468568
09/01/2014,24.77,0.021216626
08/01/2014,24.25,-0.016360283
07/01/2014,24.65,0.03509132
06/01/2014,23.8,-0.024487632
03/01/2014,24.39,0.000820345
02/01/2014,24.37,-0.010612344
31/12/2013,24.63,0.024662162
30/12/2013,24.03,-0.02100139
27/12/2013,24.54,0.019338187
26/12/2013,24.07,-0.002489628
24/12/2013,24.13,0.000414508
23/12/2013,24.12,0.005821222
20/12/2013,23.98,0.005435932
19/12/2013,23.85,0.024189594
18/12/2013,23.28,0.005599842
17/12/2013,23.15,0.006065876
16/12/2013,23.01,-0.015096254
13/12/2013,23.36,-0.006825965
12/12/2013,23.52,-0.013933094
11/12/2013,23.85,0.005887317
10/12/2013,23.71,-0.025813257
09/12/2013,24.33,-0.082789572
06/12/2013,26.43,-0.045487598
05/12/2013,27.66,-0.026049644
04/12/2013,28.39,0.002468702
03/12/2013,28.32,0.000706464
02/12/2013,28.3,0.007092228
29/11/2013,28.1,-0.005677801
27/11/2013,28.26,-0.04226469
26/11/2013,29.48,0.01710613
25/11/2013,28.98,-0.035590945
22/11/2013,30.03,0.008024115
21/11/2013,29.79,0.015220994
20/11/2013,29.34,0.003756194
19/11/2013,29.23,0.001712036
18/11/2013,29.18,-0.016652891
15/11/2013,29.67,0.00405269
14/11/2013,29.55,-0.002028398
13/11/2013,29.61,0.000675676
12/11/2013,29.59,-0.006064709
11/11/2013,29.77,0.010467764
08/11/2013,29.46,0.014703633
07/11/2013,29.03,-0.035863113
06/11/2013,30.09,-0.023321799
05/11/2013,30.8,-0.007117468
04/11/2013,31.02,0.018546164
01/11/2013,30.45,0
31/10/2013,30.45,-0.00360597
30/10/2013,30.56,-0.027434349
29/10/2013,31.41,0.002869442
28/10/2013,31.32,0.001917546
25/10/2013,31.26,-0.000959233
24/10/2013,31.29,0.01773382
23/10/2013,30.74,-0.030120829
22/10/2013,31.68,0.02622472
21/10/2013,30.86,0.016993873
18/10/2013,30.34,0.012603815
17/10/2013,29.96,0.006026131
16/10/2013,29.78,0.019668318
15/10/2013,29.2,-0.006825965
14/10/2013,29.4,0.00785389
11/10/2013,29.17,0.023938697
10/10/2013,28.48,0.011299555
09/10/2013,28.16,-0.004605854
08/10/2013,28.29,-0.008798227
07/10/2013,28.54,-0.005590511
04/10/2013,28.7,0.023978582
03/10/2013,28.02,0.005008955
02/10/2013,27.88,-0.000717103
01/10/2013,27.9,0.019179166
30/09/2013,27.37,-0.000365297
27/09/2013,27.38,-0.008002953
26/09/2013,27.6,-0.015102768
25/09/2013,28.02,0.010043126
24/09/2013,27.74,0.02518841
23/09/2013,27.05,0.008166341
20/09/2013,26.83,0.012753361
19/09/2013,26.49,-0.006772035
18/09/2013,26.67,0.02352157
17/09/2013,26.05,0.010030948
16/09/2013,25.79,0.007394468
13/09/2013,25.6,-0.00623055
12/09/2013,25.76,-0.011962327
11/09/2013,26.07,0.072368611
10/09/2013,24.25,0.001237879
09/09/2013,24.22,0.014975321
06/09/2013,23.86,0.000419199
05/09/2013,23.85,0.006309169
04/09/2013,23.7,-0.001686341
03/09/2013,23.74,-0.003364175
30/08/2013,23.82,0.005894754
29/08/2013,23.68,-0.01258934
28/08/2013,23.98,0.023629791
27/08/2013,23.42,-0.008079993
26/08/2013,23.61,0.003819228
23/08/2013,23.52,0.006397974
22/08/2013,23.37,0.027767511
21/08/2013,22.73,-0.016579786
20/08/2013,23.11,0.007383313
19/08/2013,22.94,-0.03596278
16/08/2013,23.78,-0.00461507
15/08/2013,23.89,0.01475886
14/08/2013,23.54,-0.039155356
13/08/2013,24.48,0.00040858
12/08/2013,24.47,-0.007329023
09/08/2013,24.65,0.003657797
08/08/2013,24.56,0.026822322
07/08/2013,23.91,-0.01370738
06/08/2013,24.24,-0.022436185
05/08/2013,24.79,0.009728492
02/08/2013,24.55,-0.021757506
01/08/2013,25.09,0.019722917
31/07/2013,24.6,0.005298565
30/07/2013,24.47,0.000408747
29/07/2013,24.46,-0.012997746
26/07/2013,24.78,-0.000806777
25/07/2013,24.8,-0.065546078
24/07/2013,26.48,-0.015364739
23/07/2013,26.89,-0.007410186
22/07/2013,27.09,-0.021906681
19/07/2013,27.69,0.022645234
18/07/2013,27.07,0.015261789
17/07/2013,26.66,0.018932788
16/07/2013,26.16,0.017351505
15/07/2013,25.71,-0.001554606
12/07/2013,25.75,0.010933338
11/07/2013,25.47,0.010657294
10/07/2013,25.2,0.00796817
09/07/2013,25,0.005615739
08/07/2013,24.86,0.014178889
05/07/2013,24.51,0.023948296
03/07/2013,23.93,-0.007078939
02/07/2013,24.1,-0.002486533
01/07/2013,24.16,0.011238412
28/06/2013,23.89,-0.010824419
27/06/2013,24.15,0.0008285
26/06/2013,24.13,0.002905169
25/06/2013,24.06,0.026960352
24/06/2013,23.42,-0.005960001
21/06/2013,23.56,0.013245227
20/06/2013,23.25,-0.049506753
19/06/2013,24.43,0.020261185
18/06/2013,23.94,0.039621796
17/06/2013,23.01,0.022413595
14/06/2013,22.5,-0.014560151
13/06/2013,22.83,0.020354685
12/06/2013,22.37,-0.018162183
11/06/2013,22.78,-0.035787393
10/06/2013,23.61,0.002969249
07/06/2013,23.54,0.024512085
06/06/2013,22.97,-0.013835067
05/06/2013,23.29,-0.019558447
04/06/2013,23.75,-0.007550371
03/06/2013,23.93,0.005867578
31/05/2013,23.79,-0.045200792
30/05/2013,24.89,0
29/05/2013,24.89,0.007662873
28/05/2013,24.7,0.013860801
24/05/2013,24.36,-0.017094433
23/05/2013,24.78,0.005665738
22/05/2013,24.64,-0.000811359
