Date,Close,PCP
04/04/2014,253.84,-0.013460839
03/04/2014,257.28,-0.004111561
02/04/2014,258.34,-0.004672815
01/04/2014,259.55,0.02650894
31/03/2014,252.76,0.02070666
28/03/2014,247.58,0.012068657
27/03/2014,244.61,-0.009318291
26/03/2014,246.9,-0.013237233
25/03/2014,250.19,0.000559731
24/03/2014,250.05,-0.010937764
21/03/2014,252.8,-0.013242624
20/03/2014,256.17,0.023101187
19/03/2014,250.32,-0.01903312
18/03/2014,255.13,0.000352824
17/03/2014,255.04,0.011713569
14/03/2014,252.07,-0.00731243
13/03/2014,253.92,-0.021390565
12/03/2014,259.41,0.004946488
11/03/2014,258.13,-0.010328839
10/03/2014,260.81,-0.008209756
07/03/2014,262.96,0.005605887
06/03/2014,261.49,0.004907045
05/03/2014,260.21,-0.001075475
04/03/2014,260.49,0.01723079
03/03/2014,256.04,-0.007160678
28/02/2014,257.88,-0.001937009
27/02/2014,258.38,0.020251679
26/02/2014,253.2,-0.006063727
25/02/2014,254.74,-0.009143903
24/02/2014,257.08,0.002648595
21/02/2014,256.4,-0.008040908
20/02/2014,258.47,0.012967219
19/02/2014,255.14,-0.013895329
18/02/2014,258.71,-0.006664765
14/02/2014,260.44,-0.013084049
13/02/2014,263.87,0.005662723
12/02/2014,262.38,0.001182191
11/02/2014,262.07,0.016543929
10/02/2014,257.77,-0.009382852
07/02/2014,260.2,0.024549464
06/02/2014,253.89,0.016961341
05/02/2014,249.62,0.010996868
04/02/2014,246.89,-0.003759783
03/02/2014,247.82,-0.027579996
31/01/2014,254.75,0.004287884
30/01/2014,253.66,0.002763414
29/01/2014,252.96,-0.0107344
28/01/2014,255.69,-0.002421876
27/01/2014,256.31,0.003321808
24/01/2014,255.46,-0.021837634
23/01/2014,261.1,-0.036070779
22/01/2014,270.69,0.001404806
21/01/2014,270.31,-0.001146174
17/01/2014,270.62,-0.005343763
16/01/2014,272.07,-0.000624644
15/01/2014,272.24,0.005266562
14/01/2014,270.81,0.006706088
13/01/2014,269,-0.00821892
10/01/2014,271.22,-0.003165841
09/01/2014,272.08,0.00830401
08/01/2014,269.83,0.006432086
07/01/2014,268.1,0.010385711
06/01/2014,265.33,-0.009228757
03/01/2014,267.79,0.00904033
02/01/2014,265.38,-0.014663239
31/12/2013,269.3,0.003235827
