Date,Close,SJM
04/04/2014,97.55,-0.003581482
03/04/2014,97.9,0.001124227
02/04/2014,97.79,0.006669085
01/04/2014,97.14,-0.001028913
31/03/2014,97.24,0.007846416
28/03/2014,96.48,0.004258641
27/03/2014,96.07,0.001458334
26/03/2014,95.93,-0.000104237
25/03/2014,95.94,-0.002810306
24/03/2014,96.21,0.001976799
21/03/2014,96.02,-0.007056899
20/03/2014,96.7,0.00580794
19/03/2014,96.14,-0.016300784
18/03/2014,97.72,0.016508836
17/03/2014,96.12,-0.000624025
14/03/2014,96.18,-0.008386445
13/03/2014,96.99,-0.010155496
12/03/2014,97.98,0.014702367
11/03/2014,96.55,-0.006812578
10/03/2014,97.21,-0.003388963
07/03/2014,97.54,-0.000922273
06/03/2014,97.63,-0.008160812
05/03/2014,98.43,-0.008497775
04/03/2014,99.27,0.002218637
03/03/2014,99.05,-0.009645408
28/02/2014,100.01,0.003706491
27/02/2014,99.64,0.010391014
26/02/2014,98.61,-0.004048179
25/02/2014,99.01,0.003135909
24/02/2014,98.7,0.0077299
21/02/2014,97.94,-0.003465501
20/02/2014,98.28,0.028170877
19/02/2014,95.55,0.002514934
18/02/2014,95.31,0.037413513
14/02/2014,91.81,-0.035628267
13/02/2014,95.14,0.015144584
12/02/2014,93.71,-0.003408973
11/02/2014,94.03,0.003515691
10/02/2014,93.7,0.003528095
07/02/2014,93.37,-0.002353446
06/02/2014,93.59,0.008261406
05/02/2014,92.82,-0.009542773
04/02/2014,93.71,-0.002344917
03/02/2014,93.93,-0.025852638
31/01/2014,96.39,-0.015135424
30/01/2014,97.86,0.007693529
29/01/2014,97.11,-0.022401914
28/01/2014,99.31,0.006870796
27/01/2014,98.63,0.006714166
24/01/2014,97.97,-0.001122163
23/01/2014,98.08,-0.003765333
22/01/2014,98.45,0.012778094
21/01/2014,97.2,0
17/01/2014,97.2,-0.013793322
16/01/2014,98.55,-0.001419591
15/01/2014,98.69,-0.006564685
14/01/2014,99.34,0.019824774
13/01/2014,97.39,-0.010520499
10/01/2014,98.42,0.004480659
09/01/2014,97.98,-0.001937293
08/01/2014,98.17,-0.033555154
07/01/2014,101.52,0.006125896
06/01/2014,100.9,-0.006027388
03/01/2014,101.51,-0.005109572
02/01/2014,102.03,-0.015463474
31/12/2013,103.62,-0.000289477
30/12/2013,103.65,0.004544803
27/12/2013,103.18,0.00184314
26/12/2013,102.99,0.006135885
24/12/2013,102.36,0.007058853
23/12/2013,101.64,-0.004711434
20/12/2013,102.12,0.001666095
19/12/2013,101.95,0.000883176
18/12/2013,101.86,0.007489195
17/12/2013,101.1,-0.004933409
16/12/2013,101.6,0.011781731
13/12/2013,100.41,-0.009614029
12/12/2013,101.38,-0.025418908
11/12/2013,103.99,0.007625888
10/12/2013,103.2,-0.016147986
09/12/2013,104.88,0.005353741
06/12/2013,104.32,0.019651182
05/12/2013,102.29,-0.023764642
04/12/2013,104.75,-0.002193297
03/12/2013,104.98,0.005061368
02/12/2013,104.45,0.002012555
29/11/2013,104.24,-0.013057131
27/11/2013,105.61,-9.46835E-05
26/11/2013,105.62,0.012480513
25/11/2013,104.31,0.00345722
22/11/2013,103.95,0.00898687
21/11/2013,103.02,0.014962873
20/11/2013,101.49,-0.067619051
19/11/2013,108.59,-0.002942531
18/11/2013,108.91,-0.004031894
15/11/2013,109.35,0.003848273
14/11/2013,108.93,0.009222605
13/11/2013,107.93,0.004829581
12/11/2013,107.41,-0.002139038
11/11/2013,107.64,-0.008971158
08/11/2013,108.61,0.009249904
07/11/2013,107.61,-0.038823903
06/11/2013,111.87,0.010603981
05/11/2013,110.69,0.000632597
04/11/2013,110.62,-0.003519383
01/11/2013,111.01,-0.001800018
31/10/2013,111.21,-0.002604285
30/10/2013,111.5,-0.01247788
29/10/2013,112.9,0.006219478
28/10/2013,112.2,0.016535244
25/10/2013,110.36,0.006910375
24/10/2013,109.6,0.006866587
23/10/2013,108.85,0.001103043
22/10/2013,108.73,0.017348178
21/10/2013,106.86,-0.009499932
18/10/2013,107.88,-0.005177526
17/10/2013,108.44,0.008706177
16/10/2013,107.5,0.014334812
15/10/2013,105.97,-0.007146246
14/10/2013,106.73,0.001218769
11/10/2013,106.6,0.000844634
10/10/2013,106.51,0.020200791
09/10/2013,104.38,-0.011430873
08/10/2013,105.58,-0.001892506
07/10/2013,105.78,-0.001417033
04/10/2013,105.93,0.009103904
03/10/2013,104.97,0.000190549
02/10/2013,104.95,-0.004373462
01/10/2013,105.41,0.003516278
30/09/2013,105.04,0.002382883
27/09/2013,104.79,-0.008551934
26/09/2013,105.69,-0.001607185
25/09/2013,105.86,-0.004994121
24/09/2013,106.39,-0.001596619
23/09/2013,106.56,-0.005428184
20/09/2013,107.14,-0.005027475
19/09/2013,107.68,-0.007401958
18/09/2013,108.48,0.00166067
17/09/2013,108.3,0.003514942
16/09/2013,107.92,0.000463414
13/09/2013,107.87,0.005577778
12/09/2013,107.27,-0.004743092
11/09/2013,107.78,-0.010429741
10/09/2013,108.91,0.007095169
09/09/2013,108.14,0.020081934
06/09/2013,105.99,-0.007425893
05/09/2013,106.78,0.004975835
04/09/2013,106.25,0.008127053
03/09/2013,105.39,-0.007091222
30/08/2013,106.14,0.003208458
29/08/2013,105.8,0.004547185
28/08/2013,105.32,-0.011798712
27/08/2013,106.57,-0.008688801
26/08/2013,107.5,-0.008890594
23/08/2013,108.46,0.008983621
22/08/2013,107.49,-0.00278707
21/08/2013,107.79,-0.012080003
20/08/2013,109.1,0.000366703
19/08/2013,109.06,-0.011487044
16/08/2013,110.32,-0.000996603
15/08/2013,110.43,-0.019193414
14/08/2013,112.57,-0.011833413
13/08/2013,113.91,0.003517724
12/08/2013,113.51,0.001851771
09/08/2013,113.3,0.002120517
08/08/2013,113.06,-0.004500736
07/08/2013,113.57,-0.005794573
06/08/2013,114.23,-0.001137408
05/08/2013,114.36,0.003416112
02/08/2013,113.97,0.002635742
01/08/2013,113.67,0.01016853
31/07/2013,112.52,0.001156018
30/07/2013,112.39,0.003029765
29/07/2013,112.05,0.004561929
26/07/2013,111.54,0.007378779
25/07/2013,110.72,0.010988623
24/07/2013,109.51,-0.001551166
23/07/2013,109.68,0.008147617
22/07/2013,108.79,0.005807806
19/07/2013,108.16,0.007144544
18/07/2013,107.39,0.007571191
17/07/2013,106.58,-0.005427168
16/07/2013,107.16,0.00467684
15/07/2013,106.66,0.006112776
12/07/2013,106.01,0.000754931
11/07/2013,105.93,0.013304387
10/07/2013,104.53,-0.000860626
09/07/2013,104.62,0.00239246
08/07/2013,104.37,0.012048919
05/07/2013,103.12,0.005152897
03/07/2013,102.59,-0.005443777
02/07/2013,103.15,-0.008975595
01/07/2013,104.08,0.008975595
28/06/2013,103.15,0.002912623
27/06/2013,102.85,0.011834458
26/06/2013,101.64,0.007307231
25/06/2013,100.9,0.010861549
24/06/2013,99.81,-0.008976721
21/06/2013,100.71,0.007274934
20/06/2013,99.98,-0.023721215
19/06/2013,102.38,-0.012424932
18/06/2013,103.66,0.004059938
17/06/2013,103.24,0.002230304
14/06/2013,103.01,0.008187978
13/06/2013,102.17,0.013202162
12/06/2013,100.83,0.003178705
11/06/2013,100.51,0.002689914
10/06/2013,100.24,-0.011407156
07/06/2013,101.39,0.030136936
06/06/2013,98.38,-0.03975617
05/06/2013,102.37,-0.002634019
04/06/2013,102.64,0.004491756
03/06/2013,102.18,0.012011565
31/05/2013,100.96,-0.016600745
