Date,Close,BWA
04/04/2014,62.1,-0.017558312
03/04/2014,63.2,-0.006309169
02/04/2014,63.6,0.00836825
01/04/2014,63.07,0.02569597
31/03/2014,61.47,0.023871411
28/03/2014,60.02,0.00635135
27/03/2014,59.64,-0.006851059
26/03/2014,60.05,0.002834989
25/03/2014,59.88,-0.01409525
24/03/2014,60.73,-0.016494209
21/03/2014,61.74,-0.010953718
20/03/2014,62.42,0.016475902
19/03/2014,61.4,-0.012462733
18/03/2014,62.17,0.013114411
17/03/2014,61.36,0.003755413
14/03/2014,61.13,0.007059046
13/03/2014,60.7,-0.011140351
12/03/2014,61.38,0.003754187
11/03/2014,61.15,-0.006682447
10/03/2014,61.56,0.004069347
07/03/2014,61.31,-0.008769137
06/03/2014,61.85,0.006488263
05/03/2014,61.45,-0.009233078
04/03/2014,62.02,0.019867125
03/03/2014,60.8,-0.010634047
28/02/2014,61.45,0.000976881
27/02/2014,61.39,0.008506513
26/02/2014,60.87,-0.002297343
25/02/2014,61.01,-0.004742058
24/02/2014,61.3,0.002286462
21/02/2014,61.16,0.012173205
20/02/2014,60.42,0.0192169
19/02/2014,59.27,0.019937612
18/02/2014,58.1,0.002412546
14/02/2014,57.96,0.017930674
13/02/2014,56.93,0.026521088
12/02/2014,55.44,0.013986242
11/02/2014,54.67,0.014184635
10/02/2014,53.9,-0.000185512
07/02/2014,53.91,0.00875646
06/02/2014,53.44,0.01888987
05/02/2014,52.44,0.004970379
04/02/2014,52.18,0.01661874
03/02/2014,51.32,-0.045332462
31/01/2014,53.7,-0.009636843
30/01/2014,54.22,0.004992152
29/01/2014,53.95,-0.000926355
28/01/2014,54,0.005943554
27/01/2014,53.68,-0.000558711
24/01/2014,53.71,-0.035303163
23/01/2014,55.64,-0.019753289
22/01/2014,56.75,0.011341607
21/01/2014,56.11,0.005360985
17/01/2014,55.81,-0.019869378
16/01/2014,56.93,0.017185293
15/01/2014,55.96,-0.014547001
14/01/2014,56.78,0.021540664
13/01/2014,55.57,-0.021012169
10/01/2014,56.75,0.007961121
09/01/2014,56.3,0.000355303
08/01/2014,56.28,-0.001775253
07/01/2014,56.38,0.0247813
06/01/2014,55,0.002002003
03/01/2014,54.89,-0.000910498
02/01/2014,54.94,-0.017501574
31/12/2013,55.91,-0.000893895
30/12/2013,55.96,0.00232579
27/12/2013,55.83,0.001433949
26/12/2013,55.75,-0.001792115
24/12/2013,55.85,0.000358166
23/12/2013,55.83,0.014614604
20/12/2013,55.02,0.00784604
19/12/2013,54.59,-0.022997845
18/12/2013,55.86,0.008449488
17/12/2013,55.39,-0.680520406
16/12/2013,109.39,0.01677768
13/12/2013,107.57,0.007652146
12/12/2013,106.75,0.005165543
11/12/2013,106.2,-0.025656734
10/12/2013,108.96,0.009590631
09/12/2013,107.92,0.007907386
06/12/2013,107.07,0.014487553
05/12/2013,105.53,0.011723911
04/12/2013,104.3,-0.002585342
03/12/2013,104.57,-0.013771052
02/12/2013,106.02,-0.010788603
29/11/2013,107.17,0.004114078
27/11/2013,106.73,0.010265193
26/11/2013,105.64,-0.00104073
25/11/2013,105.75,-0.003869572
22/11/2013,106.16,0
21/11/2013,106.16,0.034791951
20/11/2013,102.53,0.003517346
19/11/2013,102.17,-0.016116854
18/11/2013,103.83,-0.004708152
15/11/2013,104.32,0.021510373
14/11/2013,102.1,0.012021034
13/11/2013,100.88,0.004570301
12/11/2013,100.42,-0.006451955
11/11/2013,101.07,-0.00177936
08/11/2013,101.25,0.001680423
07/11/2013,101.08,-0.029151467
06/11/2013,104.07,0.011014604
05/11/2013,102.93,-0.000679843
04/11/2013,103,0.003501268
01/11/2013,102.64,-0.004762608
31/10/2013,103.13,0.022951184
30/10/2013,100.79,-0.039968371
29/10/2013,104.9,-0.011657242
28/10/2013,106.13,-0.001318268
25/10/2013,106.27,-0.003756931
24/10/2013,106.67,0.00828396
23/10/2013,105.79,-0.007158362
22/10/2013,106.55,0.008482614
21/10/2013,105.65,-9.46477E-05
18/10/2013,105.66,0.009509391
17/10/2013,104.66,0.005365025
16/10/2013,104.1,0.021949021
15/10/2013,101.84,-0.011326034
14/10/2013,103,0.000971345
11/10/2013,102.9,0.013895908
10/10/2013,101.48,0.035098359
09/10/2013,97.98,-0.003464089
08/10/2013,98.32,-0.033012901
07/10/2013,101.62,-0.018234624
04/10/2013,103.49,0.016268441
03/10/2013,101.82,-0.004800871
02/10/2013,102.31,0.00755461
01/10/2013,101.54,0.001478343
30/09/2013,101.39,-0.001182849
27/09/2013,101.51,-0.004815497
26/09/2013,102,-0.001763151
25/09/2013,102.18,-0.001369193
24/09/2013,102.32,0.0110064
23/09/2013,101.2,0.00336534
20/09/2013,100.86,-0.003068854
19/09/2013,101.17,0
18/09/2013,101.17,0.006843567
17/09/2013,100.48,0.000199064
16/09/2013,100.46,0.01373111
13/09/2013,99.09,0.007902777
12/09/2013,98.31,-0.012433822
11/09/2013,99.54,0.000502437
10/09/2013,99.49,0.010203655
09/09/2013,98.48,0.0072357
06/09/2013,97.77,-0.015326359
05/09/2013,99.28,-0.002414488
04/09/2013,99.52,0.027608334
03/09/2013,96.81,0.002378614
30/08/2013,96.58,-0.012961811
29/08/2013,97.84,0.011823507
28/08/2013,96.69,0.020268141
27/08/2013,94.75,-0.030250215
26/08/2013,97.66,-0.007751977
23/08/2013,98.42,-0.003347368
22/08/2013,98.75,0.028034901
21/08/2013,96.02,-0.007056899
20/08/2013,96.7,0.013010852
19/08/2013,95.45,-0.007514909
16/08/2013,96.17,-0.001558523
15/08/2013,96.32,-0.0221775
14/08/2013,98.48,-0.013615257
13/08/2013,99.83,0.02289867
12/08/2013,97.57,0.018620586
09/08/2013,95.77,-0.006867873
08/08/2013,96.43,0.022230128
07/08/2013,94.31,-0.016301565
06/08/2013,95.86,-0.009758201
05/08/2013,96.8,-0.006795043
02/08/2013,97.46,-0.012642909
01/08/2013,98.7,0.033691952
31/07/2013,95.43,0.010428282
30/07/2013,94.44,0.009789395
29/07/2013,93.52,0.010642401
26/07/2013,92.53,-0.007643898
25/07/2013,93.24,0.011542116
24/07/2013,92.17,0.006203426
23/07/2013,91.6,-0.000654807
