Date,Close,XRX
04/04/2014,11.48,-0.02494753
03/04/2014,11.77,0.023206886
02/04/2014,11.5,0.005231049
01/04/2014,11.44,0.01231326
31/03/2014,11.3,0.02146773
28/03/2014,11.06,0.013655196
27/03/2014,10.91,-0.003659656
26/03/2014,10.95,-0.009090972
25/03/2014,11.05,0.006354992
24/03/2014,10.98,-0.019838342
21/03/2014,11.2,0.021661497
20/03/2014,10.96,0.022141126
19/03/2014,10.72,-0.012053924
18/03/2014,10.85,0.012053924
17/03/2014,10.72,0.011257155
14/03/2014,10.6,0
13/03/2014,10.6,-0.017765778
12/03/2014,10.79,0.005576223
11/03/2014,10.73,-0.011121523
10/03/2014,10.85,-0.007346222
07/03/2014,10.93,-0.014532499
06/03/2014,11.09,0.015447831
05/03/2014,10.92,-0.012739026
04/03/2014,11.06,0.017328295
03/03/2014,10.87,-0.010979067
28/02/2014,10.99,-0.000909504
27/02/2014,11,0.022989518
26/02/2014,10.75,0.007469689
25/02/2014,10.67,-0.0102565
24/02/2014,10.78,0.003717476
21/02/2014,10.74,0
20/02/2014,10.74,0.005602256
19/02/2014,10.68,-0.003738322
18/02/2014,10.72,0
14/02/2014,10.72,-0.006508624
13/02/2014,10.79,0.012121361
12/02/2014,10.66,0.008478619
11/02/2014,10.57,0.016213994
10/02/2014,10.4,-0.000961076
07/02/2014,10.41,0.005780363
06/02/2014,10.35,0.004842624
05/02/2014,10.3,-0.007736983
04/02/2014,10.38,-0.002886005
03/02/2014,10.41,-0.041398197
31/01/2014,10.85,-0.018265348
30/01/2014,11.05,0.040633475
29/01/2014,10.61,-0.025129289
28/01/2014,10.88,0.025129289
27/01/2014,10.61,-0.057681892
24/01/2014,11.24,-0.045225098
23/01/2014,11.76,-0.025190249
22/01/2014,12.06,-0.006611594
21/01/2014,12.14,-0.004930166
17/01/2014,12.2,-0.019481136
16/01/2014,12.44,0.004027392
15/01/2014,12.39,0.010547765
14/01/2014,12.26,0.004086642
13/01/2014,12.21,0.018182319
10/01/2014,11.99,-0.004991691
09/01/2014,12.05,-0.002486533
08/01/2014,12.08,-0.009064751
07/01/2014,12.19,0.008237279
06/01/2014,12.09,0.008305696
03/01/2014,11.99,0.006694586
02/01/2014,11.91,-0.021595524
31/12/2013,12.17,0.001644737
30/12/2013,12.15,-0.004106782
27/12/2013,12.2,-0.002455998
26/12/2013,12.23,0.004096687
24/12/2013,12.18,0.012391732
23/12/2013,12.03,0.012547216
20/12/2013,11.88,0.008453136
19/12/2013,11.78,0.002549938
18/12/2013,11.75,0.022376149
17/12/2013,11.49,-0.001739131
16/12/2013,11.51,0.015762148
13/12/2013,11.33,0.011540297
12/12/2013,11.2,0.003577821
11/12/2013,11.16,-0.027398974
10/12/2013,11.47,0.002618945
09/12/2013,11.44,0.01408474
06/12/2013,11.28,0.021506205
05/12/2013,11.04,-0.00361664
04/12/2013,11.08,-0.020545609
03/12/2013,11.31,-0.020131971
02/12/2013,11.54,0.013961832
29/11/2013,11.38,0.007940051
27/11/2013,11.29,0.002660755
26/11/2013,11.26,0.002667854
25/11/2013,11.23,0.000890869
22/11/2013,11.22,0.013459153
21/11/2013,11.07,0.008163311
20/11/2013,10.98,-0.021622464
19/11/2013,11.22,0.011654099
18/11/2013,11.09,0.004518761
15/11/2013,11.04,0.000906208
14/11/2013,11.03,-0.000906208
13/11/2013,11.04,0.032216316
12/11/2013,10.69,0.039108465
11/11/2013,10.28,-0.001943635
08/11/2013,10.3,0.020599061
07/11/2013,10.09,-0.021569464
06/11/2013,10.31,0.002914038
05/11/2013,10.28,0.008793413
04/11/2013,10.19,0.016823752
01/11/2013,10.02,0.008016075
31/10/2013,9.94,0.012145898
30/10/2013,9.82,0.001018849
29/10/2013,9.81,0.004085808
28/10/2013,9.77,0.006160184
25/10/2013,9.71,0.010352059
24/10/2013,9.61,-0.110239334
23/10/2013,10.73,-0.021208725
22/10/2013,10.96,-0.004551669
21/10/2013,11.01,0.009124151
18/10/2013,10.91,0.010133666
17/10/2013,10.8,0.013047715
16/10/2013,10.66,0.00942514
15/10/2013,10.56,-0.00942514
14/10/2013,10.66,0.001877935
11/10/2013,10.64,-0.000939408
10/10/2013,10.65,0.04219226
09/10/2013,10.21,0.006879634
08/10/2013,10.14,-0.025317808
07/10/2013,10.4,-0.01242252
04/10/2013,10.53,0.01242252
03/10/2013,10.4,-0.010521379
02/10/2013,10.51,0.001904762
01/10/2013,10.49,0.019249873
30/09/2013,10.29,-0.007744472
27/09/2013,10.37,-0.000963855
26/09/2013,10.38,-0.003846159
25/09/2013,10.42,0.010612738
24/09/2013,10.31,0.022561035
23/09/2013,10.08,-0.005934736
20/09/2013,10.14,-0.009813621
19/09/2013,10.24,-0.011650617
18/09/2013,10.36,-0.003853569
17/09/2013,10.4,0
16/09/2013,10.4,-0.004796172
13/09/2013,10.45,0.03011398
12/09/2013,10.14,-0.014684552
11/09/2013,10.29,0.006825965
10/09/2013,10.22,0.013793322
09/09/2013,10.08,0.004972661
06/09/2013,10.03,-0.002986563
05/09/2013,10.06,0.004982571
04/09/2013,10.01,-0.010929071
03/09/2013,10.12,0.013930574
30/08/2013,9.98,-0.005994024
29/08/2013,10.04,0.012024193
28/08/2013,9.92,0.025524612
27/08/2013,9.67,-0.033556784
26/08/2013,10,-0.003992021
23/08/2013,10.04,0.000996512
22/08/2013,10.03,0.004997512
21/08/2013,9.98,-0.008977616
20/08/2013,10.07,-0.006927291
19/08/2013,10.14,-0.015655897
16/08/2013,10.3,0.001943635
15/08/2013,10.28,-0.022126925
14/08/2013,10.51,0.001904762
13/08/2013,10.49,0.032948717
12/08/2013,10.15,0.011893104
09/08/2013,10.03,0.004997512
08/08/2013,9.98,0.011083237
07/08/2013,9.87,-0.010080731
06/08/2013,9.97,-0.009980123
05/08/2013,10.07,0.006975614
02/08/2013,10,0.009040745
01/08/2013,9.91,0.021418463
31/07/2013,9.7,0.006204777
30/07/2013,9.64,-0.001036807
29/07/2013,9.65,-0.004136511
26/07/2013,9.69,-0.01128796
25/07/2013,9.8,-0.003056548
24/07/2013,9.83,0.004077478
23/07/2013,9.79,-0.002040817
22/07/2013,9.81,0.011276388
19/07/2013,9.7,-0.012295237
18/07/2013,9.82,0.013326696
17/07/2013,9.69,-0.00411947
16/07/2013,9.73,-0.011241815
15/07/2013,9.84,0.002034589
12/07/2013,9.82,0.01126484
11/07/2013,9.71,0.011393184
10/07/2013,9.6,0.021053409
09/07/2013,9.4,0
08/07/2013,9.4,-0.004246291
05/07/2013,9.44,0.017094433
03/07/2013,9.28,0.005402498
02/07/2013,9.23,-0.001082837
01/07/2013,9.24,0.018569622
28/06/2013,9.07,-0.012054941
27/06/2013,9.18,0.025373672
26/06/2013,8.95,-0.002232144
25/06/2013,8.97,0.002232144
24/06/2013,8.95,-0.036208015
21/06/2013,9.28,0.005402498
20/06/2013,9.23,-0.023555693
19/06/2013,9.45,-0.004223871
18/06/2013,9.49,0.035392434
17/06/2013,9.16,0.006571765
14/06/2013,9.1,0
13/06/2013,9.1,0.027856955
12/06/2013,8.85,-0.027856955
11/06/2013,9.1,-0.012015437
10/06/2013,9.21,0.004352564
07/06/2013,9.17,0.041185565
06/06/2013,8.8,0.005698021
05/06/2013,8.75,-0.027059148
04/06/2013,8.99,0.010061572
03/06/2013,8.9,0.012436565
31/05/2013,8.79,-0.022498137
30/05/2013,8.99,0.001112966
29/05/2013,8.98,-0.003335189
28/05/2013,9.01,0.010039125
24/05/2013,8.92,0
23/05/2013,8.92,0.012408507
22/05/2013,8.81,-0.023556894
21/05/2013,9.02,0.006674107
20/05/2013,8.96,0.015748357
17/05/2013,8.82,0.006825965
16/05/2013,8.76,-0.027028672
15/05/2013,9,0.008928631
14/05/2013,8.92,0.003368897
13/05/2013,8.89,-0.012297528
10/05/2013,9,0
09/05/2013,9,0.022472856
08/05/2013,8.8,0.003414915
07/05/2013,8.77,0.001140901
06/05/2013,8.76,0.025434897
03/05/2013,8.54,0.015339534
02/05/2013,8.41,0.009558018
01/05/2013,8.33,-0.029570457
30/04/2013,8.58,0.015267472
29/04/2013,8.45,0.008318527
26/04/2013,8.38,-0.015394028
25/04/2013,8.51,0.016588058
24/04/2013,8.37,-0.008328424
23/04/2013,8.44,-0.018779895
22/04/2013,8.6,0.01641303
19/04/2013,8.46,-0.019895331
18/04/2013,8.63,-0.033051441
17/04/2013,8.92,-0.016676318
16/04/2013,9.07,0.017798023
15/04/2013,8.91,-0.016694879
12/04/2013,9.06,-0.02291426
11/04/2013,9.27,0.034013153
10/04/2013,8.96,0.020293819
09/04/2013,8.78,0.016073825
08/04/2013,8.64,0.001158078
05/04/2013,8.63,-0.003470217
04/04/2013,8.66,0.011614532
03/04/2013,8.56,-0.033317269
02/04/2013,8.85,0.028655256
01/04/2013,8.6,0
28/03/2013,8.6,0.007001195
27/03/2013,8.54,-0.004672906
26/03/2013,8.58,0.008191971
25/03/2013,8.51,-0.010520261
22/03/2013,8.6,0.00583092
21/03/2013,8.55,-0.024264622
20/03/2013,8.76,0.01611082
19/03/2013,8.62,-0.004629638
18/03/2013,8.66,-0.005757068
15/03/2013,8.71,0.002298852
14/03/2013,8.69,0.011574203
13/03/2013,8.59,0
12/03/2013,8.59,-0.008115987
11/03/2013,8.66,-0.005757068
08/03/2013,8.71,0.016204058
07/03/2013,8.57,0.00702579
06/03/2013,8.51,0.034671734
05/03/2013,8.22,0.004878058
04/03/2013,8.18,0.003674223
01/03/2013,8.15,0.004920059
28/02/2013,8.11,-0.008594282
27/02/2013,8.18,0.019753729
26/02/2013,8.02,0.016342287
25/02/2013,7.89,-0.028734019
22/02/2013,8.12,0.03509132
21/02/2013,7.84,-0.002547772
20/02/2013,7.86,-0.017654935
19/02/2013,8,0.003757049
15/02/2013,7.97,-0.007500035
14/02/2013,8.03,0.003742986
13/02/2013,8,0.005012542
12/02/2013,7.96,-0.00376176
11/02/2013,7.99,0.00376176
08/02/2013,7.96,-0.00376176
07/02/2013,7.99,0
06/02/2013,7.99,-0.003747662
05/02/2013,8.02,0.010025147
04/02/2013,7.94,-0.010025147
01/02/2013,8.02,0.001247661
31/01/2013,8.01,-0.018553408
30/01/2013,8.16,0.002453989
29/01/2013,8.14,-0.010995835
28/01/2013,8.23,0.037132979
25/01/2013,7.93,0.022960192
24/01/2013,7.75,0.022179644
23/01/2013,7.58,0.006618158
22/01/2013,7.53,-0.014502561
18/01/2013,7.64,0.007884404
17/01/2013,7.58,0
16/01/2013,7.58,0.021334142
15/01/2013,7.42,0.002699057
14/01/2013,7.4,0.019100171
11/01/2013,7.26,-0.004123717
10/01/2013,7.29,0.009648593
09/01/2013,7.22,0
08/01/2013,7.22,-0.001384083
07/01/2013,7.23,0.016736792
04/01/2013,7.11,-0.011188928
03/01/2013,7.19,0
02/01/2013,7.19,0.0528317
31/12/2012,6.82,0.019245598
28/12/2012,6.69,-0.014837067
27/12/2012,6.79,-0.01607047
26/12/2012,6.9,-0.011527505
24/12/2012,6.98,-0.0099787
21/12/2012,7.05,-0.011283618
20/12/2012,7.13,0.009866183
19/12/2012,7.06,-0.008462674
18/12/2012,7.12,0.025605951
17/12/2012,6.94,-0.00431345
14/12/2012,6.97,-0.009992945
13/12/2012,7.04,-0.005665738
12/12/2012,7.08,-0.005633818
11/12/2012,7.12,0.01272102
10/12/2012,7.03,-0.008498635
07/12/2012,7.09,0.009922123
06/12/2012,7.02,0.007147993
05/12/2012,6.97,-0.001433692
04/12/2012,6.98,0.027597975
03/12/2012,6.79,-0.002941179
30/11/2012,6.81,0.002941179
29/11/2012,6.79,0.017831082
28/11/2012,6.67,0.021212917
27/11/2012,6.53,-0.007627802
26/11/2012,6.58,-0.012084739
23/11/2012,6.66,0.030490167
21/11/2012,6.46,0.0062112
20/11/2012,6.42,0
19/11/2012,6.42,0.030041785
16/11/2012,6.23,-0.007993648
15/11/2012,6.28,-0.00159109
14/11/2012,6.29,-0.020457047
13/11/2012,6.42,0.014117882
12/11/2012,6.33,-0.001578532
09/11/2012,6.34,0
08/11/2012,6.34,-0.003149609
07/11/2012,6.36,-0.047591483
06/11/2012,6.67,0.012066511
05/11/2012,6.59,0.01837724
02/11/2012,6.47,-0.027440746
01/11/2012,6.65,0.032088315
31/10/2012,6.44,-0.007733991
26/10/2012,6.49,-0.001539646
25/10/2012,6.5,0.003081667
24/10/2012,6.48,-0.02889935
23/10/2012,6.67,-0.052566846
22/10/2012,7.03,0.007137789
19/10/2012,6.98,-0.053011016
18/10/2012,7.36,0.005449605
17/10/2012,7.32,-0.009517407
16/10/2012,7.39,0.031617754
15/10/2012,7.16,0.011236073
12/10/2012,7.08,-0.019581045
11/10/2012,7.22,0.020994473
10/10/2012,7.07,-0.012649501
09/10/2012,7.16,-0.012491488
08/10/2012,7.25,-0.002754823
05/10/2012,7.27,-0.001374571
04/10/2012,7.28,0.015225208
03/10/2012,7.17,-0.024794659
02/10/2012,7.35,0
01/10/2012,7.35,0.001361471
28/09/2012,7.34,-0.005434796
27/09/2012,7.38,0.01777217
26/09/2012,7.25,-0.009608859
25/09/2012,7.32,-0.053204036
24/09/2012,7.72,-0.01030937
21/09/2012,7.8,0
20/09/2012,7.8,0.001282874
19/09/2012,7.79,0.024692613
18/09/2012,7.6,-0.013072082
17/09/2012,7.7,-0.020566278
14/09/2012,7.86,0.015384919
13/09/2012,7.74,0.010389704
12/09/2012,7.66,0.022443186
11/09/2012,7.49,0.004013383
10/09/2012,7.46,-0.029064133
07/09/2012,7.68,0
06/09/2012,7.68,0.03444049
05/09/2012,7.42,0.021799228
04/09/2012,7.26,-0.015037877
31/08/2012,7.37,0.00544219
30/08/2012,7.33,-0.008152219
29/08/2012,7.39,0.001354096
28/08/2012,7.38,0.01089929
27/08/2012,7.3,-0.01089929
24/08/2012,7.38,0.01089929
23/08/2012,7.3,0.001370802
22/08/2012,7.29,-0.017675511
21/08/2012,7.42,0
20/08/2012,7.42,0.001348618
17/08/2012,7.41,0.009491597
16/08/2012,7.34,0.013717636
15/08/2012,7.24,0.008321823
14/08/2012,7.18,-0.001391789
13/08/2012,7.19,0.001391789
10/08/2012,7.18,0.001393728
09/08/2012,7.17,0.00559442
08/08/2012,7.13,0.00421645
07/08/2012,7.1,0.017045867
06/08/2012,6.98,0.007189104
03/08/2012,6.93,0.041242959
02/08/2012,6.65,-0.020834087
01/08/2012,6.79,-0.020408872
31/07/2012,6.93,0.002890175
30/07/2012,6.91,0.010181906
27/07/2012,6.84,0.029675768
26/07/2012,6.64,0.039943866
25/07/2012,6.38,-0.017094433
24/07/2012,6.49,-0.036312613
23/07/2012,6.73,0.004467617
20/07/2012,6.7,-0.070583645
19/07/2012,7.19,0
18/07/2012,7.19,-0.006930035
17/07/2012,7.24,-0.002758622
16/07/2012,7.26,-0.001376463
13/07/2012,7.27,-0.017723709
12/07/2012,7.4,-0.029296369
11/07/2012,7.62,0.006583302
10/07/2012,7.57,-0.013123548
09/07/2012,7.67,-0.015524245
06/07/2012,7.79,-0.006397974
05/07/2012,7.84,-0.012674441
03/07/2012,7.94,0.008855213
02/07/2012,7.87,0
