Date,Close,OI
04/04/2014,33.76,-0.006789694
03/04/2014,33.99,-0.000294161
02/04/2014,34,0.005899722
01/04/2014,33.8,-0.00088718
31/03/2014,33.83,0.027875325
28/03/2014,32.9,0.021506205
27/03/2014,32.2,0.004669269
26/03/2014,32.05,-0.008698408
25/03/2014,32.33,0.004029139
24/03/2014,32.2,-0.016631119
21/03/2014,32.74,0.008280986
20/03/2014,32.47,0.009593142
19/03/2014,32.16,-0.012975159
18/03/2014,32.58,0.005231586
17/03/2014,32.41,0.003709432
14/03/2014,32.29,0.002791132
13/03/2014,32.2,-0.015408625
12/03/2014,32.7,-0.003053437
11/03/2014,32.8,-0.017228777
10/03/2014,33.37,-0.007463835
07/03/2014,33.62,-0.009178451
06/03/2014,33.93,0.018141761
05/03/2014,33.32,-0.005984458
04/03/2014,33.52,0.002688575
03/03/2014,33.43,-0.01455111
28/02/2014,33.92,0.004431977
27/02/2014,33.77,0.003262646
26/02/2014,33.66,0.001189061
25/02/2014,33.62,-0.010356654
24/02/2014,33.97,0.000883522
21/02/2014,33.94,-0.001766265
20/02/2014,34,-0.000294074
19/02/2014,34.01,-0.006739952
18/02/2014,34.24,0.004683849
14/02/2014,34.08,0.011212865
13/02/2014,33.7,0.014044755
12/02/2014,33.23,-0.000601685
11/02/2014,33.25,0.017291497
10/02/2014,32.68,0.013865574
07/02/2014,32.23,0.01942417
06/02/2014,31.61,0.023364801
05/02/2014,30.88,-0.010629831
04/02/2014,31.21,0.009335333
03/02/2014,30.92,-0.035581898
31/01/2014,32.04,-0.011173301
30/01/2014,32.4,-0.012270093
29/01/2014,32.8,0.015361285
28/01/2014,32.3,0.01560094
27/01/2014,31.8,-0.007206674
24/01/2014,32.03,-0.037381803
23/01/2014,33.25,-0.014332882
22/01/2014,33.73,-0.000889021
21/01/2014,33.76,-0.00266233
17/01/2014,33.85,0.005628811
16/01/2014,33.66,-0.006219478
15/01/2014,33.87,-0.010572786
14/01/2014,34.23,0.010572786
13/01/2014,33.87,-0.03338966
10/01/2014,35.02,-0.004842624
09/01/2014,35.19,-0.003687424
08/01/2014,35.32,-0.001697313
07/01/2014,35.38,0.004816556
06/01/2014,35.21,0.009990093
03/01/2014,34.86,-0.01903737
02/01/2014,35.53,-0.007011668
31/12/2013,35.78,0.006167667
30/12/2013,35.56,0.004792116
27/12/2013,35.39,-0.000564972
26/12/2013,35.41,0.000847577
24/12/2013,35.38,0.009371075
23/12/2013,35.05,0.011189329
20/12/2013,34.66,0.002021661
19/12/2013,34.59,-0.002886838
18/12/2013,34.69,0.017740759
17/12/2013,34.08,-0.007891317
16/12/2013,34.35,0.011713165
13/12/2013,33.95,0.018430962
12/12/2013,33.33,0.007529022
11/12/2013,33.08,-0.018865659
10/12/2013,33.71,-0.007977587
09/12/2013,33.98,0.010650988
06/12/2013,33.62,0.013475275
05/12/2013,33.17,-0.011092903
04/12/2013,33.54,0.013809886
03/12/2013,33.08,-0.01351169
02/12/2013,33.53,0.015932999
29/11/2013,33,-0.00332779
27/11/2013,33.11,0.008188067
26/11/2013,32.84,-0.005768955
25/11/2013,33.03,0.001211754
22/11/2013,32.99,0.010053398
21/11/2013,32.66,0.005526572
20/11/2013,32.48,-0.014973542
19/11/2013,32.97,-0.00995934
18/11/2013,33.3,-0.003297859
15/11/2013,33.41,-0.004777555
14/11/2013,33.57,0.005675893
13/11/2013,33.38,0.031652064
12/11/2013,32.34,0.002786811
11/11/2013,32.25,0.010285271
08/11/2013,31.92,0.023455909
07/11/2013,31.18,-0.017800851
06/11/2013,31.74,0.001261034
05/11/2013,31.7,-0.004720701
04/11/2013,31.85,0.002514934
01/11/2013,31.77,-0.000629327
31/10/2013,31.79,0.039132639
30/10/2013,30.57,-0.002287209
29/10/2013,30.64,0.013140794
28/10/2013,30.24,-0.003630966
25/10/2013,30.35,0.004292561
24/10/2013,30.22,0.003978785
23/10/2013,30.1,-0.025583553
22/10/2013,30.88,0.011071425
21/10/2013,30.54,0.000327493
18/10/2013,30.53,0.01020585
17/10/2013,30.22,0.017020267
16/10/2013,29.71,0.009469127
15/10/2013,29.43,-0.019182819
14/10/2013,30,0.004342749
11/10/2013,29.87,0
10/10/2013,29.87,0.033359118
09/10/2013,28.89,0.002425924
08/10/2013,28.82,-0.018222956
07/10/2013,29.35,-0.015551361
04/10/2013,29.81,0.006731766
03/10/2013,29.61,-0.02501381
02/10/2013,30.36,0.00793655
01/10/2013,30.12,0.003325577
30/09/2013,30.02,-0.009943735
27/09/2013,30.32,-0.013757177
26/09/2013,30.74,0
25/09/2013,30.74,-0.000975451
24/09/2013,30.77,0.016052761
23/09/2013,30.28,-0.00756707
20/09/2013,30.51,-0.020438668
19/09/2013,31.14,-0.004166005
18/09/2013,31.27,0.022312971
17/09/2013,30.58,-0.004242134
16/09/2013,30.71,0.023724342
13/09/2013,29.99,0.010390574
12/09/2013,29.68,-0.020674294
11/09/2013,30.3,-0.016366977
10/09/2013,30.8,0.013730193
09/09/2013,30.38,0.020955365
06/09/2013,29.75,0.011494379
05/09/2013,29.41,0.001361007
04/09/2013,29.37,0.015786189
03/09/2013,28.91,0.018150586
30/08/2013,28.39,-0.016419583
29/08/2013,28.86,0.003818786
28/08/2013,28.75,-0.008313176
27/08/2013,28.99,-0.044526748
26/08/2013,30.31,0.017640664
23/08/2013,29.78,0.008430332
22/08/2013,29.53,0.004752215
21/08/2013,29.39,-0.016869496
20/08/2013,29.89,0.003686949
19/08/2013,29.78,-0.016320096
16/08/2013,30.27,0.00463577
15/08/2013,30.13,-0.016784992
14/08/2013,30.64,0.002614381
13/08/2013,30.56,-0.004244904
12/08/2013,30.69,0.003917733
09/08/2013,30.57,0.007552162
08/08/2013,30.34,0.020310337
07/08/2013,29.73,0.001683219
06/08/2013,29.68,-0.020674294
05/08/2013,30.3,-0.003294896
02/08/2013,30.4,-0.002956153
01/08/2013,30.49,0.024569629
31/07/2013,29.75,0.008438869
30/07/2013,29.5,0.008168868
29/07/2013,29.26,0.010651192
26/07/2013,28.95,0.005194817
25/07/2013,28.8,-0.015504187
24/07/2013,29.25,-0.012232568
23/07/2013,29.61,-0.002024292
22/07/2013,29.67,0.01220768
19/07/2013,29.31,0.010288157
18/07/2013,29.01,0.005530605
17/07/2013,28.85,-0.003460211
16/07/2013,28.95,0.00242089
15/07/2013,28.88,-0.015461569
12/07/2013,29.33,-0.00544034
11/07/2013,29.49,0.019517826
10/07/2013,28.92,0.006939653
09/07/2013,28.72,0.011204599
08/07/2013,28.4,0.002467831
05/07/2013,28.33,0.019604977
03/07/2013,27.78,-0.013941245
02/07/2013,28.17,0.015382167
01/07/2013,27.74,-0.001800829
28/06/2013,27.79,-0.013226288
27/06/2013,28.16,0.049127579
26/06/2013,26.81,-0.003351334
25/06/2013,26.9,-0.005930336
24/06/2013,27.06,-0.01102547
21/06/2013,27.36,0.016584128
20/06/2013,26.91,-0.02423026
19/06/2013,27.57,-0.01654714
18/06/2013,28.03,0.003216011
17/06/2013,27.94,0.006103053
14/06/2013,27.77,-0.014301281
13/06/2013,28.17,0.057346366
12/06/2013,26.6,-0.013072082
11/06/2013,26.95,-0.022744928
10/06/2013,27.57,-0.006507615
07/06/2013,27.75,0.022964377
06/06/2013,27.12,0.003694131
05/06/2013,27.02,-0.018335681
04/06/2013,27.52,-0.001815212
03/06/2013,27.57,0.004362057
31/05/2013,27.45,-0.0130295
30/05/2013,27.81,-0.0017963
29/05/2013,27.86,-0.006083397
28/05/2013,28.03,0.01727283
24/05/2013,27.55,-0.020834087
23/05/2013,28.13,-0.021453258
22/05/2013,28.74,-0.004859433
21/05/2013,28.88,-0.0003462
20/05/2013,28.89,0.004857747
17/05/2013,28.75,0.009084619
16/05/2013,28.49,-0.002804068
15/05/2013,28.57,-0.004888278
14/05/2013,28.71,0.012265792
13/05/2013,28.36,0.004240289
10/05/2013,28.24,-0.000707965
09/05/2013,28.26,-0.008105771
08/05/2013,28.49,0.015921086
07/05/2013,28.04,0.010035927
06/05/2013,27.76,0.011229968
03/05/2013,27.45,0.02321829
02/05/2013,26.82,0.019959239
01/05/2013,26.29,0.000380445
30/04/2013,26.28,0.013022015
29/04/2013,25.94,0.023007449
26/04/2013,25.35,-0.004329863
25/04/2013,25.46,0.006304197
24/04/2013,25.3,-0.019957618
23/04/2013,25.81,0.023521273
22/04/2013,25.21,0.013176473
19/04/2013,24.88,0.025235364
18/04/2013,24.26,-0.011882951
17/04/2013,24.55,-0.035610884
16/04/2013,25.44,0.029519495
15/04/2013,24.7,-0.06048172
12/04/2013,26.24,-0.009482339
11/04/2013,26.49,0.008720434
10/04/2013,26.26,0.024283328
09/04/2013,25.63,0.001952744
08/04/2013,25.58,0.033389429
05/04/2013,24.74,-0.014844806
04/04/2013,25.11,-0.006351748
03/04/2013,25.27,-0.036141489
02/04/2013,26.2,-0.002668193
01/04/2013,26.27,-0.014361547
28/03/2013,26.65,0.004889985
27/03/2013,26.52,0.007190192
26/03/2013,26.33,-0.010953839
25/03/2013,26.62,0.002256488
22/03/2013,26.56,-0.011976191
21/03/2013,26.88,-0.028604811
20/03/2013,27.66,0.021561223
19/03/2013,27.07,0.002589238
18/03/2013,27,0.002224695
15/03/2013,26.94,-0.009237088
14/03/2013,27.19,0.01743691
13/03/2013,26.72,0.002623198
12/03/2013,26.65,-0.015267472
11/03/2013,27.06,0.021289319
08/03/2013,26.49,0.015982075
07/03/2013,26.07,0.016631596
06/03/2013,25.64,0.015327476
05/03/2013,25.25,0.000792393
04/03/2013,25.23,-0.003165812
01/03/2013,25.31,-0.007478878
28/02/2013,25.5,0.003929278
27/02/2013,25.4,0.020283058
26/02/2013,24.89,-0.003609388
25/02/2013,24.98,-0.035781289
22/02/2013,25.89,0.015962963
21/02/2013,25.48,-0.010152371
20/02/2013,25.74,-0.029852963
19/02/2013,26.52,0.011758148
15/02/2013,26.21,0.004205703
14/02/2013,26.1,0.010011635
13/02/2013,25.84,0.023097523
12/02/2013,25.25,0.017579358
11/02/2013,24.81,-0.006828707
08/02/2013,24.98,0.002806175
07/02/2013,24.91,0.018230199
06/02/2013,24.46,-0.000408747
05/02/2013,24.47,0.013577662
04/02/2013,24.14,-0.013577662
01/02/2013,24.47,0.027762297
31/01/2013,23.8,0.044680971
30/01/2013,22.76,0.00308031
29/01/2013,22.69,-0.012264718
28/01/2013,22.97,0.000435445
25/01/2013,22.96,0.002616661
24/01/2013,22.9,0.003937874
23/01/2013,22.81,-0.002189622
