Date,Close,HPQ
04/04/2014,32.64,-0.010969031
03/04/2014,33,-0.01831608
02/04/2014,33.61,0.011370559
01/04/2014,33.23,0.02652999
31/03/2014,32.36,0.00993797
28/03/2014,32.04,0.003439115
27/03/2014,31.93,-0.013068014
26/03/2014,32.35,-0.00647052
25/03/2014,32.56,0.028978504
24/03/2014,31.63,-0.010066144
21/03/2014,31.95,0.014819757
20/03/2014,31.48,-0.004437408
19/03/2014,31.62,0.034097867
18/03/2014,30.56,0.035979897
17/03/2014,29.48,0.014005353
14/03/2014,29.07,0.005519159
13/03/2014,28.91,-0.02324891
12/03/2014,29.59,-0.010756406
11/03/2014,29.91,0.000334392
10/03/2014,29.9,-0.014608494
07/03/2014,30.34,0.008274083
06/03/2014,30.09,0.004997512
05/03/2014,29.94,-0.005994024
04/03/2014,30.12,0.013032766
03/03/2014,29.73,-0.005032723
28/02/2014,29.88,0.004360228
27/02/2014,29.75,-0.005029348
26/02/2014,29.9,0.00066912
25/02/2014,29.88,-0.001337793
24/02/2014,29.92,0.004354386
21/02/2014,29.79,-0.013337977
20/02/2014,30.19,0.024816834
19/02/2014,29.45,-0.004404547
18/02/2014,29.58,-0.014765369
14/02/2014,30.02,0.006349228
13/02/2014,29.83,0.013839883
12/02/2014,29.42,0.002041511
11/02/2014,29.36,0.018910655
10/02/2014,28.81,-0.008984165
07/02/2014,29.07,0.020153566
06/02/2014,28.49,0.016991559
05/02/2014,28.01,-0.011359725
04/02/2014,28.33,0.010289252
03/02/2014,28.04,-0.033663768
31/01/2014,29,-0.008583744
30/01/2014,29.25,0.007894326
29/01/2014,29.02,0.000689417
28/01/2014,29,0.013889112
27/01/2014,28.6,0.003853569
24/01/2014,28.49,-0.030420597
23/01/2014,29.37,-0.01587603
22/01/2014,29.84,-0.002008705
21/01/2014,29.9,0.003350087
17/01/2014,29.8,0.008086297
16/01/2014,29.56,0.024658784
15/01/2014,28.84,-0.000346681
14/01/2014,28.85,0.025628926
13/01/2014,28.12,0.015048654
10/01/2014,27.7,0.003254387
09/01/2014,27.61,0.005811858
08/01/2014,27.45,-0.026246339
07/01/2014,28.18,-0.003895879
06/01/2014,28.29,-0.001765849
03/01/2014,28.34,0.024286908
02/01/2014,27.66,-0.011502643
31/12/2013,27.98,-0.003211421
30/12/2013,28.07,-0.004265915
27/12/2013,28.19,-0.004247794
26/12/2013,28.31,0.005312568
24/12/2013,28.16,0.003913899
23/12/2013,28.05,0.009312388
20/12/2013,27.79,-0.008955818
19/12/2013,28.04,0.019082487
18/12/2013,27.51,0.002183407
17/12/2013,27.45,0.020239881
16/12/2013,26.9,0.004844429
13/12/2013,26.77,0.006370642
12/12/2013,26.6,-0.014555211
11/12/2013,26.99,-0.001850824
10/12/2013,27.04,-0.00773627
09/12/2013,27.25,-0.016378892
06/12/2013,27.7,0.016378892
05/12/2013,27.25,-0.031783101
04/12/2013,28.13,0.022650618
03/12/2013,27.5,0.00656697
02/12/2013,27.32,-0.001097494
29/11/2013,27.35,-0.000365564
27/11/2013,27.36,0.086612732
26/11/2013,25.09,-0.009125237
25/11/2013,25.32,0.00237248
22/11/2013,25.26,0.009147011
21/11/2013,25.03,0.003602165
20/11/2013,24.94,-0.002002805
19/11/2013,24.99,-0.00040008
18/11/2013,25,-0.008364916
15/11/2013,25.21,0.005568829
14/11/2013,25.07,-0.055095391
13/11/2013,26.49,0.010244825
12/11/2013,26.22,-0.004945797
11/11/2013,26.35,0.015682096
08/11/2013,25.94,0.009684368
07/11/2013,25.69,0.003118911
06/11/2013,25.61,0.005481611
05/11/2013,25.47,-0.011709736
04/11/2013,25.77,-0.005803847
01/11/2013,25.92,0.061662004
31/10/2013,24.37,0.007000234
30/10/2013,24.2,0.014987791
29/10/2013,23.84,-0.000838574
28/10/2013,23.86,-0.005850414
25/10/2013,24,0.005012542
24/10/2013,23.88,0.005037794
23/10/2013,23.76,-0.012131502
22/10/2013,24.05,0.021009176
21/10/2013,23.55,0.002976826
18/10/2013,23.48,0.003840414
17/10/2013,23.39,0.004713958
16/10/2013,23.28,0.02127278
15/10/2013,22.79,-0.004815067
14/10/2013,22.9,0.004376375
11/10/2013,22.8,0.021277398
10/10/2013,22.32,-0.012466769
09/10/2013,22.6,0.08540366
08/10/2013,20.75,-0.00863729
07/10/2013,20.93,-0.015643836
04/10/2013,21.26,0.016121734
03/10/2013,20.92,-0.022685283
02/10/2013,21.4,0.004214476
01/10/2013,21.31,0.015130312
30/09/2013,20.99,-0.008538951
27/09/2013,21.17,-0.006121988
26/09/2013,21.3,-0.004683849
25/09/2013,21.4,0.007504726
24/09/2013,21.24,0.001885015
23/09/2013,21.2,-0.000942952
20/09/2013,21.22,-0.004232313
19/09/2013,21.31,-0.022733524
18/09/2013,21.8,0.005981154
17/09/2013,21.67,-0.003225066
16/09/2013,21.74,-0.015065339
13/09/2013,22.07,0.004996604
12/09/2013,21.96,-0.014017865
11/09/2013,22.27,0
10/09/2013,22.27,-0.004033167
09/09/2013,22.36,-0.002679769
06/09/2013,22.42,0.013471241
05/09/2013,22.12,-0.006758305
04/09/2013,22.27,-0.004480294
03/09/2013,22.37,0.001341982
30/08/2013,22.34,-0.00802501
29/08/2013,22.52,-0.003988483
28/08/2013,22.61,0.027804482
27/08/2013,21.99,-0.012652677
26/08/2013,22.27,-0.005820478
23/08/2013,22.4,0.008068175
22/08/2013,22.22,-0.132968678
21/08/2013,25.38,-0.017962217
20/08/2013,25.84,-0.001546791
19/08/2013,25.88,-0.020650829
16/08/2013,26.42,0.017949689
15/08/2013,25.95,-0.046309799
14/08/2013,27.18,-0.004405293
13/08/2013,27.3,0.020726131
12/08/2013,26.74,-0.001121286
09/08/2013,26.77,-0.003728565
08/08/2013,26.87,0.006721459
07/08/2013,26.69,0.009410948
06/08/2013,26.44,-0.022069345
05/08/2013,27.03,0.001110494
02/08/2013,27,0.028933072
01/08/2013,26.23,0.021191315
31/07/2013,25.68,-0.003886519
30/07/2013,25.78,0.004276003
29/07/2013,25.67,-0.012388854
26/07/2013,25.99,-0.009573115
25/07/2013,26.24,0.004966581
24/07/2013,26.11,0.014660756
23/07/2013,25.73,0.008587094
22/07/2013,25.51,0.014610329
19/07/2013,25.14,-0.04624877
18/07/2013,26.33,0.000759878
17/07/2013,26.31,-0.005307063
16/07/2013,26.45,0.002650011
15/07/2013,26.38,0.007228489
12/07/2013,26.19,-0.007228489
11/07/2013,26.38,0.017205548
10/07/2013,25.93,0.017899311
09/07/2013,25.47,0.01184848
08/07/2013,25.17,-0.016157987
05/07/2013,25.58,0.015760768
03/07/2013,25.18,0.006374524
02/07/2013,25.02,0.003603608
01/07/2013,24.93,0.005228244
28/06/2013,24.8,0.00121041
27/06/2013,24.77,0.031162833
26/06/2013,24.01,0.006686193
25/06/2013,23.85,0.017766965
24/06/2013,23.43,-0.030267128
21/06/2013,24.15,-0.023328252
20/06/2013,24.72,-0.028316947
19/06/2013,25.43,-0.000393159
18/06/2013,25.44,0.011067307
17/06/2013,25.16,0.016834065
14/06/2013,24.74,-0.007650531
13/06/2013,24.93,0.000802568
12/06/2013,24.91,0.027265168
11/06/2013,24.24,-0.01026071
10/06/2013,24.49,-0.012981927
07/06/2013,24.81,0.02283018
06/06/2013,24.25,0.002477293
05/06/2013,24.19,-0.017619796
04/06/2013,24.62,-0.011308683
03/06/2013,24.9,0.019465335
31/05/2013,24.42,-0.033819648
30/05/2013,25.26,0.000792079
29/05/2013,25.24,0.023653137
28/05/2013,24.65,0.01801113
24/05/2013,24.21,-0.026494315
23/05/2013,24.86,0.15784481
22/05/2013,21.23,0.005668414
21/05/2013,21.11,-0.003310478
20/05/2013,21.18,-0.004240289
17/05/2013,21.27,-0.004222385
16/05/2013,21.36,0.018427169
15/05/2013,20.97,-0.02588989
14/05/2013,21.52,0.007930996
13/05/2013,21.35,-0.008859932
10/05/2013,21.54,0.016854332
09/05/2013,21.18,0.005207112
08/05/2013,21.07,0.027425342
07/05/2013,20.5,-0.006806054
06/05/2013,20.64,0.000484614
03/05/2013,20.63,0.008763445
02/05/2013,20.45,0.004901971
01/05/2013,20.35,-0.012210164
30/04/2013,20.6,0.00486619
29/04/2013,20.5,0.026193739
26/04/2013,19.97,0.019211915
25/04/2013,19.59,-0.01268087
24/04/2013,19.84,0.009622764
23/04/2013,19.65,-0.005582354
22/04/2013,19.76,0.010173028
19/04/2013,19.56,-0.032690867
18/04/2013,20.21,-0.013759431
17/04/2013,20.49,-0.026013027
16/04/2013,21.03,0.01678294
15/04/2013,20.68,-0.010582109
12/04/2013,20.9,0.000957396
11/04/2013,20.88,-0.066691374
10/04/2013,22.32,0.004490353
09/04/2013,22.22,0.013137222
08/04/2013,21.93,-0.001822324
05/04/2013,21.97,-0.014908792
04/04/2013,22.3,0.017643525
03/04/2013,21.91,-0.008634455
02/04/2013,22.1,-0.053304845
01/04/2013,23.31,-0.022482389
28/03/2013,23.84,0.010965947
27/03/2013,23.58,-0.002541297
26/03/2013,23.64,0.023107575
25/03/2013,23.1,0.002600782
22/03/2013,23.04,0.031748698
21/03/2013,22.32,-0.026526754
20/03/2013,22.92,-0.008255532
19/03/2013,23.11,0.012189964
18/03/2013,22.83,0.028884479
15/03/2013,22.18,0.011335419
14/03/2013,21.93,0.028209963
13/03/2013,21.32,-0.003745323
12/03/2013,21.4,0.017440932
11/03/2013,21.03,0.001427552
08/03/2013,21,0.007168489
07/03/2013,20.85,-0.003829588
06/03/2013,20.93,0.027120306
05/03/2013,20.37,0.019832083
04/03/2013,19.97,-0.008973141
01/03/2013,20.15,0.000496401
28/02/2013,20.14,0.01854225
27/02/2013,19.77,-0.001011122
26/02/2013,19.79,0.03706034
25/02/2013,19.07,-0.006793859
22/02/2013,19.2,0.115831816
21/02/2013,17.1,0.023669744
20/02/2013,16.7,-0.011313011
19/02/2013,16.89,0.00593826
15/02/2013,16.79,-0.014193024
14/02/2013,17.03,0.001175088
13/02/2013,17.01,-0.005277057
12/02/2013,17.1,0.015915455
11/02/2013,16.83,-0.002373888
08/02/2013,16.87,0.025819507
07/02/2013,16.44,-0.015092348
06/02/2013,16.69,0.004804814
05/02/2013,16.61,0.026229012
04/02/2013,16.18,-0.017157284
01/02/2013,16.46,-0.003033063
31/01/2013,16.51,0.006684923
30/01/2013,16.4,-0.00486619
29/01/2013,16.48,-0.032241599
28/01/2013,17.02,0.001764187
25/01/2013,16.99,-0.001176471
24/01/2013,17.01,0
23/01/2013,17.01,-0.014010737
22/01/2013,17.25,0.008149056
18/01/2013,17.11,0
17/01/2013,17.11,-0.005827522
16/01/2013,17.21,0.040313698
15/01/2013,16.53,-0.025090922
14/01/2013,16.95,0.047728781
11/01/2013,16.16,-0.007398307
10/01/2013,16.28,0.02676786
09/01/2013,15.85,0.029451552
08/01/2013,15.39,0.014398154
07/01/2013,15.17,0.001979545
04/01/2013,15.14,0
03/01/2013,15.14,0.007957602
02/01/2013,15.02,0.05262574
31/12/2012,14.25,0.040821995
28/12/2012,13.68,-0.025975486
27/12/2012,14.04,-0.005681833
26/12/2012,14.12,0.007820872
24/12/2012,14.01,-0.023281475
21/12/2012,14.34,-0.006256538
20/12/2012,14.43,0.00347102
19/12/2012,14.38,-0.010377125
18/12/2012,14.53,0.022269535
17/12/2012,14.21,-0.037297141
14/12/2012,14.75,0.017094433
13/12/2012,14.5,-0.002066828
12/12/2012,14.53,0.018757063
11/12/2012,14.26,0.007037327
10/12/2012,14.16,0.015658683
07/12/2012,13.94,0.00792226
06/12/2012,13.83,0.000723327
05/12/2012,13.82,0.021207376
04/12/2012,13.53,0.050010421
03/12/2012,12.87,-0.009280809
30/11/2012,12.99,0.007728014
29/11/2012,12.89,0.012490404
28/11/2012,12.73,0.029495961
27/11/2012,12.36,-0.030281198
26/11/2012,12.74,0.023829563
23/11/2012,12.44,0.041022979
21/11/2012,11.94,0.01945093
20/11/2012,11.71,-0.127320858
19/11/2012,13.3,0.034420224
16/11/2012,12.85,-0.017740535
15/11/2012,13.08,-0.004576667
14/11/2012,13.14,0
13/11/2012,13.14,-0.020339684
12/11/2012,13.41,-0.014804119
09/11/2012,13.61,-0.015312002
08/11/2012,13.82,0.009451179
07/11/2012,13.69,-0.050562567
06/11/2012,14.4,0.027456846
05/11/2012,14.01,0.018005528
02/11/2012,13.76,-0.017291497
01/11/2012,14,0.010772097
31/10/2012,13.85,-0.017180093
26/10/2012,14.09,-0.007072165
25/10/2012,14.19,0.010627093
24/10/2012,14.04,-0.015548016
23/10/2012,14.26,-0.03106912
22/10/2012,14.71,0.015759148
19/10/2012,14.48,-0.021858794
18/10/2012,14.8,0.005420067
17/10/2012,14.72,0.010242493
16/10/2012,14.57,0.00688708
15/10/2012,14.47,0.004155131
12/10/2012,14.41,0.011165503
11/10/2012,14.25,0.004924386
10/10/2012,14.18,-0.013310179
09/10/2012,14.37,-0.006243517
08/10/2012,14.46,-0.018500014
05/10/2012,14.73,-0.014155949
04/10/2012,14.94,0.002010051
03/10/2012,14.91,-0.138799184
02/10/2012,17.13,-0.004659298
01/10/2012,17.21,0.008754068
28/09/2012,17.06,-0.009915508
27/09/2012,17.23,0.006988963
26/09/2012,17.11,0.023655745
25/09/2012,16.71,-0.029483268
24/09/2012,17.21,-0.021839949
21/09/2012,17.59,-0.009618179
20/09/2012,17.76,-0.018963201
19/09/2012,18.1,-0.008253142
18/09/2012,18.25,0.002194186
17/09/2012,18.21,0.002199011
14/09/2012,18.17,-0.003845102
13/09/2012,18.24,0.013800937
12/09/2012,17.99,0.002225933
11/09/2012,17.95,0.029397255
10/09/2012,17.43,0.000573888
07/09/2012,17.42,-0.009711587
06/09/2012,17.59,0.018359667
05/09/2012,17.27,0.016345956
04/09/2012,16.99,0.006495447
31/08/2012,16.88,0.005941788
30/08/2012,16.78,-0.009489988
29/08/2012,16.94,0.002364067
28/08/2012,16.9,-0.018176988
27/08/2012,17.21,-0.021271282
24/08/2012,17.58,-0.003407158
23/08/2012,17.64,-0.084741228
22/08/2012,19.2,-0.037315855
21/08/2012,19.93,-0.007996045
20/08/2012,20.09,0.028782598
17/08/2012,19.52,0
16/08/2012,19.52,0.011852754
15/08/2012,19.29,-0.003622255
14/08/2012,19.36,-0.013340372
13/08/2012,19.62,-0.004069182
10/08/2012,19.7,0.014830239
09/08/2012,19.41,0
08/08/2012,19.41,0.0234569
07/08/2012,18.96,0.014342875
06/08/2012,18.69,0.023275746
03/08/2012,18.26,0.039658925
02/08/2012,17.55,-0.006248245
01/08/2012,17.66,-0.032314789
31/07/2012,18.24,-0.001095891
30/07/2012,18.26,-0.0168345
27/07/2012,18.57,0.030620216
26/07/2012,18.01,0.012852929
25/07/2012,17.78,-0.011741818
24/07/2012,17.99,-0.017085012
23/07/2012,18.3,-0.016798011
20/07/2012,18.61,-0.025989264
19/07/2012,19.1,-0.010416761
18/07/2012,19.3,0.022531737
17/07/2012,18.87,0.003184716
16/07/2012,18.81,-0.00899715
13/07/2012,18.98,-0.019306626
12/07/2012,19.35,-0.017418473
11/07/2012,19.69,0.029899134
10/07/2012,19.11,-0.016606505
09/07/2012,19.43,-0.007179518
06/07/2012,19.57,-0.035637397
05/07/2012,20.28,-0.003937013
03/07/2012,20.36,0.009871748
02/07/2012,20.16,0.002483239
29/06/2012,20.11,0.038008122
28/06/2012,19.36,-0.007718073
27/06/2012,19.51,0.007718073
26/06/2012,19.36,-0.009766205
25/06/2012,19.55,-0.041087944
22/06/2012,20.37,0.003442344
21/06/2012,20.3,-0.041491721
20/06/2012,21.16,0.016678967
19/06/2012,20.81,-0.01146692
18/06/2012,21.05,-0.027642894
15/06/2012,21.64,0.002313209
14/06/2012,21.59,0.005107975
13/06/2012,21.48,-0.010189991
12/06/2012,21.7,0.013454158
11/06/2012,21.41,-0.041176906
08/06/2012,22.31,0.011268995
07/06/2012,22.06,-0.013060307
06/06/2012,22.35,0.030436144
05/06/2012,21.68,0.02901467
04/06/2012,21.06,-0.008981389
01/06/2012,21.25,-0.065126583
31/05/2012,22.68,-0.002642009
30/05/2012,22.74,-0.002635048
29/05/2012,22.8,0.02082947
25/05/2012,22.33,0.025398191
24/05/2012,21.77,0.032208152
23/05/2012,21.08,-0.032667394
22/05/2012,21.78,-0.005037794
21/05/2012,21.89,0.019839174
18/05/2012,21.46,-0.027575277
17/05/2012,22.06,0.001360853
16/05/2012,22.03,-0.016655798
15/05/2012,22.4,-0.025128058
14/05/2012,22.97,-0.007805764
11/05/2012,23.15,-0.015431082
10/05/2012,23.51,0.007685777
09/05/2012,23.33,0.000428725
08/05/2012,23.32,-0.023311079
07/05/2012,23.87,-0.016618579
04/05/2012,24.27,-0.008615438
03/05/2012,24.48,-0.030969698
02/05/2012,25.25,0.003173347
01/05/2012,25.17,0.016423361
30/04/2012,24.76,0.000403959
27/04/2012,24.75,-0.004836769
26/04/2012,24.87,0.001609658
25/04/2012,24.83,0.015831465
24/04/2012,24.44,0.006980115
23/04/2012,24.27,-0.009840178
20/04/2012,24.51,-0.008126822
19/04/2012,24.71,-0.008863878
18/04/2012,24.93,0.008459265
17/04/2012,24.72,0.016724844
16/04/2012,24.31,-0.010638398
13/04/2012,24.57,-0.02134166
12/04/2012,25.1,0.069704565
11/04/2012,23.41,0.005998304
10/04/2012,23.27,0.005602256
09/04/2012,23.14,0.001297297
05/04/2012,23.11,-0.006899553
04/04/2012,23.27,-0.007705518
03/04/2012,23.45,-0.018170794
02/04/2012,23.88,0.002095997
30/03/2012,23.83,0.013519429
29/03/2012,23.51,-0.002973033
28/03/2012,23.58,-0.001694916
27/03/2012,23.62,-0.011366151
26/03/2012,23.89,0.01094287
23/03/2012,23.63,0.025719377
22/03/2012,23.03,-0.018499129
21/03/2012,23.46,-0.021923306
20/03/2012,23.98,-0.014900938
19/03/2012,24.34,-0.006143783
16/03/2012,24.49,0.003681739
