Date,Close,SWK
04/04/2014,80.75,-0.010593841
03/04/2014,81.61,-0.002692121
02/04/2014,81.83,0.00061121
01/04/2014,81.78,0.006624978
31/03/2014,81.24,0.006793085
28/03/2014,80.69,0.020154654
27/03/2014,79.08,-0.004164307
26/03/2014,79.41,-0.011518845
25/03/2014,80.33,0.012400735
24/03/2014,79.34,-0.004652633
21/03/2014,79.71,-0.003131461
20/03/2014,79.96,0.00526647
19/03/2014,79.54,-0.007764598
18/03/2014,80.16,-0.002616335
17/03/2014,80.37,0.016939987
14/03/2014,79.02,-0.00088546
13/03/2014,79.09,-0.018415804
12/03/2014,80.56,-0.011232606
11/03/2014,81.47,-0.005264137
10/03/2014,81.9,-0.007420507
07/03/2014,82.51,0.007664737
06/03/2014,81.88,0.004161063
05/03/2014,81.54,-0.00562555
04/03/2014,82,0.003053437
03/03/2014,81.75,-0.01565661
28/02/2014,83.04,0.001084403
27/02/2014,82.95,0.011518769
26/02/2014,82,0.003542854
25/02/2014,81.71,-0.004517988
24/02/2014,82.08,0.004150903
21/02/2014,81.74,0.003799723
20/02/2014,81.43,0.009500966
19/02/2014,80.66,-0.007657194
18/02/2014,81.28,-0.000492005
14/02/2014,81.32,0.009017416
13/02/2014,80.59,-0.000372185
12/02/2014,80.62,0.007595131
11/02/2014,80.01,0.013210232
10/02/2014,78.96,0.002028398
07/02/2014,78.8,0.030145269
06/02/2014,76.46,0.010650288
05/02/2014,75.65,-0.006062222
04/02/2014,76.11,0.006194418
03/02/2014,75.64,-0.023001537
31/01/2014,77.4,-0.006053989
30/01/2014,77.87,-0.002052599
29/01/2014,78.03,0.00128238
28/01/2014,77.93,0.007470411
27/01/2014,77.35,-0.005929381
24/01/2014,77.81,-0.032868589
23/01/2014,80.41,-0.006446037
22/01/2014,80.93,-0.000864571
21/01/2014,81,-0.002096566
17/01/2014,81.17,-0.01491835
16/01/2014,82.39,-0.001818954
15/01/2014,82.54,0.004127722
14/01/2014,82.2,0.025255423
13/01/2014,80.15,-0.015721064
10/01/2014,81.42,0.013851322
09/01/2014,80.3,0.002743486
08/01/2014,80.08,0.001249532
07/01/2014,79.98,0.004260124
06/01/2014,79.64,-0.00924891
03/01/2014,80.38,0.002491282
02/01/2014,80.18,-0.006340545
31/12/2013,80.69,-0.006916169
30/12/2013,81.25,0.002958217
27/12/2013,81.01,-0.000370256
26/12/2013,81.04,0.004824055
24/12/2013,80.65,-0.003712876
23/12/2013,80.95,0.004829432
