Date,Close,PM
04/04/2014,82.81,0.006420762
03/04/2014,82.28,-0.002185262
02/04/2014,82.46,0.003036378
01/04/2014,82.21,0.004144326
31/03/2014,81.87,0.010436586
28/03/2014,81.02,0.011794786
27/03/2014,80.07,-0.004361649
26/03/2014,80.42,0.002739387
25/03/2014,80.2,-0.002739387
24/03/2014,80.42,-0.007186253
21/03/2014,81,0.007061914
20/03/2014,80.43,0.009619663
19/03/2014,79.66,-0.010116866
18/03/2014,80.47,0.00236392
17/03/2014,80.28,0.004869835
14/03/2014,79.89,0.008295674
13/03/2014,79.23,0.000757576
12/03/2014,79.17,-0.004411123
11/03/2014,79.52,-0.011378679
10/03/2014,80.43,0.001119612
07/03/2014,80.34,-0.007069797
06/03/2014,80.91,-0.001975553
05/03/2014,81.07,-0.006271155
04/03/2014,81.58,0.01394826
03/03/2014,80.45,-0.005701552
28/02/2014,80.91,0.001608016
27/02/2014,80.78,0.015972388
26/02/2014,79.5,-0.00539423
25/02/2014,79.93,0.009553812
24/02/2014,79.17,0.002529406
21/02/2014,78.97,-0.009327015
20/02/2014,79.71,0.001380956
19/02/2014,79.6,-0.005137534
18/02/2014,80.01,-0.004738163
14/02/2014,80.39,0.014408569
13/02/2014,79.24,0.010147221
12/02/2014,78.44,-0.012919749
11/02/2014,79.46,0.008213858
10/02/2014,78.81,-0.01810687
07/02/2014,80.25,0.027028672
06/02/2014,78.11,0.015612213
05/02/2014,76.9,0.000260112
04/02/2014,76.88,0.019571124
03/02/2014,75.39,-0.035827449
31/01/2014,78.14,-0.012084355
30/01/2014,79.09,-0.004415575
29/01/2014,79.44,-0.017098701
28/01/2014,80.81,0.00037131
27/01/2014,80.78,-0.00887361
24/01/2014,81.5,-0.024722539
23/01/2014,83.54,-0.00775059
22/01/2014,84.19,0.002378405
21/01/2014,83.99,0.007889116
17/01/2014,83.33,-0.014179564
16/01/2014,84.52,0.017184194
15/01/2014,83.08,0.00761195
14/01/2014,82.45,0
13/01/2014,82.45,-0.001454369
10/01/2014,82.57,-0.008922172
09/01/2014,83.31,0.00048025
08/01/2014,83.27,-0.016791106
07/01/2014,84.68,-0.002947942
06/01/2014,84.93,-0.007039804
03/01/2014,85.53,-0.005712636
02/01/2014,86.02,-0.012821429
31/12/2013,87.13,0.006101441
30/12/2013,86.6,-0.001615323
27/12/2013,86.74,0.00845157
26/12/2013,86.01,0.006766241
24/12/2013,85.43,0.002109211
23/12/2013,85.25,-0.003162151
20/12/2013,85.52,0.000467836
19/12/2013,85.48,0
18/12/2013,85.48,0.009757322
17/12/2013,84.65,-0.001180638
16/12/2013,84.75,-0.005765061
13/12/2013,85.24,-0.000938086
12/12/2013,85.32,-0.007007737
11/12/2013,85.92,0.001514181
10/12/2013,85.79,-0.006506355
09/12/2013,86.35,0.006040209
06/12/2013,85.83,0.003735268
05/12/2013,85.51,-0.004666908
04/12/2013,85.91,0.001747539
03/12/2013,85.76,0.00807825
02/12/2013,85.07,-0.005509656
29/11/2013,85.54,0.000467727
27/11/2013,85.5,0.000233945
26/11/2013,85.48,-0.009431286
25/11/2013,86.29,-0.007619524
22/11/2013,86.95,0.004033425
21/11/2013,86.6,-0.030701672
20/11/2013,89.3,-0.024009562
19/11/2013,91.47,-0.001856808
18/11/2013,91.64,0.003060112
15/11/2013,91.36,0.007250389
14/11/2013,90.7,0.000882418
13/11/2013,90.62,0.009646912
12/11/2013,89.75,0.000222866
11/11/2013,89.73,0.003572629
08/11/2013,89.41,-0.006243749
07/11/2013,89.97,-0.011493109
06/11/2013,91.01,0.009716318
05/11/2013,90.13,-0.001330525
04/11/2013,90.25,0.005444155
01/11/2013,89.76,0.007155666
31/10/2013,89.12,-0.00246554
30/10/2013,89.34,-0.011352376
29/10/2013,90.36,0.00510375
28/10/2013,89.9,0.014566084
25/10/2013,88.6,0.004751678
24/10/2013,88.18,0.000680658
23/10/2013,88.12,0.003865838
22/10/2013,87.78,0.010651192
21/10/2013,86.85,-0.000920704
18/10/2013,86.93,0.000460246
17/10/2013,86.89,0.00924969
16/10/2013,86.09,0.006876885
15/10/2013,85.5,-0.013822161
14/10/2013,86.69,0.019334401
11/10/2013,85.03,-0.013201897
10/10/2013,86.16,0.023486284
09/10/2013,84.16,-0.020929629
08/10/2013,85.94,-0.007419464
07/10/2013,86.58,-0.005298941
04/10/2013,87.04,-0.005156718
03/10/2013,87.49,-0.002625422
02/10/2013,87.72,0.003997949
01/10/2013,87.37,0.008967639
30/09/2013,86.59,-0.008509711
27/09/2013,87.33,-0.004113821
26/09/2013,87.69,0.008934767
25/09/2013,86.91,-0.005736592
24/09/2013,87.41,-0.026418335
23/09/2013,89.75,-0.007990277
20/09/2013,90.47,-0.000773438
19/09/2013,90.54,0.006537782
