Date,Close,SE
04/04/2014,37.92,0.005023143
03/04/2014,37.73,0.001326084
02/04/2014,37.68,-0.000265358
01/04/2014,37.69,0.020099833
31/03/2014,36.94,0.003253799
28/03/2014,36.82,-0.001085776
27/03/2014,36.86,0.009540757
26/03/2014,36.51,0.003567023
25/03/2014,36.38,0
24/03/2014,36.38,-0.006848404
21/03/2014,36.63,0.003555316
20/03/2014,36.5,0
19/03/2014,36.5,-0.013875886
18/03/2014,37.01,0.006505851
17/03/2014,36.77,0.005180652
14/03/2014,36.58,0.004383569
13/03/2014,36.42,-0.006295354
12/03/2014,36.65,-0.002452651
11/03/2014,36.74,-0.008672141
10/03/2014,37.06,-0.009399828
07/03/2014,37.41,0.002408672
06/03/2014,37.32,0.000267989
05/03/2014,37.31,-0.009337136
04/03/2014,37.66,0.017680611
03/03/2014,37,-0.007539077
28/02/2014,37.28,0.009432761
27/02/2014,36.93,-0.008359224
26/02/2014,37.24,-0.002949459
25/02/2014,37.35,-0.004541213
24/02/2014,37.52,-0.003193191
21/02/2014,37.64,-0.002388219
20/02/2014,37.73,0.016299626
19/02/2014,37.12,0.002157498
18/02/2014,37.04,-0.000269942
14/02/2014,37.05,-0.000539665
13/02/2014,37.07,0.005138618
12/02/2014,36.88,-0.022786135
11/02/2014,37.73,0.018997227
10/02/2014,37.02,0.006232238
07/02/2014,36.79,0.006544883
06/02/2014,36.55,0.020454002
05/02/2014,35.81,-0.021821056
04/02/2014,36.6,0.035032774
03/02/2014,35.34,-0.017113617
31/01/2014,35.95,-0.00720624
30/01/2014,36.21,0.027721221
29/01/2014,35.22,0.002843334
28/01/2014,35.12,0.017231903
27/01/2014,34.52,-0.003758859
24/01/2014,34.65,-0.012903405
23/01/2014,35.1,-0.005681833
22/01/2014,35.3,-0.001698274
21/01/2014,35.36,0.007665048
17/01/2014,35.09,0.000285022
16/01/2014,35.08,0.016092301
15/01/2014,34.52,-0.004335893
14/01/2014,34.67,0.003177816
13/01/2014,34.56,-0.018065007
10/01/2014,35.19,0.012294651
09/01/2014,34.76,-0.004019529
08/01/2014,34.9,-0.016764137
07/01/2014,35.49,0.003952574
06/01/2014,35.35,0.004820653
03/01/2014,35.18,0.000568666
02/01/2014,35.16,-0.012998205
31/12/2013,35.62,0.01328266
30/12/2013,35.15,0.006564887
27/12/2013,34.92,0.002580647
26/12/2013,34.83,0.010389704
24/12/2013,34.47,0
23/12/2013,34.47,0.009034012
20/12/2013,34.16,0.007935383
19/12/2013,33.89,0.008296344
18/12/2013,33.61,0.01831608
17/12/2013,33,-0.006042314
16/12/2013,33.2,-0.000602228
13/12/2013,33.22,-0.003905668
12/12/2013,33.35,0.006618556
11/12/2013,33.13,-0.009911479
10/12/2013,33.46,-0.020704673
09/12/2013,34.16,0.005283253
06/12/2013,33.98,0.021116026
05/12/2013,33.27,-0.003300828
04/12/2013,33.38,-0.008353271
03/12/2013,33.66,0.006856488
02/12/2013,33.43,-0.003583163
29/11/2013,33.55,-0.00357037
27/11/2013,33.67,-0.006512752
26/11/2013,33.89,-0.005297246
25/11/2013,34.07,0.000293556
22/11/2013,34.06,0.007958775
21/11/2013,33.79,0.004746375
20/11/2013,33.63,-0.010647838
19/11/2013,33.99,-0.004696222
18/11/2013,34.15,-0.005548269
15/11/2013,34.34,0.007893624
14/11/2013,34.07,-0.000880153
13/11/2013,34.1,-0.002343293
12/11/2013,34.18,0.002636592
11/11/2013,34.09,-0.000879636
08/11/2013,34.12,0.002641234
07/11/2013,34.03,-0.027533981
06/11/2013,34.98,-0.006553664
05/11/2013,35.21,-0.004816556
04/11/2013,35.38,-0.000565131
01/11/2013,35.4,-0.004790766
31/10/2013,35.57,0.00056243
30/10/2013,35.55,-0.008403411
29/10/2013,35.85,0.005874964
28/10/2013,35.64,-0.008660482
25/10/2013,35.95,0.006698323
24/10/2013,35.71,0.008718941
23/10/2013,35.4,-0.016807118
22/10/2013,36,0.011173301
21/10/2013,35.6,0.008179428
18/10/2013,35.31,0.008818148
17/10/2013,35,0.003147806
16/10/2013,34.89,0.014434431
15/10/2013,34.39,-0.006087858
14/10/2013,34.6,-0.00691247
11/10/2013,34.84,0.013000328
10/10/2013,34.39,0.012288042
