Date,Close,VRSN
04/04/2014,50.73,-0.016810404
03/04/2014,51.59,-0.023751356
02/04/2014,52.83,-0.020978481
01/04/2014,53.95,0.000741702
31/03/2014,53.91,0.007821269
28/03/2014,53.49,0.003183225
27/03/2014,53.32,0.001125915
26/03/2014,53.26,0.014562905
25/03/2014,52.49,0.005157112
24/03/2014,52.22,-0.010666768
21/03/2014,52.78,0.007034918
20/03/2014,52.41,-0.005518043
19/03/2014,52.7,0.005518043
18/03/2014,52.41,0.014026553
17/03/2014,51.68,-0.059531327
14/03/2014,54.85,0.009157573
13/03/2014,54.35,-0.004589269
12/03/2014,54.6,-0.002012625
11/03/2014,54.71,-0.008010238
10/03/2014,55.15,-0.013149789
07/03/2014,55.88,-0.005176272
06/03/2014,56.17,-0.000889759
05/03/2014,56.22,0
04/03/2014,56.22,0.018490788
03/03/2014,55.19,0.00145059
28/02/2014,55.11,-0.002175096
27/02/2014,55.23,0.003627793
26/02/2014,55.03,-0.000181703
25/02/2014,55.04,0.00583092
24/02/2014,54.72,-0.004922077
21/02/2014,54.99,-0.012828796
20/02/2014,55.7,0.008292818
19/02/2014,55.24,-0.004875856
18/02/2014,55.51,0.017995578
14/02/2014,54.52,0.001835873
13/02/2014,54.42,0.006267302
12/02/2014,54.08,0.0022214
11/02/2014,53.96,0.001669295
10/02/2014,53.87,0.02233786
07/02/2014,52.68,-0.050704663
06/02/2014,55.42,-0.001802777
05/02/2014,55.52,-0.010392496
04/02/2014,56.1,-0.00320342
03/02/2014,56.28,-0.042951921
31/01/2014,58.75,-0.011676247
30/01/2014,59.44,0.007260479
29/01/2014,59.01,-0.009948653
28/01/2014,59.6,0.003698105
27/01/2014,59.38,-0.016534823
24/01/2014,60.37,-0.034194149
23/01/2014,62.47,0.004170683
22/01/2014,62.21,0.004026743
21/01/2014,61.96,0.0011304
17/01/2014,61.89,0.004372123
16/01/2014,61.62,-0.015938517
15/01/2014,62.61,0.017400149
14/01/2014,61.53,0.019695368
13/01/2014,60.33,-0.018557064
10/01/2014,61.46,0.007840615
09/01/2014,60.98,-0.004254629
08/01/2014,61.24,0.001634254
07/01/2014,61.14,0.027862499
06/01/2014,59.46,-0.006370516
03/01/2014,59.84,-0.003003506
02/01/2014,60.02,0.004006683
