Date,Close,JCI
04/04/2014,47.63,-0.017688527
03/04/2014,48.48,-0.012911338
02/04/2014,49.11,0.018496212
01/04/2014,48.21,0.018633429
31/03/2014,47.32,0.016406035
28/03/2014,46.55,0.018866438
27/03/2014,45.68,0.00109517
26/03/2014,45.63,-0.00306346
25/03/2014,45.77,-0.008701382
24/03/2014,46.17,-0.018030109
21/03/2014,47.01,0.000638366
20/03/2014,46.98,0.008550715
19/03/2014,46.58,-0.007698926
18/03/2014,46.94,0.007698926
17/03/2014,46.58,0.016668857
14/03/2014,45.81,0.005472269
13/03/2014,45.56,-0.028561007
12/03/2014,46.88,-0.007226386
11/03/2014,47.22,-0.028600217
10/03/2014,48.59,-0.007994303
07/03/2014,48.98,0.003476842
06/03/2014,48.81,-0.000614439
05/03/2014,48.84,-0.008562743
04/03/2014,49.26,0.013283122
03/03/2014,48.61,-0.016121153
28/02/2014,49.4,-0.005450705
27/02/2014,49.67,-0.004619874
26/02/2014,49.9,0.003613736
25/02/2014,49.72,0
24/02/2014,49.72,0
21/02/2014,49.72,-0.002811811
20/02/2014,49.86,0.011294997
19/02/2014,49.3,0.000608704
18/02/2014,49.27,0.005495078
14/02/2014,49,0.001020929
13/02/2014,48.95,0.012953815
12/02/2014,48.32,0.022181282
11/02/2014,47.26,0.01771847
10/02/2014,46.43,-0.005155758
07/02/2014,46.67,0.020128371
06/02/2014,45.74,0.02456691
05/02/2014,44.63,-0.002685166
04/02/2014,44.75,0.015766092
03/02/2014,44.05,-0.045921343
31/01/2014,46.12,-0.017197328
30/01/2014,46.92,0.013086103
29/01/2014,46.31,-0.021786423
28/01/2014,47.33,0.001903353
27/01/2014,47.24,-0.020325477
24/01/2014,48.21,-0.022357613
23/01/2014,49.3,-0.044822097
22/01/2014,51.56,0.000193968
21/01/2014,51.55,0.009550799
17/01/2014,51.06,-0.00449439
16/01/2014,51.29,-0.0019478
15/01/2014,51.39,-0.010260471
14/01/2014,51.92,0.014159872
13/01/2014,51.19,-0.007783655
10/01/2014,51.59,0.006417134
09/01/2014,51.26,0.00136652
08/01/2014,51.19,0.011395015
07/01/2014,50.61,0.005945321
06/01/2014,50.31,-0.004165433
03/01/2014,50.52,-0.005133279
02/01/2014,50.78,-0.010188176
31/12/2013,51.3,0.008024312
30/12/2013,50.89,0.004529796
27/12/2013,50.66,-0.007864767
26/12/2013,51.06,0.000587717
24/12/2013,51.03,0.005108066
23/12/2013,50.77,0.009101764
20/12/2013,50.31,0.002985968
19/12/2013,50.16,-0.023252279
18/12/2013,51.34,0.000389636
17/12/2013,51.32,0.00723578
16/12/2013,50.95,0.018821754
13/12/2013,50,0.00020002
12/12/2013,49.99,-0.003394911
11/12/2013,50.16,-0.025392566
10/12/2013,51.45,0.010551094
09/12/2013,50.91,0.0098698
06/12/2013,50.41,0.009567544
05/12/2013,49.93,0.000601022
04/12/2013,49.9,0.000400882
03/12/2013,49.88,-0.002602865
02/12/2013,50.01,-0.009948351
29/11/2013,50.51,0.000990393
27/11/2013,50.46,0.005763705
26/11/2013,50.17,-0.004177032
25/11/2013,50.38,-0.005937085
22/11/2013,50.68,0.006532736
21/11/2013,50.35,0.043224746
20/11/2013,48.22,-0.003105914
19/11/2013,48.37,-0.018232606
18/11/2013,49.26,-0.003849665
15/11/2013,49.45,0.007714208
14/11/2013,49.07,0.011065687
13/11/2013,48.53,0.010981153
12/11/2013,48,0.0104713
11/11/2013,47.5,-0.003362761
08/11/2013,47.66,0.035016387
07/11/2013,46.02,-0.012953549
06/11/2013,46.62,0.005592615
05/11/2013,46.36,-0.004089985
04/11/2013,46.55,0.013190806
01/11/2013,45.94,-0.004560764
31/10/2013,46.15,0.024123977
30/10/2013,45.05,0
29/10/2013,45.05,0.050767701
28/10/2013,42.82,-0.004427364
25/10/2013,43.01,0.000465116
24/10/2013,42.99,0.004429428
23/10/2013,42.8,-0.010690318
22/10/2013,43.26,0.005563297
21/10/2013,43.02,-0.002089865
18/10/2013,43.11,0.010962209
17/10/2013,42.64,0.011558095
16/10/2013,42.15,0.010733556
15/10/2013,41.7,-0.013813032
14/10/2013,42.28,0.00426642
11/10/2013,42.1,0.011947573
10/10/2013,41.6,0.034730808
09/10/2013,40.18,0.007243693
08/10/2013,39.89,-0.021084745
07/10/2013,40.74,-0.009770473
04/10/2013,41.14,0.001702956
03/10/2013,41.07,-0.009692346
02/10/2013,41.47,0.000241167
01/10/2013,41.46,-0.00096432
30/09/2013,41.5,-0.024516282
27/09/2013,42.53,-0.010757821
26/09/2013,42.99,0.001396648
25/09/2013,42.93,-0.001164009
24/09/2013,42.98,0.010995549
23/09/2013,42.51,-0.003756755
20/09/2013,42.67,-0.006540551
19/09/2013,42.95,-0.002557844
18/09/2013,43.06,0.006523788
17/09/2013,42.78,0.001169454
16/09/2013,42.73,0.013192182
13/09/2013,42.17,-0.003786987
12/09/2013,42.33,-0.009639195
11/09/2013,42.74,0.005160696
10/09/2013,42.52,0.020433118
09/09/2013,41.66,0.015481683
06/09/2013,41.02,-0.008496228
05/09/2013,41.37,-0.000483325
04/09/2013,41.39,0.016074384
03/09/2013,40.73,0.004922481
30/08/2013,40.53,-0.007864381
29/08/2013,40.85,0.009345862
28/08/2013,40.47,0.008935279
27/08/2013,40.11,-0.038155766
26/08/2013,41.67,0.000960384
23/08/2013,41.63,0.00674864
22/08/2013,41.35,0.018797087
21/08/2013,40.58,0.001726477
20/08/2013,40.51,0.008677382
19/08/2013,40.16,-0.009417666
16/08/2013,40.54,-0.00344743
15/08/2013,40.68,-0.027877214
14/08/2013,41.83,0.008402402
13/08/2013,41.48,0.000723502
12/08/2013,41.45,0.000482625
09/08/2013,41.43,0.010189317
08/08/2013,41.01,0.023936985
