Date,Close,EQT
04/04/2014,103.2,0.000484614
03/04/2014,103.15,0.01819655
02/04/2014,101.29,0.026409457
01/04/2014,98.65,0.01717658
31/03/2014,96.97,-0.015959418
28/03/2014,98.53,0.017300938
27/03/2014,96.84,0.016135259
26/03/2014,95.29,-0.039002731
25/03/2014,99.08,-0.033740053
24/03/2014,102.48,-0.007872908
21/03/2014,103.29,-0.001064396
20/03/2014,103.4,0.002517673
19/03/2014,103.14,-0.011184073
18/03/2014,104.3,0.012445291
17/03/2014,103.01,0.006427759
14/03/2014,102.35,0.013673913
13/03/2014,100.96,0.001982947
12/03/2014,100.76,0.00099295
11/03/2014,100.66,-0.011261603
10/03/2014,101.8,0.011360952
07/03/2014,100.65,0.004680584
06/03/2014,100.18,-0.002193639
05/03/2014,100.4,-0.015516445
04/03/2014,101.97,0.012334263
03/03/2014,100.72,-0.015467527
28/02/2014,102.29,0.011108495
27/02/2014,101.16,0.010733556
26/02/2014,100.08,-0.01162284
25/02/2014,101.25,-0.005319161
24/02/2014,101.79,0.00967431
21/02/2014,100.81,0.007767416
20/02/2014,100.03,0.00019996
19/02/2014,100.01,-0.002197364
18/02/2014,100.23,0.025873096
14/02/2014,97.67,0.021003307
13/02/2014,95.64,0.003876177
12/02/2014,95.27,-0.004816763
11/02/2014,95.73,0.01367291
10/02/2014,94.43,0.001907993
07/02/2014,94.25,0.000424493
06/02/2014,94.21,0.001062022
05/02/2014,94.11,-0.016022267
04/02/2014,95.63,0.037285955
03/02/2014,92.13,-0.007353769
31/01/2014,92.81,0.030744722
30/01/2014,90,-0.002884724
29/01/2014,90.26,-0.009153634
28/01/2014,91.09,0.019062973
27/01/2014,89.37,-0.014772302
24/01/2014,90.7,-0.012817177
23/01/2014,91.87,-0.004019342
22/01/2014,92.24,0.018270844
21/01/2014,90.57,0.03311375
17/01/2014,87.62,-0.016413295
16/01/2014,89.07,0.022595341
15/01/2014,87.08,0.007261024
14/01/2014,86.45,0.024591403
13/01/2014,84.35,-0.019605018
10/01/2014,86.02,0.000232531
09/01/2014,86,-0.027750892
08/01/2014,88.42,0.006467374
07/01/2014,87.85,0.000683216
06/01/2014,87.79,0.002394938
03/01/2014,87.58,-0.013045389
02/01/2014,88.73,-0.011764183
31/12/2013,89.78,0
30/12/2013,89.78,-0.004888899
27/12/2013,90.22,-0.00077558
26/12/2013,90.29,-0.000332208
24/12/2013,90.32,0.008673467
23/12/2013,89.54,0.009087402
20/12/2013,88.73,0.01659129
19/12/2013,87.27,0.030599793
18/12/2013,84.64,-0.01407813
17/12/2013,85.84,-0.015260412
16/12/2013,87.16,-0.005035488
13/12/2013,87.6,0.005035488
12/12/2013,87.16,0.008294978
11/12/2013,86.44,-0.019022001
10/12/2013,88.1,0.004892767
09/12/2013,87.67,0.02307706
06/12/2013,85.67,-0.004077121
05/12/2013,86.02,0.029493703
04/12/2013,83.52,0.001557726
03/12/2013,83.39,-0.014524065
02/12/2013,84.61,-0.005892075
29/11/2013,85.11,-0.007491549
27/11/2013,85.75,-0.012285736
26/11/2013,86.81,-0.008259769
25/11/2013,87.53,-0.00137002
22/11/2013,87.65,-0.000228154
21/11/2013,87.67,0.031163831
20/11/2013,84.98,0.01076615
19/11/2013,84.07,0.000237925
18/11/2013,84.05,-0.012532678
15/11/2013,85.11,-0.001291611
14/11/2013,85.22,0.004469018
13/11/2013,84.84,0.003778937
12/11/2013,84.52,0.014539644
11/11/2013,83.3,-0.000959923
08/11/2013,83.38,0.028465613
07/11/2013,81.04,-0.023897748
06/11/2013,83,-0.017674212
05/11/2013,84.48,-0.018994591
04/11/2013,86.1,0.007110001
01/11/2013,85.49,-0.001402689
31/10/2013,85.61,-0.008838295
30/10/2013,86.37,-0.012083696
29/10/2013,87.42,-0.000686106
28/10/2013,87.48,-0.003651305
25/10/2013,87.8,0.009613258
24/10/2013,86.96,-0.012115819
23/10/2013,88.02,-0.008146685
22/10/2013,88.74,-0.006066753
21/10/2013,89.28,-0.003801011
18/10/2013,89.62,0.000669718
17/10/2013,89.56,-0.013309868
16/10/2013,90.76,0.020256675
15/10/2013,88.94,-0.009066042
14/10/2013,89.75,0.008953613
11/10/2013,88.95,0.001462564
10/10/2013,88.82,0.02335091
09/10/2013,86.77,0.017907455
08/10/2013,85.23,-0.008993812
07/10/2013,86,-0.018091177
