Date,Close,FDX
04/04/2014,134.35,-0.0070462
03/04/2014,135.3,0.003999117
02/04/2014,134.76,0.00483506
01/04/2014,134.11,0.011624986
31/03/2014,132.56,0.004157696
28/03/2014,132.01,-0.000757232
27/03/2014,132.11,-7.56916E-05
26/03/2014,132.12,-0.015322517
25/03/2014,134.16,-0.005871222
24/03/2014,134.95,-0.013542564
21/03/2014,136.79,0.002122288
20/03/2014,136.5,-0.013678909
19/03/2014,138.38,-0.001372089
18/03/2014,138.57,0.007170047
17/03/2014,137.58,0.005978001
14/03/2014,136.76,0.000585138
13/03/2014,136.68,-0.00808836
12/03/2014,137.79,0.00363531
11/03/2014,137.29,-0.004143201
10/03/2014,137.86,0.003123981
07/03/2014,137.43,0.00101922
06/03/2014,137.29,0.002771701
05/03/2014,136.91,-0.001313869
04/03/2014,137.09,0.027435447
03/03/2014,133.38,0.000374939
28/02/2014,133.33,-0.001648681
27/02/2014,133.55,0.008874908
26/02/2014,132.37,-0.003544365
25/02/2014,132.84,-0.015165955
24/02/2014,134.87,-0.000222412
21/02/2014,134.9,0.014259826
20/02/2014,132.99,0.012408421
19/02/2014,131.35,-0.010903417
18/02/2014,132.79,-0.008473674
14/02/2014,133.92,0.006367301
13/02/2014,133.07,0.000526177
12/02/2014,133,-0.001127184
11/02/2014,133.15,0.024865365
10/02/2014,129.88,-0.014371139
07/02/2014,131.76,0.007006883
06/02/2014,130.84,0.006671548
05/02/2014,129.97,-0.003456357
04/02/2014,130.42,0.007542559
03/02/2014,129.44,-0.0295348
31/01/2014,133.32,-0.003369654
30/01/2014,133.77,0.014456995
29/01/2014,131.85,-0.018708987
28/01/2014,134.34,0.017950837
27/01/2014,131.95,-0.019735755
24/01/2014,134.58,-0.041196423
23/01/2014,140.24,-0.014582264
22/01/2014,142.3,0.001054667
21/01/2014,142.15,0.011604177
17/01/2014,140.51,-0.009209473
16/01/2014,141.81,-0.005204682
15/01/2014,142.55,-0.001051709
14/01/2014,142.7,0.015608213
13/01/2014,140.49,-0.015117553
10/01/2014,142.63,0.007883479
09/01/2014,141.51,0.008088592
08/01/2014,140.37,-0.00192164
07/01/2014,140.64,0.013745921
06/01/2014,138.72,-0.009541989
03/01/2014,140.05,0.002001287
02/01/2014,139.77,-0.028216586
31/12/2013,143.77,0.005020581
30/12/2013,143.05,-0.002652892
27/12/2013,143.43,0.000906776
26/12/2013,143.3,0.009113277
24/12/2013,142,-0.001337134
23/12/2013,142.19,-0.003650408
20/12/2013,142.71,0.021388917
19/12/2013,139.69,-0.000214738
18/12/2013,139.72,0.004519214
17/12/2013,139.09,-0.005449214
16/12/2013,139.85,0.014041635
13/12/2013,137.9,0.011377019
12/12/2013,136.34,-0.001246106
11/12/2013,136.51,-0.014400249
10/12/2013,138.49,-0.009486237
09/12/2013,139.81,0.003008598
06/12/2013,139.39,0.008429141
05/12/2013,138.22,-0.003538804
04/12/2013,138.71,0.004841925
03/12/2013,138.04,-0.015597801
02/12/2013,140.21,0.010827971
29/11/2013,138.7,-0.008328595
27/11/2013,139.86,0.014765997
26/11/2013,137.81,0.004290448
25/11/2013,137.22,0.001093733
22/11/2013,137.07,-0.00951178
21/11/2013,138.38,0.027844706
20/11/2013,134.58,0.004319018
19/11/2013,134,-0.023162502
18/11/2013,137.14,-0.01095047
15/11/2013,138.65,0.016067815
14/11/2013,136.44,0.008464335
13/11/2013,135.29,0.004890348
12/11/2013,134.63,0.015796698
11/11/2013,132.52,-0.00037723
08/11/2013,132.57,0.015354513
07/11/2013,130.55,-0.016862013
06/11/2013,132.77,-0.025726326
05/11/2013,136.23,0.008181361
04/11/2013,135.12,0.003484453
01/11/2013,134.65,0.027481496
31/10/2013,131,-0.013722212
30/10/2013,132.81,-0.002481671
29/10/2013,133.14,0.004592171
28/10/2013,132.53,0.00355267
25/10/2013,132.06,0.003717335
24/10/2013,131.57,0.013390154
23/10/2013,129.82,0.001001888
22/10/2013,129.69,0.017736754
21/10/2013,127.41,0.007642346
18/10/2013,126.44,0.009935304
17/10/2013,125.19,0.015536638
16/10/2013,123.26,0.026137758
15/10/2013,120.08,0.040013832
14/10/2013,115.37,-0.004324518
11/10/2013,115.87,0.007015142
10/10/2013,115.06,0.021789651
09/10/2013,112.58,0.004451178
08/10/2013,112.08,-0.014262544
07/10/2013,113.69,-0.009106096
04/10/2013,114.73,0.010338273
03/10/2013,113.55,-0.015120683
02/10/2013,115.28,0.000173506
01/10/2013,115.26,0.010027551
30/09/2013,114.11,0.002984029
27/09/2013,113.77,0.001847535
26/09/2013,113.56,-8.80553E-05
25/09/2013,113.57,-0.01007499
24/09/2013,114.72,-0.001654836
23/09/2013,114.91,-0.016570673
20/09/2013,116.83,0
19/09/2013,116.83,0.004976842
18/09/2013,116.25,0.04909989
17/09/2013,110.68,0.010079541
16/09/2013,109.57,0.021494301
13/09/2013,107.24,-0.01066652
12/09/2013,108.39,-0.01701468
11/09/2013,110.25,-0.003079155
10/09/2013,110.59,0.013564776
09/09/2013,109.1,0.008653281
06/09/2013,108.16,-0.00819488
05/09/2013,109.05,0.013292912
04/09/2013,107.61,9.29325E-05
03/09/2013,107.6,0.002232975
30/08/2013,107.36,-0.011299555
29/08/2013,108.58,0.000737055
28/08/2013,108.5,0.000460936
27/08/2013,108.45,-0.032566713
26/08/2013,112.04,0.012122449
23/08/2013,110.69,0.000723
22/08/2013,110.61,0.023231336
21/08/2013,108.07,-0.010493469
20/08/2013,109.21,0.004956867
19/08/2013,108.67,-9.20175E-05
16/08/2013,108.68,0.005906256
15/08/2013,108.04,-0.005446084
14/08/2013,108.63,0.000184128
13/08/2013,108.61,-0.003951303
12/08/2013,109.04,0.007548595
09/08/2013,108.22,-0.007915366
08/08/2013,109.08,0.010135533
07/08/2013,107.98,-0.007289536
06/08/2013,108.77,-0.005958128
05/08/2013,109.42,0.002470606
02/08/2013,109.15,-0.007757283
01/08/2013,110,0.037041272
31/07/2013,106,0.023287939
30/07/2013,103.56,0.001642909
29/07/2013,103.39,-0.011444083
26/07/2013,104.58,-0.002769159
25/07/2013,104.87,-0.00958489
24/07/2013,105.88,-0.008557912
23/07/2013,106.79,-0.00894944
22/07/2013,107.75,-0.002595237
