Date,Close,ROP
04/04/2014,134.99,-0.013830869
03/04/2014,136.87,0.002706956
02/04/2014,136.5,0.014091494
01/04/2014,134.59,0.008056739
31/03/2014,133.51,0.005482758
28/03/2014,132.78,0.002261933
27/03/2014,132.48,-0.00534499
26/03/2014,133.19,-0.012163875
25/03/2014,134.82,0.004460311
24/03/2014,134.22,-0.003644075
21/03/2014,134.71,-0.002372656
20/03/2014,135.03,-0.00236704
19/03/2014,135.35,-0.011678858
18/03/2014,136.94,0.002266331
17/03/2014,136.63,0.018914491
14/03/2014,134.07,0.001044776
13/03/2014,133.93,-0.001119361
12/03/2014,134.08,-0.00111811
11/03/2014,134.23,-0.02086404
10/03/2014,137.06,-0.017645815
07/03/2014,139.5,0.006039708
06/03/2014,138.66,0.012043968
05/03/2014,137,0.004975863
04/03/2014,136.32,0.012029221
03/03/2014,134.69,-0.006881016
28/02/2014,135.62,0.007475149
27/02/2014,134.61,-0.002744911
26/02/2014,134.98,-0.002367916
25/02/2014,135.3,-7.39071E-05
24/02/2014,135.31,0.002886432
21/02/2014,134.92,-0.00458479
20/02/2014,135.54,0.003621719
19/02/2014,135.05,-0.006200655
18/02/2014,135.89,-0.007185835
14/02/2014,136.87,0.002780218
13/02/2014,136.49,0.011421117
12/02/2014,134.94,0.009830285
11/02/2014,133.62,0.004650822
10/02/2014,133,-0.006744124
07/02/2014,133.9,0.008474945
06/02/2014,132.77,0.00642263
05/02/2014,131.92,-0.000530484
04/02/2014,131.99,0.00144054
03/02/2014,131.8,-0.040445596
31/01/2014,137.24,-0.00385441
30/01/2014,137.77,0.011608088
29/01/2014,136.18,-0.011317707
28/01/2014,137.73,0.016988034
27/01/2014,135.41,-0.001918254
24/01/2014,135.67,-0.024248467
23/01/2014,139,-0.01810843
22/01/2014,141.54,-0.002681156
21/01/2014,141.92,0.013335422
17/01/2014,140.04,-0.005838393
16/01/2014,140.86,0.002060904
15/01/2014,140.57,0.006566293
14/01/2014,139.65,0.012030545
13/01/2014,137.98,-0.010095269
10/01/2014,139.38,-0.001147283
09/01/2014,139.54,0.008853756
08/01/2014,138.31,0.002751233
07/01/2014,137.93,0.001959433
06/01/2014,137.66,-0.004132088
03/01/2014,138.23,0.001085737
02/01/2014,138.08,-0.004335893
31/12/2013,138.68,0.000865676
30/12/2013,138.56,0.000938662
27/12/2013,138.43,0.002386722
26/12/2013,138.1,0.007997135
24/12/2013,137,0.001534023
23/12/2013,136.79,0.01013969
20/12/2013,135.41,0.010915275
19/12/2013,133.94,0.004189741
18/12/2013,133.38,0.012675588
17/12/2013,131.7,-0.00265403
16/12/2013,132.05,0.016415715
13/12/2013,129.9,0.00331573
12/12/2013,129.47,-7.7235E-05
11/12/2013,129.48,-0.001466333
10/12/2013,129.67,-0.00369487
09/12/2013,130.15,0.006243035
06/12/2013,129.34,0.017234411
05/12/2013,127.13,-0.003455049
04/12/2013,127.57,-0.004926311
03/12/2013,128.2,-0.012788394
02/12/2013,129.85,0.001155847
29/11/2013,129.7,-0.002310359
27/11/2013,130,0.002541689
26/11/2013,129.67,0.005102841
25/11/2013,129.01,0.000542741
22/11/2013,128.94,0.005911654
21/11/2013,128.18,0.012245051
20/11/2013,126.62,0.007451481
19/11/2013,125.68,-0.005079376
18/11/2013,126.32,-0.005289973
15/11/2013,126.99,0.004103217
14/11/2013,126.47,0.001661853
13/11/2013,126.26,0.005002194
12/11/2013,125.63,-0.005793897
11/11/2013,126.36,0.003408779
08/11/2013,125.93,0.0189184
07/11/2013,123.57,-0.020426038
