Date,Close,MJN
04/04/2014,85.11,-0.017932479
03/04/2014,86.65,0.005438884
02/04/2014,86.18,0.008389702
01/04/2014,85.46,0.027522496
31/03/2014,83.14,0.001685326
28/03/2014,83,-0.001685326
27/03/2014,83.14,0.001805815
26/03/2014,82.99,0.010782102
25/03/2014,82.1,0.008562743
24/03/2014,81.4,-0.008440933
21/03/2014,82.09,-0.002554901
20/03/2014,82.3,0.00768437
19/03/2014,81.67,-0.016996888
18/03/2014,83.07,0.001927944
17/03/2014,82.91,0.00860038
14/03/2014,82.2,-0.006306109
13/03/2014,82.72,-0.009744438
12/03/2014,83.53,0.00648573
11/03/2014,82.99,-0.002166587
10/03/2014,83.17,-0.000120228
07/03/2014,83.18,0.001684515
06/03/2014,83.04,0.001204965
05/03/2014,82.94,-0.013413375
04/03/2014,84.06,0.018611331
03/03/2014,82.51,0.011703169
28/02/2014,81.55,-0.000858001
27/02/2014,81.62,0.010964077
26/02/2014,80.73,-0.009247338
25/02/2014,81.48,0.006402386
24/02/2014,80.96,0.000741381
21/02/2014,80.9,0.002103571
20/02/2014,80.73,0.026356947
19/02/2014,78.63,0.01770639
18/02/2014,77.25,-0.005422167
14/02/2014,77.67,-0.007184123
13/02/2014,78.23,0.004355631
12/02/2014,77.89,-0.002948531
11/02/2014,78.12,0.005905782
10/02/2014,77.66,0.022265095
07/02/2014,75.95,0
06/02/2014,75.95,0.030615318
05/02/2014,73.66,-0.015758963
04/02/2014,74.83,-0.008251311
03/02/2014,75.45,-0.018905644
31/01/2014,76.89,-0.031744634
30/01/2014,79.37,0.019979032
29/01/2014,77.8,-0.026258882
28/01/2014,79.87,0.026001845
27/01/2014,77.82,-0.006021413
24/01/2014,78.29,-0.028954691
23/01/2014,80.59,-0.028139855
22/01/2014,82.89,0.007386363
21/01/2014,82.28,0
17/01/2014,82.28,-0.012920544
16/01/2014,83.35,-0.001678255
15/01/2014,83.49,-0.005494519
14/01/2014,83.95,0.012586321
13/01/2014,82.9,-0.011155877
10/01/2014,83.83,-0.004760214
09/01/2014,84.23,-0.000356104
08/01/2014,84.26,0.003090458
07/01/2014,84,0.011976191
06/01/2014,83,-0.005287203
03/01/2014,83.44,0.003241105
02/01/2014,83.17,-0.007068861
31/12/2013,83.76,0.007910865
30/12/2013,83.1,0.001806685
27/12/2013,82.95,-0.004810593
26/12/2013,83.35,0.000239981
24/12/2013,83.33,0.002523282
23/12/2013,83.12,0.002770919
20/12/2013,82.89,-0.005534182
19/12/2013,83.35,-0.006815355
18/12/2013,83.92,0.011143845
17/12/2013,82.99,0.000602664
16/12/2013,82.94,-0.002649008
13/12/2013,83.16,-0.009454921
12/12/2013,83.95,-0.012429873
11/12/2013,85,0
10/12/2013,85,-0.005748154
09/12/2013,85.49,-0.001052201
06/12/2013,85.58,0.005859621
05/12/2013,85.08,-0.002113421
04/12/2013,85.26,0.000234604
03/12/2013,85.24,0.008009466
02/12/2013,84.56,0.000591471
29/11/2013,84.51,-0.003307741
27/11/2013,84.79,0.000707881
26/11/2013,84.73,0.009486612
25/11/2013,83.93,-0.001904536
22/11/2013,84.09,0.004648676
21/11/2013,83.7,0.007555352
20/11/2013,83.07,0.000843018
19/11/2013,83,0.003741932
18/11/2013,82.69,-0.025786316
15/11/2013,84.85,0.047918417
14/11/2013,80.88,0.001237165
13/11/2013,80.78,0.009077971
12/11/2013,80.05,0.000999875
11/11/2013,79.97,-0.006357142
08/11/2013,80.48,0.006857455
07/11/2013,79.93,-0.025689939
