Date,Close,COH
04/04/2014,49.56,-0.010038229
03/04/2014,50.06,-0.001397345
02/04/2014,50.13,0.009621241
01/04/2014,49.65,-0.00020139
31/03/2014,49.66,-0.000201349
28/03/2014,49.67,0.006463363
27/03/2014,49.35,0.004875086
26/03/2014,49.11,-0.00790999
25/03/2014,49.5,-0.005841491
24/03/2014,49.79,-0.008997362
21/03/2014,50.24,0.004988537
20/03/2014,49.99,-0.005187562
19/03/2014,50.25,0.000398089
18/03/2014,50.23,0.015852645
17/03/2014,49.44,0.006697133
14/03/2014,49.11,0.018911149
13/03/2014,48.19,-0.017280825
12/03/2014,49.03,-0.002851326
11/03/2014,49.17,0.004892976
10/03/2014,48.93,0.00225064
07/03/2014,48.82,0.00988069
06/03/2014,48.34,0.00476932
05/03/2014,48.11,-0.006216348
04/03/2014,48.41,0.006840114
03/03/2014,48.08,-0.01506892
28/02/2014,48.81,-0.000204855
27/02/2014,48.82,0.00740135
26/02/2014,48.46,0.003928466
25/02/2014,48.27,0.006651448
24/02/2014,47.95,0.006276171
21/02/2014,47.65,0.000209886
20/02/2014,47.64,-0.004189365
19/02/2014,47.84,-0.006043574
18/02/2014,48.13,0.001039393
14/02/2014,48.08,0.003750786
13/02/2014,47.9,0.020245314
12/02/2014,46.94,-0.008485414
11/02/2014,47.34,0.002961711
10/02/2014,47.2,-0.007598179
07/02/2014,47.56,0.024261671
06/02/2014,46.42,0.021998056
05/02/2014,45.41,-0.00483305
04/02/2014,45.63,-0.018886918
03/02/2014,46.5,-0.029454402
31/01/2014,47.89,-0.008317786
30/01/2014,48.29,0.007482887
29/01/2014,47.93,-0.0179887
28/01/2014,48.8,0.010298752
27/01/2014,48.3,-0.010503649
24/01/2014,48.81,-0.011002556
23/01/2014,49.35,-0.000607718
22/01/2014,49.38,-0.062219613
21/01/2014,52.55,-0.000190277
17/01/2014,52.56,-0.001330925
16/01/2014,52.63,-0.028102261
15/01/2014,54.13,0.004629209
14/01/2014,53.88,-0.007764875
13/01/2014,54.3,-0.032255016
10/01/2014,56.08,0.007697165
09/01/2014,55.65,-0.001077586
08/01/2014,55.71,-0.011954822
07/01/2014,56.38,0.009265925
06/01/2014,55.86,-0.006779687
03/01/2014,56.24,0.005884992
02/01/2014,55.91,-0.003927174
31/12/2013,56.13,-0.004621409
30/12/2013,56.39,0.002130304
27/12/2013,56.27,-0.005317276
26/12/2013,56.57,0.002477877
24/12/2013,56.43,0.005686882
23/12/2013,56.11,0.000891504
20/12/2013,56.06,0.011301582
19/12/2013,55.43,-0.005218185
18/12/2013,55.72,0.00756624
17/12/2013,55.3,-0.000361598
16/12/2013,55.32,-0.003248514
13/12/2013,55.5,-0.000360295
12/12/2013,55.52,0.001081276
11/12/2013,55.46,-0.012364641
10/12/2013,56.15,0.001604135
09/12/2013,56.06,0.007879697
06/12/2013,55.62,-0.0017963
05/12/2013,55.72,-0.013370375
04/12/2013,56.47,-0.003182464
03/12/2013,56.65,0.001943635
02/12/2013,56.54,-0.023769032
29/11/2013,57.9,0.013388012
27/11/2013,57.13,0.013569686
26/11/2013,56.36,0.032458673
25/11/2013,54.56,0.006251169
22/11/2013,54.22,0.004621507
21/11/2013,53.97,0.009681699
20/11/2013,53.45,-0.009311054
19/11/2013,53.95,-0.001481756
18/11/2013,54.03,-0.002033836
15/11/2013,54.14,0.009091815
14/11/2013,53.65,0.006357538
13/11/2013,53.31,0.015691786
12/11/2013,52.48,0.008611669
11/11/2013,52.03,0.004237294
08/11/2013,51.81,0.002512321
07/11/2013,51.68,-0.012116698
06/11/2013,52.31,0.010376726
05/11/2013,51.77,0.013809419
04/11/2013,51.06,0.01261349
01/11/2013,50.42,-0.005143434
31/10/2013,50.68,-0.002955376
30/10/2013,50.83,0.001378089
29/10/2013,50.76,0.011492102
28/10/2013,50.18,0.005795959
25/10/2013,49.89,0.016165234
24/10/2013,49.09,0.011061153
23/10/2013,48.55,-0.031426813
22/10/2013,50.1,-0.078290829
21/10/2013,54.18,0.0057381
18/10/2013,53.87,-0.004999547
17/10/2013,54.14,0.003515592
16/10/2013,53.95,0.005949079
15/10/2013,53.63,-0.00909519
14/10/2013,54.12,-0.008646912
11/10/2013,54.59,0.007354326
10/10/2013,54.19,0.006108302
09/10/2013,53.86,0.005025604
08/10/2013,53.59,-0.01481783
07/10/2013,54.39,-0.011698178
04/10/2013,55.03,0.012617887
03/10/2013,54.34,0.000736377
02/10/2013,54.3,-0.000920387
01/10/2013,54.35,-0.003306395
30/09/2013,54.53,0.005332365
27/09/2013,54.24,-0.004782058
26/09/2013,54.5,0.005150858
25/09/2013,54.22,-0.009362161
24/09/2013,54.73,0.002194989
23/09/2013,54.61,-0.007843177
20/09/2013,55.04,-0.006158324
19/09/2013,55.38,-0.000180554
18/09/2013,55.39,0.001987893
17/09/2013,55.28,0.005441697
16/09/2013,54.98,0.0063863
13/09/2013,54.63,0.013452704
12/09/2013,53.9,-0.005181359
11/09/2013,54.18,0.00796817
10/09/2013,53.75,0.005035915
09/09/2013,53.48,0.007507543
06/09/2013,53.08,-0.006010537
05/09/2013,53.4,-0.000187248
04/09/2013,53.41,0.004691761
03/09/2013,53.16,0.006605667
30/08/2013,52.81,0.004364747
29/08/2013,52.58,0.005148262
28/08/2013,52.31,0.006136165
27/08/2013,51.99,-0.010523392
26/08/2013,52.54,-0.003420106
23/08/2013,52.72,0.000379435
22/08/2013,52.7,0.007045635
21/08/2013,52.33,0.005172921
20/08/2013,52.06,0.004041965
19/08/2013,51.85,-0.000963855
16/08/2013,51.9,-0.010732184
15/08/2013,52.46,-0.014571173
14/08/2013,53.23,-0.001126549
13/08/2013,53.29,0.004325348
12/08/2013,53.06,-0.005825442
09/08/2013,53.37,-0.009324946
08/08/2013,53.87,0.001114413
07/08/2013,53.81,-0.002412994
06/08/2013,53.94,0.002598851
05/08/2013,53.8,0.008774443
02/08/2013,53.33,0.000187529
01/08/2013,53.32,0.003569755
31/07/2013,53.13,-0.003194591
30/07/2013,53.3,-0.081917122
29/07/2013,57.85,-0.022730193
26/07/2013,59.18,-0.006232649
25/07/2013,59.55,0.003195697
24/07/2013,59.36,-0.001515024
23/07/2013,59.45,0.006073918
22/07/2013,59.09,-0.00371622
19/07/2013,59.31,0.008636071
18/07/2013,58.8,0.012492676
17/07/2013,58.07,-0.003094913
16/07/2013,58.25,-0.015839555
15/07/2013,59.18,0.003046203
12/07/2013,59,-0.000847099
11/07/2013,59.05,0.007649846
10/07/2013,58.6,0.010119287
09/07/2013,58.01,0.00449206
08/07/2013,57.75,0.005208345
05/07/2013,57.45,0.017382581
03/07/2013,56.46,-0.002476562
02/07/2013,56.6,-0.007393098
01/07/2013,57.02,-0.001226886
28/06/2013,57.09,0.012514484
27/06/2013,56.38,0.006941382
26/06/2013,55.99,0.015297698
25/06/2013,55.14,-0.00235486
24/06/2013,55.27,-0.022718086
21/06/2013,56.54,-0.013177736
20/06/2013,57.29,-0.01558743
19/06/2013,58.19,-0.004971297
18/06/2013,58.48,0.006002934
17/06/2013,58.13,-0.006686694
14/06/2013,58.52,-0.003071151
13/06/2013,58.7,0.016835993
12/06/2013,57.72,-0.012567954
11/06/2013,58.45,-0.004097667
10/06/2013,58.69,-0.001021798
07/06/2013,58.75,0.02115844
06/06/2013,57.52,-0.000868885
