Date,Close,BEN
04/04/2014,53.41,-0.021852721
03/04/2014,54.59,-0.007482469
02/04/2014,55,0.010601452
01/04/2014,54.42,0.004419897
31/03/2014,54.18,0.00945765
28/03/2014,53.67,0.011619321
27/03/2014,53.05,-0.011805628
26/03/2014,53.68,0.015393583
25/03/2014,52.86,0.01525001
24/03/2014,52.06,-0.005363998
21/03/2014,52.34,0.005363998
20/03/2014,52.06,0.011009286
19/03/2014,51.49,-0.015608757
18/03/2014,52.3,0.007677581
17/03/2014,51.9,0.01514298
14/03/2014,51.12,-0.010507978
13/03/2014,51.66,-0.022395424
12/03/2014,52.83,0.001325883
11/03/2014,52.76,-0.008305068
10/03/2014,53.2,-0.011400927
07/03/2014,53.81,0.003910255
06/03/2014,53.6,0.00336386
05/03/2014,53.42,-0.00056143
04/03/2014,53.45,0.016601023
03/03/2014,52.57,-0.01285219
28/02/2014,53.25,0.005649733
27/02/2014,52.95,0.015032154
26/02/2014,52.16,-0.011816413
25/02/2014,52.78,-0.013923085
24/02/2014,53.52,0.019623271
21/02/2014,52.48,-0.00114264
20/02/2014,52.54,-0.006072125
19/02/2014,52.86,-0.015207277
18/02/2014,53.67,0.016153619
14/02/2014,52.81,-0.006041174
13/02/2014,53.13,-0.000376364
12/02/2014,53.15,0.006417538
11/02/2014,52.81,-0.000757146
10/02/2014,52.85,0.013333531
07/02/2014,52.15,0.017994101
06/02/2014,51.22,0.012771566
05/02/2014,50.57,-0.004931463
04/02/2014,50.82,0.012274951
03/02/2014,50.2,-0.035420981
31/01/2014,52.01,-0.014696323
30/01/2014,52.78,0.002466092
29/01/2014,52.65,-0.019560526
28/01/2014,53.69,0.013878692
27/01/2014,52.95,-0.012200996
24/01/2014,53.6,-0.047011754
23/01/2014,56.18,-0.033088358
22/01/2014,58.07,-0.004295908
21/01/2014,58.32,-0.003252592
17/01/2014,58.51,0.003938698
16/01/2014,58.28,0.002233102
15/01/2014,58.15,0.002582868
14/01/2014,58,0.02125886
13/01/2014,56.78,-0.017804625
10/01/2014,57.8,0.013586692
09/01/2014,57.02,0.004746427
08/01/2014,56.75,-0.004220157
07/01/2014,56.99,-0.00542481
06/01/2014,57.3,0.003846831
03/01/2014,57.08,0.00632691
02/01/2014,56.72,-0.017650087
31/12/2013,57.73,0.009397911
30/12/2013,57.19,-0.000699178
27/12/2013,57.23,0.00087405
26/12/2013,57.18,0.007901016
24/12/2013,56.73,0.002647605
23/12/2013,56.58,0.005849525
20/12/2013,56.25,0.010364639
19/12/2013,55.67,-0.006445859
18/12/2013,56.03,0.028971789
17/12/2013,54.43,-0.004033742
16/12/2013,54.65,0.011594866
13/12/2013,54.02,0.005941347
12/12/2013,53.7,-0.001488649
11/12/2013,53.78,-0.0222497
10/12/2013,54.99,-0.012828796
09/12/2013,55.7,0.020312632
06/12/2013,54.58,0.009018189
05/12/2013,54.09,-0.008468386
04/12/2013,54.55,-0.006031271
03/12/2013,54.88,-0.011414201
02/12/2013,55.51,0.002164113
29/11/2013,55.39,-0.001443262
27/11/2013,55.47,0.006148301
26/11/2013,55.13,-0.005246507
25/11/2013,55.42,-0.004141538
22/11/2013,55.65,0.020514471
21/11/2013,54.52,0.017391743
20/11/2013,53.58,-0.003911712
19/11/2013,53.79,-0.000371747
18/11/2013,53.81,-0.00629865
15/11/2013,54.15,-0.002213615
14/11/2013,54.27,0.015037877
13/11/2013,53.46,0.01412852
12/11/2013,52.71,0.015871831
11/11/2013,51.88,-0.007489233
08/11/2013,52.27,0.005948401
07/11/2013,51.96,-0.021326018
06/11/2013,53.08,0.012512012
05/11/2013,52.42,-0.025799378
04/11/2013,53.79,-0.003526031
01/11/2013,53.98,0.00222552
31/10/2013,53.86,-0.007030556
