Date,Close,PNR
04/04/2014,78.23,-0.022373429
03/04/2014,80,-0.006851475
02/04/2014,80.55,0.003855966
01/04/2014,80.24,0.011279729
31/03/2014,79.34,0.021402091
28/03/2014,77.66,0.01478818
27/03/2014,76.52,-0.009365313
26/03/2014,77.24,-0.017835848
25/03/2014,78.63,0.00497228
24/03/2014,78.24,-0.000127804
21/03/2014,78.25,-0.009792156
20/03/2014,79.02,0.005202067
19/03/2014,78.61,-0.010754833
18/03/2014,79.46,0.004793752
17/03/2014,79.08,0.021085696
14/03/2014,77.43,-0.014615645
13/03/2014,78.57,-0.021032196
12/03/2014,80.24,-0.01373869
11/03/2014,81.35,-0.012581855
10/03/2014,82.38,-0.005206138
07/03/2014,82.81,0.001087416
06/03/2014,82.72,0.009840327
05/03/2014,81.91,-0.000122078
04/03/2014,81.92,0.020222637
03/03/2014,80.28,-0.006580196
28/02/2014,80.81,-0.001607419
27/02/2014,80.94,0.006818349
26/02/2014,80.39,0.002615683
25/02/2014,80.18,0.008265545
24/02/2014,79.52,0.004411123
21/02/2014,79.17,0.002276177
20/02/2014,78.99,0.014794301
19/02/2014,77.83,-0.015553603
18/02/2014,79.05,0.008511771
14/02/2014,78.38,0.005757805
13/02/2014,77.93,0.003341905
12/02/2014,77.67,0.004645769
11/02/2014,77.31,0.009879191
10/02/2014,76.55,0.002354173
07/02/2014,76.37,0.018902156
06/02/2014,74.94,0.001736227
05/02/2014,74.81,0.012915557
04/02/2014,73.85,0.031360017
03/02/2014,71.57,-0.037838647
31/01/2014,74.33,-0.005500785
30/01/2014,74.74,0.010220638
29/01/2014,73.98,-0.011023099
28/01/2014,74.8,0.038012887
27/01/2014,72.01,-0.002912018
24/01/2014,72.22,-0.047193236
23/01/2014,75.71,-0.021818097
22/01/2014,77.38,-0.004770202
21/01/2014,77.75,0.001931124
17/01/2014,77.6,0.005427071
16/01/2014,77.18,-0.000129559
15/01/2014,77.19,0.018171622
14/01/2014,75.8,0.009544081
13/01/2014,75.08,-0.025510917
10/01/2014,77.02,-0.003758185
09/01/2014,77.31,0.000646956
08/01/2014,77.26,0.003760622
07/01/2014,76.97,0.010710656
06/01/2014,76.15,-0.006283566
03/01/2014,76.63,-0.003127038
02/01/2014,76.87,-0.010353399
31/12/2013,77.67,0.003611509
30/12/2013,77.39,-0.002323181
27/12/2013,77.57,0.002323181
26/12/2013,77.39,0.010913451
24/12/2013,76.55,0.008263968
23/12/2013,75.92,0.006872879
20/12/2013,75.4,0.006786905
19/12/2013,74.89,-0.002667024
18/12/2013,75.09,0.030559436
17/12/2013,72.83,0.017032884
16/12/2013,71.6,0.022456985
13/12/2013,70.01,0.00057151
12/12/2013,69.97,-0.003993729
11/12/2013,70.25,-0.019593269
10/12/2013,71.64,0.005599119
09/12/2013,71.24,0.004079055
06/12/2013,70.95,0.017057983
05/12/2013,69.75,-0.000430015
04/12/2013,69.78,-0.003004939
03/12/2013,69.99,-0.006266934
02/12/2013,70.43,-0.00410911
29/11/2013,70.72,-0.007747063
27/11/2013,71.27,0.004641032
26/11/2013,70.94,0.001975449
25/11/2013,70.8,0.006091965
22/11/2013,70.37,-0.000710278
21/11/2013,70.42,0.011138199
20/11/2013,69.64,0.000574548
19/11/2013,69.6,-0.009864974
18/11/2013,70.29,-0.00269944
15/11/2013,70.48,0.01055494
14/11/2013,69.74,0.01867049
13/11/2013,68.45,0.005860823
12/11/2013,68.05,0.002206695
11/11/2013,67.9,0.007984665
08/11/2013,67.36,0.015258336
07/11/2013,66.34,-0.025008746
