Date,Close,DVA
04/04/2014,68.07,-0.021653102
03/04/2014,69.56,0.006924436
02/04/2014,69.08,-0.003756687
01/04/2014,69.34,0.007091715
31/03/2014,68.85,0.005826673
28/03/2014,68.45,0.000876937
27/03/2014,68.39,-0.007429563
26/03/2014,68.9,0.004217881
25/03/2014,68.61,0.002188664
24/03/2014,68.46,-0.019527633
21/03/2014,69.81,0.000143256
20/03/2014,69.8,0.000143277
19/03/2014,69.79,0.008056438
18/03/2014,69.23,0.010892563
17/03/2014,68.48,0.004097167
14/03/2014,68.2,0.001173709
13/03/2014,68.12,-0.002931694
12/03/2014,68.32,-0.005401079
11/03/2014,68.69,0.003353995
10/03/2014,68.46,-0.004663372
07/03/2014,68.78,0.000436268
06/03/2014,68.75,0.005542605
05/03/2014,68.37,-0.005542605
04/03/2014,68.75,0.005542605
03/03/2014,68.37,-0.005251653
28/02/2014,68.73,0.010384006
27/02/2014,68.02,0.007674182
26/02/2014,67.5,0.008181526
25/02/2014,66.95,-0.008181526
24/02/2014,67.5,0.020505096
21/02/2014,66.13,0.005306661
20/02/2014,65.78,-0.004398945
19/02/2014,66.07,-0.011437295
18/02/2014,66.83,0.006906934
14/02/2014,66.37,0.001809682
13/02/2014,66.25,-0.001508296
12/02/2014,66.35,0.030917675
11/02/2014,64.33,0.007646132
10/02/2014,63.84,0.003452067
07/02/2014,63.62,-0.001884423
06/02/2014,63.74,0.008508008
05/02/2014,63.2,0.007305098
04/02/2014,62.74,-0.00492886
03/02/2014,63.05,-0.029381704
31/01/2014,64.93,0.000308071
30/01/2014,64.91,0.015682334
29/01/2014,63.9,-0.006551263
28/01/2014,64.32,0.005456401
27/01/2014,63.97,-0.003588987
24/01/2014,64.2,-0.021420035
23/01/2014,65.59,-0.013628315
22/01/2014,66.49,0.018978783
21/01/2014,65.24,0.006304319
17/01/2014,64.83,0.002780354
16/01/2014,64.65,0.002633007
15/01/2014,64.48,-0.007570527
14/01/2014,64.97,0.007725626
13/01/2014,64.47,-0.004179249
10/01/2014,64.74,-0.013806018
09/01/2014,65.64,0.003051574
08/01/2014,65.44,0.003674223
07/01/2014,65.2,0.006153866
06/01/2014,64.8,0.005105604
03/01/2014,64.47,-0.004796914
02/01/2014,64.78,0.02200635
31/12/2013,63.37,0.001263225
30/12/2013,63.29,-0.001105409
27/12/2013,63.36,-0.000473373
26/12/2013,63.39,0.002210993
24/12/2013,63.25,-0.00015809
23/12/2013,63.26,0.009849166
20/12/2013,62.64,0.015282208
19/12/2013,61.69,-0.009357926
18/12/2013,62.27,0.033475246
17/12/2013,60.22,0.003326683
16/12/2013,60.02,-0.004654264
13/12/2013,60.3,0.001825878
12/12/2013,60.19,-0.007283595
11/12/2013,60.63,-0.013271269
10/12/2013,61.44,-0.011811479
09/12/2013,62.17,0.064956817
06/12/2013,58.26,0.019761433
05/12/2013,57.12,-0.002622608
04/12/2013,57.27,-0.021249828
03/12/2013,58.5,-0.011725854
02/12/2013,59.19,-0.006063687
29/11/2013,59.55,-0.005526264
27/11/2013,59.88,-0.011622246
26/11/2013,60.58,-0.015885047
25/11/2013,61.55,0.0849015
22/11/2013,56.54,-0.006171226
21/11/2013,56.89,-0.016560999
20/11/2013,57.84,-0.007921516
19/11/2013,58.3,-0.016501182
18/11/2013,59.27,0.006431979
15/11/2013,58.89,0.003401942
14/11/2013,58.69,0.006667261
13/11/2013,58.3,-0.002227363
12/11/2013,58.43,0.025480189
11/11/2013,56.96,0.011654732
08/11/2013,56.3,0.009637769
07/11/2013,55.76,0.013178275
06/11/2013,55.03,-0.02689298
05/11/2013,56.53,-0.003884186
04/11/2013,56.75,0.003176847
01/11/2013,56.57,0.006384132
31/10/2013,56.21,0.004100193
30/10/2013,55.98,-0.009069147
29/10/2013,56.49,0.004613209
28/10/2013,56.23,0.014149067
25/10/2013,55.44,-0.006830873
24/10/2013,55.82,-0.004468682
23/10/2013,56.07,-0.012583241
22/10/2013,56.78,-0.003867117
21/10/2013,57,-0.018425691
18/10/2013,58.06,0.003450659
17/10/2013,57.86,0.000345722
16/10/2013,57.84,0.011476391
15/10/2013,57.18,-0.006449948
14/10/2013,57.55,-0.006926435
11/10/2013,57.95,-0.002929269
10/10/2013,58.12,0.013162642
09/10/2013,57.36,-0.002611649
08/10/2013,57.51,-0.008484165
07/10/2013,58,-0.006359049
04/10/2013,58.37,0.012064952
03/10/2013,57.67,-0.004670885
02/10/2013,57.94,0.002938383
01/10/2013,57.77,0.015174269
30/09/2013,56.9,-0.001404988
27/09/2013,56.98,-0.010822239
26/09/2013,57.6,0.004001049
25/09/2013,57.37,-0.004001049
24/09/2013,57.6,-0.006058002
23/09/2013,57.95,-0.008933232
20/09/2013,58.47,-0.001025641
19/09/2013,58.53,-0.002048132
18/09/2013,58.65,-0.007643349
17/09/2013,59.1,0.043045276
16/09/2013,56.61,0.015308238
13/09/2013,55.75,-0.00447428
12/09/2013,56,0.005371544
11/09/2013,55.7,-0.001972918
10/09/2013,55.81,-0.004112657
09/09/2013,56.04,-0.679763948
06/09/2013,110.59,-0.008643252
05/09/2013,111.55,0.019096467
04/09/2013,109.44,0.007797132
03/09/2013,108.59,0.009995456
30/08/2013,107.51,-0.004732529
29/08/2013,108.02,0
28/08/2013,108.02,-0.006643317
27/08/2013,108.74,-0.019218224
26/08/2013,110.85,0.004430187
23/08/2013,110.36,0.003540148
22/08/2013,109.97,-0.004717418
21/08/2013,110.49,-0.013127324
20/08/2013,111.95,0.007171703
19/08/2013,111.15,-0.00851069
16/08/2013,112.1,-0.010647838
15/08/2013,113.3,-0.011408636
14/08/2013,114.6,-0.000436205
13/08/2013,114.65,-0.000697533
12/08/2013,114.73,0.003317621
09/08/2013,114.35,0.00614037
08/08/2013,113.65,-0.002460674
07/08/2013,113.93,-0.020932714
06/08/2013,116.34,-0.008984786
05/08/2013,117.39,-0.000936609
02/08/2013,117.5,0.002727119
01/08/2013,117.18,0.006592772
31/07/2013,116.41,0.00128938
30/07/2013,116.26,-0.005318705
29/07/2013,116.88,-0.007161156
26/07/2013,117.72,0.001275022
25/07/2013,117.57,-0.000170097
24/07/2013,117.59,-0.007033629
23/07/2013,118.42,-0.001603173
22/07/2013,118.61,0.005495216
19/07/2013,117.96,0.00544034
18/07/2013,117.32,-0.008994545
17/07/2013,118.38,0.003554205
16/07/2013,117.96,-0.019310482
15/07/2013,120.26,-0.008033502
12/07/2013,121.23,0.005956831
11/07/2013,120.51,0.034700202
10/07/2013,116.4,0.003442344
09/07/2013,116,-0.007557576
08/07/2013,116.88,0.020049064
05/07/2013,114.56,0.005777833
03/07/2013,113.9,-0.000877578
02/07/2013,114,-0.060830999
01/07/2013,121.15,0.002893162
28/06/2013,120.8,-0.012095429
27/06/2013,122.27,0.002456601
26/06/2013,121.97,0.000163988
25/06/2013,121.95,-0.008898381
24/06/2013,123.04,-0.00373165
21/06/2013,123.5,0.00495151
20/06/2013,122.89,-0.031479112
19/06/2013,126.82,-0.020912123
18/06/2013,129.5,-0.005083582
17/06/2013,130.16,0.010270757
14/06/2013,128.83,-0.007963241
13/06/2013,129.86,-0.001154423
12/06/2013,130.01,0.004625712
11/06/2013,129.41,0.014085288
10/06/2013,127.6,0.009290674
07/06/2013,126.42,0.009297957
06/06/2013,125.25,0.01715225
05/06/2013,123.12,-0.014834197
04/06/2013,124.96,-0.004391751
03/06/2013,125.51,0.011539514
31/05/2013,124.07,-0.01923827
30/05/2013,126.48,0.014815086
29/05/2013,124.62,-0.022690382
28/05/2013,127.48,0.018686213
24/05/2013,125.12,-0.003510455
23/05/2013,125.56,-0.00437081
22/05/2013,126.11,-0.003956954
21/05/2013,126.61,-0.00362662
20/05/2013,127.07,-0.0083853
17/05/2013,128.14,0.000624512
16/05/2013,128.06,-0.017187076
15/05/2013,130.28,-0.004824084
14/05/2013,130.91,0.007437259
13/05/2013,129.94,-0.009573849
10/05/2013,131.19,0.020017606
09/05/2013,128.59,-0.006047468
08/05/2013,129.37,0.095727674
07/05/2013,117.56,-0.006105853
06/05/2013,118.28,0.008149451
03/05/2013,117.32,-0.004931563
02/05/2013,117.9,-0.004231915
01/05/2013,118.4,-0.00210926
30/04/2013,118.65,-0.003113563
29/04/2013,119.02,-0.009782278
26/04/2013,120.19,-0.005476283
25/04/2013,120.85,-0.008897002
24/04/2013,121.93,-0.008899834
23/04/2013,123.02,0.005624633
22/04/2013,122.33,-0.002367831
19/04/2013,122.62,0.009340502
18/04/2013,121.48,-0.027203171
17/04/2013,124.83,-0.013289497
16/04/2013,126.5,0.018429657
